	a1	a2	a3	x1	x2	x3
29	1.0259150780798626e-08	5.471778170768855e-08	4252382053976929.5	1.458698050108542	2.252516628856718	9.994964005311726
30	7.2144673194848855e-09	3.209181048908586e-08	4474838054524720.0	1.3602534639655788	2.0258696303050305	9.996944909448827
31	5.1914111799947e-09	1.980935483201771e-08	4707096391307009.0	1.2742848813317416	1.8406357514921694	9.998146771136643
32	3.811768429744406e-09	1.2754840074010906e-08	4950238950089747.0	1.1985649311372537	1.6864506842824398	9.998875877903847
33	2.8491309991020756e-09	8.508605359673802e-09	5205194174974491.0	1.1313658342441772	1.556129059680109	9.99931815532478
34	2.1636884548411836e-09	5.8496208614389485e-09	5472804283362256.0	1.0713270357568863	1.4445377967759916	9.999586429202145
35	1.666698772769389e-09	4.127304115293174e-09	5753869100147275.0	1.01736271213402	1.347914538734869	9.999749152548102
36	1.3004369848938798e-09	2.978593610970898e-09	6049174800562446.0	0.9685958439179256	1.2634398208888256	9.9998478518275
37	1.02651940584602e-09	2.1926335443136598e-09	6359512980638542.0	0.9243103766317586	1.1889596393146473	9.999907716915711
38	8.189118637500384e-10	1.6426344342269928e-09	6685693563343664.0	0.883915942522514	1.1228003316942867	9.999944027275836
39	6.596359292171e-10	1.2499920629606883e-09	7028553798885612.0	0.8469214618992496	1.0636418991994185	9.999966050751896
40	5.360711519838535e-10	9.646384729900376e-10	7388964808812537.0	0.8129151244754339	1.0104293592907163	9.999979408712067
41	4.39224478961838e-10	7.539029305171116e-10	7767836603256337.0	0.7815490230529535	0.9623094621014823	9.99998751074225
42	3.625988566842731e-10	5.959998169130812e-10	8166122167092311.0	0.7525272262707251	0.9185846994370283	9.99999242487878
43	3.0144056295457645e-10	4.761149318070735e-10	8584820997599087.0	0.7255964253162495	0.8786793386033773	9.99999540545495
44	2.5223039609247286e-10	3.8399417545776136e-10	9024982340073676.0	0.7005385293333157	0.842113968767633	9.999997213267036
45	2.1233459745855258e-10	3.1242409581700447e-10	9487708281030150.0	0.6771647521561053	0.8084861728969378	9.999998309760679
46	1.7976203814526647e-10	2.5625451500516277e-10	9974156803387448.0	0.6553108513218205	0.7774556720636716	9.999998974818002
47	1.529931656913161e-10	2.117579993642452e-10	1.0485544872941478e+16	0.6348332658607909	0.7487327806203604	9.999999378195525
48	1.3085805505498983e-10	1.7620275954423363e-10	1.1023151603163998e+16	0.6156059609040732	0.7220693421417002	9.999999622856548
49	1.1244850392838134e-10	1.4756333722290278e-10	1.1588321531214884e+16	0.5975178328376204	0.6972515463312684	9.999999771250963
50	9.705400338929611e-11	1.2432172680318872e-10	1.2182468029535838e+16	0.5804705620784654	0.6740941865458103	9.999999861256706
51	8.41146421873248e-11	1.0532878720126243e-10	1.280707687158709e+16	0.5643768259736455	0.6524360319325251	9.999999915847932
52	7.318614980844474e-11	8.970645097420345e-11	1.3463709967064796e+16	0.5491588033193913	0.6321360698519312	9.999999948959186
53	6.391372324513305e-11	7.677789845921694e-11	1.4154009280502414e+16	0.5347469163950014	0.6130704333270456	9.999999969042154
54	5.6012270183786944e-11	6.601714787685752e-11	1.487970094505834e+16	0.5210787676894982	0.5951298722189777	9.999999981223118
55	4.9251382237636674e-11	5.701229161922681e-11	1.5642599584059054e+16	0.5080982370791891	0.5782176592044366	9.999999988611242
56	4.344381920067684e-11	4.9438415586126006e-11	1.6444612851748986e+16	0.4957547118050062	0.5622478455002878	9.999999993092368
57	3.8436626465143933e-11	4.303747881828155e-11	1.728774620563142e+16	0.4840024271505017	0.5471438004074087	9.99999999581031
58	3.410423533517335e-11	3.7603227825279034e-11	1.8174107922478356e+16	0.4727998995557759	0.5328369818832636	9.99999999745882
59	3.034307175928935e-11	3.2969798436107885e-11	1.910591437088892e+16	0.46210943745688493	0.5192658967671768	9.999999998458692
60	2.7067319038321268e-11	2.9003038391969588e-11	2.0085495554044656e+16	0.4518967177354336	0.5063752174685134	9.999999999065153
61	2.42055673740181e-11	2.55938504313886e-11	2.111530093627175e+16	0.44213041765849975	0.49411502814124525	9.999999999432987
62	2.16981509555869e-11	2.265305181167949e-11	2.219790556807367e+16	0.4327818940372283	0.4824401787986442	9.999999999656092
63	1.9495020932453907e-11	2.0107379559738636e-11	2.333601652537199e+16	0.42382490272095275	0.47130972983412206	9.999999999791411
64	1.755403758243393e-11	1.789636587207604e-11	2.45324796787705e+16	0.4152353525935147	0.4606864724363361	9.999999999873484
65	1.58395923914657e-11	1.596987931160009e-11	2.5790286809538596e+16	0.4069910891957405	0.4505365130206801	9.999999999923265
66	1.4321492328558671e-11	1.42861810721118e-11	2.7112583090765136e+16	0.3990717040041801	0.44082891215438713	9.999999999953458
67	1.2974051178132494e-11	1.2810377579713725e-11	2.8502674951738536e+16	0.3914583657410729	0.43153536951894717	9.999999999971774
68	1.1775347322946407e-11	1.1513184046997664e-11	2.9964038346333644e+16	0.38413367089589295	0.4226299483977696	9.999999999982881
69	1.0706614811618337e-11	1.0369931124876636e-11	3.150032744434767e+16	0.37708151093663866	0.4140888339826283	9.999999999989619
70	9.751741833134357e-12	9.359763089693413e-12	3.3115383768783868e+16	0.3702869540643822	0.4058901207323973	9.999999999993701
71	8.896856145732461e-12	8.464987755277397e-12	3.4813245801582864e+16	0.3637361396890115	0.398013624795269	9.999999999996179
72	8.129981212402199e-12	7.670547200890955e-12	3.6598159082219224e+16	0.3574161840669507	0.39044071813153547	9.999999999997685
73	7.440749937620748e-12	6.963584968421489e-12	3.847458682422072e+16	0.35131509573285385	0.3831541814368653	9.999999999998597
74	6.820165629222785e-12	6.333090828625978e-12	4.044722107364493e+16	0.3454216995769032	0.3761380734562145	9.99999999999915
75	6.260401716365524e-12	5.769608046677123e-12	4.2520994443380664e+16	0.3397255685317672	0.369377614560405	9.999999999999483
76	5.754633455182578e-12	5.264991301441386e-12	4.470109244755578e+16	0.3342169620114618	0.3628590828297019	9.999999999999686
77	5.296896104816885e-12	4.812205804072631e-12	4.6992966466648824e+16	0.32888677033860547	0.3565697211089971	9.99999999999981
78	4.8819650308860876e-12	4.405159984748517e-12	4.940234737953314e+16	0.32372646447625886	0.3504976536815119	9.999999999999885
79	4.5052540768662596e-12	4.038565698155387e-12	5.1935259894067224e+16	0.31872805048742087	0.34463181142673444	9.999999999999925
80	4.1627292108949884e-12	3.707821068519198e-12	5.459803760991025e+16	0.3138840282296831	0.33896186450083404	9.999999999999956
81	3.850834953596367e-12	3.4089120353402874e-12	5.739733885825736e+16	0.309187353799091	0.33347816162072835	9.999999999999972
82	3.566431501652815e-12	3.1383292675893555e-12	6.034016335058138e+16	0.3046314053600968	0.3281716752481596	9.99999999999998
83	3.3067409123264623e-12	2.8929979574897706e-12	6.34338696811786e+16	0.3002099519994107	0.3230339520017783	9.999999999999984
84	3.0693009194878085e-12	2.670218297304906e-12	6.66861937273319e+16	0.29591712530269276	0.31805706773370357	9.999999999999991
85	2.851925179140855e-12	2.4676148420596354e-12	7.010526799273214e+16	0.291747393365629	0.3132335867424262	9.999999999999995
86	2.65266900701476e-12	2.2830933659857e-12	7.369964194446824e+16	0.2876955370139296	0.3085565247082498	9.999999999999998
87	2.469799793398043e-12	2.1148040222126155e-12	7.747830338963912e+16	0.28375662802040547	0.30401931496754087	10.000000000000005
88	2.3017713318213766e-12	1.961109711680239e-12	8.145070094983864e+16	0.27992600909359977	0.2996157777264546	10.000000000000002
89	2.147201646370678e-12	1.8205590609753897e-12	8.562676768834744e+16	0.276199275538907	0.2953400920296893	10.000000000000007
90	2.0048535736095037e-12	1.6918629755056543e-12	9.001694594685742e+16	0.27257225832680926	0.2911867700284968	10.000000000000002
91	1.8736180076233833e-12	1.5738746311823738e-12	9.463221345853816e+16	0.2690410085750144	0.28715063354688075	9.999999999999977
92	1.752499151432514e-12	1.4655720102103006e-12	9.948411079520792e+16	0.2656017831831045	0.28322679250377486	9.99999999999998
93	1.640601693978009e-12	1.366042868650233e-12	1.0458477022756082e+17	0.2622510316100276	0.279410625167851	10.000000000000002
94	1.5371195583115207e-12	1.2744716620449177e-12	1.099469460614604e+17	0.25898538364763807	0.27569775999709967	9.999999999999998
95	1.441326031975764e-12	1.1901281782821247e-12	1.155840465292607e+17	0.25580163811452206	0.2720840589341576	9.999999999999936
96	1.3525650936342108e-12	1.1123576338739386e-12	1.215101673188797e+17	0.25269675238988804	0.2685656020222252	9.999999999999964
97	1.270243784843133e-12	1.0405720362847602e-12	1.2774012682055968e+17	0.24966783271771306	0.26513867322541046	9.999999999999988
98	1.1938254811362198e-12	9.742426265163247e-13	1.3428950317612086e+17	0.24671212521464714	0.2617997473415532	9.999999999999991
99	1.1228239476671628e-12	9.128932555147142e-13	1.411746732352272e+17	0.24382700751619935	0.2585454779020916	9.999999999999993
100	1.056798087094134e-12	8.560945774364525e-13	1.4841285351213344e+17	0.24100998101914006	0.25537268598785334	9.999999999999995
