	TFPI	VIIa_TF	VIIa_TF_X	VIIa_TF_Xa	X	Xa	Xa_TFPI	Xa_TFPI_VIIa_TF
15	0.005532065947898907	0.22456853259285367	0.03574741397971398	0.2084058000765324	37.86273343619034	129.49854541570215	1.8631899807012027	0.531277953350901
16	0.005330803886834294	0.2136291031914304	0.03196808919795232	0.20030426163051057	35.59458375769483	131.77837469536445	1.8405709501330603	0.5540982459801079
17	0.005166740592199835	0.20360791186167446	0.028727229019085247	0.19266021844231612	33.56119821889506	133.82248107423672	1.8198289187308765	0.5750043406769251
18	0.005027066842087803	0.1944150285680613	0.02593267402973992	0.1854684641240887	31.729695800576923	135.66383012811235	1.800789399879804	0.5941835332781105
19	0.004905458669300776	0.18597111934233046	0.023510426079176135	0.17871708392257687	30.072734431901747	137.32984351676686	1.783293470674784	0.6118010706559167
20	0.0047982215557740735	0.17820596526360963	0.021400633359578786	0.17238986819633492	28.567435809536228	138.8434719104646	1.76719854526375	0.6280032331804768
21	0.004702861475920364	0.1710572106968585	0.019554551133076224	0.16646800035627557	27.194544583255656	140.22403572673193	1.7523772007102913	0.64291993781379
22	0.004617527156291488	0.16446930848957955	0.017932221921885736	0.16093123849304294	25.937765674932294	141.48788839181026	1.7387155417482174	0.6566669310954916
23	0.0045407684218377355	0.15839262960378922	0.016500690436998464	0.15575873963861034	24.78323811698871	142.64894322135868	1.7261115912575609	0.6693476403206018
24	0.004471414670819601	0.15278270888526715	0.015232619256733396	0.1509296299763103	23.71911433939349	143.7190948260455	1.7144738434474909	0.6810547418816894
25	0.004408503573621464	0.14759960357063878	0.014105207323228565	0.14642339369679983	22.735221541480673	144.70855836107415	1.7037200010170443	0.6918714954093326
26	0.004351233933400848	0.14280734538278453	0.013099339065739216	0.1422201321155513	21.822787413944948	145.62614434880817	1.6937758826306728	0.7018728834359246
27	0.0042989320775677735	0.1383734706736564	0.012198910493214817	0.13830072993130654	20.97421665748675	146.47948263416743	1.684574479020607	0.7111265889018218
28	0.00425102682143768	0.13426861590154285	0.011390292068157925	0.13464695516746225	20.182907862159126	147.27520591742783	1.6760551363157214	0.719693836862837
29	0.004207030320986361	0.13046616803778308	0.010661898018456566	0.1312415119362576	19.44310265110993	148.01910096925758	1.6681628476715078	0.7276301220075023
30	0.00416652317124824	0.12694196136428623	0.010003839010843486	0.12806805986958913	18.749760768774287	148.71623385551786	1.6608476370734682	0.7349858397552804
31	0.004129142655813032	0.12367401357848752	0.009407640526231218	0.12511121030240543	18.098456151449255	149.37105414037927	1.654064021751309	0.7418068355928749
