time	A20	A20_mRNA	BAR	BAR_Casp8	Casp3	Casp6	Casp8	FADD	FLIP	FLIP_mRNA	IKK	IKKa	IkBa	IkBa_N	IkBa_NFkB	IkBa_NFkB_N	IkBa_mRNA	NFkB	NFkB_N	PARP	PIkBa	RIP	TNFR	TNFRC1	TNFRC2	TNFRC2_FLIP	TNFRC2_FLIP_FLIP	TNFRC2_FLIP_pCasp8	TNFRC2_FLIP_pCasp8_RIP_TRAF2	TNFRC2_pCasp8	TNFRC2_pCasp8_pCasp8	TNFRCint1	TNFRCint2	TNFRCint3	TNFR_E	TNF_E	TNF_TNFR_E	TNF_TNFR_TRADD	TRADD	TRAF2	XIAP	XIAP_Casp3	XIAP_mRNA	cPARP	pCasp3	pCasp6	pCasp8
29160.0.	0.133162084116213	3.3170426326100015e-05	0.000194201473116	0.11990492416722301	0.415497445022856	0.064287312987545	1.202179468578106	0.30898846513780903	7.178738676289952e-05	0.00035175027882800003	0.639955267530357	4.4732469642106866e-05	0.0015941588722190002	0.002935608235879	0.015499042588204	8.366695774368097e-05	4.2013339144695155e-05	0.00011422632172200001	0.00030306493916200004	0.000123799313012	6.2619187151649075e-06	0.00031154046936300003	0.000279999999999	5.509544848732292e-08	9.106850829980161e-05	3.6884365170190743e-09	0.00021078044650600002	1.361961950316432e-08	5.8592252311341285e-05	9.102426202219654e-05	1.1204989452924131e-05	7.374068589790808e-08	2.039433527336417e-07	2.0465147757164092e-09	0.00011759371993800001	0.256130568090507	0.000210283602985	1.1116736956043101e-05	0.290703341038128	0.33055622910347005	0.0010256350076970002	0.24204400922350103	0.000771924816765	1.6665455042044441	0.002633551689137	0.00099916358023	1.7724200121075082
29700.0.	0.131466295419424	3.1865065061592704e-05	0.000181000319078	0.11711399510442701	0.41603059595977404	0.064378407194946	1.260214280675254	0.309011999005529	6.912488806501227e-05	0.000327468338049	0.639955501663465	4.4498336534464636e-05	0.0013289730776350002	0.002363908129619	0.015423636110380001	8.362278471119361e-05	3.896173733854058e-05	0.00011689058694200001	0.000375851282385	0.000123639663808	6.1991062732738354e-06	0.00031113864337400005	0.000279999999999	5.5287398702607284e-08	8.855353087051507e-05	3.5571306195999006e-09	0.00020450189892800002	1.275204605550355e-08	5.684695169490491e-05	8.851160995745586e-05	1.0578295120901781e-05	6.524439926902778e-08	1.4215506841428088e-07	1.4253147575686633e-09	0.00011765972917700001	0.25598299113169404	0.00021027586635600002	1.1116559907278202e-05	0.29070972098576103	0.330556433760726	0.001021636043384	0.24114953279595702	0.0007353260244120001	1.666545652031966	0.0025106127306760003	0.000997712773667	1.7208001604295822
30240.0.	0.12985637235921701	3.230826475825015e-05	0.000169656228649	0.11440714434785301	0.41644438075911305	0.064466404436614	1.3138112621672922	0.309034352677642	6.685334969318763e-05	0.00030664933850300003	0.6399557139693921	4.428603060718099e-05	0.0011235304612850002	0.0019047351221880002	0.015334328677034001	8.312698655881648e-05	3.7682326249200814e-05	0.000119051402509	0.00046349365813100004	0.000123516097565	6.134323595267337e-06	0.000310827700916	0.000279999999999	5.54981203205133e-08	8.608337686290581e-05	3.438425470201803e-09	0.000198410369719	1.198866171811221e-08	5.515363850787226e-05	8.604340333417762e-05	1.0001590850507241e-05	6.073462421173719e-08	1.058147196061899e-07	1.0598804639333502e-09	0.000117725818647	0.25583541625044603	0.00021026837696900002	1.111638352144033e-05	0.29071576759204204	0.33055662376564104	0.0010182437705780001	0.2403921236823	0.0007021493625450001	1.666545763813411	0.0024069630364620003	0.000996603496938	1.673667545954695
30780.0.	0.12834116726511002	3.4357743824838084e-05	0.00015979303120500002	0.11178215003845901	0.416769706001112	0.06455148529165601	1.3633364462043192	0.309055564623033	6.495883433987538e-05	0.00028923574510400003	0.6399559123162021	4.408768379719675e-05	0.000976838122277	0.001557491410734	0.015233339739592	8.259492652798037e-05	3.803946262848302e-05	0.00012065161577600001	0.000563414404266	0.000123419139266	6.067072079188809e-06	0.000310583745565	0.000279999999999	5.571513753325532e-08	8.366410448693732e-05	3.3327505885111804e-09	0.00019250028855600002	1.132120089618814e-08	5.3510764238637314e-05	8.362578169579274e-05	9.470574261049712e-06	5.838983021709898e-08	8.461612463872937e-08	8.466767558704523e-10	0.000117791988119	0.255687843448955	0.00021026112162300003	1.111620782623218e-05	0.290721498376391	0.33055680166856505	0.0010153492190370002	0.23974051532536603	0.0006724492835900001	1.666545849023683	0.002318595736623	0.0009957393536270001	1.630634010210445
31320.0.	0.12692776005203601	3.7814459642685296e-05	0.00015112976399800002	0.10923676603080701	0.417025722752542	0.06463379092760001	1.4091252381113621	0.30907568088430104	6.342234579059617e-05	0.000275091523149	0.6399561014446621	4.389855533751409e-05	0.0008855225857770001	0.001316004692421	0.015127293208286001	8.267168211952118e-05	3.9851383415386e-05	0.000121675680023	0.000668360079664	0.00012334293541300001	5.998994024919254e-06	0.00031039201790000005	0.000279999999999	5.59311077560196e-08	8.129913541556796e-05	3.2399702109769423e-09	0.000186766251001	1.0740619030590659e-08	5.191682649631325e-05	8.126222228526514e-05	8.981107945498154e-06	5.721887241129709e-08	7.23567368141917e-08	7.233700134856733e-10	0.00011785823738100001	0.25554027272942503	0.000210254087815	1.111603288834196e-05	0.29072692993758104	0.33055696907492305	0.001012881339983	0.23917497067798102	0.0006461926760060001	1.6665459135161642	0.002242535584788	0.000995060925395	1.591344572211969
31860.0.	0.125620779127885	4.2345439975296534e-05	0.00014345245625600002	0.10676875014360901	0.41722482090501	0.064713438019994	1.45148486851082	0.30909475083361604	6.221030709951452e-05	0.000263923210894	0.6399562844623411	4.3715537658500204e-05	0.000843244343853	0.001168586862448	0.015027652758990002	8.398413832953378e-05	4.2825698135195674e-05	0.000122160414506	0.0007662033040920001	0.00012328371411200002	5.93388128818626e-06	0.000310243012599	0.000279999999999	5.61413696121599e-08	7.899025412973928e-05	3.1589677020748572e-09	0.00018120301355000002	1.023584064252046e-08	5.037036763641213e-05	7.895455473848268e-05	8.529323572570004e-06	5.668213782664249e-08	6.533901953653283e-08	6.527889070659944e-10	0.00011792456623700001	0.255392704094072	0.00021024726369900002	1.1115858763518121e-05	0.29073207800211404	0.33055712706496404	0.00101078500956	0.23868233733316502	0.000623176649968	1.666545961062634	0.002176526238616	0.00099453086775	1.5554747493931922
32400.0.	0.124421271404325	4.7446940148862745e-05	0.000136595305036	0.104375882376408	0.417376223196732	0.064790529140406	1.49069670085534	0.309112824663334	6.126827636607141e-05	0.00025522897564100004	0.639956463478181	4.3536521818648964e-05	0.0008406076789780001	0.0010992088903000001	0.014948356436638001	8.673523764128662e-05	4.652587569446576e-05	0.00012219589099900002	0.000842713018262	0.00012323869052100001	5.876801431759434e-06	0.000310129719842	0.000279999999999	5.634290103987345e-08	7.673822305837752e-05	3.0874053336924833e-09	0.000175805488824	9.793185576411565e-09	4.88699734268566e-05	7.670358610027194e-05	8.111664509675012e-06	5.648558025768243e-08	6.1375993179996e-08	6.129412713863775e-10	0.00011799097451100001	0.255245137545122	0.000210240638054	1.1115685478924112e-05	0.290736957470066	0.330557276422271	0.001009005589199	0.238252515608245	0.000602972281439	1.666545994447822	0.002118825073766	0.0009941235624530002	1.522728029239223
32940.0.	0.12332565930486801	5.249255972062321e-05	0.000130427875497	0.10205597668966501	0.41748840363375306	0.064865159967827	1.527018381590415	0.30912995194158804	6.0522908063705997e-05	0.000248324534914	0.639956639876339	4.3360123660308784e-05	0.000866100485165	0.00108990175877	0.014900790762761	9.045684390670095e-05	5.0406609650821035e-05	0.000121909663535	0.000886843282662	0.000123205332925	5.832191650327149e-06	0.000310045774864	0.000279999999999	5.6533869868660375e-08	7.454316030060175e-05	3.021918969706592e-09	0.000170568740908	9.397164422345926e-09	4.7414271753712974e-05	7.450948151401372e-05	7.724893867232522e-06	5.646881980536125e-08	5.918258430122473e-08	5.909010619985042e-10	0.00011805746204200001	0.255097573084814	0.00021023420025000002	1.1115513025647722e-05	0.290741582458509	0.33055741775838804	0.001007481482482	0.23787611826749602	0.0005849450218300001	1.666546016203327	0.002068064639508	0.000993817963096	1.4928335106337651
33480.0.	0.122325500219117	5.6866506943335564e-05	0.000124846171287	0.09980688864921201	0.41757026449480206	0.064937423558711	1.560685831093798	0.30914618081147505	5.9893572318260516e-05	0.00024245845171300001	0.639956814442143	4.318555785599273e-05	0.000907849636027	0.001123155254183	0.014888907616093001	9.420028978319398e-05	5.3920721941935275e-05	0.00012143897809800001	0.000895453639827	0.00012318100044800002	5.801860096938678e-06	0.000309984542026	0.000279999999999	5.6713426586596756e-08	7.240477268047549e-05	2.9587973565263952e-09	0.000165487980824	9.032614573436595e-09	4.600193136620799e-05	7.23719936319446e-05	7.366083928455589e-06	5.6544380527642123e-08	5.800787466585944e-08	5.791132922455606e-10	0.00011812402868200001	0.254950010715395	0.00021022794021700002	1.111534135812315e-05	0.29074596634266203	0.330557551581027	0.0010061455079470002	0.23754337681442703	0.0005683671016810001	1.666546028969914	0.002023156757042	0.0009935933919280001	1.465543719999826
34020.0.	0.12140846835727101	6.011986024304202e-05	0.00011976627727000001	0.09762652032881301	0.41763111359292804	0.06500741168983601	1.591915078511789	0.30916155757373504	5.9308724642494544e-05	0.000236968886412	0.63995698745156	4.301254843868877e-05	0.0009553785559570001	0.001183146669228	0.014907795108902002	9.704392176325016e-05	5.6648926463765924e-05	0.000120904432301	0.0008742570333	0.00012316293816300002	5.784209703620316e-06	0.000309939098193	0.000279999999999	5.688155546600454e-08	7.032250076094312e-05	2.894862497564934e-09	0.00016055856217000002	8.68719055365423e-09	4.4631660660410046e-05	7.029060074869453e-05	7.032596426297744e-06	5.6664697031768405e-08	5.7415225829302043e-08	5.731839883319172e-10	0.00011819067430000001	0.25480245043912403	0.000210221848415	1.1115170401131261e-05	0.29075012179487203	0.33055767833166705	0.0010049326362200001	0.237244232775205	0.0005525760925810001	1.666546035502396	0.0019832246703820004	0.0009934282673750002	1.440632600162772
34560.0.	0.12056033983197001	6.206802855338694e-05	0.00011511975128700001	0.09551282335826401	0.41767982951630206	0.065075213843793	1.6209039466413562	0.309176126494666	5.8718937238348226e-05	0.00023140527805600003	0.6399571587802181	4.284121978147864e-05	0.001000683286817	0.001255919637062	0.014946434376926	9.852071216918614e-05	5.8385548505811616e-05	0.00012039545963700001	0.0008346499214480001	0.00012314851633900002	5.775124857446517e-06	0.000309902831664	0.000279999999999	5.703889207092087e-08	6.8295609614616e-05	2.8281235194256582e-09	0.00015577597688800002	8.352953573242441e-09	4.3302206500268816e-05	6.826459212881155e-05	6.722059182664602e-06	5.68041646287479e-08	5.715193016888328e-08	5.705695906075362e-10	0.000118257398778	0.25465489225826704	0.000210215915807	1.1115000062836182e-05	0.290754060821555	0.330557798406623	0.001003789007219	0.236969208094249	0.000537102929219	1.6665460384303912	0.00194755410823	0.000993301186778	1.41789366554275
35100.0.	0.11976725531792001	6.278865627421399e-05	0.00011085022720700001	0.093463800698454	0.41772383401455504	0.065140915071329	1.647833595255043	0.30918992974429504	5.810121849949953e-05	0.00022556594353900002	0.639957328042502	4.267195749685862e-05	0.0010385050949490002	0.001329444394935	0.014992454325380001	9.870462100794417e-05	5.914449785560808e-05	0.00011996833636200001	0.000788873162713	0.00012313553170400002	5.76977631024692e-06	0.000309870199322	0.000279999999999	5.7186490826655006e-08	6.63232457227831e-05	2.7579463293928283e-09	0.000151135851175	8.026451061272405e-09	4.2012353074223284e-05	6.629312380433939e-05	6.432342137216654e-06	5.694931766423639e-08	5.707246542907562e-08	5.698050990401625e-10	0.00011832420200800001	0.254507336175103	0.00021021013383100003	1.1114830249542421e-05	0.29075779479818803	0.330557912169163	0.001002677614565	0.236710429256928	0.000521718089704	1.6665460399570602	0.001915557372838	0.000993193126557	1.397138314359423
35640.0.	0.119017498517219	6.254017014154825e-05	0.000106910874033	0.091477507528799	0.417768403151522	0.065204594085094	1.672869933087296	0.30920300740837403	5.7454858784105267e-05	0.00021945607963000003	0.6399574947396951	4.2505260305162774e-05	0.001066080801814	0.0013941366714050002	0.015036010157946	9.800441284516394e-05	5.90988961318349e-05	0.00011965121678400001	0.0007463346344700001	0.000123122412451	5.764205045578596e-06	0.00030983724337900004	0.000279999999999	5.732557842381068e-08	6.440447285357815e-05	2.684784721760483e-09	0.00014663394150600002	7.707587946992828e-09	4.0760920785561584e-05	6.437525747877988e-05	6.1615342322827556e-06	5.7093396363965274e-08	5.7093546539433504e-08	5.700519058058229e-10	0.00011839108389900001	0.254359782191919	0.000210204494376	1.1114660877562862e-05	0.290761334502464	0.33055801995674605	0.001001578925332	0.23646228164712302	0.000506397547515	1.666546041654097	0.0018867465765720001	0.000993089404592	1.378194286429351
36180.0.	0.118302390991479	6.165442986336452e-05	0.00010326246930200001	0.08955205150989201	0.41781653360070303	0.065266322426712	1.6961649096408822	0.309215397541006	5.6792960300697354e-05	0.00021320668233400003	0.6399576583867701	4.23416132300479e-05	0.001082690270137	0.001443610411087	0.015071332922369	9.688627462448517e-05	5.849611356916301e-05	0.00011945079293000001	0.000712330409936	0.00012310826055500002	5.756028044574818e-06	0.000309801699588	0.000279999999999	5.7457343654897165e-08	6.253829530256814e-05	2.6097112203766502e-09	0.00014226613077400002	7.398069907681461e-09	3.9546765175080954e-05	6.250998867971357e-05	5.907921742213828e-06	5.7233297718781934e-08	5.7167896945899215e-08	5.708338870749205e-10	0.000118458044368	0.25421223031100904	0.00021019898975800001	1.1114491879707601e-05	0.29076469014571005	0.330558122085544	0.001000487581694	0.23622149432545303	0.000491247106574	1.666546044419414	0.0018607134135080001	0.000992980564543	1.360904254142201
36720.0.	0.117616344478237	6.0449703183325645e-05	9.987192025569647e-05	0.08768559260278501	0.41786927195212203	0.065326164812549	1.717857697803297	0.309227136238564	5.6134109528092286e-05	0.000206996378986	0.639957818597318	4.2181402682298396e-05	0.0010891593652670002	0.001475064125226	0.015096296199692001	9.570068655033936e-05	5.758593281568006e-05	0.00011935823797200001	0.000688645254625	0.000123092756597	5.744328544628554e-06	0.000309762759307	0.000279999999999	5.7582797511056195e-08	6.0723673828372976e-05	2.5339819954365142e-09	0.000138028424529	7.100088378085944e-09	3.8368775875047175e-05	6.0696267207233705e-05	5.66996822975506e-06	5.7367844232335835e-08	5.726897905106111e-08	5.718837355320304e-10	0.000118525083344	0.254064680534678	0.00021019361269700003	1.1114323206561201e-05	0.29076787140264304	0.33055821885337905	0.0009994075314460002	0.23598676359942902	0.00047642671941300005	1.666546048572323	0.0018371136728560001	0.000992862079346	1.345124534427174
37260.0.	0.11695636965733901	5.918221970063107e-05	9.671111586806378e-05	0.085876342572355	0.41792627185748005	0.065384180255509	1.7380757772526891	0.30923825772372004	5.5496584875694295e-05	0.000200997955589	0.639957975122817	4.2024877183567844e-05	0.001087351323515	0.001488958798633	0.015111157802025002	9.46449843700011e-05	5.657800016857417e-05	0.000119354389134	0.000674843183396	0.000123075995861	5.7291700599465306e-06	0.00030972065805700004	0.000279999999999	5.770270930131616e-08	5.895953740189086e-05	2.458750671334946e-09	0.00013391694732600002	6.8155206903314405e-09	3.7225875593738746e-05	5.89330118626728e-05	5.446296166113805e-06	5.749680132578802e-08	5.7382119696384265e-08	5.730536348083401e-10	0.00011859220076700001	0.25391713286524004	0.00021018835629600002	1.1114154824296022e-05	0.290770887439577	0.33055831054171003	0.000998347490021	0.23575816067235503	0.00046209723928700006	1.666546054017425	0.0018156552425460002	0.000992733278655	1.330723910619372
37800.0.	0.116321367330928	5.8031180763693206e-05	9.375602647868429e-05	0.08412256426547901	0.41798636586159205	0.065440423441998	1.756935927325098	0.30924879443317604	5.489533122653999e-05	0.00019535103378100002	0.639958127855286	4.1872144714396684e-05	0.001079666390566	0.001488118111286	0.015117389089828001	9.380127661557873e-05	5.5625874551377447e-05	0.00011941453685100001	0.0006693954367620001	0.000123058319057	5.711117017630609e-06	0.000309676249936	0.000279999999999	5.781760347991413e-08	5.7244792416884845e-05	2.384932451864091e-09	0.00012992793917200002	6.545592625805038e-09	3.611701912993506e-05	5.7219121095756316e-05	5.235670200406782e-06	5.762033185898092e-08	5.749936381789438e-08	5.74263449586159e-10	0.000118659396587	0.25376958730501403	0.00021018321402300002	1.111398671095732e-05	0.290773746941133	0.330558397417035	0.000997317583105	0.23553653959533102	0.000448392038337	1.666546060413903	0.0017960887158040002	0.000992596022154	1.317582554530722
38340.0.	0.11571142607340201	5.710352924412508e-05	9.098599092648149e-05	0.08242257072942101	0.41804803356684106	0.06549494598988401	1.7745451368521352	0.30925877710550403	5.434088165105196e-05	0.00019015281887500003	0.6399582768070601	4.172319294059099e-05	0.001068597344179	0.0014766256973040002	0.015116919591771001	9.318698668062583e-05	5.482753639786495e-05	0.00011951272468900002	0.0006703810190400001	0.00012304017323200002	5.690917146528253e-06	0.00030963065767900005	0.000279999999999	5.7927794212679526e-08	5.5578330187275866e-05	2.313169622839332e-09	0.000126057752088	6.290829080052555e-09	3.5041192416660003e-05	5.555348089328949e-05	5.036982028765997e-06	5.7738709545354283e-08	5.7616502916918e-08	5.754708032145575e-10	0.00011872667076200001	0.25362204385633	0.000210178179686	1.1113818852566432e-05	0.290776458135555	0.33055847973192604	0.000996327216978	0.235323062170975	0.00043540619906000004	1.666546067314596	0.0017781999628380001	0.0009924534929590001	1.305591040273457
38880.0.	0.11512723335436001	5.6446807942993e-05	8.838314721011504e-05	0.08077472421808901	0.418109733445699	0.06554779742207001	1.791001437625936	0.30926823486706	5.383933291487325e-05	0.000185458452021	0.639958422080063	4.157791993762387e-05	0.001056389043104	0.001458844292257	0.015111744295092001	9.278987219450286e-05	5.4233289962482655e-05	0.00011962519485400001	0.000675840943103	0.000123022013019	5.669336183777772e-06	0.00030958502402300003	0.000279999999999	5.803343712259048e-08	5.395903317050052e-05	2.243849543926547e-09	0.00012230284676300002	6.0511399447095685e-09	3.39974115934213e-05	5.3934970848279525e-05	4.849236779565525e-06	5.7852184526676524e-08	5.77313732775814e-08	5.766539359617367e-10	0.00011879402326	0.25347450252152404	0.00021017324742	1.1113651239709522e-05	0.290779028818694	0.33055855772585	0.0009953838935890002	0.23511886883877303	0.00042319527392900005	1.666546074264765	0.0017618042028380001	0.0009923092760270001	1.294649442313984
