	I	Ip	S	Sp
52	28503.64806813019	3960.697762663378	948230.8444313017	261889.26882076386
53	28015.27588426933	3885.846994996414	953358.0525420959	262865.02655662317
54	27541.84107747811	3813.45203693645	958366.2018861676	263813.0856457143
55	27082.65640821332	3743.3988618543326	963257.3526274837	264734.18219731137
56	26637.07602986479	3675.579924817597	968033.6257681107	265629.04362308694
57	26204.49246438825	3609.8937514347003	972697.191065976	266498.3875632255
58	25784.333834434157	3546.244553109078	977250.2561678344	267342.920959593
59	25376.061327410294	3484.5418673188524	981695.0568479197	268163.33926231315
60	24979.166869612713	3424.700221536	986033.8482531813	268960.3257572706
61	24593.17099076119	3366.6388194001943	990268.8970644916	269734.55100302934
62	24217.62086132512	3310.2812477927023	994402.4744914108	270486.67236662726
63	23852.08848684986	3255.5552034996813	998436.8500254904	271217.33364855876
64	23496.169045021994	3202.392238197994	1002374.2858834709	271927.1647881392
65	23149.479352748254	3150.7275205632045	1006217.0320782135	272616.7816410816
66	22811.656451695333	3100.49961435374	1009967.3220601963	273286.7858219106
67	22482.356301903328	3051.650271385117	1013627.3688777346	273937.7646044359
68	22161.25257410949	3004.1242383778044	1017199.3618084495	274570.29087408487
69	21848.035532309907	2957.869076719697	1020685.463418727	275184.92312645545
70	21542.410998884396	2912.8349942440736	1024087.8070115959	275782.205506934
71	21244.09939535754	2868.974688185383	1027408.4944269345	276362.66788668634
72	20952.834852511653	2826.243198530926	1030649.5941610885	276926.8259707515
73	20668.36438410964	2784.5977710327634	1033813.1397756595	277475.1814343485
74	20390.44711909287	2743.99772920856	1036901.1285680841	278008.222083858
75	20118.853587507274	2704.404354694002	1039915.520478759	278526.4220392715
76	19853.36505588346	2665.7807753625643	1042858.23721184	279030.24193519825
77	19593.772908151564	2628.0918606655555	1045731.1615486388	279520.12913778
78	19339.878068546666	2591.3041236898125	1048536.136834558	279996.517975132
79	19091.490463243128	2555.385629462147	1051274.9666220066	280459.8299791409
80	18848.428517745753	2520.305909065289	1053949.4144533146	280910.47413666593
81	18610.518687331984	2486.0358791634353	1056561.2037690873	281348.8471483837
82	18377.59501805943	2452.547766563385	1059112.017928677	281775.3336936856
83	18149.49873605365	2419.8150374631005	1061603.5003305867	282190.3067002
84	17926.077863006933	2387.8123310692686	1064037.2546217747	282594.1276166593
85	17707.186855971388	2356.515397284364	1066414.844985736	282987.1466879549
86	17492.68626966047	2325.901038185483	1068737.79650009	283369.70323137083
87	17282.442439701626	2295.9470530439244	1071007.5955553914	283742.12591305206
88	17076.327185303475	2266.6321866428316	1073225.6903274455	284104.7330239206
89	16874.217529994894	2237.9360806752566	1075393.491296194	284457.8327542976
90	16675.995439180853	2209.8392280190374	1077512.371804875	284801.72346659994
91	16481.54757333741	2182.3229296958325	1079583.6686536756	285136.693965549
92	16290.765055792745	2155.3692543411134	1081608.682722699	285463.0237653966
93	16103.543254101434	2128.961000020776	1083588.6796195076	285780.98335373885
94	15919.781574089962	2103.081658240762	1085524.8903469488	286090.83445154736
95	15739.383265742197	2077.71538001071	1087418.5119874044	286392.83026909595
96	15562.25524014071	2052.8469438297343	1089270.7083999584	286687.2157575078
97	15388.307896730623	2028.4617254704106	1091082.6109273091	286974.22785569966
