	MAPK	MAPK_P	MAPK_PP	MKK	MKKK	MKKK_P	MKK_P	MKK_PP
15	104.83081237477931	51.138224520672374	144.0309631045475	296.16587916158727	93.752188705334	6.247811294665962	3.306956789029087	0.5271640493824836
16	138.5710839821946	56.248934272357694	105.17998174544688	294.126464987644	90.84714856741697	9.152851432583025	4.864649281518001	1.0088857308369765
17	171.0203387586828	59.24725519705436	69.73240604426205	289.1089424284448	84.99905360747698	15.00094639252304	8.408595255290217	2.482462316264069
18	197.4989243674112	59.82682213491952	42.67425349766854	275.2025506785038	72.61406772780414	27.385932272195877	17.013363009646827	7.784086311848444
19	201.030272544626	60.583817409614696	38.38591004575852	238.62057226080302	53.545150376859254	46.45484962314075	34.7499438233987	26.629483915797366
20	145.42123285119573	70.04877634948663	84.52999079931689	180.49411447718992	46.12138479945614	53.878615200543855	55.36384815072645	64.14203737208285
21	28.30311433241963	71.99988990391658	199.69699576366315	130.50744947096635	53.40589316778687	46.594106832213114	69.79024811496808	99.7023024140647
22	0.5655650850745971	3.4241065748741746	296.01032834005076	105.83310892898147	65.7050946595184	34.29490534048162	77.95672108995335	116.21016998106427
23	0.4710915872359469	3.0814300116516105	296.4474784011124	107.03981225852141	77.38914448681487	22.610855513185147	82.78213699457731	110.17805074690038
24	0.7423628379575491	4.038562983819783	295.2190741782225	129.2189764995227	86.86801900148453	13.131980998515534	85.49368028962353	85.28734321085291
25	1.8731229482744283	7.098684017138673	291.02819303458693	166.82648376523466	93.07874128001512	6.921258719984958	84.31854539262395	48.854970842140474
26	7.848778181122289	16.34757885175881	275.8036429671189	212.57389149588593	95.78330161564959	4.21669838435042	72.72450625254248	14.701602251570648
27	28.23219607474886	29.971277658449857	241.79652626680155	257.7609522796404	96.2655103260641	3.7344896739359466	39.925220164210565	2.313827556148207
28	57.2727117593523	40.61265674045382	202.11463150019418	288.85489811132743	95.73335391555894	4.266646084441116	10.037419119280607	1.1076827693913067
29	89.53698912935786	48.61279858954741	161.85021228109514	296.0119578218895	94.53633429724805	5.463665702751996	3.4300023854390314	0.5580397926708895
