time	A	E	G	R
59.0.2.0	12.51362832195096	50010.96459370892	19993446.839168187	49853.19041904787
60.0.800000000000004.0	12.51094849444826	50023.4652971659	19998929.822688203	49922.5635442129
62.0.400000000000006.0	12.508139976975148	50028.19360368388	20001155.478684667	49967.55555786824
64.0.	12.505401711074919	50027.69170567126	20001175.946728513	49994.50524775613
65.0.60000000000001.0	12.502856860504632	50023.87020253703	19999784.19869127	50008.448311358195
67.0.2.0	12.500573556264673	50018.131519569346	19997564.1795289	50013.31267649465
68.0.8.0	12.498581121263053	50011.47673214443	19994934.352855444	50012.103910304286
70.0.4.0	12.496882523257966	50004.59583630353	19992184.605208896	50007.07417137609
72.0.	12.495463745263416	49997.942441888204	19989506.861109458	49999.871370924804
73.0.60000000000001.0	12.494300682812632	49991.79439663836	19987019.991548073	49991.667491616354
75.0.2.0	12.4933640913536	49986.30209557038	19984789.70924902	49983.26654585139
76.0.80000000000001.0	12.492623022867884	49981.52628192147	19982844.173045322	49975.193610806906
78.0.4.0	12.492047113088764	49977.46707397247	19981186.00003436	49967.76690579581
80.0.	12.491608011612831	49974.0858072618	19979801.32915123	49961.15510262031
81.0.60000000000001.0	12.491280187461358	49971.32110008943	19978666.508493256	49955.42207939598
83.0.2.0	12.491041292106164	49969.100356210736	19977752.90143431	49950.56121713312
84.0.80000000000001.0	12.490872219998753	49967.347728036526	19977030.229982343	49946.52115078958
86.0.4.0	12.49075697235908	49965.98938606303	19976468.80205818	49943.22466133637
88.0.	12.49068240242447	49964.9567808404	19976040.904671513	49940.58215912309
89.0.60000000000001.0	12.490637898559854	49964.18844474308	19975721.58834631	49938.500978776305
91.0.2.0	12.490615044666107	49963.6307623498	19975489.019772403	49936.89149251992
92.0.80000000000001.0	12.490607284353759	49963.23803936383	19975324.53917936	49935.67085784853
94.0.4.0	12.490609605626076	49962.972118979524	19975212.525680553	49934.76504924513
96.0.	12.490618255690222	49962.80172936072	19975140.147004377	49934.1096822187
97.0.60000000000001.0	12.490630490434512	49962.701694259726	19975097.048746217	49933.650020045105
99.0.2.0	12.490644359611094	49962.65209865276	19975075.021686405	49933.34045711293
100.0.80000000000001.0	12.490658526466222	49962.63747061936	19975067.673026346	49933.14369519363
102.0.4.0	12.490672119155994	49962.64601777873	19975070.117878083	49933.02976764446
104.0.	12.490684610529524	49962.66893986368	19975078.700370856	49932.97501895792
105.0.60000000000001.0	12.490695722560924	49962.69982713772	19975090.748770136	49932.961110817
107.0.2.0	12.490705351719672	49962.73414623693	19975104.365587827	49932.974098773695
108.0.80000000000001.0	12.490713511773976	49962.76880973065	19975118.25142174	49933.00360397847
110.0.4.0	12.490720290842052	49962.80182251113	19975131.559896424	49933.04209046808
112.0.	12.490725819883297	49962.83199645457	19975143.780344397	49933.08424904002
113.0.60000000000001.0	12.490730250214014	49962.858724190424	19975154.644578923	49933.126482619096
115.0.2.0	12.490733738014393	49962.88180292286	19975164.05412229	49933.16648437702
116.0.80000000000001.0	12.490736434147538	49962.90129980479	19975172.02445743	49933.20289800337
118.0.4.0	12.490738477928769	49962.91745118049	19975178.643187065	49933.23504890742
120.0.	12.490739993760226	49962.93058894912	19975184.039354723	49933.262735338045
121.0.60000000000001.0	12.490741089781432	49962.941088265914	19975188.361567628	49933.286069138085
123.0.2.0	12.49074185788333	49962.949331726246	19975191.76293519	49933.30535686979
124.0.80000000000001.0	12.490742374594372	49962.9556860354	19975194.391183976	49933.32101320236
126.0.4.0	12.49074270247709	49962.96048793066	19975196.38261996	49933.33349962836
128.0.	12.490742891776053	49962.96403678667	19975197.858879816	49933.3432827035
129.0.6.0	12.490742982137835	49962.96659189851	19975198.925643124	49933.350807039424
131.0.20000000000002.0	12.490743004284198	49962.96837290591	19975199.672669202	49933.35647919848
132.0.8.0	12.490742981564962	49962.969562205355	19975200.17468019	49933.360659437836
134.0.4.0	12.490742931350129	49962.97030850481	19975200.492738	49933.36365892342
136.0.	12.49074286624388	49962.970730918125	19975200.675863415	49933.36574059661
137.0.6.0	12.490742795119015	49962.97092318345	19975200.762722395	49933.367122332354
139.0.20000000000002.0	12.490742723980643	49962.97095773406	19975200.783264827	49933.367981393916
140.0.8.0	12.490742656673811	49962.970889453805	19975200.76024383	49933.368459476354
142.0.4.0	12.490742595453202	49962.97075902929	19975200.710577164	49933.368667856004
144.0.	12.490742541433692	49962.97059586192	19975200.64653361	49933.368692328855
145.0.6.0	12.490742494940251	49962.97042054134	19975200.576743465	49933.368597747256
147.0.20000000000002.0	12.490742455774662	49962.97024690469	19975200.507041875	49933.36843205517
148.0.8.0	12.49074242341444	49962.970083719316	19975200.441159632	49933.36822978406
150.0.4.0	12.490742397157746	49962.9699360337	19975200.38127889	49933.36801501479
152.0.	12.49074237622579	49962.9698062431	19975200.328472685	49933.367803838126
153.0.60000000000002.0	12.490742359832577	49962.969694914864	19975200.283046033	49933.36760636117
155.0.20000000000002.0	12.49074234722991	49962.969601415556	19975200.244795833	49933.36742831463
156.0.8.0	12.490742337734186	49962.96952437723	19975200.21320466	49933.367272318384
158.0.4.0	12.490742330740058	49962.9694620356	19975200.18758184	49933.36713885927
160.0.	12.490742325724987	49962.96941246784	19975200.167163007	49933.367027032225
