	T	Tstar	Tstarstar	Ttot	V
52	999.0998259573794	0.657498868423119	0.00802169391130052	999.7653465197268	0.792307221562666
53	998.8837703850205	0.8152576952951587	0.009946618452895389	999.7089746987818	0.9824373570823615
54	998.6161468815434	1.0106428333225241	0.012330764154286277	999.6391204790335	1.2179283244469472
55	998.2848020811281	1.2525072083805942	0.015282241557480062	999.5525915310794	1.5094602634434027
56	997.8748009425223	1.5517220897483839	0.018933842400142675	999.4454568746842	1.8701522022049166
57	997.3678348695668	1.9216022406666813	0.023448256712592146	999.3128853669592	2.3160779431517873
58	996.7415264294865	2.3784029005687555	0.02902418160055332	999.148953511669	2.866870321219501
59	995.9686277656463	2.941888925719025	0.035903333049245666	998.9464200244277	3.546415097644657
60	995.0161158988866	3.635971151807596	0.04437831095583847	998.6964653616621	4.38362977548428
61	993.8442031954473	4.48939293152016	0.05480112405644123	998.388397251036	5.413308526934608
62	992.4053048355736	5.536431107687735	0.06759195849793877	998.0093279017713	6.676992505212402
63	990.6430386058249	6.81754952299491	0.08324746061474408	997.5438355894465	8.223793994860308
64	988.4913822915405	8.3799047327448	0.10234734111648074	996.9736343654135	10.111057197031206
65	985.8741851983327	10.277549610069695	0.1255574526098576	996.2772922610238	12.404673778227698
66	982.7053070204753	12.571123652219029	0.1536267946588933	995.4300574673646	15.178802324749467
67	978.8897647860182	15.326742850221462	0.187374955734296	994.4038825919854	18.514647150585105
68	974.3263507694554	18.61374764923322	0.22766579731862005	993.1677642160187	22.497881544215076
69	968.9122463528146	22.50093835590789	0.2753627485571179	991.688547457291	27.214255805183864
70	962.5501199919916	27.05098179782851	0.33126161897712586	989.9323634088082	32.74298120000861
71	955.157967951305	32.3128842811644	0.39599924590224733	987.8668514783826	39.14771570778395
72	946.6815642143877	38.31276368429189	0.4699402364047325	985.4642681350929	46.4653633400124
73	937.1085883770294	45.04379441120574	0.5530517805829364	982.705434568827	54.69365937964395
74	926.4826326475545	52.45685225790696	0.6447845920572692	979.5842694975267	63.77931388723703
75	914.9142359526062	60.454111884662396	0.7439873371979892	976.1123351744744	73.60941421513456
76	902.5856763384672	68.88799970283289	0.8488846049210454	972.3225606462291	84.00906962437793
77	889.7464620632985	77.56747792495362	0.9571443368279315	968.2710843250882	94.74789397030631
78	876.6980751172734	86.27214413532401	1.066043278933487	964.036262531539	105.5562235990095
79	863.7689608173196	94.77261400213489	1.1727144208032185	959.7142892402659	116.1495377041689
80	851.2836717957202	102.85354357336182	1.274433414668989	955.4116487837595	126.25685996509634
81	839.5318375064774	110.33472255223063	1.3688876215928703	951.2354476803096	135.6475618313381
82	828.7430186216282	117.08597381319412	1.454372935028259	947.2833653698566	144.15109457900724
83	819.0716531745941	123.03352904126945	1.5298862308966965	943.6350684467678	151.6664017986385
84	810.5936966537662	128.15783987411982	1.5951093865521386	940.3466459144457	158.16054479078653
85	803.3134303344855	132.48490454095824	1.6503086902307293	937.4486435656822	163.65886343698878
86	797.1773592742546	136.07400420351797	1.6961848492867497	934.947548327067	168.23015100933355
87	792.0912383099084	139.0048474972899	1.7337118120616002	932.8297976192675	171.97064852846512
88	787.9369288829273	141.36620540864726	1.7639917334540758	931.0671260250361	174.98959577350254
89	784.5868257422876	143.24715163238912	1.7881414562478004	929.6221188309322	177.3978909383455
90	781.914755758175	144.73117663823072	1.8072149511520328	928.4531473475656	179.30031991997382
91	779.8033014190934	145.89279674999148	1.8221576001798465	927.5182557692725	180.79095799284187
92	778.1478735938321	146.79617295124632	1.8337864901872356	926.7778330352739	181.9511693321826
93	776.8584330557694	147.4950137373951	1.842787599259586	926.1962343924295	182.84929840689102
94	775.859461033712	148.03333197757564	1.8497243571482727	925.7425173684313	183.54150312569618
95	775.088931582293	148.44659517261394	1.8550516075938641	925.390578362497	184.07313271690785
96	774.4967161432688	148.76299467654894	1.8591314047090004	925.1188422245226	184.48029441312715
97	774.0428584923766	149.0047168780308	1.8622489946896215	924.9098243650948	184.7914408357726
98	773.6958305180103	149.189076712399	1.8646271863366157	924.7495344167446	185.0288003436488
99	773.4309704054922	149.32950294906894	1.8664389015852254	924.6269122561455	185.20962610398897
100	773.2291140918561	149.43635539172413	1.8678176137676268	924.5332870973469	185.3472369165288
