	II	IIa	M	P2
72	0.038910933525855916	0.9217413132204365	0.03745202691319482	0.0018957263405148435
73	0.03719540672975889	0.9250405295945402	0.03586534000853963	0.0018987236671633068
74	0.03555551502875964	0.9281998608246211	0.03434305477827543	0.0019015693683457292
75	0.03398792378367003	0.9312249962932083	0.03288280978973765	0.00190427013338605
76	0.03248944537169938	0.9341214156842745	0.031482306587337604	0.0019068323566906681
77	0.0310570327027788	0.9368943946893792	0.030139310457089383	0.0019092621507548091
78	0.029687773035176973	0.9395490107585582	0.02885165084769844	0.001911565358568514
79	0.028378882048693644	0.9420901488830112	0.027617221502791587	0.0019137475655059176
80	0.02712769817243901	0.9445225073887795	0.026433980328079924	0.0019158141107038277
81	0.025931677185291123	0.9468506036835677	0.02529994903325022	0.0019177700978933038
82	0.02478838703293102	0.9490787799860928	0.024213212575181775	0.001919620405796779
83	0.023695502890761708	0.9512112089774385	0.02317191843377032	0.0019213696980319328
84	0.022650802430429762	0.9532518993963567	0.02217427574060889	0.0019230224326071354
85	0.021652161302861708	0.9552047015416701	0.021218554284488017	0.0019245828709825562
86	0.020697548818889144	0.9570733126821261	0.02030308341225233	0.001926055086734911
87	0.019785023819875517	0.9588612823649597	0.019426250841326317	0.0019274429738410552
88	0.018912730727568314	0.9605720176140783	0.018586501403753914	0.0019287502546020555
89	0.018078895776255856	0.9622087880078269	0.017782335728718245	0.001929980487201549
90	0.01728182340259968	0.963774730642648	0.017012308881807162	0.0019311370729478054
91	0.01651989279800313	0.9652728549689138	0.016275028969896042	0.0019322232631897374
92	0.01579155461122326	0.9667060475019458	0.015569155720902157	0.001933242165931521
93	0.015095327800475785	0.9680770764020006	0.014893399045378876	0.001934196752147331
94	0.014429796624000306	0.9693885959243234	0.014246517589860569	0.0019350898618183195
95	0.013793607755187726	0.9706431507434083	0.013627317291686609	0.001935924209719723
96	0.013185467533380362	0.9718431801426303	0.013034649933055847	0.001936702390935808
97	0.012604139334569203	0.9729910220748714	0.012467411704427372	0.001937426886134299
98	0.012048441056458163	0.9740889170953135	0.011924541781619166	0.0019381000666113845
99	0.011517242710933608	0.9751390121686221	0.011405020921325346	0.001938724199121267
100	0.011009464133150574	0.9761433643451415	0.010907870071238538	0.0019393014504717788
