time	ATIII	II	IIa	IIa_ATIII	IX	IXa	IXa_ATIII	IXa_VIIIa	IXa_VIIIa_X	TF	TFPI	TF_VII	TF_VIIa	TF_VIIa_ATIII	TF_VIIa_IX	TF_VIIa_X	TF_VIIa_Xa	TF_VIIa_Xa_TFPI	V	VII	VIII	VIIIa	VIIIa1_L	VIIIa2	VIIa	Va	X	Xa	Xa_ATIII	Xa_TFPI	Xa_Va	Xa_Va_II	mIIa	mIIa_ATIII
144.0.	2.236538967230082e-06	-1.1381400741339201e-22	2.382481004145922e-07	7.120867005809763e-07	9e-08	1.1126576205320192e-10	3.189339524574355e-11	2.5664675444625227e-11	4.117616725643308e-11	0	2.10601458733363e-09	0	0	0	0	0	0	0	5.717123615933682e-19	3.396696627939582e-10	1.172576380973323e-17	2.980328300501249e-10	3.3512631552305694e-10	3.351263155230568e-10	9.760330337206048e-09	1.1210767940412721e-09	1.316091151923669e-07	8.493534952967465e-09	6.772650693557499e-10	3.939854126663657e-10	1.8878923205387e-08	-1.2981593944007497e-24	2.5280093691009472e-14	4.5066517372433796e-07
156.0.	2.195159874898091e-06	-1.652317830838395e-25	1.972718023717641e-07	7.530630218873385e-07	9e-08	1.0844286647147161e-10	3.332372778425581e-11	2.67072161782075e-11	4.152618956606943e-11	0	1.8910201579539814e-09	0	0	0	0	0	0	0	-3.929028095348587e-18	6.649133935008221e-11	-1.8708894998347202e-17	2.752359417600098e-10	3.5653067120461273e-10	3.5653067120461263e-10	1.003350866064992e-08	8.264226624555477e-10	1.275360755543593e-07	1.1655236602961282e-08	1.0786044695937692e-09	6.089798420460143e-10	1.917357734147346e-08	-1.945914111165747e-27	7.237061307800088e-16	4.5066517501719135e-07
168.0.	2.161231799770402e-06	3.2260977319108142e-27	1.638637492593131e-07	7.864710756697212e-07	9e-08	1.061181672618065e-10	3.4696971819341154e-11	2.761770366539169e-11	4.156715725346552e-11	0	1.6421132146594131e-09	0	0	0	0	0	0	0	-3.84734221621132e-21	7.915866125585591e-12	-1.0544436834366479e-20	2.5443797191255915e-10	3.76377167179133e-10	3.763771671791329e-10	1.009208413387441e-08	6.550561088670718e-10	1.234446398024107e-07	1.4807709829144391e-08	1.597252534714006e-09	8.578867853405818e-10	1.934494389113675e-08	-4.8662718053887765e-27	1.7623130907735123e-17	4.5066517505334277e-07
180.0.	2.133204597888108e-06	3.9662930885021645e-26	1.364696949771393e-07	8.138651299683661e-07	9e-08	1.0421742068056179e-10	3.602415673985151e-11	2.8410124600107947e-11	4.134829797948427e-11	0	1.380225101764002e-09	0	0	0	0	0	0	0	-1.135028051027855e-22	5.520310886824294e-13	-5.001745646151453e-22	2.354438199035539e-10	3.9479775751735974e-10	3.9479775751735974e-10	1.0099447968911319e-08	5.383659303830659e-10	1.193626752067118e-07	1.787949459487867e-08	2.2290729325769282e-09	1.119774898235993e-09	1.946163406961702e-08	-6.289402024202526e-26	2.8693211659050177e-19	4.5066517505420796e-07
192.0.	2.109974010607191e-06	1.3143416773068141e-30	1.1398233283087448e-07	8.363524921149364e-07	9e-08	1.0268524939627782e-10	3.73135202531307e-11	2.9093011500032577e-11	4.090821885056492e-11	0	1.124786984080763e-09	0	0	0	0	0	0	0	5.6290062821938415e-27	3.47499227517975e-14	2.475354239688516e-26	2.1811111232974023e-10	4.118876573196686e-10	4.118876573196686e-10	1.009996525007725e-08	4.687701508615247e-10	1.153145605755994e-07	2.0861079637080892e-08	2.971008703411422e-09	1.375213015919231e-09	1.953122984913844e-08	1.5813601726130312e-32	-1.770194611830789e-20	4.5066517505420706e-07
204.0.	2.090456390642703e-06	1.980357010435114e-32	9.530890012813645e-08	8.550259248176579e-07	9e-08	1.0145652391059881e-10	3.857357150213708e-11	2.968038042953554e-11	4.028952415773512e-11	0	8.897699442592618e-10	0	0	0	0	0	0	0	-6.106630921844502e-28	1.03536701296511e-15	-2.685476934804112e-27	2.0222516657428764e-10	4.2780492883844853e-10	4.2780492883844853e-10	1.0099998964632979e-08	4.132148636226776e-10	1.113181128867642e-07	2.3724646483029394e-08	3.813935913930601e-09	1.610230055740733e-09	1.958678513637729e-08	2.009043839638843e-34	-4.26169110253436e-22	4.5066517505420616e-07
216.0.	2.074022439467662e-06	1.8296793346768319e-34	7.981697931800798e-08	8.705178456277863e-07	9e-08	1.0049435048279911e-10	3.980948987530708e-11	3.017670586143104e-11	3.951945378046974e-11	0	6.849496550166036e-10	0	0	0	0	0	0	0	-3.106347910893055e-28	2.0231458993111662e-17	-1.3660490759631382e-27	1.8768174447183183e-10	4.426220958862745e-10	4.426220958862744e-10	1.009999997976854e-08	3.7113034954246944e-10	1.0739040039705968e-07	2.6465429793249072e-08	4.754730360469722e-09	1.815050344983391e-09	1.9628869650457503e-08	2.0279789499125666e-36	-1.0451402130148051e-23	4.5066517505420616e-07
228.0.	2.060100148219331e-06	1.1351859773873649e-36	6.692942519508974e-08	8.834053997507048e-07	9e-08	9.976111940583242e-11	4.1026153709853904e-11	3.058787292395608e-11	3.862485396036498e-11	0	5.145049712140576e-10	0	0	0	0	0	0	0	3.83013685602038e-29	2.440435826073259e-19	1.684347116356061e-28	1.7435843167508912e-10	4.564288414405975e-10	4.564288414405974e-10	1.009999999975596e-08	3.383284561730995e-10	1.035449523497238e-07	2.907500540165489e-08	5.7882508220480286e-09	1.985495028785938e-09	1.966167154382687e-08	1.311434856421325e-38	-2.480562127450861e-25	4.5066517505420616e-07
240.0.	2.0482327708147777e-06	-5.210457378387358e-39	5.6184274384391516e-08	8.941505505614031e-07	9e-08	9.922449984056872e-11	4.222760703536679e-11	3.091878846514977e-11	3.762910465892254e-11	0	3.7839648123305735e-10	0	0	0	0	0	0	0	8.874944168771994e-30	1.873497710216827e-21	3.902839838691041e-29	1.621453335203642e-10	4.693067733555717e-10	4.693067733555717e-10	1.009999999999812e-08	3.122143365975606e-10	9.979282012169278e-08	3.154488562890202e-08	6.909275962576889e-09	2.1216035187669394e-09	1.968778566340241e-08	-6.203591498530567e-41	-5.870286382975818e-27	4.5066517505420616e-07
252.0.	2.038052548846676e-06	-1.8218062195573732e-40	4.7208406622477775e-08	9.031264183233169e-07	9e-08	9.88564721765657e-11	4.341721942031135e-11	3.1173640231389277e-11	3.655266817174194e-11	0	2.7367216466597405e-10	0	0	0	0	0	0	0	-2.6408065935948254e-31	9.122153346721992e-24	-1.1613277999114061e-30	1.5094338734938832e-10	4.81330304247489e-10	4.81330304247489e-10	1.009999999999999e-08	2.910933747470445e-10	9.614290528776433e-08	3.386686702709716e-08	8.112440556379767e-09	2.226327835334021e-09	1.9708906625252922e-08	-2.1458418625576662e-42	-1.383360526552444e-28	4.5066517505420616e-07
264.0.	2.029261686220271e-06	-2.475357912184213e-42	3.969849714065818e-08	9.106363278051362e-07	9e-08	9.863259973428627e-11	4.45978046665245e-11	3.1356096306471235e-11	3.541349929272662e-11	0	1.9575326688710133e-10	0	0	0	0	0	0	0	-1.9123568708505034e-32	2.580540007588027e-26	-8.409815479717996e-32	1.406630634485766e-10	4.925673409522346e-10	4.925673409522346e-10	1.009999999999999e-08	2.7380910485465e-10	9.260222508338245e-08	3.603371067334675e-08	9.392213115719806e-09	2.304246733112893e-09	1.972619089514531e-08	-2.9478716127496726e-44	-3.2504616483782715e-30	4.5066517505420616e-07
276.0.	2.021617910511881e-06	-2.457450740729106e-44	3.34065920150334e-08	9.169282329307611e-07	9e-08	9.853144926243672e-11	4.577171387428364e-11	3.1469462275702984e-11	3.422737458758559e-11	0	1.3949983938805211e-10	0	0	0	0	0	0	0	-2.2540984820562252e-33	4.2015420728473173e-29	-9.912582105319445e-33	1.312232674022428e-10	5.030798957344782e-10	5.030798957344782e-10	1.009999999999999e-08	2.5954239584836174e-10	8.917614197588307e-08	3.803976309548931e-08	1.074290978927642e-08	2.3605001606119413e-09	1.974045760415159e-08	-2.9030805663428492e-46	-7.62107944860237e-32	4.5066517505420616e-07
288.0.	2.014923369664082e-06	-1.8316854812810043e-46	2.812904593568156e-08	9.222057790101129e-07	9e-08	9.853412740799296e-11	4.694090929080987e-11	3.151680523228438e-11	3.3008158068921956e-11	0	9.996143063318685e-11	0	0	0	0	0	0	0	-1.3013323614885878e-34	2.334838738408521e-32	-5.722725466506392e-34	1.225504065694796e-10	5.12924630129324e-10	5.12924630129324e-10	1.009999999999999e-08	2.476947861706795e-10	8.586856417577169e-08	3.9881348520656273e-08	1.2158735362306961e-08	2.4000385693668073e-09	1.9752305213829284e-08	-2.1834448877765568e-48	-1.78358859324797e-33	4.5066517505420616e-07
300.0.	2.009015989411046e-06	-8.439706681006667e-49	2.369793627169102e-08	9.266368886741034e-07	9e-08	9.86239078063188e-11	4.8107023631087473e-11	3.150105057437963e-11	3.1768017988223446e-11	0	7.281373712057362e-11	0	0	0	0	0	0	0	-4.185466072275664e-37	3.3686582445532454e-35	-1.8405812528801857e-36	1.145775904366507e-10	5.221533410007562e-10	5.221533410007562e-10	1.009999999999999e-08	2.3781775424386173e-10	8.26821225708302e-08	4.1556901065534884e-08	1.3633839837011131e-08	2.427186262879419e-09	1.9762182245756098e-08	-9.986974323580434e-51	-4.1680889735766664e-35	4.5066517505420616e-07
312.0.	2.0037626757556406e-06	2.2519163995269912e-51	1.9974327410767482e-08	9.303604975350272e-07	9e-08	9.878592937734303e-11	4.927140829219904e-11	3.142505615401529e-11	3.051760617645246e-11	0	5.453951024691267e-11	0	0	0	0	0	0	0	-7.605306594545742e-38	-3.17040537025254e-37	-3.3445001489072773e-37	1.0724394096722601e-10	5.308133967023168e-10	5.308133967023168e-10	1.009999999999999e-08	2.2956815867100291e-10	7.961832829502266e-08	4.3066881520886567e-08	1.5162380246832223e-08	2.4454604897530802e-09	1.977043184132895e-08	2.68947315401025e-53	-9.728563692135723e-37	4.5066517505420616e-07
324.0.	1.999053920900224e-06	1.119081870659358e-52	1.684293619671843e-08	9.33491888749076e-07	9e-08	9.900695082300353e-11	5.043517298787348e-11	3.129166734915492e-11	2.926620883997812e-11	0	4.2433708047920606e-11	0	0	0	0	0	0	0	-9.04241393323061e-40	-6.376660433839646e-39	-3.976481757123399e-39	1.0049399394331619e-10	5.389481298675613e-10	5.389481298675613e-10	1.009999999999999e-08	2.2267908947918982e-10	7.667771415127036e-08	4.441355231391226e-08	1.673858012350454e-08	2.4575662919520723e-09	1.9777320910520762e-08	1.3313148018261552e-54	-2.268506932807371e-38	4.5066517505420616e-07
336.0.	1.994799490146868e-06	1.637490749000529e-54	1.4207871414401601e-08	9.361269535313928e-07	9e-08	9.927514963106469e-11	5.159921868969726e-11	3.1103755957377346e-11	2.802187572187111e-11	0	3.450886706604204e-11	0	0	0	0	0	0	0	-3.0147081870730473e-41	-1.509062858374755e-41	-1.3257455927603128e-40	9.427717605044902e-11	5.465971922703135e-10	5.465971922703135e-10	1.009999999999999e-08	2.1694012961282032e-10	7.385996233482771e-08	4.5600682737287564e-08	1.8356782048841753e-08	2.465491132933952e-09	1.9783059870387143e-08	1.954887168029296e-56	-5.2854876780330345e-40	4.5066517505420616e-07
348.0.	1.990924950374492e-06	1.7150560041074e-56	1.1989205881109779e-08	9.383456190646848e-07	9e-08	9.95799564040838e-11	5.276426529682893e-11	3.086424535116579e-11	2.679153294793224e-11	0	2.935929489306461e-11	0	0	0	0	0	0	0	-1.1146463716666451e-42	3.4742710974622763e-43	-4.9017609264028325e-42	8.854734538387305e-11	5.537968763170401e-10	5.537968763170401e-10	1.009999999999999e-08	2.1218355720536e-10	7.1164020306914e-08	4.663323977091805e-08	2.001149124131846e-08	2.470640705106929e-09	1.9787816442794602e-08	2.0420621750562667e-58	-1.23072750188254e-41	4.5066517505420616e-07
360.0.	1.9873688598268092e-06	1.37889656772536e-58	1.0120200577560661e-08	9.402146243682338e-07	9e-08	9.99119172634e-11	5.3930875114701803e-11	3.057612402509985e-11	2.558108359680942e-11	0	2.602206622689119e-11	0	0	0	0	0	0	0	-7.588760794207731e-44	3.469496939361814e-45	-3.3372281544770232e-43	8.326238535756057e-11	5.605804070205419e-10	5.605804070205419e-10	1.009999999999999e-08	2.0827443236065914e-10	6.858820621141552e-08	4.7517099327940263e-08	2.169740987563499e-08	2.4739779337731052e-09	1.9791725567639293e-08	1.646684551604099e-60	-2.864348045304418e-43	4.5066517505420616e-07
372.0.	1.984080481803188e-06	7.610985085667238e-61	8.545044120516687e-09	9.417897808252777e-07	9e-08	1.002625785777852e-10	5.5099472969687794e-11	3.0242449448650876e-11	2.4395499003887488e-11	0	2.385501307594306e-11	0	0	0	0	0	0	0	-8.073254329433903e-45	9.823719466303712e-48	-3.550288687478055e-44	7.838384382620367e-11	5.669782077212698e-10	5.669782077212698e-10	1.009999999999999e-08	2.0510331038546901e-10	6.61303048836015e-08	4.8258795096499684e-08	2.340946284435635e-08	2.476144986924052e-09	1.979489668961449e-08	9.069297866266813e-63	-6.663998493998975e-45	4.5066517505420616e-07
384.0.	1.981017916421721e-06	3.755776903764867e-64	7.217002905408853e-09	9.431178220403853e-07	9e-08	1.006243894434417e-10	5.627036359667305e-11	2.986634397905282e-11	2.32389029808441e-11	0	2.2439283308734816e-11	0	0	0	0	0	0	0	-1.2219970849169298e-45	-1.4211427491722358e-49	-5.3738458477031055e-45	7.387661069633149e-11	5.730181423437836e-10	5.730181423437836e-10	1.009999999999999e-08	2.0258078696273183e-10	6.378765524675868e-08	4.8865309800442804e-08	2.514281612008919e-08	2.477560716691261e-09	1.979741921303722e-08	4.4806113193177223e-66	-1.5500030476155812e-46	4.5066517505420616e-07
396.0.	1.978146568201961e-06	-6.124357795140329e-65	6.096900916274164e-09	9.442379240295203e-07	9e-08	1.0099061827451821e-10	5.744374679295092e-11	2.945098445783659e-11	2.21146504747063e-11	0	2.1506524274058167e-11	0	0	0	0	0	0	0	-2.4807534639373242e-46	-2.4093960626661583e-51	-1.0909344110393091e-45	6.970862848660177e-11	5.787257365808676e-10	5.787257365808676e-10	1.009999999999999e-08	2.006333555347859e-10	6.155722971230449e-08	4.9343906549510604e-08	2.68928889675191e-08	2.4784934757259375e-09	1.9799366644465172e-08	-7.310155645034507e-67	-3.604653164059839e-48	4.5066517505420616e-07
408.0.	1.9754378850154637e-06	-1.045010842118169e-66	5.151865902029347e-09	9.45182959043765e-07	9e-08	1.013552806082322e-10	5.861973072271538e-11	2.8999586994202192e-11	2.1025401674862517e-11	0	2.0887133476861818e-11	0	0	0	0	0	0	0	-6.450957113843797e-47	-1.5402637927778351e-53	-2.83686839580661e-46	6.585063126008535e-11	5.841243800708628e-10	5.841243800708628e-10	1.009999999999999e-08	1.992002253408289e-10	5.9435706075987924e-08	4.970199472531218e-08	2.8655361155842813e-08	2.479112866523133e-09	1.9800799774659132e-08	-1.2485004782559641e-68	-8.382302782326006e-50	4.5066517505420616e-07
420.0.	1.9728683175134798e-06	-1.187423761395726e-68	4.354292006151043e-09	9.459805329396434e-07	9e-08	1.0171307582763881e-10	5.979834367305382e-11	2.851538831628743e-11	1.997319218303257e-11	0	2.047490500899463e-11	0	0	0	0	0	0	0	-2.0668813565185942e-47	-9.406314470976703e-57	-9.089303020797443e-47	6.227590813840706e-11	5.892355113622863e-10	5.892355113622863e-10	1.009999999999999e-08	1.98230854700681e-10	5.7419532324256207e-08	4.9947024094273316e-08	3.042617614899721e-08	2.4795250949910013e-09	1.980176914529927e-08	-1.417819860222262e-70	-1.949249842842765e-51	4.5066517505420616e-07
432.0.	1.970418458557837e-06	-1.0389044868039849e-70	3.6809791722210983e-09	9.466538457735733e-07	9e-08	1.020593309889269e-10	6.097954449838392e-11	2.800162494127877e-11	1.895949957142335e-11	0	2.020363044623776e-11	0	0	0	0	0	0	0	-7.8979447523889e-48	9.975816543480747e-58	-3.473194669330016e-47	5.896008825346342e-11	5.94078787233848e-10	5.94078787233848e-10	1.009999999999999e-08	1.976830238011031e-10	5.550498471971107e-08	5.0086401365079454e-08	3.220154106988551e-08	2.479796369553757e-09	1.980231697619885e-08	-1.2412527151822929e-72	-4.5332171388822185e-53	4.5066517505420616e-07
444.0.	1.968072330243594e-06	-6.680483974695347e-73	3.112417551851017e-09	9.472224073939435e-07	9e-08	1.023899503318132e-10	6.216323194108696e-11	2.7461511275577878e-11	1.79853064515351e-11	0	2.003200385870758e-11	0	0	0	0	0	0	0	-3.501802830609479e-48	1.368156236769285e-59	-1.539950367548319e-47	5.5880944523495565e-11	5.986722377494052e-10	5.986722377494052e-10	1.009999999999999e-08	1.9752131847965162e-10	5.3688219513424155e-08	5.012742442614747e-08	3.397792407631532e-08	2.479967996141288e-09	1.9802478681520302e-08	-7.980280463180246e-75	-1.054408933702701e-54	4.5066517505420616e-07
456.0.	1.965816792390851e-06	-1.8538633103877342e-75	2.6321913036620603e-09	9.477026336421323e-07	9e-08	1.027013693686177e-10	6.334925297819456e-11	2.6898217607525906e-11	1.705116004567518e-11	0	1.993408280406046e-11	0	0	0	0	0	0	0	-1.7603743104751852e-48	1.010321646970169e-61	-7.741409775395769e-48	5.301821407717324e-11	6.0303240826964e-10	6.0303240826964e-10	1.009999999999999e-08	1.9771592962468053e-10	5.196531862693754e-08	5.007723056561317e-08	3.575204965983248e-08	2.480065917195935e-09	1.980228407037526e-08	-2.2149404763132707e-77	-2.45302663462958e-56	4.5066517505420616e-07
468.0.	1.9636410513255292e-06	2.84995407742921e-77	2.226481018179166e-09	9.481083439276153e-07	9e-08	1.0299051270335711e-10	6.453741031476516e-11	2.631484880136871e-11	1.6157228180522538e-11	0	1.989335784021808e-11	0	0	0	0	0	0	0	-9.839721570223971e-49	3.180309426102575e-64	-4.32710908683635e-48	5.035343350828591e-11	6.071744895098376e-10	6.071744895098376e-10	1.009999999999999e-08	1.982416965756026e-10	5.033232965163948e-08	4.99427558922612e-08	3.7520892282334757e-08	2.4801066421597772e-09	1.980175830342434e-08	3.405266342201492e-79	-5.7083402993356036e-58	4.5066517505420616e-07
480.0.	1.9615362516834e-06	6.366817628946394e-79	1.8836478458697283e-09	9.484511770999247e-07	9e-08	1.0325475493731971e-10	6.572746912206064e-11	2.571442434590926e-11	1.530335159472394e-11	0	1.989911076859053e-11	0	0	0	0	0	0	0	-6.0156240888406395e-49	-3.569290866521505e-66	-2.6454266487157802e-48	4.786978743780132e-11	6.111124366215803e-10	6.111124366215803e-10	1.009999999999999e-08	1.9907734030819492e-10	4.8785300522856795e-08	4.973070388327817e-08	3.928166869334721e-08	2.4801008892314042e-09	1.9800922659691743e-08	7.606046864839483e-81	-1.328790751266074e-59	4.5066517505420616e-07
492.0.	1.959495137094653e-06	8.018757001930659e-81	1.5938854743643712e-09	9.487409394714301e-07	9e-08	1.0349188418060391e-10	6.691916310126733e-11	2.5099860260031417e-11	1.4489092458111158e-11	0	1.9944197402968102e-11	0	0	0	0	0	0	0	-3.967065923734758e-49	-7.0206522564833144e-68	-1.7445541404969632e-48	4.555196910018752e-11	6.148590781816849e-10	6.148590781816849e-10	1.009999999999999e-08	2.002048450857101e-10	4.732030923659008e-08	4.944752149683146e-08	4.1031829216609136e-08	2.4800558025970284e-09	1.9799795154914232e-08	9.584352372686912e-83	-3.094301041375096e-61	4.5066517505420616e-07
504.0.	1.957511768115808e-06	7.644674102600343e-83	1.348928568380139e-09	9.489858963774144e-07	9e-08	1.037000678170835e-10	6.81121999401266e-11	2.447395321385524e-11	1.371377902894866e-11	0	2.002370402610432e-11	0	0	0	0	0	0	0	-2.789073759751581e-49	-7.278761496428002e-70	-1.2265211290326361e-48	4.338605186602711e-11	6.184262158911842e-10	6.184262158911842e-10	1.009999999999999e-08	2.0160895690925762e-10	4.593348898561342e-08	4.909938164366116e-08	4.2769048252631963e-08	2.4799762959738924e-09	1.9798391043090682e-08	9.131489062235687e-85	-7.208599999988068e-63	4.5066517505420616e-07
