time	A	I1	I2	S
39.0.	1715.1819788461994	7570.512069901312	2357.1050478384414	2152.0979723859973
39.0.6.0	1715.3751762112272	7568.20400484585	2363.586252720678	2152.9936560553624
40.0.199999999999996.0	1715.5621402801814	7565.975276314319	2369.848486524298	2153.8590873142525
40.0.8.0	1715.7430646724529	7563.823184500672	2375.899015686525	2154.69526617596
41.0.4.0	1715.9181367119843	7561.745116420882	2381.74487497945	2155.50316150443
42.0.	1716.0875377742348	7559.7385439564305	2387.3928741658174	2156.2837117910567
42.0.6.0	1716.2514435893233	7557.80102180215	2392.8496045273896	2157.0378259354443
43.0.199999999999996.0	1716.410024508427	7555.9301853466095	2398.121445261455	2157.766384026411
43.0.8.0	1716.5634457393824	7554.123748508509	2403.2145697420947	2158.4702381200873
44.0.4.0	1716.7118675565057	7552.379501548623	2408.1349516437062	2159.150213012472
45.0.	1716.8554454888174	7550.695308873353	2412.8883709250713	2159.807107004219
45.0.6.0	1716.9943304902056	7549.069106843227	2417.480419672926	2160.441692655834
46.0.199999999999996.0	1717.1286690944655	7547.498901597133	2421.9165078045717	2161.0547175317533
46.0.8.0	1717.2586035576755	7545.982766901122	2426.2018686295914	2161.6469049320644
47.0.4.0	1717.3842719899599	7544.518842028837	2430.3415642711275	2162.2189546108757
48.0.	1717.505808478339	7543.105329679199	2434.340490947603	2162.771543480538
48.0.6.0	1717.623343202086	7541.74049393575	2438.2033841160546	2163.305326301099
49.0.199999999999996.0	1717.7370025417504	7540.42265827103	2441.934823478526	2163.820936354525
49.0.8.0	1717.846909182821	7539.150203598494	2445.5392378532165	2164.3189861033547
50.0.4.0	1717.9531822148163	7537.92156637379	2449.0209099122553	2164.800067833555
51.0.	1718.0559372264538	7536.735236746583	2452.3839807881564	2165.2647542814566
51.0.6.0	1718.155286397431	7535.589756763652	2455.6324545511366	2165.713599244709
52.0.199999999999996.0	1718.2513385872464	7534.483718623546	2458.7702025595963	2166.1471381772767
52.0.8.0	1718.344199421412	7533.4157629827705	2461.800967686149	2166.565888768553
53.0.4.0	1718.4339713753393	7532.384577313199	2464.7283684216673	2166.970351506709
54.0.	1718.5207538561235	7531.388894310165	2467.5559028598677	2167.3610102264524
54.0.6.0	1718.6046432824037	7530.427490350551	2470.28695256498	2167.7383326413847
55.0.199999999999996.0	1718.685733162446	7529.4991839999775	2472.9247863251258	2168.102770861187
55.0.8.0	1718.7641141705553	7528.6028345681625	2475.4725637939814	2168.4547618938873
56.0.4.0	1718.8398742219074	7527.737340711392	2477.93333902337	2168.7947281334677
57.0.	1718.9130985458646	7526.901639080982	2480.3100638893934	2169.1230778331064
57.0.599999999999994.0	1718.9838697578293	7526.094703016566	2482.605591414715	2169.4402055643377
58.0.199999999999996.0	1719.0522679296748	7525.315541283031	2484.822678989607	2169.7464926624443
58.0.8.0	1719.1183706587753	7524.56319684987	2486.96399149432	2170.0423076583843
59.0.4.0	1719.1822531356704	7523.836745711758	2489.032104325357	2170.328006697562
60.0.	1719.2439882103668	7523.135295749097	2491.0295063281565	2170.603933945781
