time	M	MStar	T	TStar	V
2299.0.5.0	2413.4348937870536	26.063494725218742	274.7559193393416	23.681011111182897	754.6962555441262
2336.0.	2536.331995435964	28.08856547673809	265.2282233109587	23.820231477596383	786.3997755471888
2372.0.5.0	2667.164015661256	30.326933173764154	255.46340138162898	23.95853019493037	821.1947492476404
2409.0.	2806.56554904187	32.808790918821245	245.4670975399033	24.095384194201657	859.5124075141849
2445.0.5.0	2955.2268508450884	35.569735138699215	235.24751560287	24.230210845364986	901.8616632118424
2482.0.	3113.898176752618	38.65193889417433	224.81582387752644	24.362366091699563	948.8461484754247
2518.0.5.0	3283.3941334147576	42.10562505672647	214.18659193035927	24.49114399828372	1001.1856346892433
2555.0.	3464.5978943276746	45.99092742139952	203.37825219406744	24.615778263163016	1059.743124051954
2591.0.5.0	3658.465073730376	50.380256977620476	192.41357447890766	24.735446349066667	1125.5593269829967
2628.0.	3866.0269687059963	55.36133041417341	181.32013549234713	24.849276993601265	1199.8968203349896
2664.0.5.0	4088.392769937742	61.04107278592573	170.13075811517055	24.95636193120007	1284.29697955736
2701.0.	4326.750195953169	67.55068227440186	158.88388658341918	25.055772678256975	1380.6538825018902
2737.0.5.0	4582.363812531294	75.05225100535498	147.62385424110929	25.146583160728657	1491.3109218139305
2774.0.	4856.5700422165355	83.74748480618358	136.40099104549353	25.22789874646966	1619.1880227227725
2810.0.5.0	5150.767526112194	93.88927532752646	125.27150983105987	25.29889183898502	1767.9504148614265
2847.0.	5466.401039007381	105.79717751505422	114.29710559651502	25.3588435392135	1942.2342474417326
2883.0.5.0	5804.9365320782035	119.87827417725592	103.54420325391887	25.407189980898952	2147.9505499566985
2920.0.	6167.82401420716	136.655526327417	93.08279948172198	25.44357080965764	2392.6979821158857
2956.0.5.0	6556.443777100149	156.80659945368424	82.98486599429467	25.467876039188933	2686.3277431910756
2993.0.	6972.029760808886	181.21744756518513	73.32231645227003	25.48028637026429	3041.7227503872177
3029.0.5.0	7415.561407097481	211.05680909486628	64.1645862083872	25.481301332000413	3475.880372717964
3066.0.	7887.611812790205	247.88047362015396	55.57592956425278	25.47174960978232	4011.427289380677
3102.0.5.0	8388.134894266223	293.7780515121803	47.61259514301527	25.4527769710892	4678.751315328969
3139.0.	8916.166992219543	351.58042500132296	40.3200871166694	25.425809325247883	5519.014200525247
3175.0.5.0	9469.408216661937	425.1534597300736	33.730747136937524	25.392491475409475	6588.417036287465
3212.0.	10043.635449897196	519.8129705218339	27.86189209165409	25.354605480481702	7964.226954177557
3248.0.5.0	10631.88300146315	642.9063231903032	22.7147118748467	25.313975578522005	9753.22538547678
3285.0.	11223.312331319354	804.6134414623751	18.274073085275216	25.272368657511556	12103.347024738752
3321.0.5.0	11801.69059428801	1019.0135224113684	14.509294501844522	25.231399916893753	15219.188182907064
3358.0.	12343.437093757531	1305.4181161182912	11.375869399225863	25.192452624698724	19381.40732308394
3394.0.5.0	12815.3362329991	1689.834461724062	8.818017113553289	25.156618965453006	24968.06744662894
3431.0.	13172.361205674943	2206.104937495265	6.771862563100968	25.124666452249272	32471.371402118682
3467.0.5.0	13356.745568685186	2895.656971267095	5.16897629160532	25.09703152219353	42494.37916489444
3504.0.	13300.533075555993	3803.880121652321	3.939968195609338	25.073839170817763	55698.94866627412
3540.0.5.0	12934.905327345878	4970.371377992979	3.017822050062259	25.05494507502667	72664.721739882
3577.0.	12209.080183716716	6411.129802414947	2.340689503122405	25.03999456266435	93630.77299700252
3613.0.5.0	11116.833448680669	8095.58407523828	1.853929954268029	25.02849133265862	118160.76576358276
3650.0.	9719.040654578186	9930.256095793162	1.511280452556509	25.019867925634653	144902.19627773538
