time	CC	CCPT	CLK	PDP	PER	PT	TIM	VRI	clkm	clkp	pdpm	pdpp	perm	perp	prcpdp	prcper	prct	prcv	prpc	prvc	timm	timp	vrim	vrip
20.0.16.0	0.047777299746468	0.48928420231921904	3.167609380956071	4.362484036150211	4.402495175081637	4.612852526655186	4.402495175081637	3.981695944109146	0.23164961404327103	0.003185	0.354216672647439	0.003185	0.284866042546157	0.003185	0.08936575005579901	0.02453282467234	0.02453282467234	0.028356413390214004	0.38508200581497504	0.5402964129189101	0.284866042546157	0.003185	0.318995049886842	0.003185
20.0.88.0	0.05640835387372001	0.49713200416608205	3.223777778354531	4.346418059250117	4.190450529934349	3.969694632209968	4.190450529934348	3.8395827561948783	0.235631200761472	0.003185	0.34846211926638604	0.003185	0.277030989664501	0.003185	0.082518244953244	0.022612997167613003	0.022612997167613003	0.026547207101764003	0.391830341116007	0.532005361296362	0.277030989664501	0.003185	0.30733276365808904	0.003185
21.0.599999999999998.0	0.069064914857727	0.5049382270696341	3.282536419593087	4.324528472940456	3.957432500409614	3.293005071942666	3.957432500409611	3.700420420457735	0.23968644967195402	0.003185	0.34241120379156403	0.003185	0.26931812637601704	0.003185	0.07677359229410001	0.021493454058711	0.021493454058711	0.025738918070081003	0.398491457867219	0.5237246234798391	0.26931812637601704	0.003185	0.296061707367032	0.003185
22.0.32.0	0.08870652525196801	0.512301017867637	3.343819762741814	4.297117849101513	3.706105672214835	2.6009836681773812	3.706105672214833	3.565732903471699	0.24375812121686002	0.003185	0.33616070246370505	0.003185	0.26181707054811	0.003185	0.072234517204496	0.021273297937172003	0.021273297937172003	0.026089685902656003	0.40498448443307905	0.5155484741785631	0.26181707054811	0.003185	0.28531057205503	0.003185
23.0.04.0	0.12192722897208401	0.5184113555265291	3.408448507689233	4.264591508941729	3.440340993377639	1.914426119546178	3.440340993377639	3.437161985295971	0.247791242558968	0.003185	0.32982765458780405	0.003185	0.254635141902328	0.003185	0.06917198425319901	0.022233615071088002	0.022233615071088002	0.028012987500839002	0.411225261516429	0.507579280794712	0.254635141902328	0.003185	0.27523960091180505	0.003185
23.0.759999999999998.0	0.18575971497537402	0.521140983902299	3.479554668286144	4.227485163166555	3.1676447832810712	1.262386197360951	3.167644783281072	3.316799713405871	0.251730427411206	0.003185	0.32357240716836405	0.003185	0.24792727599799202	0.003185	0.06826002913507101	0.025086996578975004	0.025086996578975004	0.032530395255732	0.417116783394735	0.49994191262922	0.24792727599799202	0.003185	0.26609164187648104	0.003185
24.0.48.0	0.32985115560376804	0.51423356814135	3.567293564071081	4.186539139987434	2.907068827658195	0.700265836135719	2.907068827658197	3.20795292499988	0.255514854510326	0.003185	0.317659212193841	0.003185	0.24197260429921102	0.003185	0.07129870676602801	0.031754224229759	0.031754224229759	0.042363474396932006	0.422529120157041	0.49281500143969303	0.24197260429921102	0.003185	0.25832223906150004	0.003185
25.0.2.0	0.6650781646803411	0.48970160550586306	3.698972008534347	4.142896751063568	2.704970144037914	0.33013999310082104	2.7049701440379152	3.117097536167128	0.25906743894308404	0.003185	0.31261212034311003	0.003185	0.23737110562596	0.003185	0.08299842807374201	0.047253834676406	0.047253834676406	0.06453129428970801	0.427250798966925	0.48650821594789906	0.23737110562596	0.003185	0.252928221325012	0.003185
25.0.919999999999998.0	1.214367620549664	0.467180479576894	3.900007692457693	4.098524151660595	2.60169564059397	0.17281760343507901	2.601695640593972	3.057397110788239	0.26226934708342803	0.003185	0.309382357036387	0.003185	0.23525395444739902	0.003185	0.110473606827655	0.07883268005758301	0.07883268005758301	0.108726355511484	0.430875713224223	0.48163277046832703	0.23525395444739902	0.003185	0.25175782788785	0.003185
26.0.64.0	1.820277546050969	0.46174046093471505	4.140729590633835	4.056475815216041	2.571138597394149	0.11417128803279601	2.571138597394149	3.0476676150571	0.264912560551931	0.003185	0.308913779956396	0.003185	0.236745556377591	0.003185	0.155499761632359	0.127267143245131	0.127267143245131	0.174637311417842	0.43267567758496805	0.479236043702212	0.236745556377591	0.003185	0.256487295682068	0.003185
