	APC	HC	HC3	HC36	HC5	HC53	HC536	HC56	LC	LC_APC	Va	Va3	Va36	Va36_APC	Va3_APC	Va5	Va53	Va536	Va536_APC	Va53_APC	Va56	Va56_APC	Va5_APC	VaA3	VaA36	VaA53	VaA536	VaLCA1	VaLCA1_APC	Va_APC
21	3.546913403707567e-10	1.5538725914976402e-10	1.7120752595337602e-12	6.664301205465945e-16	4.331154399490648e-10	4.996164823332462e-11	1.9005299462822814e-13	1.1548516630949028e-12	6.107006678844317e-10	3.082132579509897e-11	9.13515431943627e-10	3.019578466505822e-11	1.4136779973514305e-14	7.064047189476577e-16	1.3397145980257557e-12	9.143076703271359e-08	1.0568590710114148e-08	6.531035663351789e-11	5.901459452009526e-12	8.969735002422245e-10	4.481385974286501e-10	2.3688341399811797e-11	4.281882037953869e-09	2.9604609476829896e-09	1.1528781042527148e-12	8.737736447741027e-08	3.345898271096811e-10	8.628745862220788e-08	4.38610950809931e-09	1.8592065684095085e-11
22	3.546913403708554e-10	1.5555064153980315e-10	1.717910222878456e-12	6.691688537160985e-16	4.5167379168639574e-10	5.21129961450685e-11	2.0359890491881796e-13	1.248128424772349e-12	6.306704643413433e-10	3.183727175134716e-11	7.080014566756364e-10	2.683307035919193e-11	1.2602481285992616e-14	6.058606733895022e-16	1.1137132478290376e-12	8.84915379972761e-08	1.0289146967591304e-08	6.597044805519783e-11	5.938559262779464e-12	8.705640977530783e-10	4.5576007040929206e-10	2.3950363931471717e-11	4.139611577263983e-09	2.961979838562198e-09	1.1542875746119922e-12	9.092380978986961e-08	3.576973864508928e-10	8.968675826318166e-08	4.557883039275641e-09	1.440943128225446e-11
23	3.5469134037089085e-10	1.5567649751066482e-10	1.7231427477179513e-12	6.716330331546492e-16	4.696309665979763e-10	5.420762941747995e-11	2.1727139620799487e-13	1.3428698041656923e-12	6.499794536947958e-10	3.281959541244977e-11	5.487052229050759e-10	2.433187364161452e-11	1.146435049317155e-14	5.297328714592704e-16	9.40834986425712e-13	8.561316777883658e-08	1.0019796404293264e-08	6.654199472763625e-11	5.968039524746323e-12	8.450756350327031e-10	4.6236569804091144e-10	2.416768407851919e-11	4.0013876884742805e-09	2.962130406983821e-09	1.1550932524838466e-12	9.434936530350946e-08	3.8092190237231393e-10	9.296979144988067e-08	4.723781256237384e-09	1.1167396149643724e-11
24	3.5469134037087585e-10	1.5577320680905326e-10	1.7279289026221226e-12	6.738945710171961e-16	4.870003022772867e-10	5.6247639006170574e-11	2.310529168556333e-13	1.4388719704677357e-12	6.686502297184311e-10	3.376944605859569e-11	4.2528339876939886e-10	2.249419693215421e-11	1.0631685585097915e-14	4.724742494388488e-16	8.090820309129783e-13	8.280235914234233e-08	9.760551857950346e-09	6.703183912606105e-11	5.990456965565364e-12	8.204964666814046e-10	4.680117374920255e-10	2.4342953481189107e-11	3.867251169671281e-09	2.9611968628525656e-09	1.1554250682743193e-12	9.765771046167656e-08	4.042286873059203e-10	9.614029830635467e-08	4.883993130548582e-09	8.655481717256815e-12
25	3.5469134037100934e-10	1.5584734820984306e-10	1.7323897650259672e-12	6.760091944339574e-16	5.037962183046337e-10	5.823509916996914e-11	2.449272126609619e-13	1.5359422622996619e-12	6.867046645682239e-10	3.468793636540266e-11	3.29616384089269e-10	2.1166424683075665e-11	1.0034091716402391e-14	4.297642730891277e-16	7.090707824396084e-13	8.006371103336972e-08	9.511304708136365e-09	6.744611034314333e-11	6.006320404201891e-12	7.968089021879006e-10	4.727526911696158e-10	2.4478715314369453e-11	3.7372032046844455e-09	2.959402274998769e-09	1.1553846941608217e-12	1.0085254167229251e-07	4.275856010094874e-10	9.920197928992002e-08	5.038705643074841e-09	6.708437051029494e-12
26	3.5469134037088976e-10	1.5590396808368862e-10	1.7366176357642402e-12	6.780194816256623e-16	5.20033939616288e-10	6.017205384812585e-11	2.588792583891323e-13	1.6338992877425038e-12	7.041638941105981e-10	3.55761416388815e-11	2.5547666365238553e-10	2.0229955702525988e-11	9.616986553632958e-15	3.982681291943642e-16	6.335884311169582e-13	7.740005171371776e-08	9.271848002212642e-09	6.779031886696122e-11	6.0160957354472844e-12	7.739903516023105e-10	4.766411311096282e-10	2.4577400694868972e-11	3.6112121396743977e-09	2.9569192677511168e-09	1.1550507720858413e-12	1.0393754580022003e-07	4.5096294085003016e-10	1.0215848004401197e-07	5.188103015581253e-09	5.199528002617466e-12
27	3.54691340370883e-10	1.5594699152130873e-10	1.7406834132727068e-12	6.799581362227231e-16	5.357291260201613e-10	6.206049702935736e-11	2.7289510814499796e-13	1.7325722741469557e-12	7.210483442092137e-10	3.6435101115314595e-11	1.9802116015797144e-10	1.9592907633827023e-11	9.338027628513767e-15	3.754024479801796e-16	5.770314107510268e-13	7.48129397868484e-08	9.041917064284885e-09	6.806947583851446e-11	6.020213440473673e-12	7.520154969137111e-10	4.79727629759236e-10	2.4641332167115327e-11	3.489223528012805e-09	2.953882858484931e-09	1.1544846193074581e-12	1.0691636052367691e-07	4.743331704272436e-10	1.0501336563361133e-07	5.332365403597005e-09	4.0301775694061995e-12
28	3.5469134037089167e-10	1.55979495296253e-10	1.7446419130416072e-12	6.818504457041672e-16	5.508976522742805e-10	6.390236719963798e-11	2.869617607185572e-13	1.83180019353484e-12	7.373777800354617e-10	3.7265820452450284e-11	1.5345417386306412e-10	1.918337854044189e-11	9.164040457148617e-15	3.5914008020318605e-16	5.350119239762161e-13	7.230299247951482e-08	8.82121071887836e-09	6.828818609860068e-11	6.0190744284823305e-12	7.308573840158911e-10	4.820608201934089e-10	2.467273085427354e-11	3.371166543736271e-09	2.950399714503053e-09	1.1537345065095048e-12	1.0979255911993964e-07	4.976706663675951e-10	1.0777011463920638e-07	5.471668596110323e-09	3.123138967274701e-12
29	3.546913403697177e-10	1.5600377376080726e-10	1.7485331529667263e-12	6.837148693189261e-16	5.655554537628569e-10	6.569953080971481e-11	3.01067239662808e-13	1.9314330416084814e-12	7.53171208714991e-10	3.806926676749512e-11	1.1894600302017797e-10	1.8947884720005373e-11	9.070316328807048e-15	3.479719735715659e-16	5.042605739669345e-13	6.98699819100809e-08	8.609401905633135e-09	6.845064328209618e-11	6.013048870732637e-12	7.104880368719153e-10	4.836870367436486e-10	2.4673701266198687e-11	3.2569563487144e-09	2.9465503216161915e-09	1.1528366545961718e-12	1.1256962344932193e-07	5.209518984300084e-10	1.1043209567785854e-07	5.606182828164089e-09	2.4208204294263287e-12
30	3.546913403708428e-10	1.560217018563634e-10	1.752389236817637e-12	6.855662061539055e-16	5.797183446261109e-10	6.745379308883674e-11	3.1520028704202737e-13	2.031328961604192e-12	7.684470655269268e-10	3.8846378096054045e-11	9.218473065624303e-11	1.884286019566773e-11	9.036726134719907e-15	3.406683530198506e-16	4.821098747583588e-13	6.751325304187663e-08	8.406157745611081e-09	6.85607790995534e-11	6.002486542729974e-12	6.908794404030804e-10	4.846508177892033e-10	2.4646259922963878e-11	3.146501795018064e-09	2.942401061618021e-09	1.151820787078175e-12	1.1525095124097145e-07	5.441548211533823e-10	1.1300258526288951e-07	5.736073681640302e-09	1.876167462765517e-12
31	3.546913403709264e-10	1.560346820991633e-10	1.7562333784039652e-12	6.874151487226363e-16	5.934019710796291e-10	6.916688667529568e-11	3.2935048573698123e-13	2.131355689197566e-12	7.832231087866574e-10	3.9598058035917915e-11	7.144166626548371e-11	1.8835863255711376e-11	9.048269258499062e-15	3.3631086472056794e-16	4.665671964274997e-13	6.523167495928839e-08	8.211139726299484e-09	6.862222198091046e-11	5.987713470920185e-12	6.720036039230186e-10	4.849945707237145e-10	2.459231935927389e-11	3.0397048718768155e-09	2.9380024480735927e-09	1.150709327439205e-12	1.1783983908175222e-07	5.672591296483754e-10	1.1548475017550141e-07	5.861501193300106e-09	1.45399615564295e-12
