time	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
495.0.	0.026078693839622	0.089883333486047	0.20509735707995203	11.192386294129044	49.20786142482514	8.787317325709008e-17	6.222029377600369e-26	0.002069005406661	0.010530351391890002	0.00016000942058000002	0.204939109160398	4.908964585040195e-08	49.62232722803262	7.427310988999021	0.158708872510993
510.0.	0.024473339981825003	0.09072493679810101	0.204255753767898	11.192544175044015	49.207860262747424	9.146521351337292e-17	-1.0996147072848989e-23	0.001768882438921	0.009738738873248	0.000150048214886	0.20410746828404702	4.785963768130842e-08	49.635212038400624	7.436306952121936	0.14971290938807702
525.0.	0.023084645507527	0.09148141350861601	0.20349927705738302	11.192679917294425	49.20785916499814	9.57318308233047e-17	-2.557759089778547e-24	0.001532136060021	0.009065330034720001	0.000141414111884	0.203359626669801	4.686637026183938e-08	49.64642067776659	7.444177032173358	0.141842829336657
540.0.	0.021870354836799003	0.09216583789938701	0.202814852666612	11.192798047967393	49.2078581237109	1.007556842324635e-16	-6.1686147592024535e-24	0.0013419016082810002	0.008485333188716	0.000133850209621	0.20268276696109203	4.608657124622945e-08	49.65627533943258	7.451129043448716	0.13489081806130002
555.0.	0.020798560296353002	0.09278867249800701	0.202192018067992	11.1929019252317	49.20785713244129	1.066205396630576e-16	-7.73766220453056e-25	0.001186588073274	0.007980409307038	0.000127162416442	0.202066620801949	4.5440273713377646e-08	49.665019346944334	7.45732200201115	0.128697859498865
570.0.	0.019844728926002003	0.093358393367673	0.20162229719832603	11.192994093682975	49.20785618583906	1.134126646265861e-16	-1.077448055607955e-23	0.0010580167710740002	0.007536713063974001	0.000121201348231	0.201502861534432	4.4906334806105406e-08	49.67284002368385	7.462879685672214	0.12314017583779802
585.0.	0.018989692754813003	0.09388194457516601	0.20109874599083302	11.193076517556939	49.20785527941001	1.2122493342274381e-16	-2.9756477110939344e-25	0.0009502825457720001	0.007143602513925	0.00011585013279100001	0.20098466199172102	4.445699380235178e-08	49.679884030478945	7.467899919147477	0.11811994236253301
600.0.	0.018218259317912003	0.09436507328076801	0.20061561728523103	11.193150738047798	49.20785440933956	1.301464400786539e-16	-3.366598140946921e-24	0.000859034497959	0.006792766918053	0.00011101599506800001	0.20050636780694903	4.407388666181005e-08	49.686267913468065	7.472461072117993	0.11355878939201801
615.0.	0.017518231243332003	0.094812580367644	0.200168110198355	11.193217982033472	49.207853572359774	1.402758916279184e-16	-8.262595739131722e-25	0.000781008745956	0.006477623531384	0.00010662432659100001	0.20006325271626701	4.374617008937118e-08	49.69208552115747	7.476626697042347	0.10939316446766201
630.0.	0.016879701624724002	0.09522851036327701	0.199752180202722	11.19327923885033	49.20785276564773	1.517077699265255e-16	5.9231971569152135e-25	0.0007137172403340001	0.00619289174582	0.00010261442503800001	0.19965133290790701	4.346044992295239e-08	49.69741332441339	7.480448898614332	0.10557096289567801
645.0.	0.016294539062949	0.09561629710156701	0.19936439346443202	11.193335315558661	49.20785198674653	1.645434897833681e-16	-5.68635465936387e-26	0.0006552358251710001	0.00593428684038	9.893638051971971e-05	0.19926722446233702	4.321224840992132e-08	49.702314300856855	7.483970821563356	0.10204903994665401
