time	Ta	Tastarstar	Tm	Tmstarstar	Ttot	Tv	V
1204.0.5.0	4.745387031983486	0.046378647731453004	292.4108720499822	4.280050990987456	495.1364446838927	193.65375596320794	33.48010745780864
1244.0.6499999999999.0	4.283691493989322	0.060759487375250006	266.1510614653848	5.588737207287471	455.60521167583113	179.52096202179393	45.32176302112544
1284.0.8.0	3.869886902526284	0.074581094127567	241.30365560484518	6.838936736768071	420.0186290529612	167.9315687146938	57.47561843969555
1324.0.95.0	3.514671840484664	0.08631118062923901	218.67136305568803	7.893160610365948	388.92989862713074	158.76439193996262	68.69983079977787
1365.0.1.0	3.221610764530795	0.09502280649948501	198.82654884446734	8.670544616539042	362.58116120702425	151.7674341749873	78.08646224643361
1405.0.25.0	2.987882496961121	0.100559889881317	182.03696878064454	9.160218348292574	340.8956830705783	146.61005355479838	85.2776068856477
1445.0.3999999999999.0	2.80639630966288	0.103378239327163	168.2766580279153	9.405736878377523	323.5222938212765	142.93012436599335	90.42775247471349
1485.0.55.0	2.6680067094838833	0.104244549195178	157.29502544523436	9.477530846496819	309.9153683920181	140.3705608416075	94.01533469093043
1525.0.7.0	2.56316339063506	0.103967915355513	148.70422196669213	9.448894673347175	299.42431126642555	138.60406332039537	96.63742912104982
1565.0.85.0	2.482914505761134	0.10323863303906201	142.0569335647545	9.381844173632297	291.3727247009453	137.34779382375788	98.86383983982803
1606.0.	2.419429663206741	0.10256748568585401	136.90371240489145	9.321973454312108	285.1182243864757	136.37054137837907	101.16335097700662
1646.0.1499999999999.0	2.366227756296542	0.102287620702948	132.83000649217533	9.298819942069168	280.091930098608	135.4945882873636	103.88255747418381
1686.0.3.0	2.318236552504902	0.10258363814606401	129.47733766657117	9.32857191716231	275.82053872701596	134.593808952631	107.25245065060967
1726.0.45.0	2.271753382281569	0.10352610917322501	126.55338445781894	9.417202122447613	271.93486738243746	133.58900131071556	111.40486388195647
1766.0.6.0	2.224339558955943	0.10510205759995	123.83456311634279	9.563212318526402	268.1684033139313	132.44118626250565	116.3896206082631
1806.0.75.0	2.174663506095755	0.10723949715109601	121.16342299904761	9.759838985955295	264.34871482963104	131.14354984138066	122.18962903769433
1846.0.8999999999999.0	2.122302841181226	0.109827436830046	118.4422843104612	9.996856223720371	260.38400634718874	129.71273553499515	128.73458561283243
1887.0.05.0	2.067518348723009	0.112733320516296	115.62411929048872	10.262152962611712	256.2467474844811	128.1802235621405	135.9149535405797
1927.0.1999999999998.0	2.011018128086813	0.11581899175011201	112.70160384439161	10.543178140726177	251.95611620748508	126.58449710252945	143.597287092907
1967.0.35.0	1.953734032002008	0.11895500409584901	109.69536760272008	10.828232102684906	247.56085582072444	124.96456707922067	151.64061458644062
2007.0.5.0	1.896631860814047	0.12203217449704201	106.64256031106196	11.107501343654148	243.12394333196647	123.35521764193828	159.91228402605654
2047.0.6499999999999.0	1.840570916766635	0.12496909773631301	103.5867924983412	11.373721070077455	238.7101364527107	121.78408286978812	168.3010480655949
2087.0.7999999999997.0	1.786219165794441	0.127714894777847	100.57025181032509	11.622403206269428	234.37701267165502	120.27042359448731	176.72546924975353
2127.0.95.0	1.734020509207937	0.13024741448791602	97.62839537147639	11.851654271714747	230.1696060378308	118.82528847094294	185.1367611855428
2168.0.1.0	1.684203374116409	0.132567991526505	94.78718539860415	12.061686652592723	226.11828570756387	117.45264229072326	193.51645248891742
2208.0.25.0	1.636816377603933	0.13469435135205102	92.06248244285983	12.254168986034536	222.23919117590575	116.15102901805459	201.87026880464842
2248.0.4.0	1.591776991419858	0.136653256548169	89.46100458126782	12.431559625887013	218.53638383859698	114.91538938347333	210.22009511535538
2288.0.5499999999997.0	1.548921742735645	0.138474124279827	86.98220977933933	12.596532813589219	215.00488436970014	113.73874590975537	218.59580146190146
2328.0.7.0	1.508050149943796	0.14018431811342602	84.62052802431317	12.751559034750544	211.63389656143906	112.61357503431734	227.0282686271408
2368.0.85.0	1.4689582367393401	0.14180631196221502	82.3675083067697	12.898655492276125	208.40971412323688	111.53278577548868	235.54436310021
2409.0.	1.431460471899707	0.14335654700437	80.21360543903322	13.039289064849388	205.31801596278663	110.4903044399991	244.16406195438623
2449.0.15.0	1.3954011031971691	0.144845585742462	78.14947908331519	13.174395132579559	202.34544063116928	109.48131972633408	252.89951658270024
2489.0.2999999999997.0	1.360657089666883	0.146279093133756	76.16679331928991	13.304469466314835	199.48047121495506	108.50227224654883	261.7555984466043
2529.0.45.0	1.3271353137936681	0.14765920374174302	74.25858281488175	13.429693385596094	196.71375127196967	107.55068055395557	270.7313758735661
2569.0.6.0	1.294766660522003	0.1489859242207	72.4192926049675	13.55006079529256	194.03799377306981	106.62488778806622	279.82199427447944
2609.0.75.0	1.26349908805809	0.150258336302521	70.64460896033806	13.665486290818079	191.44764792574273	105.72379525022507	289.02053273169156
2649.0.9.0	1.23329118048678	0.151475479822118	68.93118755062888	13.775883864942967	188.93846550699928	104.84662743111767	298.31954880045953
2690.0.0499999999997.0	1.204107024963952	0.152636890371416	67.27636122925655	13.881214275963035	186.50707132363925	103.99275190308347	307.71216700870343
2730.0.2.0	1.175912708418906	0.153742832694608	65.67788145312478	13.981505046303084	184.15060222267272	103.16156018213047	317.1926896943101
2770.0.35.0	1.148674338263249	0.154794307196049	64.13372078436616	14.07685022531829	181.866443307784	102.35240365263937	326.75679648392617
2810.0.5.0	1.122357268798935	0.15579291688903002	62.64194290845157	14.16739785113061	179.65206299167818	101.56457204640714	336.40144629143987
2850.0.65.0	1.096926136112394	0.156740673116762	61.20063266446777	14.253332161603081	177.50493156581933	100.7972999305184	346.12460728072267
2890.0.7999999999997.0	1.07234532777317	0.157639798789525	59.807871451297316	14.334855794046053	175.42250021940671	100.04978784749976	355.9249254057576
2930.0.95.0	1.048579594863593	0.15849256515565002	58.461741664214244	14.41217514701538	173.40221671779966	99.32122774654995	365.80141253026414
2971.0.1.0	1.025594614576108	0.15930117764638602	57.16034569105992	14.485490234663848	171.44155764923244	98.61082593128539	375.753201384989
3011.0.25.0	1.00335740512711	0.160067711081812	55.90182867578303	14.554989004467059	169.53806286124566	97.91782006478589	385.7793845699776
3051.0.4.0	0.9818365664983031	0.160794085343395	54.684398331805724	14.620845281316411	167.68936359931052	97.241489334346	395.8789328171252
3091.0.5499999999997.0	0.961002366106746	0.16148206884943	53.50633864411509	14.683219179867645	165.89320078837565	96.58115852943602	406.05067501485036
3131.0.7.0	0.940826710386875	0.162133297355074	52.36601689446262	14.74225885801756	164.14743335989917	95.93619759967636	416.29331801202324
3171.0.85.0	0.921283047475914	0.162749298085775	51.26188500173886	14.798102717378969	162.450038498582	95.30601843390177	426.60548567809997
3212.0.	0.9023462396541231	0.16333151256289102	50.192476843301044	14.850881462417458	160.79910643169896	94.69007037376272	436.9857615042215
3252.0.15.0	0.8839924329609891	0.163881314673564	49.156403271349745	14.900719717892136	159.1928322973702	94.08783556049299	447.43272492113624
3292.0.2999999999997.0	0.866198939831457	0.16440002300915302	48.152346229832595	14.947737125074767	157.62950708930967	93.49882477156092	457.94497688778
3332.0.45.0	0.8489441411601221	0.164888908066772	47.17905293275435	14.99204897591414	156.10750898983505	92.92257403193888	468.52115430963914
3372.0.6.0	0.832207407842326	0.165349195655682	46.23533063410638	15.03376650894052	154.62529577066755	92.35864202412186	479.1599352434948
3412.0.75.0	0.8159690384382501	0.165782067987569	45.320042182702934	15.072997000984957	153.18139846331087	91.8066081731963	489.86003782420954
3452.0.9.0	0.8002102084811871	0.166188663702369	44.43210233663709	15.109843766984833	151.77441620237357	91.26607122656723	500.6202158122583
3493.0.0499999999997.0	0.7849129272643071	0.166570077701286	43.570474701004294	15.144406145303961	150.40301200344814	90.73664815217347	511.4392530515297
3533.0.2.0	0.770059998941634	0.166927361275054	42.734169121048105	15.176779511334718	149.0659092078956	90.21797321529532	522.3159583197094
3573.0.35.0	0.755634985927437	0.16726152271024403	41.92223937959946	15.207055334854726	147.76188836327387	89.70969714018122	533.2491613028811
3613.0.5.0	0.741622173559156	0.167573528357462	41.13378108599895	15.235321279007518	146.48978437163905	89.21148630471534	544.2377098635282
3653.0.65.0	0.7280065356755161	0.167864304044878	40.36792968515399	15.261661330043047	145.24848380252652	88.72302194760852	555.2804684305523
3693.0.7999999999997.0	0.7147737011521581	0.16813473669331103	39.62385854976016	15.286155944745657	144.03692231921252	88.24399938686064	566.3763171925609
3733.0.95.0	0.7019099215957111	0.168385676005915	38.90077714226106	15.308882204143961	142.85408220136713	87.77412725735992	577.5241517642235
3774.0.1.0	0.6894020404070941	0.16861793614147702	38.19792924626169	15.329913965407625	141.69898996578382	87.31312677756542	588.7228830594642
3814.0.25.0	0.67723746336053	0.168832297318308	37.51459127230722	15.349322007271773	140.5707140936127	86.86073105335439	599.9714371955254
3854.0.3999999999996.0	0.665404130759868	0.169029507326451	36.850070643167975	15.36717416707915	139.46836287206534	86.41668442373148	611.2687553365621
3894.0.5499999999997.0	0.653890491159395	0.16921028294624701	36.20370426159132	15.383535469331713	138.39108235477957	85.9807418497505	622.6137934485806
3934.0.7.0	0.6426854765849791	0.16937531128198402	35.57485706069097	15.398468246573621	137.33805444058632	85.55266834545431	634.0055219757323
3974.0.85.0	0.631778479164104	0.16952525102284102	34.96292063475086	15.412032253721266	136.30849506676168	85.13223844810209	645.4429254648691
4015.0.	0.621159329064911	0.16966073364259202	34.36731194662836	15.424284776871751	135.30165251050357	84.7192357242955	656.925002167536
