time	ACA	ACA0	ADP	AMP	ATP	DHAP	DHAPCN	DPG	EtOH	EtOH0	F6P	FBP	G6P	GAP	Glc	Glc0	Glyc	Glyc0	HCN	HCN0	NAD	NADH	OAc	OAc0	PEP	Pyr	PyrCN	glycogen	lacto
3.0.5100000000000002.0	0.040946767451711004	0.034277432479073	1.8088488763431552	0.7163279064660221	1.4048232171908221	1.637591638552149	1.3781524170682231	0.00012657528002500001	5.8001300796109945	3.632428254639451	0.25409411034412804	1.5119974254494721	2.17409320584946	0.06561978773886801	0.130517394293778	20.551740520241683	1.798901872572495	0.482607046440763	4.741838632897638	4.765961134630215	0.70901607541637	0.270983924583629	0.002287151883604	0.0013716774393030002	0.028890462735511	8.989198262816611	4.047663030414981	57.527625181988626	0.012814864211183
3.0.7800000000000002.0	0.040229610404810004	0.034021947036506	1.790590641793513	0.6750036074715311	1.4644057507349562	2.272477659056865	1.46843957970346	0.00013657511660900002	6.117186669043462	3.960437728909797	0.25241463479876003	2.925362097444807	2.153667400154561	0.094344038270899	0.13187226234274602	20.25154255676723	2.222954333468692	0.508312573711957	4.726205523619877	4.752760285906529	0.592597737536335	0.38740226246366305	0.00219170501829	0.0014888757945810001	0.030151258872912003	9.405906180433597	4.440882198453183	61.63945615486144	0.014394766935976001
4.0.050000000000001.0	0.043151274121096005	0.034115514230776	1.6127761772444011	0.42360175944208406	1.8936220633135161	2.150544246536518	1.571565563260617	0.00018572712884100002	6.5643897421532635	4.297904529995288	0.28928907222342104	2.534255271727075	2.408878815841322	0.08595334984804301	0.078313957143813	19.955001643987867	2.5195995035451872	0.541293655811348	4.711534800060153	4.738971431888001	0.657193768885725	0.32280623111427403	0.0024069367303640003	0.001600982393653	0.031386380068527	9.894271283568008	4.85624624854983	66.91585993902883	0.015963914078186002
4.0.32.0	0.04447473945486401	0.034946507910382	1.711103056146007	0.534012871719851	1.6848840721341372	1.4680906273555991	1.6469291565204012	0.000153065768734	6.907809161522414	4.649921011868418	0.278379912813823	1.181036637279834	2.35276957832119	0.05633648659874901	0.089153511024157	19.66950943575243	2.010474681578425	0.5717924795215811	4.70131409372681	4.725613455851	0.784904455774287	0.19509554422571102	0.0028132487090220004	0.0017502670092890001	0.029543107663575003	9.32539984973837	5.269078087564965	73.70961184071713	0.017550843361343
4.0.59.0	0.040528851521279004	0.034813707345917	1.801279355303341	0.6996921663543461	1.429028478342308	2.085263308959622	1.7250106921982	0.00013209786504200002	7.141305201294995	4.98383742760929	0.25056044430600705	2.4608576406484532	2.140643384384391	0.08589780738570901	0.13361235758033202	19.371541546188702	2.136745350430965	0.596340936664964	4.686798103308237	4.712577220892799	0.619936489301258	0.36006351069874104	0.002633850745159	0.001883918698694	0.029759029856945004	9.415693376794811	5.664163691730493	78.22243248652846	0.019153680925663
4.0.86.0	0.042354973145649004	0.034682350831631	1.6807874198323551	0.49718779308173205	1.752024787085908	2.20372391554132	1.822403948126078	0.000167434156341	7.550461974234362	5.318638622861119	0.27339908403484503	2.694507016603656	2.298048571125883	0.08934082671241	0.09259281411437101	19.073804789995428	2.510446884876421	0.626569807707255	4.671864547101813	4.69900582569221	0.633189371508003	0.346810628491995	0.0027704602920180003	0.0019974499858510003	0.031019271331458	9.8895925598647	6.073434671244193	83.07800434856262	0.020741330115767002
5.0.130000000000001.0	0.045792119184612005	0.035207502380468006	1.6253083854105101	0.43438968007842604	1.870301934511058	1.5547254350665312	1.9051846437328002	0.00017618611768200002	7.963467370765976	5.667634384019875	0.29517913711895705	1.301078882900062	2.4643997852555293	0.059096763205562	0.072076877376312	18.786039705819668	2.254443340927737	0.657998686454052	4.660543268614675	4.685519034160689	0.7801661439902621	0.19983385600973602	0.0031671595438880003	0.002134030147936	0.030204526135248003	9.621652191724943	6.48914497496617	89.55772593843513	0.022332244958882003
5.0.4.0	0.041116614144606004	0.035327954925359	1.795948177292898	0.686054413149012	1.447997409558085	1.922333030980537	1.976425263475348	0.00013260499354900002	8.175974741607684	6.007574650999477	0.251880341094711	2.083904627647416	2.150283888600633	0.078331786445807	0.126888729881443	18.49177899289778	2.132509896835329	0.6830590117774481	4.647452105368539	4.672568769745212	0.651552842200777	0.32844715779922	0.0030869367037050003	0.002278524297252	0.029535641592637003	9.439673442392944	6.886068976169452	94.65864198058713	0.023940836434426002
5.0.67.0	0.041993350804657006	0.0350968063416	1.719435894909496	0.548333231878358	1.66223087321214	2.183903898986855	2.067366312099125	0.00015649979634600001	8.55113772905523	6.341240246157259	0.264748816473656	2.662622477077376	2.236864770417028	0.089033487237634	0.101626703723768	18.19407460744043	2.496378791661924	0.7112769243559081	4.632637610358492	4.659233289128386	0.626690343110869	0.353309656889128	0.0031612820393050003	0.0023956928023950003	0.030668615223082004	9.835841913360712	7.289091218698036	99.32030883958188	0.025536756092414
5.0.94.0	0.045273803715793	0.035384607046441	1.604283732146688	0.414647962098576	1.9110683057547302	1.722465913071631	2.153480775653796	0.00018341405395900002	8.978299830090029	6.686473690016194	0.295310246590798	1.600280061120137	2.456660275713876	0.06640917659659801	0.070328735632389	17.903915131120698	2.436854978596187	0.74256159873697	4.620318529864761	4.645784780722883	0.742795894771017	0.23720410522898103	0.003485442210753	0.0025249293928420002	0.030612823435881002	9.803636317145925	7.702019691378981	105.35976302314215	0.027127750341987004
6.0.210000000000001.0	0.041971392003512006	0.035684049465797	1.778011665658513	0.646303167180398	1.505685167161082	1.79403651643098	2.222376457356107	0.000136910164519	9.217466751469825	7.030318689869214	0.255919383331147	1.804456987077824	2.179625642809084	0.07217995104707	0.11504067299160901	17.61294105373468	2.187223052158107	0.7686817309528151	4.608292608870327	4.632873961761829	0.6832870972835191	0.29671290271648004	0.0035437018779960004	0.0026731946909390003	0.029470819324142004	9.473632939426516	8.099857772770655	110.94183341874034	0.028733915049257003
