	ST	STU	STUS	STUST	STUSU	SU	SUST	SUSTU
25	2.769885716572131	0.09972887439264824	0.3159462582182504	0.5500370592712434	0.3503087802391789	0.07683785412757178	0.2004725827249253	0.1852782631772507
26	2.6717480510824596	0.09528744226035712	0.3013156143907953	0.5238434215805606	0.3351108668751241	0.0740680756600134	0.1866214398919443	0.17258422644669735
27	2.572679206494818	0.09088003836307387	0.28684027201516293	0.4979808451484423	0.32005326638164183	0.07125378656309034	0.1730861735006912	0.1601711850083303
28	2.472806482578262	0.08651343247600547	0.27254229385251244	0.47248863426634274	0.30515088091492754	0.0683983133025593	0.15991538084960613	0.14808374174244243
29	2.3722892196958023	0.08219512377901346	0.2584458231773973	0.4474094071640835	0.2904222290403153	0.06550892116849041	0.1471522020030175	0.13636224810022896
30	2.2713164937643997	0.07793312969445468	0.2445763789161817	0.42278782025912676	0.2758885759352199	0.06259550959511427	0.13483400514870816	0.1250417915215917
31	2.17009981443855	0.07373580684401558	0.23096027721763654	0.39866955234072304	0.2615732199912822	0.059666809629803544	0.12299501623885255	0.11415400974775136
32	2.0688681882073308	0.0696117667994198	0.21762433227110395	0.3751007509080242	0.2475009397818032	0.05672884839243096	0.11166870307471112	0.10372939456206606
33	1.967868723611128	0.065569843436782	0.20459569744878678	0.35212768816805917	0.2336975620913513	0.05378688297330171	0.10088751531628852	0.0937976246589124
34	1.8673695614235466	0.0616190229842087	0.19190159692127334	0.32979623026583377	0.22018957255240384	0.05084834017375759	0.09068043705087324	0.0843857317136997
35	1.7676598601474847	0.05776829365867523	0.17956883922084274	0.3081509711883607	0.20700370118744743	0.04792384700600831	0.08107064283713318	0.07551587181347029
36	1.6690447339971088	0.05402644936809997	0.1676232209371755	0.2872342242351042	0.19416646837768367	0.045025713222189116	0.07207501140929894	0.06720447931325124
37	1.5719351578275536	0.05040296463632688	0.15608860745875394	0.2670797504087053	0.1817034550641289	0.0421816698090503	0.0636867129637975	0.05944966114474705
38	1.4764898585308042	0.04690277607325846	0.14498552760614483	0.24772939244496955	0.16963901913968532	0.039367897040557716	0.05594251318690847	0.05227612080588219
39	1.383032875289644	0.04353506827375026	0.13433614819853082	0.22921310025594968	0.15799642858495522	0.036606897999857994	0.04884007405497082	0.04568924656584608
40	1.2919074692052477	0.040306673178363735	0.12415861802375845	0.21155792915063343	0.14679725525151277	0.03391884282501986	0.04237080619075264	0.03968259592352447
41	1.2034296895149177	0.037223332214067505	0.11446769668935697	0.19478518180255838	0.13606080757035038	0.03131545621424283	0.03652338544588207	0.03424577670921213
42	1.117888456206778	0.03428979493615956	0.10527476359092947	0.17890996147715527	0.12580368145907825	0.028806198588519898	0.03128126404528783	0.029364366128370862
43	1.0355476544863882	0.03150968522345366	0.09658755553376751	0.16394091740973313	0.11603938847236878	0.026401562374455487	0.026620910668831817	0.02501806819086281
44	0.9566422197132527	0.028885382039076136	0.08840988903215215	0.14987988974031466	0.10677803513638093	0.024112120577082268	0.022512243366068444	0.021180507032979582
