time	CIS	CISRNA	CISnRNA1	CISnRNA2	CISnRNA3	CISnRNA4	CISnRNA5	Epo	EpoRJAK2	EpoRJAK2_CIS	EpoRpJAK2	SHP1	SHP1Act	SOCS3	SOCS3RNA	SOCS3nRNA1	SOCS3nRNA2	SOCS3nRNA3	SOCS3nRNA4	SOCS3nRNA5	STAT5	npSTAT5	p12EpoRpJAK2	p1EpoRpJAK2	p2EpoRpJAK2	pSTAT5
99.0.	21.85491915402565	0.10516593596833601	675.2853040741678	756.9236700316906	850.1899577430154	952.1637414056205	1056.5805254593415	1.24997e-07	3.757615127761796	6.018344525988932e-31	0.12235503313049101	26.566664420600894	0.15843557939914202	10.189168738140259	0.058675459571929	0.000693631367815	0.000702967344962	0.00071252951714	0.00072232192471	0.0007323486028300001	64.09067454589055	6.995547455630243	0.020814349346272	0.015127188830385002	0.06030830093105301	10.853386578358966
102.0.	22.41949538585618	0.10068298644427401	646.2045136090286	722.6083951753416	810.7850841542767	908.7318192983789	1011.540842073626	1.24997e-07	3.758446657203523	7.151861086153023e-31	0.12211423481050102	26.566177661488705	0.158922338511331	10.208236835857246	0.058785262971430004	0.000665613133623	0.000674260023755	0.0006831202764340001	0.000692197898671	0.0007014969109490001	64.63054392517786	6.716121799842007	0.020618641291054	0.015058701286369	0.059981765408551005	10.505622337426255
105.0.	22.922196039575947	0.09629045875610501	619.1899720965091	690.530592067967	773.5980188384212	867.1372375000261	967.409755740762	1.24997e-07	3.759143998712464	6.785849765037934e-31	0.12191195896598402	26.565717860963694	0.159382139036355	10.215647879476688	0.058827938157169	0.0006396906026820001	0.000647688827202	0.000655887813039	0.000664291487311	0.0006729038043580001	65.12702999895234	6.457703250806404	0.020454861340991	0.015001233852312001	0.059707947128246	10.186799016113941
108.0.	23.3657336787444	0.092023609915671	594.133654620621	660.6095737817127	738.6207966372795	827.5134516460275	924.5414595152446	1.24997e-07	3.759721814747075	5.925124016289124e-31	0.12174427728162801	26.565281853793824	0.159818146206215	10.212514789298979	0.05880989398890701	0.0006157372994710001	0.0006231262342060001	0.0006307036745830001	0.000638473434192	0.0006464393637300001	65.58310877319585	6.219011001482364	0.020319252773470003	0.014953604211282001	0.059481050986542	9.894821163280886
111.0.	23.753084139495222	0.087908882558973	570.9272187937055	632.7549097799257	705.8178729533156	789.938660157701	883.2015937840832	1.24997e-07	3.760193187500078	6.095205537414915e-31	0.12160761406039801	26.56486682621792	0.16023317378210902	10.199874645193132	0.058737102591464	0.0005936308292290001	0.0006004485291840001	0.0006074429052290001	0.000614617633876	0.0006219764356190001	66.00158173022861	5.998808443736678	0.020208531752707003	0.014914751864792	0.059295914822022004	9.627737464698454
114.0.	24.087392628216868	0.083965286641143	549.4635655960003	606.8700549712512	675.1331188980229	754.4469189032596	843.5811276700981	1.24997e-07	3.76056981744984	5.517545662190155e-31	0.12149871457333002	26.56447027809348	0.160629721906547	10.178691803770837	0.058615117305368	0.0005732535228340001	0.000579536534879	0.000585984873872	0.000592602063552	0.000599391676167	66.38508163936518	5.795908930766323	0.020119815285128	0.014883723936838001	0.059147928754859004	9.383730970729145
117.0.	24.371896351153204	0.080205651473951	529.637989640469	582.8551697451651	646.4954727243186	721.0375439945047	805.8089377153631	1.24997e-07	3.760862192147575	4.9770535293944155e-31	0.12141461633568001	26.564089989599186	0.16101001040083301	10.149861269473005	0.058449092099667005	0.000554492853291	0.00056027609705	0.000566213832949	0.000572309422339	0.000578566277789	66.73607920404649	5.6091793928642755	0.020050561966314003	0.014859662906077	0.05903296664435	9.161109963355615
120.0.	24.609861796722413	0.076637736926408	511.3490064011361	560.6092884587168	619.8234665434547	689.6829745614772	769.9629715669606	1.24997e-07	3.761079730289006	3.9322368075705127e-31	0.121352623071729	26.563723991842338	0.16137600815768902	10.114212207760524	0.058243801803046	0.000537241676114	0.000542558377356	0.000548019268542	0.000553627543679	0.000559386449314	67.05689024091811	5.437542301804731	0.019998523016993	0.014841795978702001	0.058947327643568005	8.958299426587551
123.0.	24.804534776557762	0.073265202837983	494.498926473097	540.0319657995794	595.0288202188576	660.3352788523972	736.0799871433629	1.24997e-07	3.761230905185662	2.8033661001194023e-31	0.12131028113142601	26.563370540827755	0.16172945917228101	10.072511515054684	0.058003662661727004	0.000521398334981	0.000526279999117	0.000531296089956	0.0005364496327560001	0.000541743705583	67.34968315599104	5.279976376186095	0.019961701634517003	0.014829425858754	0.05888768618964001	8.77383308537753
126.0.	24.95910140740673	0.07008844245022701	478.99423282712445	521.0245067866113	572.0192677315823	632.9314849554723	704.1639256299604	1.24997e-07	3.761323351003535	1.14714956121393e-31	0.12128535813092801	26.563028094332367	0.162071905667683	10.025467380986417	0.05773275285307	0.0005068666654570001	0.00051134308131	0.000515944696938	0.000520674370109	0.0005255350108770001	67.6164865383443	5.135516337873627	0.019938319095027003	0.014821922710137	0.058851049060371	8.606345979364193
