	ATIII	II	IIa	IIa_ATIII	IX	IXa	IXa_ATIII	IXa_VIIIa	IXa_VIIIa_X	TF	TFPI	TF_VII	TF_VIIa	TF_VIIa_ATIII	TF_VIIa_IX	TF_VIIa_X	TF_VIIa_Xa	TF_VIIa_Xa_TFPI	V	VII	VIII	VIIIa	VIIIa1_L	VIIIa2	VIIa	Va	X	Xa	Xa_ATIII	Xa_TFPI	Xa_Va	Xa_Va_II	mIIa	mIIa_ATIII
36	3.394212384939776e-06	1.3912360990217593e-06	4.129232162870281e-12	1.2241088169758688e-11	8.999820900432114e-08	1.3892933199773203e-12	3.942622672348822e-13	1.5115929612009794e-15	2.9444870186370515e-15	3.4195108784880904e-13	2.496889302280589e-09	3.9999661349277585e-12	1.3931808339522643e-14	3.626593628552256e-15	2.984011683640275e-15	7.901633978492374e-15	2.397893503793033e-15	6.272408360894316e-13	1.9798090171833192e-08	9.847279320388346e-09	6.929331560141611e-10	4.385304831254016e-12	2.6770830746046762e-12	2.6770830746046762e-12	2.4806263069949665e-10	1.9850543414253646e-10	1.5998253420719984e-07	5.063592665059894e-12	5.873864376974099e-12	2.483456883321718e-12	1.854668982590841e-12	1.5497250416878794e-12	2.9768787140495764e-09	5.769102218817246e-09
37	3.3936760100777917e-06	1.3905019489365975e-06	4.410606842482299e-12	1.2985023797769811e-11	8.999817087564693e-08	1.4105997100842112e-12	4.106822492535092e-13	1.6348218753507939e-15	3.1845802699220263e-15	3.4000041197315234e-13	2.4968025593623874e-09	3.988378308617871e-12	1.411376821163643e-14	3.703709463968688e-15	3.0229916103930747e-15	8.004821668517805e-15	2.4292401764770257e-15	6.403467482779829e-13	1.978587123775374e-08	9.842722785153724e-09	6.925054933213803e-10	4.618590908689723e-12	2.871096367784405e-12	2.871096367784405e-12	2.5261721525824243e-10	2.105018058251095e-10	1.5998201486650132e-07	5.09181196536787e-12	6.055305832482713e-12	2.5570938893347353e-12	1.9763883216027867e-12	1.6505680995563632e-12	3.1744696580430295e-09	6.304535206620113e-09
38	3.393104201972159e-06	1.3897195968134912e-06	4.7295122209659425e-12	1.3782616994239963e-11	8.999813225383564e-08	1.4321265863373455e-12	4.2735001524760415e-13	1.7664386753362178e-15	3.4410062595225165e-15	3.380832913576205e-13	2.496715384071747e-09	3.976588828948302e-12	1.429639045993281e-14	3.781810006194428e-15	3.062117860064687e-15	8.108390485092423e-15	2.4607041562811318e-15	6.536184667265115e-13	1.9772777286224258e-08	9.838142112579805e-09	6.920472050178483e-10	4.8718389291090756e-12	3.0757486081073564e-12	3.0757486081073564e-12	2.5719597071154664e-10	2.2335634182446394e-10	1.5998147644034685e-07	5.12081167881932e-12	6.237749993953578e-12	2.6309974615264215e-12	2.1073841578417863e-12	1.7589877934455031e-12	3.3847855404720424e-09	6.875346529028601e-09
39	3.392494600113879e-06	1.3888853341762357e-06	5.091507072149033e-12	1.4641106189458478e-11	8.99980931385448e-08	1.4538695317741735e-12	4.442678080086643e-13	1.9073352318686656e-15	3.715500149523063e-15	3.3619082618016835e-13	2.4966277754924057e-09	3.9646075688273834e-12	1.4479163152008726e-14	3.860894866182192e-15	3.10128005114454e-15	8.212048837200057e-15	2.4921969499832153e-15	6.670560211359286e-13	1.9758690917065802e-08	9.833537169787533e-09	6.915541820973023e-10	5.1481849871012214e-12	3.2920100802146995e-12	3.2920100802146995e-12	2.617990210386408e-10	2.371847260975729e-10	1.5998091788643485e-07	5.149914335322515e-12	6.421198139711631e-12	2.705168486458225e-12	2.2486080210844324e-12	1.875748815551712e-12	3.6091680085976434e-09	7.483889453090055e-09
40	3.3918445982419703e-06	1.387995078109693e-06	5.503115894849577e-12	1.55688232310424e-11	8.999805353061902e-08	1.4758225986133641e-12	4.614377782831479e-13	2.058546276492887e-15	4.010075034565275e-15	3.3431610886947426e-13	2.4965397443183334e-09	3.9524427039233415e-12	1.4661643448094857e-14	3.940961141805077e-15	3.140382781217518e-15	8.315544599551821e-15	2.5236420496587614e-15	6.806590131868551e-13	1.9743477184502712e-08	9.828908452958193e-09	6.910217014575942e-10	5.451227692857809e-12	3.521002228236635e-12	3.521002228236635e-12	2.6642586315066953e-10	2.521200109197996e-10	1.5998033805718403e-07	5.178407305818861e-12	6.6056259893441734e-12	2.779596668479513e-12	2.401111084086963e-12	2.001693493413625e-12	3.849086327617161e-09	8.132761930071151e-09
41	3.391151320646823e-06	1.3870443323255676e-06	5.972017730212479e-12	1.657538633463035e-11	8.999801343195756e-08	1.497978394453332e-12	4.788619656981274e-13	2.221272989425486e-15	4.327067813664668e-15	3.3245382546052367e-13	2.496451313350609e-09	3.940101099742122e-12	1.4843438438110488e-14	4.022003682936016e-15	3.1793414878554992e-15	8.418654188006056e-15	2.554971616575803e-15	6.944266653838691e-13	1.9726980549420965e-08	9.824257116430641e-09	6.90444319229733e-10	5.7851118315353715e-12	3.7640205979282376e-12	3.7640205979282376e-12	2.7107533739481175e-10	2.683156414876244e-10	1.5997973567991324e-07	5.2055412532777666e-12	6.790982399070955e-12	2.8542599840067957e-12	2.566057362149974e-12	2.1377517292743197e-12	4.1061524181634605e-09	8.824830100475404e-09
42	3.390411595675176e-06	1.38602814345026e-06	6.507273206805867e-12	1.767193084994945e-11	8.9997972845423e-08	1.5203281132211383e-12	4.965422798158641e-13	2.3969110643562027e-15	4.669193766586037e-15	3.3059994132626937e-13	2.49636251801996e-09	3.927588622010162e-12	1.5024189737051836e-14	4.1040152714399015e-15	3.2180791201107306e-15	8.521173775354535e-15	2.586123814536223e-15	7.083578549450737e-13	1.9709021249416804e-08	9.819585002095452e-09	6.898157437295873e-10	6.154628193473106e-12	4.022561972108286e-12	4.022561972108286e-12	2.7574559784586664e-10	2.859490606852892e-10	1.5997910933424693e-07	5.230529351450445e-12	6.977188032322091e-12	2.929124125094523e-12	2.7447381505890273e-12	2.2849517473314888e-12	4.3821378342884265e-09	9.5632545596481e-09
43	3.389621926115217e-06	1.3849410521652357e-06	7.119598140831967e-12	1.8871385557290465e-11	8.999793177478256e-08	1.542861517481043e-12	5.144804807246653e-13	2.5870841513558376e-15	5.0396115866058656e-15	3.2875145325080665e-13	2.4962734069119505e-09	3.914910386394015e-12	1.520356127192593e-14	4.186986733479138e-15	3.2565234980734526e-15	8.62291232415467e-15	2.617040694528422e-15	7.224511358330157e-13	1.9689390973334044e-08	9.814894667862524e-09	6.891286840666908e-10	6.565332726564977e-12	4.298356511005917e-12	4.298356511005917e-12	2.8043408359071764e-10	3.0522600720926523e-10	1.599784574260679e-07	5.252547771491947e-12	7.164134051295087e-12	3.004141952216028e-12	2.938587784576782e-12	2.4444316721254687e-12	4.678992721686582e-09	1.0351519697708001e-08
44	3.388778456135465e-06	1.383777038820204e-06	7.82169377647018e-12	2.018880386941664e-11	8.999789022467442e-08	1.5655668769233359e-12	5.326781586273016e-13	2.7936837636680314e-15	5.44200098036702e-15	3.269061934787909e-13	2.4961840422633256e-09	3.9020709600933636e-12	1.5381229823480864e-14	4.270906999131855e-15	3.2946052659525836e-15	8.723686187262462e-15	2.6476665549969425e-15	7.367047515970195e-13	1.966784770464385e-08	9.810189413462714e-09	6.883746696625339e-10	7.023688785069724e-12	4.593405867651948e-12	4.593405867651948e-12	2.851374927307546e-10	3.263856425784544e-10	1.599777781572285e-07	5.270738007781378e-12	7.351680895651785e-12	3.079252985076904e-12	3.1492008169091853e-12	2.617451960799678e-12	4.998866799484103e-09	1.119346643070576e-08
45	3.3878769344456517e-06	1.3825294631255527e-06	8.628645886648992e-12	2.164176132137062e-11	8.999784820059309e-08	1.588430866281409e-12	5.511367119239109e-13	3.018916955419615e-15	5.880655375599063e-15	3.250626742661836e-13	2.4960945003883133e-09	3.889074525052016e-12	1.555687799854687e-14	4.355763122535547e-15	3.3322563683862033e-15	8.82331509077299e-15	2.6779467214684293e-15	7.51116641380089e-13	1.9644109571871782e-08	9.805473301261595e-09	6.875438350155116e-10	7.537236974698586e-12	4.910028437458456e-12	4.910028437458456e-12	2.8985176141266083e-10	3.4970666867463583e-10	1.5997706949009283e-07	5.2842116872742915e-12	7.539657237466372e-12	3.1543829703059126e-12	3.378350733343034e-12	2.805408720251628e-12	5.344132415203752e-09	1.2093328643315655e-08
