	Inh	Inh_T1	T1	T1_alpha	T2	T2_beta	T3	T3_Inh	alpha	alpha_T1	alpha_T1_alpha	alpha_T2	alpha_T2_beta	alpha_alpha_T1	alpha_beta_T2	beta	beta_Inh_T3	beta_T3	beta_T3_Inh
11	0.5614515898389654	29.938571482095064	8.164492904969935	0.10921313088465219	3.6560841827742676	0.10447590974429978	2.719418688128925	35.32294738806048	1.0861865144267127	0.021212562159140018	0.04021197375664945	0.008337257280439016	0.019838081966558847	0.22629794613524187	0.10126456823442782	0.26565202895282963	0.2864594842730008	0.0007109355990207077	0.1704635039385681
12	0.883743567892402	29.83618126120564	7.907708336145807	0.2052050578174402	3.458425357335986	0.18853094681287916	2.7099508779783585	34.99267834580939	2.0994674905593445	0.040056982242245694	0.07742730948413336	0.01530359312483898	0.03764410725025536	0.43342105310543794	0.190095995476033	0.48862283390697125	0.4982441495536524	0.001301199949297621	0.2978254267092749
13	1.5093196468076058	30.031485168166927	7.122416553678572	0.35455301723398713	3.1184972072043835	0.3291667794135492	2.5439605861012184	34.51637450152196	3.9643859710339853	0.06970268464796503	0.14088034468039265	0.02632337806362749	0.06989997802630095	0.7809622315928313	0.346112657292131	0.9053437825803256	0.8991169946262508	0.002266541376244636	0.538281376374317
14	2.64716193170074	30.651539224450705	5.779331844821571	0.5169811265664958	2.632760017016929	0.5223708611961383	2.1501647113943054	33.79121050458322	6.885609828570742	0.10270819172181672	0.22417546470897198	0.03937871659478737	0.11972673781331118	1.2252641477311381	0.5757636673788278	1.604864856551965	1.5993525487761457	0.0034166630034763346	0.9558555722428849
15	4.447251778278744	31.71981184939402	4.240913928816597	0.5912159289440995	2.1285430046183325	0.7151011676657424	1.5430781860099705	32.7330975452974	10.171582397624695	0.11898646240787734	0.2862654223982768	0.0484783294556048	0.17626780209470397	1.5428064080398185	0.8216096961656076	2.5623408266918473	2.6465813922963353	0.003973776506037463	1.5732690998903
16	6.710274103610139	33.07290297304549	3.006251968729929	0.5285516293286485	1.8013618098277726	0.8468335366760844	0.9113553305302124	31.410759971148682	12.034827971945871	0.10726836222411776	0.28111903557073725	0.05011458288435514	0.21405169440489774	1.5039060311016426	0.9776383762068855	3.530440086217516	3.884455257844013	0.0033448817913791003	2.2900845586855563
17	8.835652146489382	34.448799785251914	2.203927862115475	0.3888686085533074	1.7307974264920698	0.9098609421032782	0.4739881802323919	30.130449927040846	11.332023823357746	0.07856059167080277	0.2170931356356839	0.04630581681834457	0.21679345664810135	1.1627500167734133	0.9862423579382021	4.182136382006275	4.982778020309502	0.002216260660756955	2.9105676117563557
18	10.251590547647949	35.62302116888117	1.6974244793120243	0.2460359151652697	1.8814600346198618	0.9148192755243526	0.2622938443085913	29.285332708932625	8.771051733505029	0.0488481481196304	0.13840330201013906	0.03926582030029468	0.18861681886367307	0.7462669865122827	0.8658380506918154	4.341953222180177	5.668250227240733	0.0014373160268767444	3.28268590349105
19	10.732372698258851	36.475722211187986	1.3668803801809468	0.13811286769455738	2.188030157754196	0.8575134101608025	0.18457284124088244	29.102159668372618	5.813796141863375	0.02680129654399476	0.07651797125912142	0.030268980795952485	0.14370596329323598	0.41596527313379217	0.6704814879958123	4.033776461284706	5.849441362773297	0.0010637521418388096	3.3627623754712337
20	10.350572287662272	37.000544854268185	1.1632836467140224	0.07175579529021793	2.5720395909377167	0.7381456067497311	0.16620613429727957	29.563904373006302	3.437288505131417	0.013638460582643636	0.038731315837056426	0.020984491690529603	0.0971691473883218	0.21204592730828437	0.4616611632336975	3.4208500800061636	5.580618598085057	0.0008766167978110817	3.188394277813384
