	Act_C_Cyt	Act_C_Nuc	Ca_Cyt	Ca_Nuc	Inact_C_Cyt	Inact_C_Nuc	NFAT_Act_C_Cyt	NFAT_Act_C_Nuc	NFAT_Cyt	NFAT_Nuc	NFAT_Pi_Act_C_Cyt	NFAT_Pi_Act_C_Nuc	NFAT_Pi_Cyt	NFAT_Pi_Nuc
14	0.0019353881727196807	0.022192958686875215	0.9625761581594293	0.962493505298992	0.0021946872958672754	0.024891969309462008	0.0001756059505853934	0.015717660617689463	5.166801402143674e-05	0.00016596258640460155	0.00010682082517956399	5.029453879932765e-05	0.0032186740419441868	6.125910900465925e-05
15	0.0018803864091656247	0.022126486997473535	0.9623933435538858	0.9623031898754467	0.002132260339920265	0.024832074860191865	0.00017020637475594362	0.016151965692329476	5.002577822394742e-05	0.00017206851901523226	0.00010006070437971329	5.084484122998073e-05	0.0030485688173755307	5.809448279039493e-05
16	0.0018315076573186104	0.022060595688835498	0.9622244122608605	0.9621277331969385	0.002076784193560297	0.024771603260242747	0.0001655895011658277	0.016551299043913916	4.8515751236070915e-05	0.00017772179223271895	9.415095535660663e-05	5.135341682239201e-05	0.002891493513815525	5.517552487692573e-05
17	0.001788018414628292	0.021995273469636718	0.9620677686584547	0.9619653813627324	0.0020274257433938046	0.02471068698582351	0.00016161908478816138	0.016919917181125583	4.712365820921346e-05	0.00018297620672825255	8.895344057340884e-05	5.18251259787761e-05	0.0027459362920629568	5.247320346411541e-05
18	0.0017492973186929008	0.02193051240037969	0.9619220610737346	0.9618146540230882	0.001983479307893791	0.024649439917324985	0.00015818644485591094	0.017261393062005442	4.583713900751642e-05	0.00018787901643345896	8.435674843611212e-05	5.2264075622891704e-05	0.0026106174101985587	4.996302530120214e-05
19	0.0017148145449047433	0.02186630663635373	0.9617861364807292	0.9616742930014188	0.0019443432174728664	0.024587960017627378	0.00015520410913958679	0.017578748615484936	4.464543895979324e-05	0.000192471084774012	8.027024579197288e-05	5.267376101040353e-05	0.002484446401151831	4.762418061906146e-05
20	0.0016841155792009946	0.021802651681590547	0.9616590050850627	0.9615432220968715	0.0019095013681635512	0.024526331742537266	0.00015260109502800685	0.017874557361394143	4.353915674247454e-05	0.00019678750733382748	7.6619616821273e-05	5.305717617260867e-05	0.0023664883694449507	4.543887517139609e-05
21	0.0016568083188750035	0.02173954393123086	0.9615398123030613	0.9614205153140205	0.0018785085592692178	0.024464628119991724	0.00015031936459562186	0.018151024807867993	4.251003791978639e-05	0.0002008583679150704	7.334347886068034e-05	5.341690099316993e-05	0.002255937221223314	4.339180287657052e-05
22	0.0016325527313054632	0.021676980380496556	0.961427816358262	0.961305371519835	0.0018509787395119808	0.024402912505390107	0.00014831113257800273	0.018410052099736448	4.155080503814889e-05	0.00020470947819060562	7.039078822654975e-05	5.375517060420823e-05	0.00215209422002874	4.146972545624873e-05
23	0.0016110524977133774	0.021614958432700667	0.9613223702035173	0.9611970940558708	0.0018265755102418425	0.02434124004806485	0.00014653680144550502	0.018653286883441752	4.06550170847217e-05	0.0002083630413653943	6.771883229700727e-05	5.407393122029628e-05	0.0020543506728821883	3.966113443426138e-05
