time	AC_PKA_cyto_mem	AC_active_cyto_mem	AC_cyto_mem	AMP_cyto	ATP_cyto	BAR_G_cyto_mem	BAR_cyto_mem	B_Raf_active_cyto	B_Raf_cyto	GRK_bg_cyto	GRK_cyto	G_GDP_cyto	G_a_s_cyto	G_protein_cyto	MAPK_active_cyto	MAPK_cyto	MEK_active_cyto	MEK_cyto	PDE4_P_cyto	PDE4_cyto	PDE_high_km_cyto	PKA_cyto	PP2A_cyto	PP_PDE_cyto	PTP_PKA_cyto	PTP_PP_cyto	PTP_cyto	R2C2_cyto	bg_cyto	c2_R2C2_cyto	c3_R2C2_cyto	cAMP_cyto	c_R2C2_cyto	iso_BAR_G_cyto_mem	iso_BAR_cyto_mem	iso_BAR_p_cyto_mem	iso_extra
70.0.	0	145.7209536649043	154.2790463350955	3019329.1988082286	3000565.006736243	0.588796689001249	0.011625280654860001	1.9677664903570091	118.43223350964313	0.09755243371279801	0.504447566287209	0.24385983697468103	1.1513025935138361	2117.9295193658904	0.20792203378063	216.51207796621912	0.977974338239434	107.38202566176058	1.639720767814409	239.16027923218584	301	0.069337408668424	60.2	120.4	0.06266418252865101	60.2	120.3373358174715	116.16690718467792	30.441800729756608	0.0029239044308570004	0.0036236136959910004	101.34317934797949	4.15720788852682	93.06684066418642	0.331988863097471	0.000748503060079	5851.880759545377
77.0.	0	158.0668380221198	141.93316197788	3021150.418635275	2998734.0610826192	0.588792551406226	0.011634508272444001	3.076271440568181	117.32372855943198	0.105156701272007	0.49684329872800004	0.264340140598405	1.355452530664031	2115.235825144168	0.35757477480245403	216.3624252251973	1.656066714960955	106.70393328503908	2.473902587528549	238.32609741247165	301	0.100991816052779	60.2	120.4	0.09576814698296601	60.2	120.30423185301719	115.33578009095608	33.12800357441443	0.003494408292922	0.004466461133464	110.14065941054413	4.955267223564785	93.06628034931056	0.33240982329317204	0.0008827677176750001	5851.880768707419
84.0.	0	169.78119278552109	130.21880721447872	3023111.656094366	2996763.605517583	0.588788472836775	0.011643417718222	4.585641690473288	115.81435830952687	0.11228220331114201	0.48971779668886506	0.287164496371045	1.584817580356258	2112.6408764756557	0.5797642884173221	216.14023571158245	2.649414357136396	105.71058564286365	3.573599389924943	237.22640061007525	301	0.141634091010259	60.2	120.4	0.140029539038801	60.2	120.25997046096137	114.44542381172135	35.7159384305204	0.0041007157495490006	0.005401334269333	118.34400619778368	5.803440047249498	93.06572597971046	0.33281632582111403	0.0010258039135040001	5851.880777402997
91.0.	0	180.79291139839376	119.20708860160616	3025205.321257319	2994661.3726990116	0.588784472277171	0.01165196517578	6.563504610471178	113.836495389529	0.118930104199919	0.483069895800088	0.31250314233721704	1.841368338949136	2110.156753317475	0.8945484255585071	215.82545157444122	4.039164916268495	104.32083508373157	4.976025195793621	235.82397480420656	301	0.19233542032119202	60.2	120.4	0.19728528322593403	60.2	120.20271471677422	113.50259462799438	38.193523656765194	0.0047373820817440005	0.006428571813261	125.81403750388148	6.6939039977894055	93.0651801355062	0.333206361982578	0.001177065058369	5851.880785587413
98.0.	0	191.03139753991874	108.96860246008116	3027422.994578595	2992435.9208411095	0.588780569855591	0.011660103652742	9.066901575115619	111.33309842488457	0.12509916746587502	0.476900832534132	0.340436014667016	2.126231466399921	2107.796367787415	1.322443048786969	215.39755695121272	5.905180477592884	102.45481952240718	6.712703125291237	234.0872968747089	301	0.25398315497171303	60.2	120.4	0.269243691961324	60.2	120.1307563080388	112.51499853764842	40.547847821584824	0.005398437179276	0.0075484278611290005	132.4171340686138	7.618071442339424	93.06464554780203	0.333577778056907	0.001336000632877	5851.880793212312
105.0.	0	200.43185435153643	99.5681456484634	3029755.4492726712	2990096.598732308	0.588776786278922	0.011667784607213	12.13495857804555	108.26504142195463	0.130786710235325	0.471213289764682	0.37090558728739403	2.439148782510976	2105.5729943975907	1.882586898566676	214.83741310143296	8.317466691172962	100.04253330882709	8.806807456275047	231.9931925437251	301	0.327218311328051	60.2	120.4	0.357384007017988	60.2	120.04261599298216	111.49112562868743	42.76563852987035	0.006077546497798	0.008761236280080001	138.03786568756558	8.5668172772066	93.06412502522593	0.333928350059349	0.00150205382877	5851.880800227592
112.0.	0	208.94200658063684	91.05799341936297	3032192.7429607245	2987653.4405883723	0.5887731419280271	0.011674960505124002	15.781675604631875	104.61832439536833	0.135989955691069	0.46601004430893805	0.40366734473012605	2.777912616605817	2103.499539826978	2.59042329362678	214.12957670637277	11.32588572880671	97.03411427119333	11.2708556810316	229.5291443189685	301	0.412388254678391	60.2	120.4	0.46286131033396705	60.2	119.93713868966614	110.43998946300663	44.83399132177227	0.006768226458904	0.010067534282301002	142.59237229877547	9.53078652157376	93.06362133585041	0.334255901120504	0.001674660596133	5851.880806584377
119.0.	0	216.52931248417482	83.47068751582493	3034724.392946275	2985116.978867255	0.5887696556162401	0.011681588293273001	19.989966541527096	100.41003345847314	0.14070778835417602	0.46129221164583106	0.438254585080236	3.137941689839059	2101.5875598881607	3.455068014556704	213.26493198544284	14.949229620548268	93.41077037945179	14.105119549314708	226.6948804506854	301	0.509523163761865	60.2	120.4	0.586428849242379	60.2	119.81357115075774	109.37078455900323	46.74135098340011	0.007464098794845	0.011468101997631002	146.04000122627585	10.500760076442413	93.06313704479085	0.334558460677069	0.0018532506227360002	5851.880812239035
126.0.	0	223.1870332244745	76.81296677552518	3037339.63476537	2982497.9782955395	0.5887663431236541	0.011687633465558001	24.7082212419683	95.69177875803193	0.14494276460945202	0.45705723539055504	0.47397724222714704	3.512209398344369	2099.8461185814717	4.476681827416245	212.24331817258332	19.165379352920127	89.19462064707996	17.297073734206368	223.50292626579372	301	0.618341845240864	60.2	120.4	0.728389592699885	60.2	119.67161040730022	108.29249507811801	48.478650520856995	0.008159156696595001	0.012963888309406	148.39032169058444	11.468040031635109	93.06267432216484	0.33483445055625605	0.002037250689864	5851.880817157858
133.0.	0	228.93729646810138	71.06270353189828	3040027.742137596	2979807.115300086	0.5887632157460071	0.011693074049437	29.85052714901973	90.5494728509805	0.14870306019280502	0.45329693980720204	0.5099693425753701	3.891689870163526	2098.280681899965	5.644317543678568	211.07568245632098	23.904783805422234	84.45521619457783	20.822052556669867	219.97794744333015	301	0.7382871562591721	60.2	120.4	0.8885855728193991	60.2	119.5114144271807	107.21350458769152	50.0404154461664	0.008848008073422	0.014555825150130002	149.70324576898724	12.424804422825728	93.06223475261659	0.335082867028522	0.0022260905596480003	5851.88082132163
