	E	E_M	E_P2	E_P_1	E_P_2	M	P	P2	T
48	0.0001416979377739029	2.978676396533305e-06	5.750688267459009e-07	4.238337006164733e-06	5.099799966534291e-07	0.02914900360129228	0.037727961959311176	0.03678503222263423	0.8963297001545348
49	0.00014230774882437685	2.746364797400865e-06	5.763127090134868e-07	3.900271241407922e-06	4.693024278008684e-07	0.02676044647725397	0.0345698389311179	0.036706564076194916	0.9019554582642562
50	0.00014287454649617568	2.5299661774132224e-06	5.771861941137807e-07	3.586725919436461e-06	4.315752128610113e-07	0.02455405882991438	0.03166461001316601	0.036616299170522004	0.9071579065328927
51	0.00014340063198780778	2.3287365160341902e-06	5.77712978010119e-07	3.2962899436301605e-06	3.9662857451792776e-07	0.022518138383030534	0.028993784028581517	0.03651520786544954	0.9119662703549255
52	0.0001438883012559658	2.141908515729764e-06	5.77916239824298e-07	3.0275781357393514e-06	3.642958527409257e-07	0.02064137394645007	0.026539956146830915	0.036404202600690876	0.9164083556072833
53	0.00014433981887787504	1.968707970718667e-06	5.778184975023906e-07	2.7792400882991133e-06	3.344145656049603e-07	0.018912898182766993	0.02428678420698843	0.036284139188899674	0.9205105182402211
54	0.0001447574070257395	1.80835697739077e-06	5.774414821499795e-07	2.549967245553794e-06	3.0682726916612656e-07	0.017322325467982652	0.02221895887821012	0.036155818437419725	0.9242976546234123
55	0.00014514322496287027	1.6600881342353696e-06	5.768060524388014e-07	2.338498608532968e-06	2.8138224192276375e-07	0.01585977697397018	0.020322168829121426	0.03601998803514554	0.9277932093867246
56	0.00014549935910851362	1.5231496694168928e-06	5.759321264197954e-07	2.143625091833689e-06	2.579340038159849e-07	0.014515894949471793	0.018583062010920297	0.03587734464480289	0.9310191977539128
57	0.00014582781802687889	1.3968071796636338e-06	5.748386328333777e-07	1.9641924774125884e-06	2.3634368321156194e-07	0.013281848024012818	0.01698920409480044	0.03572853614468819	0.9339962395545244
58	0.000146130517356316	1.2803562925187462e-06	5.735434938760463e-07	1.7991035949762757e-06	2.164792623127165e-07	0.012149329163367573	0.015529034979518143	0.035574163970638714	0.9367436024038297
