	AC_PKA_cyto_mem	AC_active_cyto_mem	AC_cyto_mem	AMP_cyto	ATP_cyto	BAR_G_cyto_mem	BAR_cyto_mem	B_Raf_active_cyto	B_Raf_cyto	GRK_bg_cyto	GRK_cyto	G_GDP_cyto	G_a_s_cyto	G_protein_cyto	MAPK_active_cyto	MAPK_cyto	MEK_active_cyto	MEK_cyto	PDE4_P_cyto	PDE4_cyto	PDE_high_km_cyto	PKA_cyto	PP2A_cyto	PP_PDE_cyto	PTP_PKA_cyto	PTP_PP_cyto	PTP_cyto	R2C2_cyto	bg_cyto	c2_R2C2_cyto	c3_R2C2_cyto	cAMP_cyto	c_R2C2_cyto	iso_BAR_G_cyto_mem	iso_BAR_cyto_mem	iso_BAR_p_cyto_mem	iso_extra
38	0.0	255.4422853151138	44.557714684885575	3096258.5729817967	2923584.3970045005	0.5887275876010695	0.011722720313910218	95.14812699478821	25.251873005211987	0.1686955346316374	0.43330446536836126	0.7874439219855138	6.902700656891087	2089.6922720139137	20.629122175325595	196.09087782467498	76.68791993427939	31.672080065721026	101.51856403081304	139.28143596918702	301.0	4.0870262086284415	60.2	120.4	5.916032123962059	60.2	114.48396787603812	90.69749976339561	58.60990610726766	0.018641737151112288	0.06055650529894351	114.92668008440803	25.536275785526314	93.0569041333309	0.33644213966526737	0.0062034190890207066	5851.8808105542375
39	0.0	255.52591257211418	44.47408742788519	3099289.5038114423	2920553.747554106	0.588726196592996	0.011722810560933413	96.24261641931464	24.157383580685554	0.16877119057520354	0.4332288094247952	0.7888021316533541	6.9178717162846874	2089.659061319183	20.79462452628102	195.92537547371955	77.08250142992324	31.27749857007717	104.96784234265598	135.83215765734408	301.0	4.2853925392436985	60.2	120.4	6.221137747705108	60.2	114.17886225229505	90.04030936918497	58.64308517178561	0.019004474971963486	0.06355974402873692	113.38664223159194	25.991733872571036	93.05668539568957	0.33644670249638775	0.006418894660286329	5851.880808212867
40	0.0	255.59275348554226	44.40724651445711	3102321.208181897	2917522.252099064	0.5887248133780579	0.011722877418724704	97.24716403950073	23.152835960499473	0.1688317540302142	0.4331682459697845	0.789891079938377	6.930038580221667	2089.632481148815	20.946884407627266	195.77311559237333	77.43023702116024	30.92976297884018	108.29886677075324	132.50113322924682	301.0	4.4845456657210345	60.2	120.4	6.527173649968254	60.2	113.87282635003193	89.39829728449139	58.669648603238215	0.019356845946681422	0.0665976581346026	111.93182715558066	26.431202545706704	93.0564676562065	0.3364502001855185	0.0066344528113509585	5851.880805843425
41	0.0	255.6461721142921	44.35382788570726	3105353.5158225573	2914490.0850350177	0.5887234364149664	0.011722925517277402	98.17250928227517	22.22749071772502	0.1688802164687575	0.4331197835312412	0.790763523161358	6.939788565249411	2089.6112186579453	21.08832251841395	195.63167748158662	77.73935631190275	30.62064368809767	111.51429444849308	129.28570555150702	301.0	4.684428283629924	60.2	120.4	6.83400225955245	60.2	113.56599774044773	88.77068041867531	58.690906294800364	0.019699394162101074	0.06966788262048945	110.55750282567755	26.8555240209126	93.05625071751537	0.33645284358695426	0.006850076965609387	5851.88080345147
42	0.0	255.68885956676172	44.31114043323766	3108386.291387079	2911457.3858420006	0.5887220644636731	0.011722958580899024	99.02773185932227	21.372268140677928	0.16891898279242815	0.43308101720757053	0.791462095072071	6.947596769569342	2089.5942179249514	21.220812085189277	195.49918791481127	78.01624779855577	30.34375220144467	114.61714443414328	126.18285556585683	301.0	4.884992165017177	60.2	120.4	7.141507841985553	60.2	113.25849215801462	88.15672683283704	58.70791179520125	0.020032623481051642	0.07276823574358042	109.2589521556173	27.26548014292159	93.0560344208156	0.3364548023072619	0.007065753832746143	5851.880801041471
43	0.0	255.72296713801862	44.27703286198075	3111419.427448227	2908424.266003472	0.5887206965283052	0.01172297960005255	99.82055892133633	20.579441078663873	0.1689499831353753	0.4330500168646233	0.7920211558405261	6.953846387817884	2089.58063116172	21.345817790347965	195.3741822096526	78.26592676194275	30.094073238057675	117.61069408617698	123.18930591382313	301.0	5.086196536532781	60.2	120.4	7.4495926441581375	60.2	112.95040735584203	87.5557533470918	58.721510988126674	0.020357000432959595	0.07589670733597441	108.03156161591593	27.661796408606932	93.05581863857029	0.3364562125321784	0.007281472769344214	5851.880798617023
44	0.0	255.75021525614042	44.24978474385893	3114452.838773777	2905390.814667944	0.5887193318095331	0.01172299097469722	100.55761368021429	19.842386319785916	0.16897476593298888	0.43302523406700966	0.7924683610512997	6.958846035405307	2089.5697780322726	21.46450048823353	195.25549951176706	78.49238580319458	29.86761419680583	120.49839327345047	120.30160672654964	301.0	5.288006718195339	60.2	120.4	7.758173639689775	60.2	112.64182636031039	86.96712280695051	58.73238268175162	0.020672957124637188	0.07905144745006523	106.87088507164009	28.04514607027986	93.05560326840937	0.3364571835550884	0.007497225251465101	5851.8807961810035
45	0.0	255.77197957367568	44.22802042632364	3117486.4578231024	2902357.103119806	0.5887179696663205	0.011722994629322425	101.24460702542159	19.15539297457863	0.16899457248407662	0.4330054275159221	0.7928259389540452	6.962843891356317	2089.5611130153757	21.57779213064756	195.14220786935297	78.69884433099365	29.66115566900677	123.28379678756883	117.51620321243128	301.0	5.490393023787719	60.2	120.4	8.067179880506034	60.2	112.3328201194941	86.3902412549099	58.741071172561334	0.02098089392969191	0.08223075190263877	105.77267686928539	28.416154075470466	93.05538822823307	0.3364578030161346	0.007713004455306767	5851.880793735724
46	0.0	255.78936037564796	44.21063962435143	3120520.231122973	2899323.188377686	0.5887166095847386	0.011722992106691067	101.88649164401762	18.513508355982587	0.1690103976377617	0.4329896023622371	0.7931117420408156	6.9660393567949095	2089.5541988136742	21.68645044559362	195.03354955440696	78.88793081917392	29.472069180826495	125.97051071339465	114.82948928660547	301.0	5.693329845486441	60.2	120.4	8.376550300974657	60.2	112.02344969902549	85.82455492789494	58.74801277632746	0.02128118224624823	0.08543305303643546	104.7329174376344	28.775400991336348	93.05517345221931	0.3364581411715202	0.007928804917895048	5851.880791283035
47	0.0	255.80323738062836	44.196762619371	3123554.1164188012	2896289.1160356915	0.5887152511531084	0.011722984642540483	102.48758342230565	17.912416577694568	0.16902303810867478	0.432976961891324	0.7933400910970342	6.968592436872146	2089.5486851681458	21.791098653234055	194.9289013467665	79.06181547190378	29.298184528096645	128.56214947142738	112.23785052857272	301.0	5.8967949195862985	60.2	120.4	8.686231942946119	60.2	111.71376805705404	85.26954748479592	58.75355696598607	0.021574166864978362	0.08865690698901357	103.74782024462678	29.123426521764205	93.05495888764085	0.33645825429554044	0.008144622268109683	5851.880788824423
48	0.0	255.8143124723669	44.18568752763241	3126588.0804579477	2893254.922477338	0.5887138940424794	0.011722973224230323	103.05165944248326	17.348340557516973	0.16903313038066933	0.43296686961932945	0.7935224419194684	6.970631158737444	2089.544292227588	21.89225410255294	194.8277458974476	79.22230647723046	29.137693522769986	131.06230234790092	109.73769765209917	301.0	6.100768741511856	60.2	120.4	8.996178543475956	60.2	111.40382145652421	84.72473761268034	58.75798296474953	0.021860168010920677	0.0919009844544462	102.81383395748355	29.46073249334286	93.05474449236554	0.33645818735147487	0.0083604530164142	5851.88078636107
49	0.0	255.82314860150152	44.17685139849779	3129622.096972738	2890220.6368935136	0.5887125379886945	0.011722958644605333	103.58204500549594	16.8179549945043	0.16904118548620453	0.4329588145137942	0.7936680021046602	6.972258445959603	2089.5407952775254	21.99035246076713	194.72964753923344	79.37093066652146	28.989069333478987	133.4745073586462	107.32549264135389	301.0	6.30523400950994	60.2	120.4	9.306349198696262	60.2	111.0936508013039	84.18967581213032	58.76151498287827	0.022139483874079612	0.09516405930605473	101.9276399214618	29.78778663518003	93.05453023255976	0.33645797644452335	0.008576294362574751	5851.88078389393
