	ATIII	II	IIa	IIa_ATIII	IX	IXa	IXa_ATIII	IXa_VIIIa	IXa_VIIIa_X	TF	TFPI	TF_VII	TF_VIIa	TF_VIIa_ATIII	TF_VIIa_IX	TF_VIIa_X	TF_VIIa_Xa	TF_VIIa_Xa_TFPI	V	VII	VIII	VIIIa	VIIIa1_L	VIIIa2	VIIa	Va	X	Xa	Xa_ATIII	Xa_TFPI	Xa_Va	Xa_Va_II	mIIa	mIIa_ATIII
26	2.003848864271495e-06	-7.86384371460454e-21	2.002074937826985e-08	9.3047919727948e-07	9e-08	9.873749704809568e-11	4.931194974267363e-11	3.1413079680565006e-11	3.05374735286653e-11	0.0	5.486104903938896e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0922036617420603e-60	-6.41313477992749e-26	-5.140194114374527e-57	1.0738475720775526e-10	5.306646895830151e-10	5.306646895830151e-10	1.0100000000000004e-08	2.2996092518641253e-10	7.970057380783419e-08	4.302513753584073e-08	1.5122573157022285e-08	2.445138950960608e-09	1.9770039074802257e-08	1.1219571591773088e-20	-1.0293224623671045e-20	4.5050005334225727e-07
27	1.9991340645494596e-06	-6.3167515266837285e-21	1.6881932540099104e-08	9.336180141176433e-07	9e-08	9.895746885842229e-11	5.047518668301581e-11	3.1280742717088815e-11	2.9286601741472764e-11	0.0	4.264763160362639e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.410680404250313e-62	7.838362006435096e-26	-1.6051557174440344e-58	1.0062335456825021e-10	5.388093009731894e-10	5.388093009731894e-10	1.0100000000000004e-08	2.221614479469567e-10	7.675797651031142e-08	4.4374153163543735e-08	1.669739280395399e-08	2.457352368396371e-09	1.9777838552042386e-08	1.0549161953023299e-20	-3.871346430661457e-21	4.5050005334225727e-07
28	1.994874688986749e-06	2.2992376584872423e-20	1.4240651441813597e-08	9.362592952159291e-07	9e-08	9.922481180127386e-11	5.1638691592687474e-11	3.109386835026824e-11	2.8042628255770103e-11	0.0	3.465130147390704e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.7770476818944531e-62	7.695281281183602e-27	-8.363248347121192e-59	9.439603829771014e-11	5.464674650962523e-10	5.464674650962523e-10	1.0100000000000004e-08	2.1723015599187594e-10	7.393819810580541e-08	4.5565316959936225e-08	1.8314323763468407e-08	2.465348698526091e-09	1.9782769844045007e-08	-3.6989562249885417e-20	1.3995267985180294e-20	4.505000533422572e-07
29	1.9909958516338953e-06	-1.3111462521295306e-22	1.2016507538671785e-08	9.384834391190707e-07	9e-08	9.952890021839817e-11	5.2803189228622705e-11	3.08553988779791e-11	2.6812511674999728e-11	0.0	2.9451081938315245e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.4980322853248743e-63	3.1706611504246457e-32	-7.050131888028468e-60	8.865641070477474e-11	5.536756787422471e-10	5.536756787422471e-10	1.0100000000000004e-08	2.12328505470041e-10	7.12401933514214e-08	4.6600921008767776e-08	1.9967852715544208e-08	2.470548918061683e-09	1.9787671494529598e-08	2.5131485082140403e-22	-6.88820157326685e-23	4.505000533422572e-07
30	1.9874360580266557e-06	2.504681369606083e-20	1.014270876021015e-08	9.403572378975322e-07	9e-08	9.986027542208317e-11	5.396924268773563e-11	3.0568315695795374e-11	2.5602166194385564e-11	0.0	2.6079525989758454e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.3763694816802722e-64	1.4126303694999001e-30	-6.477555118102428e-61	8.336231742102566e-11	5.604672006887942e-10	5.604672006887942e-10	1.0100000000000004e-08	2.085271127975673e-10	6.86622875727164e-08	4.7488035409013466e-08	2.1652681490863097e-08	2.4739204740102397e-09	1.9791472887242564e-08	-4.023906803966668e-20	1.529251058827387e-20	4.505000533422572e-07
31	1.9841446337446955e-06	5.56707321324083e-23	8.56351844832535e-09	9.419364282094171e-07	9e-08	1.002105005532818e-10	5.5137276833962725e-11	3.0235660724075405e-11	2.4416561888679863e-11	0.0	2.3891356814621302e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.967626399654467e-65	-1.2071791287601395e-32	-9.260166380418372e-62	7.847537270994352e-11	5.668724046773021e-10	5.668724046773021e-10	1.0100000000000004e-08	2.052080346086476e-10	6.620228068811945e-08	4.8232654714622905e-08	2.3363747426792223e-08	2.4761086431853768e-09	1.9794791965391375e-08	-1.2623007089170433e-22	7.424552238936219e-23	4.505000533422572e-07
32	1.9810793332722384e-06	1.458262813094484e-20	7.231821591795455e-09	9.432681250659472e-07	9e-08	1.0057196736555027e-10	5.630759930089184e-11	2.986058357196997e-11	2.3259849761587777e-11	0.0	2.24612250810566e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.110723432477952e-66	-1.7817843530787374e-31	-2.8758698783150993e-62	7.396018670722536e-11	5.72919379959218e-10	5.72919379959218e-10	1.0100000000000004e-08	2.0269826090466809e-10	6.38574990499791e-08	4.884221986599237e-08	2.509618072025265e-08	2.4775387749189414e-09	1.97973017391188e-08	-2.357227195110777e-20	8.929716057673645e-21	4.505000533422572e-07
33	1.9782062067301037e-06	2.5104651548958266e-21	6.10918612948138e-09	9.44390760528261e-07	9e-08	1.0093808018862992e-10	5.7480407297033347e-11	2.9446149869861076e-11	2.2135362644475436e-11	0.0	2.1522705527911612e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.496280166649567e-66	2.6768367651865074e-30	-3.998582461298472e-62	6.978534783568909e-11	5.786331396499753e-10	5.786331396499753e-10	1.0100000000000004e-08	2.0074851610569947e-10	6.162499069623201e-08	4.932364617067987e-08	2.6845498992077244e-08	2.4784772944720863e-09	1.979925148389804e-08	-3.841550859557855e-21	1.4134786879221786e-21	4.505000533422572e-07
34	1.9754962524270934e-06	-1.7253162905235494e-20	5.162259814080427e-09	9.453376868436622e-07	9e-08	1.0130278753292145e-10	5.865581512051808e-11	2.899562101911245e-11	2.1045776327447768e-11	0.0	2.090012813736894e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.5323700998471418e-66	1.3374851396498647e-30	-7.21176277924525e-63	6.592131156390769e-11	5.840372910895329e-10	5.840372910895329e-10	1.0100000000000004e-08	1.992985065838222e-10	5.9501443553301684e-08	4.968435773322886e-08	2.8607351571863192e-08	2.479099871862629e-09	1.980070149338835e-08	2.772120473664221e-20	-1.0512777713230767e-20	4.505000533422572e-07
35	1.972925679904702e-06	-2.13561426656209e-23	4.363154968160655e-09	9.46136791689582e-07	9e-08	1.0166073553955061e-10	5.983385229574315e-11	2.85122450309639e-11	1.9993167133742096e-11	0.0	2.048606543081169e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7141787729129967e-66	-1.087463622575537e-31	8.067443186931651e-63	6.234109759653156e-11	5.891534902387633e-10	5.891534902387633e-10	1.0100000000000004e-08	1.9824945331272023e-10	5.748328036208039e-08	4.993182077836983e-08	3.0377641211159574e-08	2.4795139345691862e-09	1.9801750546687148e-08	2.398384746300705e-23	-3.1257201378345727e-23	4.505000533422572e-07
