	s1	s16	s17	s19	s2	s3	s4	s42	s45	s5
10	1.5598134378207182e-29	7.112695462173231e-06	2.8873045342842118e-06	7.648669626377705e-07	1.8001836186149325e-30	5.235300843834523e-06	4.40587735733192e-12	2.112527655700935e-06	3.542545087672741e-15	1.6340059494302934e-10
11	-2.3022392679607974e-32	7.112694491062083e-06	2.8873055051138097e-06	6.207331998420028e-07	-2.6570186637858913e-33	5.379432965369749e-06	2.7648802368553213e-12	2.112528325850331e-06	3.824094236970751e-15	1.6340033152022623e-10
12	1.3485270325118419e-35	7.1126934834968745e-06	2.887306512408729e-06	5.037587155778467e-07	1.556337581354099e-36	5.496404711279656e-06	2.6031923419709246e-14	2.1125300566393712e-06	4.094381590355874e-15	1.6340082558697745e-10
13	3.8870741852006675e-38	7.11269341435127e-06	2.8873065812948584e-06	4.0883136478445115e-07	4.4860796188577604e-39	5.591331934984363e-06	-1.0100495341538155e-13	2.1125301145824544e-06	4.353857571507634e-15	1.6340077377594096e-10
14	-5.711006197568082e-38	7.112693436191852e-06	2.8873065592051785e-06	3.317927384945295e-07	-6.591082980436988e-39	5.668370589998482e-06	-7.227333415779257e-14	2.11253010769884e-06	4.602954655592541e-15	1.6340076635423197e-10
15	-1.6957272409829582e-40	7.112693485723656e-06	2.8873065094342404e-06	2.692712829102806e-07	-1.9570419941455632e-41	5.730892140106616e-06	2.222119941141674e-14	2.1125300627067597e-06	4.842088002358225e-15	1.634007957055876e-10
16	2.1091902724979648e-40	7.11269373788933e-06	2.8873062570389995e-06	2.1852855649706076e-07	2.4342204554905006e-41	5.781635384926329e-06	5.404808059776089e-13	2.1125297964659407e-06	5.0716562590914436e-15	1.6340094259119388e-10
17	-5.985983266371846e-41	7.112692298849964e-06	2.8873076958579782e-06	1.7734627764197035e-07	-6.908434532071848e-42	5.822814829452567e-06	-2.293125945632353e-12	2.11253119175543e-06	5.292041883344005e-15	1.6340022048949035e-10
18	-2.0414023015147816e-42	7.112692396020716e-06	2.887307598475656e-06	1.4392671163924494e-07	-2.3559862308421046e-43	5.856234337801976e-06	-2.35094938000057e-12	2.1125313465794994e-06	5.503612200647492e-15	1.6340039060763871e-10
19	-4.651331612985717e-44	7.112695204021913e-06	2.8873047902713526e-06	1.1681051385130845e-07	-5.3681105518297304e-45	5.883356205243203e-06	3.3181671920461864e-12	2.112528484927405e-06	5.706719823550475e-15	1.6340092732708148e-10
