	A	E	G	R
49	7.98903059849331	31912.02741874256	12758825.70713611	22636.092115839012
50	7.991156146058775	31928.104771961254	12765409.507445216	22662.30801353749
51	7.992903574888958	31941.41095006165	12770859.485448709	22684.133516858717
52	7.994338837922464	31952.40863400476	12775364.707482602	22702.271872696117
53	7.995516702302041	31961.48686016109	12779084.204595577	22717.321348037513
54	7.996482567942849	31968.971859660986	12782151.378666462	22729.78903150774
55	7.997274010365845	31975.136524289832	12784677.854088103	22740.103293921416
56	7.997922084366608	31980.20861428245	12786756.820480214	22748.624907242047
57	7.998452421679743	31984.377831012698	12788465.915283157	22755.65686847702
58	7.998886152309313	31987.801878423536	12789869.695651354	22761.453006016804
59	7.999240675672256	31990.61163280937	12791021.748244898	22766.225464139272
60	7.99953030444947	31992.915533309857	12791966.481720006	22770.151170338035
61	7.999766800926441	31994.803296385737	12792740.644030793	22773.377392307273
62	7.999959822884734	31996.349047664753	12793374.60223369	22776.026489007443
63	8.00011729361744	31997.613954500157	12793893.418681944	22778.199954808195
64	8.000245708429594	31998.648432434446	12794317.753328726	22779.981847842933
65	8.000350388237601	31999.493990632167	12794664.618642157	22781.441687182425
66	8.000435688981373	32000.184770931	12794948.009345617	22782.63689186307
67	8.000505174410959	32000.748829337637	12795179.426903151	22783.614829264705
68	8.000561758458634	32001.209200880065	12795368.315525899	22784.41453062916
69	8.000607822433729	32001.584782917937	12795522.423705088	22785.068124400557
70	8.00064531137841	32001.89106669585	12795648.103971826	22785.602031204697
71	8.000675813228371	32002.140742298277	12795750.560624622	22786.037958070898
72	8.000700623793769	32002.344198334664	12795834.05446138	22786.39372427735
73	8.000720800054166	32002.509934113987	12795902.071666965	22786.68394611396
74	8.000737203829011	32002.644899192746	12795957.462970328	22786.920603704377
75	8.000750537547416	32002.754772873443	12796002.558191568	22787.11350966726
76	8.00076137352423	32002.84419403005	12796039.260463232	22787.27069608159
77	8.00077017790551	32002.91694989587	12796069.123612212	22787.3987335794
78	8.000777330242814	32002.976131015417	12796093.41568844	22787.50299418434
79	8.000783139485332	32003.024258340352	12796113.171147907	22787.587867618946
80	8.000787857046099	32003.063387386002	12796129.233426558	22787.6569391228
81	8.000791687458296	32003.09519352861	12796142.290050812	22787.71313549485
82	8.000794797075942	32003.121041821265	12796152.901216011	22787.75884495494
83	8.000797321168395	32003.142044107182	12796161.523231851	22787.796015445707
84	8.000799369704282	32003.159105700608	12796168.527649257	22787.826235170054
85	8.000801032061483	32003.172963509598	12796174.216920039	22787.850798509604
86	8.000802380871608	32003.184217225265	12796178.837193	22787.870760067573
87	8.000803475144295	32003.19335472219	12796182.588719608	22787.886978767692
88	8.00080436281364	32003.20077280956	12796185.634368211	22787.900153947816
89	8.00080508280866	32003.206794150123	12796188.106607934	22787.910854838763
90	8.000805666740959	32003.211681048957	12796190.113100057	22787.91954462927
91	8.000806140279071	32003.215646734512	12796191.74138155	22787.926600184484
92	8.00080652425627	32003.218864448037	12796193.062573098	22787.932327956292
93	8.000806835582988	32003.22147494816	12796194.134460201	22787.936977138033
94	8.000807087985194	32003.223592593193	12796195.00398964	22787.940750340058
95	8.000807292597925	32003.225310238613	12796195.709284028	22787.94381219567
96	8.000807458456812	32003.22670329666	12796196.281305391	22787.946296503425
97	8.00080759289216	32003.227832995362	12796196.745190196	22787.948311967135
98	8.000807701849581	32003.228749035938	12796197.121346623	22787.94994688098
99	8.000807790151985	32003.22949176271	12796197.426336823	22787.95127295911
100	8.00080786171046	32003.23009391558	12796197.673602398	22787.95234843119
