time	species_1	species_10	species_11	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
1000.0.	2.48086997875821	5	20	297.5191300212417	0.007960402995717	0.548918026558582	1199.4430637804442	1.9286192775567687e-06	0.011554846600069	1199.9883854347777	100
1040.0.	2.4808699787586512	5	20	297.5191300212412	0.007960402994566	0.5489180265586321	1199.4430637804453	1.928619277558157e-06	0.011554846600073	1199.9883854347777	100
1080.0.	2.480869978758704	5	20	297.5191300212412	0.007960402994428	0.5489180265586381	1199.4430637804453	1.9286192775583243e-06	0.011554846600074001	1199.9883854347777	100
1120.0.	2.480869978758711	5	20	297.5191300212412	0.007960402994411	0.5489180265586391	1199.4430637804453	1.928619277558345e-06	0.011554846600074001	1199.9883854347777	100
1160.0.	2.480869978758711	5	20	297.5191300212412	0.007960402994409001	0.5489180265586391	1199.4430637804453	1.928619277558346e-06	0.011554846600074001	1199.9883854347777	100
1200.0.	2.480869978758711	5	20	297.5191300212412	0.007960402994409001	0.5489180265586391	1199.4430637804453	1.928619277558347e-06	0.011554846600074001	1199.9883854347777	100
1240.0.	2.480869978758711	5	20	297.5191300212412	0.007960402994409001	0.5489180265586391	1199.4430637804453	1.928619277558347e-06	0.011554846600074001	1199.9883854347777	100
1280.0.	2.480869978758712	5	20	297.5191300212412	0.007960402994409001	0.5489180265586391	1199.4430637804453	1.928619277558347e-06	0.011554846600074001	1199.9883854347777	100
1320.0.	2.480869978758712	5	20	297.5191300212412	0.007960402994409001	0.5489180265586391	1199.4430637804453	1.928619277558347e-06	0.011554846600074001	1199.9883854347777	100
1360.0.	2.480869978758712	5	20	297.5191300212412	0.007960402994409001	0.5489180265586391	1199.4430637804453	1.928619277558347e-06	0.011554846600074001	1199.9883854347777	100
1400.0.	2.480869978758712	5	20	297.5191300212412	0.007960402994409001	0.5489180265586391	1199.4430637804453	1.928619277558347e-06	0.011554846600074001	1199.9883854347777	100
1440.0.	2.480869978758712	5	20	297.5191300212412	0.007960402994409001	0.5489180265586391	1199.4430637804453	1.928619277558347e-06	0.011554846600074001	1199.9883854347777	100
1480.0.	2.480869978758712	5	20	297.5191300212412	0.007960402994409001	0.5489180265586391	1199.4430637804453	1.928619277558347e-06	0.011554846600074001	1199.9883854347777	100
1520.0.	2.480869978758712	5	20	297.5191300212412	0.007960402994409001	0.5489180265586391	1199.4430637804453	1.928619277558347e-06	0.011554846600074001	1199.9883854347777	100
1560.0.	2.480869978758712	5	20	297.5191300212412	0.007960402994409001	0.5489180265586391	1199.4430637804453	1.928619277558347e-06	0.011554846600074001	1199.9883854347777	100
