time	IkBa_cytoplasm	IkBa_mRNA_cytoplasm	IkBa_mRNA_nucleus	IkBa_pre_mRNA_1	IkBa_pre_mRNA_2	JNK	JNK_P	LPS	MSK1	MSK1_P	TNFR1_EL	TNFR1_cytoplasm	TNFa_TNFR1_EL	TNFa_TNFR1_cytoplasm	TNFa_mRNA_LSEC	TNFa_mRNA_MC	TNFa_pre_mRNA_LSEC	TNFa_pre_mRNA_MC	p38	p38_P	p65_2P	p65_IkBa_nucleus	p65_cytoplasm	p65_nucleus	s11	s14	s15	s16	s19	s3	s5	s8
18900.0.	0.27266539854084104	2.352444102588728	0.000308380437102	50.634637859630175	51.976532354710464	0.899583918882159	0.10041608111743901	0.013810287499267	14.989012718994701	0.010987281034744	5.306200794374668e-07	2.4734296536761533e-08	4.4491306143628803e-10	0.00029986946121600004	2.386546884758721e-07	1.539993062127218e-06	0.133690184122558	0.07495990733860901	0.8876817910900551	0.11231820890984301	0.419629566465806	0.6726427074951841	0.000646133329258	0.03230123030412	0.545330577367043	0.299976842964542	2.315703571401451e-05	0.014808851564668001	0.033631878134321	0.006042114973131001	0.12428554362714901	0.302058353955382
19800.0.	0.2831599729457	2.347010036550338	0.00030146655812000005	48.79221785424855	50.81121605934954	0.899584341483554	0.100415658516044	0.010431737702999001	14.989012746726681	0.010987253302768	5.224701861729612e-07	2.436755438243932e-08	4.449085658763836e-10	0.00029987145166800004	2.388681540054253e-07	1.5418220602567371e-06	0.133809631186341	0.07504794150028801	0.8876820637541081	0.112317936245791	0.417506395683018	0.6740786297116921	0.0006224429823680001	0.031116702271614	0.566319729993506	0.299976843099647	2.315690060938027e-05	0.015039699500230002	0.033703673902355	0.006061157299429001	0.126143778560758	0.303010375793416
20700.0.	0.288110311950631	2.308886726783897	0.000293265180861	47.394832533662274	49.42889995873878	0.8995846289504431	0.100415371049155	0.007879716594294001	14.98901276689572	0.01098723313373	5.157921144021948e-07	2.406704365070195e-08	4.449048958845915e-10	0.00029987308265700004	2.389775311907336e-07	1.542871463318447e-06	0.133870801811476	0.07509826717257201	0.8876822631805931	0.11231773681930501	0.416127977519797	0.674851671570006	0.000611534424572	0.030571266088615004	0.5762204119122181	0.29997684320951	2.315679074633546e-05	0.015234296067701	0.033742325872159	0.006074076851256001	0.12711960332591302	0.30365630085814205
21600.0.	0.28819188912652405	2.257519690972512	0.00028589179843000004	46.5441467441889	48.18614216438003	0.8995848348571701	0.10041516514242801	0.005952022116689001	14.989012782211732	0.010987217817722	5.103203190249926e-07	2.382081490035017e-08	4.449018743804482e-10	0.000299874419036	2.390079688225622e-07	1.543328706714257e-06	0.133887776298298	0.07511995168125901	0.88768241527386	0.112317584726039	0.415479376385231	0.6750691519223171	0.0006108563083980001	0.030537355246346	0.576383569482762	0.29997684329961505	2.3156700641169004e-05	0.015397537860119001	0.033753199933361004	0.006080854632477001	0.127335296986432	0.30399517319046704
22500.0.	0.28484136193305504	2.207904173631936	0.000280501488138	46.212544167008254	47.277625958542025	0.8995849890352091	0.10041501096439001	0.004495918969980001	14.989012794224694	0.010987205804761	5.058415843609987e-07	2.361927350080487e-08	4.4489937092488607e-10	0.00029987551288000004	2.3897861777251125e-07	1.5433368968150919e-06	0.133871276785116	0.07511991742705401	0.8876825349425831	0.112317465057315	0.41543666547040803	0.674877843176217	0.000617401319189	0.030864603747210003	0.5696825171923621	0.29997684337408503	2.3156626170739012e-05	0.015533780621294001	0.033743634647115	0.00608245837176	0.126986977679402	0.30407537018589004
23400.0.	0.27977239527554304	2.169304190424072	0.000277477673302	46.29802431445796	46.76797513132707	0.8995851086681911	0.100414891331407	0.003396037009611	14.98901280387162	0.010987196157834	5.021833953879909e-07	2.345465633700525e-08	4.448972805538863e-10	0.000299876406322	2.3890403269231266e-07	1.543005009999322e-06	0.13382945206326402	0.075103435586213	0.88768263126081	0.11231736873908801	0.41582468703878406	0.6744416896469531	0.000627962268062	0.031392651373045005	0.559544584753348	0.299976843436065	2.3156564190739324e-05	0.015646863981392003	0.033721827168154	0.006080320782712	0.12630400290347202	0.303968517207986
24300.0.	0.274549633115136	2.1457113483512398	0.000276652137754	46.65928756919847	46.628836713482194	0.8995852040711321	0.10041479592846601	0.002565230256074	14.989012811752804	0.010987188276655001	4.99205256065934e-07	2.332064113925782e-08	4.4489552481409096e-10	0.000299877133674	2.387952585713963e-07	1.542415868483422e-06	0.133768485934654	0.07507451210303001	0.8876827100809801	0.11231728991891801	0.41644905411738703	0.673923669950182	0.000639428124695	0.031965945709313	0.549099060266899	0.29997684348798404	2.315651227238298e-05	0.015740147317639	0.033695926371628	0.006076056365341	0.12551453295762102	0.30375532887993
25200.0.	0.27029717469116704	2.136991559166851	0.00027750659621300004	47.14444227925031	46.772854988862214	0.89958528173311	0.10041471826648901	0.001937672130208	14.989012818274697	0.010987181754762002	4.967921161577634e-07	2.321205069024137e-08	4.4489404135818663e-10	0.000299877723037	2.386606675627285e-07	1.54163232312932e-06	0.13369306574053	0.07503618685684	0.887682775390035	0.11231722460986301	0.41712434829341205	0.6734626276479321	0.0006492325911580001	0.032456171050727005	0.540594142559752	0.29997684353173903	2.3156468517361504e-05	0.015816551463853003	0.033672874394825004	0.006071225224034	0.12480904178875701	0.303513801456105
26100.0.	0.267584629766279	2.140224155833475	0.00027935733243	47.618657019444115	47.084791645400635	0.8995853459423151	0.100414654057284	0.0014636398722080001	14.989012823726178	0.010987176303280001	4.948493274061595e-07	2.312462585468297e-08	4.448927807175502e-10	0.00029987819752500005	2.385066003625545e-07	1.540702015241197e-06	0.133606741459417	0.074990764041145	0.8876828300360161	0.11231716996388201	0.417703201581888	0.6731504555662281	0.0006557912463900001	0.032784105722911	0.535169051550851	0.29997684356883003	2.3156431426172775e-05	0.015878602580563003	0.033657265859746	0.006067090762783001	0.12430994319611902	0.303307099048157
27000.0.	0.26647574782487704	2.151050128660663	0.00028152365730900003	47.98692465426424	47.44991882156832	0.899585399670714	0.10041460032888401	0.001105574902028	14.989012828320833	0.010987171708626	4.932987264581204e-07	2.305484931212295e-08	4.448917032870349e-10	0.000299878576229	2.383378560187114e-07	1.539661026244193e-06	0.133512199941002	0.07493998872079201	0.88768287613311	0.11231712386678701	0.418098266214246	0.6730210230451521	0.000658676704751	0.032928380035170006	0.532951286544604	0.299976843600453	2.3156399803025843e-05	0.015928475701595002	0.033650794235531	0.006064429196136	0.12406000493286601	0.30317402993413
