	A	E	G	R
48	7.986563972326003	31893.387057298165	12750424.052164283	22605.400285944725
49	7.989283976492755	31912.78706479261	12760296.45991161	22636.80975660948
50	7.991982492663697	31929.162138329208	12767633.48348026	22662.963963668597
51	7.993653317149374	31943.11730305023	12770888.751111064	22685.53842020388
52	7.994449158116035	31954.146518877093	12776452.626350116	22704.059970931892
53	7.995561581473876	31962.77150564467	12779400.92999947	22718.59379971442
54	7.996663559120531	31969.997764159383	12782702.1097234	22730.993578866703
55	7.99737194276001	31976.02217735995	12784960.565932663	22741.300796552565
56	7.998058287778218	31980.96827193212	12787114.742764968	22749.60832892031
57	7.9985512432375865	31985.051868631952	12788710.901355656	22756.590804226293
58	7.998987806775034	31988.393945763048	12790128.588601435	22762.25755590299
59	7.999321819347216	31991.135714590197	12791224.21264928	22766.959243538746
60	7.9996064288370805	31993.375975182997	12792160.546979196	22770.79271384819
61	7.9998300410931265	31995.208296742137	12792901.563663015	22773.9515002356
62	8.000016651232315	31996.703326045055	12793521.351713337	22776.529311813265
63	8.000165364095594	31997.923560915307	12794018.086521547	22778.644560275305
64	8.000287928049438	31998.917902040226	12794428.476718647	22780.370363425267
65	8.000386345554679	31999.72811709623	12794759.515001787	22781.782267128106
66	8.000466858206842	32000.3875472385	12795031.024628134	22782.933367809914
67	8.000531757974988	32000.924108946885	12795250.712677192	22783.872986167098
68	8.000584612085898	32001.360319338513	12795430.08540479	22784.63829396689
69	8.000627293686486	32001.714816740598	12795575.40635383	22785.26188803296
70	8.000661954449892	32002.002709917986	12795693.711851444	22785.769264237726
71	8.00068973934777	32002.236269143767	12795789.539473357	22786.182437610973
72	8.000712145762622	32002.425436169437	12795867.271413602	22786.518220267226
73	8.000730358758654	32002.578627127143	12795930.151145939	22786.7905742326
74	8.000745135733979	32002.702747746516	12795981.134136423	22787.011469760535
75	8.000757116578072	32002.80333337238	12796022.42694016	22787.190611974038
76	8.000766824877745	32002.884849885464	12796055.904981082	22787.335876727542
77	8.000774690281022	32002.95091002949	12796083.027319042	22787.45365650118
78	8.000781061174289	32003.004440989866	12796105.010616897	22787.549140388433
79	8.000785773068207	32003.044055642138	12796121.276995387	22787.619840670166
80	8.000789666565785	32003.076801533854	12796134.723565679	22787.678300007556
81	8.000792883673135	32003.10386815062	12796145.838183263	22787.726634512368
82	8.000795541779823	32003.126239284524	12796155.02473324	22787.766595148343
83	8.000797737926732	32003.144728548068	12796162.61728205	22787.799630603364
84	8.000799552328209	32003.160008766572	12796168.892097123	22787.82693936429
85	8.000801051285327	32003.17263630221	12796174.077628128	22787.849512842455
86	8.000802289595814	32003.183071182506	12796178.362770488	22787.868171083413
87	8.00080331254735	32003.191693755904	12796181.90370357	22787.883592332655
88	8.000804157566062	32003.198818472574	12796184.829548765	22787.896337511564
89	8.000804855579702	32003.204705285785	12796187.247050641	22787.906870477535
90	8.000805432144773	32003.209569083872	12796189.244449591	22787.915574792598
91	8.000805908378428	32003.213587492395	12796190.894685298	22787.922767600816
92	8.00080630172887	32003.216907327565	12796192.25804651	22787.92871111175
93	8.00080662661223	32003.219649933664	12796193.384362565	22787.933622102075
94	8.000806894938984	32003.22191559717	12796194.314815868	22787.937679776624
95	8.000807116549112	32003.223787196963	12796195.083440699	22787.94103227155
96	8.000807299571715	32003.225333222646	12796195.718362577	22787.943802033682
97	8.000807450722272	32003.2266102702	12796196.242823029	22787.94609026991
98	8.000807575548267	32003.227665105303	12796196.676026832	22787.9479806271
99	8.000807678632185	32003.22853636914	12796197.033842465	22787.949542235332
100	8.000807763759273	32003.229255988557	12796197.329381164	22787.95083222447
