time	Inh	Inh_T1	T1	T1_alpha	T2	T2_beta	T3	T3_Inh	alpha	alpha_T1	alpha_T1_alpha	alpha_T2	alpha_T2_beta	alpha_alpha_T1	alpha_beta_T2	beta	beta_Inh_T3	beta_T3	beta_T3_Inh
264.0.	10.485535644177105	35.90167932760034	1.58822706314012	0.210865406602248	1.9562859332840101	0.905139421935759	0.23060458180935803	29.162014088006902	7.909048312432283	0.041600234453873	0.11829490482813901	0.036834121811658	0.176794253549161	0.639333063375297	0.8149462694194141	4.296413066130826	5.7712141359267015	0.0012991536539080002	3.33486804060329
269.0.5.0	10.450042664002437	36.94353885111941	1.185362367140806	0.079001099397965	2.515740165001517	0.7583311035648911	0.166752816458054	29.464213000109428	3.725477627776905	0.015055365195284002	0.042820514656463006	0.022254938276734002	0.10344470105124601	0.23422180249005	0.49022909210561505	3.519043456687602	5.642021101741226	0.0008979536751580001	3.226115128016291
275.0.	8.79162302918356	37.317134505085455	1.057897983681626	0.027527401717752004	3.0916309325299	0.512279219563127	0.183831418644988	30.97058030706316	1.443835858977688	0.005129948752298	0.014171290678241001	0.010548872391057	0.047042738178920004	0.078138870084603	0.228498237336999	2.416462243491422	4.686145666327054	0.00070385507648	2.6587387528884863
280.0.5.0	6.587759471204313	37.31019464200658	1.143142950904009	0.010667432111209001	3.47785331948376	0.297295533094317	0.23840574852318003	32.81867373472754	0.533879566380142	0.001966343493364	0.005202778742270001	0.0043575548413360005	0.018618321675328002	0.028825852742563003	0.09187527090526201	1.527071606587633	3.478795366462995	0.0005562011273700001	1.963568949159074
286.0.	4.609443918883104	37.09422609734093	1.385032253393864	0.0048921705181210005	3.679234485442554	0.16544905957237102	0.32497210229677503	34.40321714902275	0.20989481164926002	0.000897311066375	0.002280282426259	0.0017935586579480001	0.00727699054227	0.012671885254449	0.036245905784859006	0.94867378708361	2.41326834872536	0.000440356019355	1.358102043935929
291.0.5.0	3.120636141347546	36.73703707983237	1.751938746918398	0.0026670536645410003	3.775663296020841	0.094881888931911	0.44365935798569006	35.53202392615943	0.09392634777657201	0.000488704368513	0.001197730464434	0.0008129598720760001	0.0031010231628110004	0.006670684751752001	0.015540832012362001	0.5945366394523971	1.6159783493649469	0.00035083161405000005	0.9079875348760581
297.0.	2.091276819710482	36.26617172299387	2.226816476768567	0.00173415126616	3.8231410172412312	0.05715137987918	0.594475485538688	36.24260607615348	0.049887119851859	0.00031845426034	0.0007536339493790001	0.00043113615859200003	0.0015369841331520002	0.00420556076168	0.007739482587844001	0.37761114793800304	1.06482502420802	0.00028057523979200003	0.5978128388602011
302.0.5.0	1.407700974586535	35.699001952972196	2.795628322932314	0.0013548819145450001	3.848126410730178	0.036023993422297	0.7760787480473611	36.63433500332714	0.032223824669343	0.000249915971271	0.000571215753574	0.000276504129978	0.0009201890005020001	0.0031937104561040003	0.004652902717045	0.24300962726125802	0.6977808582684181	0.00022428045094900003	0.391581109906303
308.0.	0.9626131467924601	35.05232528058525	3.442697951242849	0.001278999296367	3.8619362855650703	0.023726128752028	0.9855474766631821	36.799583123934624	0.025603279557018	0.00023730405652500002	0.0005241783026810001	0.00021772814853400003	0.000678101573563	0.002936286516341	0.003441755960804	0.158743746279973	0.45780962261676	0.000178994910884	0.256880781874732
313.0.5.0	0.676133006297118	34.3443610227282	4.15005349429944	0.001459641086875	3.8694815026487923	0.016539025280669	1.218586380806419	36.808526624798425	0.025065187471556002	0.000272602655577	0.0005827593694880001	0.00021119006392100002	0.0006184528003	0.003270479860431	0.0031498292063180003	0.10606846670764801	0.30279532503898504	0.000143456848037	0.16994821250830602
