time	APC	HC	HC3	HC36	HC5	HC53	HC536	HC56	LC	LC_APC	Va	Va3	Va36	Va36_APC	Va3_APC	Va5	Va53	Va536	Va536_APC	Va53_APC	Va56	Va56_APC	Va5_APC	VaA3	VaA36	VaA53	VaA536	VaLCA1	VaLCA1_APC	Va_APC
120.0.	3.546913403708925e-10	1.4394409745038563e-10	1.475359286780878e-12	5.588286611048409e-16	1.8943204398113372e-10	2.21760223151557e-11	5.653658424908744e-14	2.958097911706225e-13	3.403145154382901e-10	1.706591279924652e-11	1.507676515468075e-08	2.841315328619743e-10	1.260362736491227e-13	7.920255414431561e-15	1.7407950470270008e-11	1.201036935594875e-07	1.378640085948186e-08	4.8738135045756504e-11	4.731667709002829e-12	1.2244646701267163e-09	2.807873324651174e-10	1.7003425295241678e-11	5.988696257099785e-09	2.6189284761897352e-09	9.92836229191925e-13	3.978088122668311e-08	1.0201607951667492e-10	4.0433734214635804e-08	2.0690844039828964e-09	3.068464518905164e-10
132.0.	3.546913403708925e-10	1.466893954521086e-10	1.527577371334607e-12	5.821126796630333e-16	2.141064240870525e-10	2.500152309605804e-11	6.686694210002723e-14	3.5610726615138704e-13	3.692125428778198e-10	1.853593344966505e-11	1.1684673421779191e-08	2.2433869600841462e-10	1.0054526569080831e-13	6.2264276171162504e-15	1.3580413345565061e-11	1.188936279007381e-07	1.3584413773381181e-08	5.131488813491226e-11	4.92191118159127e-12	1.1970106925004793e-09	3.032651902613989e-10	1.795676187858211e-11	5.843364870358614e-09	2.70544018114119e-09	1.031708683978046e-12	4.472908513284504e-08	1.203095379140362e-10	4.5243744381924015e-08	2.3121221786602402e-09	2.3780967182673704e-10
144.0.	3.546913403708924e-10	1.4881650829411281e-10	1.5687983495253718e-12	6.006644578563772e-16	2.384646982371705e-10	2.777950569422698e-11	7.769700723930015e-14	4.2088177188117087e-13	3.9717050324189653e-10	1.99581867767177e-11	9.055762196053502e-09	1.7716495176761563e-10	8.005660952359322e-14	4.89287755868732e-15	1.0596567138313959e-11	1.1707677485032949e-07	1.3330172939954862e-08	5.3589148815785403e-11	5.089060123449499e-12	1.167319390891097e-09	3.24180658090169e-10	1.883165198270162e-11	5.6897946426132456e-09	2.7723861650547713e-09	1.062163123558741e-12	4.9576323669102705e-08	1.394329549961218e-10	4.993979603550792e-08	2.5494089167692124e-09	1.8430535045679312e-10
156.0.	3.5469134037089234e-10	1.504644915157619e-10	1.601374305023742e-12	6.154343559367277e-16	2.6239952110889344e-10	3.050123868685341e-11	8.896850978274943e-14	4.898119939444743e-13	4.242121589578216e-10	2.1333862596794e-11	7.018324917978286e-09	1.4021414607716561e-10	6.377536010799273e-14	3.848394715444564e-15	8.275935903863726e-12	1.148195907331547e-07	1.304258442109707e-08	5.560045320331773e-11	5.23596945271893e-12	1.13638647666124e-09	3.435494660776329e-10	1.963101057552625e-11	5.5312333479164445e-09	2.823864221993666e-09	1.0858616990587411e-12	5.430669246439164e-08	1.592780596506247e-10	5.4510551268464634e-08	2.780369339270327e-09	1.428388688574568e-10
168.0.	3.5469134037089234e-10	1.517411161874991e-10	1.627196849926789e-12	6.272120518839969e-16	2.8583376882953894e-10	3.316131607984457e-11	1.006307141162213e-13	5.625815188133866e-13	4.5036299352054807e-10	2.266424387124278e-11	5.439286965542963e-09	1.114285318176518e-10	5.095053208637519e-14	3.03364078047307e-15	6.4744120896467995e-12	1.122500616763324e-07	1.2735234059183092e-08	5.7382355395957803e-11	5.365020294037769e-12	1.104919713043754e-09	3.614025694119625e-10	2.035794010420219e-11	5.370150571695932e-09	2.8631707798150254e-09	1.1041843102556741e-12	5.8910128313437895e-08	1.797498300829949e-10	5.894948123863407e-08	3.0046718690120643e-09	1.107018558774284e-10
180.0.	3.5469134037089234e-10	1.5272990739448802e-10	1.6477694214889622e-12	6.366408673700892e-16	3.0871353337831654e-10	3.575671316740989e-11	1.1263924683040321e-13	6.388815130675719e-13	4.756494161202029e-10	2.3950664642265467e-11	4.215513927052984e-09	8.910204089930365e-11	4.091909025428667e-14	2.4001959819035582e-15	5.077961743706844e-12	1.094663936661375e-07	1.241781001888355e-08	5.89630656489216e-11	5.478199680827384e-12	1.073417896734866e-09	3.7778183609295935e-10	2.101564804890553e-11	5.2084144108252365e-09	2.8929283644477584e-09	1.118255145759216e-12	6.338078152893084e-08	2.0076448795295932e-10	6.325343645044514e-08	3.2221561860321694e-09	8.579529172512963e-11
192.0.	3.5469134037089234e-10	1.5349559917570163e-10	1.664277275844319e-12	6.442376309031341e-16	3.310027001248754e-10	3.828609645135127e-11	1.2495507042708661e-13	7.184126209403078e-13	5.00098204417131e-10	2.5194480539639672e-11	3.267075409312545e-09	7.185089000958996e-11	3.31188627829858e-14	1.9091154456022012e-15	3.996908155084234e-12	1.0654374626300349e-07	1.2097158587007011e-08	6.036619887096408e-11	5.5771718785621346e-12	1.042228529516772e-09	3.927367434633398e-10	2.1607384787673467e-11	5.047428363216158e-09	2.9152077436713814e-09	1.128978022029254e-12	6.771582296170935e-08	2.2224774329280793e-10	6.742162592542395e-08	3.4327815012716474e-09	6.649241114810405e-11
204.0.	3.546913403708921e-10	1.540883621898928e-10	1.677649496413176e-12	6.504133697351818e-16	3.526787520895733e-10	4.0749321460669857e-11	1.375436122126124e-13	8.008862638251838e-13	5.237361172662829e-10	2.6397048259673762e-11	2.532024408961693e-09	5.856869797342462e-11	2.708554322154114e-14	1.5293924224215083e-15	3.1610349628582402e-12	1.0353945016854839e-07	1.177806228615266e-08	6.161151637099557e-11	5.66333952435653e-12	1.011589824794287e-09	4.0632185496086406e-10	2.2136397129330757e-11	4.888237365692391e-09	2.9316356190927884e-09	1.137072714868341e-12	7.191457287581038e-08	2.4413330508023063e-10	7.145488920459326e-08	3.6365896681049947e-09	5.1532451768771375e-11
216.0.	3.5469134037089224e-10	1.545470802247711e-10	1.6886113609398081e-12	6.554925269617211e-16	3.737295247056059e-10	4.314706869267901e-11	1.5037404018784732e-13	8.860254837434139e-13	5.465896285608321e-10	2.755971143962197e-11	1.962351263262948e-09	4.83793989508056e-11	2.2442453282093208e-14	1.236520403152181e-15	2.515531278336483e-12	1.004970497987961e-07	1.146381034731637e-08	6.271560236400597e-11	5.737894535659447e-12	9.81661246205983e-10	4.1859490001793846e-10	2.260589391912652e-11	4.731609923225658e-09	2.9434853550008684e-09	1.143108495742071e-12	7.597786676708414e-08	2.66361642789302e-10	7.535517795864851e-08	3.833678914721497e-09	3.9938307782800174e-11
228.0.	3.5469134037089224e-10	1.549018895441529e-10	1.6977273152470169e-12	6.597297521522349e-16	3.9415069701544125e-10	4.548058062037954e-11	1.6341866955790453e-13	9.735654405167368e-13	5.686847472515862e-10	2.868379108346129e-11	1.5208479139141684e-09	4.059390799369298e-11	1.888783116804507e-14	1.0112335003532261e-15	2.01770467359265e-12	9.7449435260809e-08	1.11566153041991e-08	6.369245127088944e-11	5.8018596306019525e-12	9.525456765844372e-10	4.2961531993617996e-10	2.3019020933439075e-11	4.578101710443228e-09	2.951751345743901e-09	1.1475333390637881e-12	7.990759487197178e-08	2.888789705596929e-10	7.912518754716504e-08	4.024185174449345e-09	3.095271059748085e-11
240.0.	3.5469134037089234e-10	1.5517614692260242e-10	1.7054355992109088e-12	6.633240390506532e-16	4.139438534028967e-10	4.775147239470078e-11	1.766524807450991e-13	1.063253647404841e-12	5.900468985515274e-10	2.977057922007243e-11	1.178677674269475e-09	3.467273589183058e-11	1.618211519280563e-14	8.384451033233878e-16	1.634353484512468e-12	9.442126864243472e-08	1.085791629379497e-08	6.455396128824465e-11	5.85612167940127e-12	9.243054922405442e-10	4.3944317348466247e-10	2.337884290890508e-11	4.428104815615587e-09	2.9572089096935745e-09	1.150698471224495e-12	8.370636859722356e-08	3.116364211181595e-10	8.276809577854021e-08	4.208268847966299e-09	2.39887680686657e-11
252.0.	3.5469134037089234e-10	1.553879549036818e-10	1.712075810284575e-12	6.664303454250172e-16	4.3311498729371367e-10	4.996159613741602e-11	1.9005273002665452e-13	1.154850010613354e-12	6.107008484649812e-10	3.082133485110047e-11	9.1349177008074e-10	3.019490731510311e-11	1.413638134201641e-14	7.063756145122393e-16	1.3396858233164618e-12	9.143086342138714e-08	1.056859934334683e-08	6.531033988351694e-11	5.901458192567624e-12	8.969742064690759e-10	4.48138319932574e-10	2.3688331038704948e-11	4.281885859028033e-09	2.9604619663074263e-09	1.152878528883369e-12	8.737727947767377e-08	3.345893770971009e-10	8.62873782535786e-08	4.3861054460285405e-09	1.859163182213536e-11
264.0.	3.5469134037089234e-10	1.5555134389942641e-10	1.7179106650012418e-12	6.691689870815737e-16	4.516733471898217e-10	5.211294411976173e-11	2.0359863563630542e-13	1.248126723090861e-12	6.306706588865342e-10	3.183728151519126e-11	7.079696362110579e-10	2.6832705191320578e-11	1.260237074382956e-14	6.058475155546968e-16	1.1136821648250821e-12	8.849164006917427e-08	1.02891570462718e-08	6.597043151585616e-11	5.93855818424369e-12	8.705648957099534e-10	4.5575981579563493e-10	2.3950354646355922e-11	4.1396154904444865e-09	2.9619806875959204e-09	1.154287849382384e-12	9.092372547125829e-08	3.576969303940531e-10	8.968667837495364e-08	4.557879002143962e-09	1.440878897255588e-11
276.0.	3.5469134037089224e-10	1.556771883363212e-10	1.7231430821860672e-12	6.716331445976201e-16	4.696305478253349e-10	5.420758010416129e-11	2.172711244854416e-13	1.3428680514286681e-12	6.499796641689248e-10	3.2819605988137734e-11	5.486876292587114e-10	2.4331453160587778e-11	1.146416472590853e-14	5.297222752085021e-16	9.408127406948353e-13	8.561325323370584e-08	1.00198041001689e-08	6.654197934488539e-11	5.968038509814708e-12	8.450762914102073e-10	4.6236547596438644e-10	2.4167676039924507e-11	4.00139120678845e-09	2.9621310690501923e-09	1.155093487818198e-12	9.434928619425696e-08	3.809214442156038e-10	9.296971634043397e-08	4.7237774605765985e-09	1.1167037852984839e-11
288.0.	3.5469134037089193e-10	1.557739166831242e-10	1.727929540303147e-12	6.738948120092872e-16	4.869998866101981e-10	5.6247591048210314e-11	2.310526270802221e-13	1.438870045693527e-12	6.686504626730014e-10	3.376945777642049e-11	4.2524226641147316e-10	2.249349243547582e-11	1.063138343970055e-14	4.7245427354667725e-16	8.090360314264098e-13	8.280246442306902e-08	9.760560765541774e-09	6.703183242422711e-11	5.9904566133800054e-12	8.204971792171474e-10	4.680115610318656e-10	2.4342947776214937e-11	3.867254994384188e-09	2.9611980650570093e-09	1.155425534499287e-12	9.765763368963994e-08	4.0422819661333734e-10	9.614022590540067e-08	4.8839894714441115e-09	8.654643931921844e-12
300.0.	3.5469134037089193e-10	1.5584806173388973e-10	1.7323904922480562e-12	6.760094822194641e-16	5.037958189953284e-10	5.823505350534498e-11	2.449269104783202e-13	1.535940195071264e-12	6.867049186815844e-10	3.468794916025898e-11	3.295707251515332e-10	2.1165569769303267e-11	1.003371097880901e-14	4.2973953124879116e-16	7.090184972759119e-13	8.006381748020452e-08	9.511313043238147e-09	6.744610876446404e-11	6.006320458749685e-12	7.9680957122093e-10	4.727525612771298e-10	2.4478711740049447e-11	3.737206961591758e-09	2.9594036404012753e-09	1.1553852445063618e-12	1.0085246897249839e-07	4.2758508821237963e-10	9.920191089957326e-08	5.038702186783317e-09	6.707510437212506e-12
312.0.	3.5469134037089193e-10	1.559046870862852e-10	1.736618469628488e-12	6.780198209133196e-16	5.20033556830775e-10	6.017201061263303e-11	2.5887894112593324e-13	1.6338970468207158e-12	7.041641713943195e-10	3.557615561277022e-11	2.554242224616613e-10	2.0228957591618867e-11	9.61653418806286e-15	3.982402957393475e-16	6.335276395392502e-13	7.740016124766543e-08	9.271855974152653e-09	6.779032320668491e-11	6.016096270282084e-12	7.739909890431347e-10	4.766410544544735e-10	2.4577399579731576e-11	3.6112158653223924e-09	2.9569208280888583e-09	1.1550514155939978e-12	1.039374772606428e-07	4.509624002581185e-10	1.0215841577290989e-07	5.188099767495508e-09	5.19846042542937e-12
324.0.	3.5469134037089193e-10	1.5594771766933812e-10	1.740684380131813e-12	6.799585378074701e-16	5.357287618775866e-10	6.206045668767886e-11	2.7289477110670243e-13	1.732569801878252e-12	7.210486486740949e-10	3.643511647216341e-11	1.979598774597847e-10	1.959174027699846e-11	9.337494681506075e-15	3.75369789994228e-16	5.769604215331507e-13	7.481305383134966e-08	9.041924713829126e-09	6.806948756052555e-11	6.020214582405986e-12	7.520161026806228e-10	4.797276197238132e-10	2.4641334145080315e-11	3.4892272316002953e-09	2.9538846622272353e-09	1.15448537586666e-12	1.0691629673849349e-07	4.743325920043489e-10	1.050133060840022e-07	5.332362394098759e-09	4.0289302584359175e-12
336.0.	3.5469134037089193e-10	1.559801959072034e-10	1.744642395808734e-12	6.818506250550172e-16	5.508973129029566e-10	6.39023272781746e-11	2.8696144272869296e-13	1.831797897253293e-12	7.37378083894983e-10	3.72658357797679e-11	1.5342440109419982e-10	1.9182805838852317e-11	9.163777757440481e-15	3.591243762676871e-16	5.349771575101212e-13	7.230307512870089e-08	8.821216758257778e-09	6.828818907772702e-11	6.019074990023125e-12	7.308579026343626e-10	4.820607940716701e-10	2.4672731655791426e-11	3.3711696127499803e-09	2.9504006724622685e-09	1.153734875021992e-12	1.097924971130336e-07	4.976701288539639e-10	1.07770056015657e-07	5.471665633567835e-09	3.122531969436712e-12
348.0.	3.546913403708918e-10	1.5600448015752552e-10	1.748533742994524e-12	6.837150982614289e-16	5.655551296077758e-10	6.569949308860202e-11	3.010669076699866e-13	1.931430584820476e-12	7.531715345891808e-10	3.806928321530644e-11	1.189090666962972e-10	1.8947175985131268e-11	9.069990280694661e-15	3.479529774932574e-16	5.042175772132594e-13	6.987006819556237e-08	8.609407767802943e-09	6.845065205984844e-11	6.0130499001878145e-12	7.104885340173625e-10	4.83687060248429e-10	2.467370436982713e-11	3.2569594003939622e-09	2.9465514763109874e-09	1.152837113440036e-12	1.125695652249186e-07	5.209513349390317e-10	1.104320408174364e-07	5.606180055845683e-09	2.420066356560782e-12
360.0.	3.546913403708918e-10	1.560223988988653e-10	1.752389647822552e-12	6.855663528094757e-16	5.79718040597249e-10	6.745375673118657e-11	3.151999567451416e-13	2.03132650221745e-12	7.684474027785146e-10	3.884639512192431e-11	9.215932264035408e-11	1.884236972210532e-11	9.036499419822567e-15	3.406553063423098e-16	4.820800441783958e-13	6.751332598264822e-08	8.406162771074028e-09	6.856078675790351e-11	6.0024875455266484e-12	6.908798860113543e-10	4.846508603093952e-10	2.464626369997861e-11	3.1465045276506432e-09	2.9424019086084263e-09	1.151821104299526e-12	1.152508958457842e-07	5.441542631764919e-10	1.1300253280794099e-07	5.736071030732598e-09	1.875648167572633e-12
372.0.	3.546913403708918e-10	1.5603536961681943e-10	1.756233607177829e-12	6.87415211353823e-16	5.934016851478632e-10	6.916685133978047e-11	3.293501597149701e-13	2.131353260036624e-12	7.832234550266976e-10	3.959807551990633e-11	7.142799545436827e-11	1.8835595824049937e-11	9.048145030201605e-15	3.363032301602805e-16	4.665512461103629e-13	6.523173471614496e-08	8.211144013388196e-09	6.862222790209123e-11	5.987714388920157e-12	6.720040038861162e-10	4.849946241525613e-10	2.459232344185341e-11	3.0397072956864032e-09	2.938002980612978e-09	1.150709499607997e-12	1.1783978603240901e-07	5.672585825184035e-10	1.154846996643329e-07	5.86149864070716e-09	1.4537184493807631e-12
384.0.	3.546913403708918e-10	1.5604449135188392e-10	1.760083155622564e-12	6.89269739834463e-16	6.066214410991588e-10	7.084044059459823e-11	3.435078115835947e-13	2.231387029095453e-12	7.975168431554855e-10	4.032519715619691e-11	5.536101577474092e-11	1.8901565742807327e-11	9.093233647682551e-15	3.3417947048142863e-16	4.56073585103937e-13	6.302388477786593e-08	8.02401640707448e-09	6.863836584753185e-11	5.969037107469019e-12	6.538333734273647e-10	4.847588123844628e-10	2.4513703226621108e-11	2.936466539840509e-09	2.9333949647629425e-09	1.149520014463591e-12	1.203394321810148e-07	5.902454757944456e-10	1.178816044592918e-07	5.982617682294971e-09	1.126718811371092e-12
396.0.	3.546913403708916e-10	1.5605061633841312e-10	1.763951232098817e-12	6.911358791968229e-16	6.193923728871426e-10	7.247611967478744e-11	3.57663884809168e-13	2.3313121388159257e-12	8.113441247474397e-10	4.102860254450678e-11	4.290896269276849e-11	1.90208001656194e-11	9.16275788339752e-15	3.337301096548748e-16	4.494425192033369e-13	6.088815588540984e-08	7.844451241305355e-09	6.861237179845254e-11	5.946744235766553e-12	6.363411127722222e-10	4.83981967976083e-10	2.441213203482171e-11	2.836679276152891e-09	2.9286097842983623e-09	1.148266531108226e-12	1.227529289496662e-07	6.130975475094628e-10	1.2019620682351739e-07	6.099577724487833e-09	8.732911517213065e-13
408.0.	3.546913403708916e-10	1.560544055165531e-10	1.767847237885967e-12	6.930179346820518e-16	6.317291950316934e-10	7.407541683983805e-11	3.71809986253366e-13	2.431020687143794e-12	8.247212833272233e-10	4.1709104990078955e-11	3.3258521724779655e-11	1.917831683293609e-11	9.249790629881508e-15	3.345277703638028e-16	4.457270159721862e-13	5.882278246382474e-08	7.672128643560863e-09	6.85472185223685e-11	5.921107550487062e-12	6.195010976601557e-10	4.827007741008986e-10	2.428925172984471e-11	2.740241947771848e-09	2.923672866266256e-09	1.146959955356833e-12	1.250832695085556e-07	6.357987396208033e-10	1.2243136486868651e-07	6.212523205711681e-09	6.768826712373248e-13
420.0.	3.546913403708918e-10	1.5605637155536832e-10	1.771777855493847e-12	6.949189546873282e-16	6.43646247474932e-10	7.563979542221218e-11	3.859383180325808e-13	2.5304121628419143e-12	8.376637481144661e-10	4.2367489593369104e-11	2.5779363867899187e-11	1.9362613825295288e-11	9.3490151622109e-15	3.362430726097138e-16	4.442079085509265e-13	5.682590369734037e-08	7.506739146625314e-09	6.844569759881574e-11	5.892383255950083e-12	6.032880388641438e-10	4.809501160413102e-10	2.4146620573735477e-11	2.6470513624286963e-09	2.9186045787038803e-09	1.145608880902751e-12	1.273333467224582e-07	6.58334253919352e-10	1.245898376079422e-07	6.32159355602021e-09	5.246647413478024e-13
432.0.	3.546913403708917e-10	1.560569121969328e-10	1.775747682337027e-12	6.968410239897228e-16	6.55157479981019e-10	7.717065607436831e-11	4.0004164164062347e-13	2.629393080822939e-12	8.501864132697119e-10	4.3004514228432603e-11	1.99829761924451e-11	1.956488191772714e-11	9.456360833107221e-15	3.386225120620334e-16	4.443301278820452e-13	5.4895601728806404e-08	7.3479846172213196e-09	6.831043398877087e-11	5.8608130150203685e-12	5.876775254227253e-10	4.787631455190908e-10	2.398571669596753e-11	2.557005391456188e-09	2.913421345400158e-09	1.144220104523705e-12	1.29505954976644e-07	6.806904799930556e-10	1.266742876870946e-07	6.426923335047303e-09	4.066950130453517e-13
444.0.	3.546913403708918e-10	1.560563360990053e-10	1.7797597209287991e-12	6.987854905899344e-16	6.66276443439592e-10	7.866933915853397e-11	4.141132448543008e-13	2.7278766308898696e-12	8.623036565858505e-10	4.362091049344438e-11	1.5490755027304362e-11	1.9778394469491e-11	9.568720741256427e-15	3.414713179306047e-16	4.4566568918722266e-13	5.302993069358715e-08	7.1955787316831285e-09	6.814389851926561e-11	5.826624858608099e-12	5.726460435618119e-10	4.761713462052482e-10	2.3807941493792957e-11	2.47000348493803e-09	2.908136510684772e-09	1.1427990256248479e-12	1.316037924369564e-07	7.028549279880165e-10	1.286872842955727e-07	6.528642379082227e-09	3.1526804065681683e-13
456.0.	3.5469134037089193e-10	1.5605488286397372e-10	1.7838157579403651e-12	7.007531411196071e-16	6.770162864045563e-10	8.013712720028255e-11	4.281469110402129e-13	2.825782340029063e-12	8.740293575990418e-10	4.421738463192147e-11	1.200927777273103e-11	1.9998034881687328e-11	9.683732992735987e-15	3.446401711779603e-16	4.478850125714537e-13	5.122693866949403e-08	7.049247132856668e-09	6.794841873213666e-11	5.7900339987123266e-12	5.581709784855887e-10	4.732045994733423e-10	2.361462294890801e-11	2.3859470452634673e-09	2.9027610104279553e-09	1.141349956083094e-12	1.336294635925253e-07	7.24816165559546e-10	1.306313061658282e-07	6.6268759526407325e-09	2.44412007004865e-13
468.0.	3.546913403708916e-10	1.560527385620559e-10	1.78791665718727e-12	7.027443364023698e-16	6.873897555791558e-10	8.157524735063189e-11	4.421368905618665e-13	2.9230357482324128e-12	8.85376915108148e-10	4.479461842401333e-11	9.311138240738627e-12	2.0219930637328378e-11	9.799611271862236e-15	3.48014914807726e-16	4.507347019201511e-13	4.948468415534527e-08	6.9087273652394156e-09	6.772618843588497e-11	5.751243563733112e-12	5.442306042440497e-10	4.698912496983725e-10	2.3407018849865402e-11	2.3047396918189513e-09	2.8973038928119514e-09	1.13987636054304e-12	1.3558548197167618e-07	7.465637585383161e-10	1.325087445980544e-07	6.7217449013326205e-09	1.8949867900686992e-13
