	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_16	species_17	species_18	species_19	species_2	species_20	species_21	species_22	species_23	species_24	species_25	species_26	species_27	species_3	species_4	species_5	species_6	species_7	species_8	species_9
28	3.82323491112758	11.970562715038826	2.620634613042629	370.5983459700785	20.132825813339522	1.607266667429886	79.36441696198395	26.108540283015866	2.070015290078642	7.929984709921349	4.1851802366633075	446.8629619100801	2.868211384910913	520.3594425855702	0.4805664430389458	7.457135558558466	52.807020288493554	0.22900972896131908	11.334360681124267	28.576217679846224	33.9024220701995	3.578603433280464	3.198294307112825	627.2003006911111	58.52947494491682	109.46418275581588	126.97522914153694
29	3.4525134287341124	11.789934351097694	2.6579824680581634	376.5212022390773	20.002249527403723	1.5727265167427742	74.39837165278452	26.60276806104962	2.1009744922962166	7.899025507703778	4.246938899165759	456.9524144828499	2.8263209209654767	520.1611253958711	0.46651746075698786	6.877807207363074	53.21248702597167	0.22225689805887058	10.538255577264364	28.953740678573432	31.298229484560643	3.496848482288331	3.195791136249088	631.0511674041762	54.927641758526754	112.72488899209918	122.71270640875706
30	3.156046365379798	11.612512099756845	2.69194938184645	381.96771233371345	19.887914415212318	1.5401829042555975	69.874543094824	27.09302603116845	2.131451702587932	7.868548297412063	4.307023818713587	466.21181985282635	2.787525335799695	519.8636905037777	0.4542134219980225	6.411743326218132	53.54707569346714	0.21590356289431872	9.817313630951281	29.325157958173516	29.18351509774536	3.4243510388747898	3.192950487157949	634.3134897588476	51.602587301086885	115.90945654803649	118.54193455947299
31	2.916983347514064	11.44099445292377	2.7227634022137157	386.9605833044809	19.787008432736563	1.509710554459351	65.76729043662496	27.572494214894203	2.1610352904747416	7.8389647095252535	4.3647612908350775	474.70013116942664	2.7516412590799924	519.4990413925833	0.44338723650632333	6.0329786426078265	53.82144169361502	0.20997202800171397	9.167153022017303	29.685030706450462	27.45823056321141	3.359916056497605	3.1899101119665554	637.099552649112	48.5514586277141	118.99355446178795	114.50036063334335
32	2.722558837192558	11.277341040600673	2.7506441227781613	391.52290001300065	19.697337816536486	1.4813462806380437	62.05039070040392	28.035716952102863	2.189409092741066	7.810590907258923	4.4196533883455675	482.4698566332541	2.718520942453241	519.0920804868135	0.43382748865685106	5.7221172139495	54.045019500101745	0.2044725880538331	8.583035759983272	30.02929782106193	26.042696297570746	3.3025598908720672	3.186775687398581	639.4973840975446	45.766540360421125	121.95629760717604	110.61898101579378
33	2.5630773531193976	11.122894091277349	2.775805222362054	395.67836925584805	19.617252463254086	1.4550911633922254	58.69722298513709	28.478495585787776	2.2163418189852844	7.783658181014701	4.471356829338683	489.56872239388946	2.6880326757226554	518.6621173126856	0.42536408693693717	5.464582732744919	54.22609465661122	0.1994055659972245	8.060021801705977	30.355088470623844	24.87388318157697	3.251459104750077	3.183630333430008	641.5758858947545	43.236535712539954	124.78058843667081	106.922323636231
34	2.4311651027845005	10.978485584979909	2.798453961250803	399.4512792778412	19.545454732550343	1.4309158572405238	55.68106964571227	28.89777091887542	2.2416763502617267	7.758323649738259	4.519659698768242	496.04092370177153	2.6600550411697723	518.224054178767	0.41785833155734964	5.24936797633002	54.371859988858084	0.19476308095989564	7.593124239408042	30.660537950835565	23.902290421992067	3.2059157597066212	3.1805355989465154	643.388812629914	40.947654871699136	127.45325735066916	103.42864376933855
35	2.3211894327608653	10.84453744140619	2.818791253084643	402.86636524322364	19.480930050872416	1.4087639945708452	52.97547513466363	29.291487547436603	2.2653185303842323	7.7346814696157535	4.564460964136723	501.92811176690265	2.634465332641597	517.789173762837	0.41119486755744017	5.068096946273813	54.48850879364203	0.1905309304083138	7.1774184111477375	30.944615568023206	23.08913024752976	3.1653282163883296	3.177539006090317	644.9783475205609	38.88453437255645	129.96503273216175	100.1502934047723
36	2.2288225361051452	10.72114927437006	2.837011103270249	405.9485758127962	19.42287035420734	1.38855736032435	50.55454483689874	29.65845510146042	2.2872264932134927	7.712773506786492	4.6057489469440895	507.27014186186625	2.611138527280384	517.3658396165861	0.4052761745886797	4.914335844597544	54.581320230959115	0.18669029303614207	6.8081403276148365	31.206961674165058	22.403991967532274	3.1291716911305403	3.1746749488801624	646.3778872205785	37.03096071330254	132.31035541179844	97.09424126914774
37	2.1507111701720416	10.608163392091987	2.8532982482563947	408.72269556143596	19.370607492763934	1.3702015526721827	48.393266780245824	29.998217661300963	2.3074010989741502	7.6925989010258355	4.64358508779031	512.1056476418655	2.5899440281134547	516.9601157049402	0.4000185094948695	4.783094398445736	54.65475899591621	0.18321858009183214	6.4807413237959555	31.447751984291845	21.82298594285255	3.0969806174734926	3.171966620164866	647.6141270364551	35.370410377864324	134.4871009366411	94.2626449827447
38	2.084251625707617	10.505245764710127	2.867829599185493	411.2132297346043	19.32357563463053	1.3535890818367404	46.46771264939341	30.310920648056417	2.3258768285791764	7.674123171420811	4.678082930415061	516.4719034665397	2.5707489285030443	516.5760735277377	0.39534899674959145	4.670470375046267	54.712551555001525	0.18009170952436646	6.190961570892206	31.667563305663396	21.327329959115712	3.068342826860228	3.1694295561945296	648.7087531325869	33.886539782027285	136.49614111712734	91.6535855709726
39	2.027399175476968	10.4119252362068	2.8807709165405093	413.4439133036011	19.281283987634428	1.3386053927704007	44.75531375166879	30.597186248239186	2.342713640688345	7.657286359311644	4.709397118166329	520.4050200455874	2.553417245272301	516.2162990545503	0.3912035866715103	4.573380923101707	54.75778903857736	0.1772842027485425	5.934840613670061	31.867271781565005	20.90220227180704	3.042887652494024	3.1670715606039326	649.679555775293	32.563491905221184	138.34088853380587	89.26177176099434
40	1.9785347983871069	10.32764322789052	2.892277450282008	415.43757785856764	19.24329821765086	1.3251320822596968	43.23493049287166	30.858003213974943	2.3579900923370545	7.642009907662935	4.737709473953083	523.9398617249194	2.537812174024345	515.8821756235121	0.3875255543653146	4.489360170770839	54.7930124321038	0.17477038184997995	5.708735789138167	32.04795974893021	20.535814589380177	3.020281580924606	3.1648950886430764	650.5414125940152	31.386123737348324	140.0268348757794	87.07922514474286
41	1.9363666897378353	10.251791455574104	2.902493141760873	417.2159022488642	19.209211381975106	1.313050177883236	41.88699898551194	31.09461859446156	2.371796892644287	7.628203107355702	4.763217376813616	527.1097238415249	2.5237997288734793	515.5741521191403	0.3842643699161935	4.4164207167072105	54.82029141175706	0.17252505749810793	5.509331148082187	32.210835276975146	20.218762647867162	3.0002241365128115	3.1628983610938763	651.3069109590231	30.3401894371339	141.56099663189835	85.0960420854457
42	1.8998553538267526	10.18373568834953	2.9115506197347294	418.7993115970832	19.178711934468623	1.3022430342545794	40.69343761064447	31.308463280518755	2.3842324843964207	7.615767515603569	4.786128175990813	529.9465582775102	2.51124544435425	515.2919884540412	0.3813750175663339	4.35293235193968	54.841305154954505	0.17052383886931913	5.333618091022187	32.35717929480852	19.943419005397004	2.9824452724561183	3.161075926264534	651.9869086185068	29.41244054685583	142.95166553549328	83.30078060905697
