	species_0000001	species_0000002	species_0000006	species_0000007	species_0000008	species_0000009	species_0000011	species_0000016	species_0000017
15	4.122448260701164e-11	5e-06	9.7120029437686e-10	4.020351453386307e-08	4.50722285992622e-23	7.340785260808514e-07	9.39456092280887e-12	1e-05	1e-05
16	4.1224456418935316e-11	5e-06	9.711996774129696e-10	4.1330878761937975e-08	4.5074029311307823e-23	7.556651186267129e-07	9.657612694862753e-12	1e-05	1e-05
17	4.122443121672797e-11	5e-06	9.71199083672017e-10	4.231188960103247e-08	4.507439759741042e-23	7.744696448413781e-07	9.886515329436147e-12	1e-05	1e-05
18	4.122440748887965e-11	5e-06	9.711985246614396e-10	4.316315854452e-08	4.50748372830618e-23	7.908025094441145e-07	1.0085144842616222e-11	1e-05	1e-05
19	4.1224385529715755e-11	5e-06	9.71198007317103e-10	4.3900064143859986e-08	4.507504980251431e-23	8.049526208459746e-07	1.0257089564127606e-11	1e-05	1e-05
20	4.122436548450496e-11	5e-06	9.711975350622528e-10	4.4536648018219425e-08	4.507515263731406e-23	8.171849214921502e-07	1.0405625872862249e-11	1e-05	1e-05
21	4.1224351032618154e-11	5e-06	9.71197194552875e-10	4.5086183165834545e-08	4.507844516050782e-23	8.277498197456801e-07	1.0533850803942872e-11	1e-05	1e-05
22	4.122433529998776e-11	5e-06	9.711968239217169e-10	4.555929943783376e-08	4.5072361510372596e-23	8.368509772657838e-07	1.0644244654884716e-11	1e-05	1e-05
23	4.122432043402063e-11	5e-06	9.711964736903287e-10	4.5966048137821146e-08	4.507423563788787e-23	8.446792994652262e-07	1.0739152731561316e-11	1e-05	1e-05
24	4.122430725530058e-11	5e-06	9.711961632032379e-10	4.631534175416946e-08	4.507494389031888e-23	8.514045047265413e-07	1.0820654615676226e-11	1e-05	1e-05
25	4.122429568527739e-11	5e-06	9.71195890615987e-10	4.661500607672845e-08	4.5074860350099274e-23	8.571760797681332e-07	1.0890576325683201e-11	1e-05	1e-05
26	4.122428557543344e-11	5e-06	9.711956524298927e-10	4.6871880123861905e-08	4.50747166603392e-23	8.621249082943113e-07	1.0950513633257868e-11	1e-05	1e-05
27	4.122427677405399e-11	5e-06	9.711954450707339e-10	4.709191840477276e-08	4.5074571773882474e-23	8.663650993963224e-07	1.100185592451879e-11	1e-05	1e-05
28	4.122426913541551e-11	5e-06	9.711952651053921e-10	4.728028924026342e-08	4.507443362487748e-23	8.699958020070264e-07	1.1045809141549495e-11	1e-05	1e-05
29	4.122426252314968e-11	5e-06	9.711951093211234e-10	4.7441466835042307e-08	4.507430501282861e-23	8.731029255212167e-07	1.108341726594305e-11	1e-05	1e-05
30	4.122425681193056e-11	5e-06	9.711949747653201e-10	4.757931593781086e-08	4.5074187270923276e-23	8.757607328281772e-07	1.1115582072828716e-11	1e-05	1e-05
31	4.12242518881552e-11	5e-06	9.711948587615483e-10	4.769716861227268e-08	4.5074080858146076e-23	8.780332917479816e-07	1.1143081044113779e-11	1e-05	1e-05
32	4.122424764995081e-11	5e-06	9.711947589097234e-10	4.779789310209401e-08	4.5073985653960044e-23	8.799757816944921e-07	1.1166583436980491e-11	1e-05	1e-05
33	4.1224244006744244e-11	5e-06	9.711946730759711e-10	4.7883955072206173e-08	4.507390116542805e-23	8.816356590135004e-07	1.1186664573529076e-11	1e-05	1e-05
34	4.1224240878564386e-11	5e-06	9.711945993761925e-10	4.795747169202337e-08	4.50738266770661e-23	8.830536884983718e-07	1.1203818460200575e-11	1e-05	1e-05
35	4.122423819519846e-11	5e-06	9.7119453615619e-10	4.802025912671757e-08	4.507376135667497e-23	8.842648508983684e-07	1.1218468869079146e-11	1e-05	1e-05
36	4.122423589528645e-11	5e-06	9.711944819703328e-10	4.807387404592502e-08	4.5073704328441903e-23	8.852991373483924e-07	1.1230979023261289e-11	1e-05	1e-05
37	4.122423392541005e-11	5e-06	9.711944355600935e-10	4.81196497638935e-08	4.507365472158438e-23	8.861822419493842e-07	1.1241660029560723e-11	1e-05	1e-05
38	4.1224232239212705e-11	5e-06	9.711943958333184e-10	4.8158727604753205e-08	4.507361170163067e-23	8.869361634954537e-07	1.1250778197075023e-11	1e-05	1e-05
39	4.122423079657294e-11	5e-06	9.711943618447486e-10	4.8192084051074094e-08	4.507357448882099e-23	8.87579726777737e-07	1.1258561371852018e-11	1e-05	1e-05
40	4.122422956284297e-11	5e-06	9.71194332778086e-10	4.822055419002741e-08	4.507354236799003e-23	8.881290331379482e-07	1.1265204407663411e-11	1e-05	1e-05
41	4.122422850815788e-11	5e-06	9.711943079297158e-10	4.824485192401335e-08	4.507351469210018e-23	8.885978490950656e-07	1.1270873881820209e-11	1e-05	1e-05
