	species_0000001	species_0000002	species_0000006	species_0000007	species_0000008	species_0000009	species_0000011	species_0000016	species_0000017
31	4.122413934508107e-11	5e-06	9.710935859117982e-10	4.790078553290521e-08	1.188114760231453e-22	8.819641229888027e-07	1.1190590950788764e-11	1e-05	1e-05
32	4.122430549585442e-11	5e-06	9.712946224986551e-10	4.797683517469371e-08	-2.232524628838754e-23	8.834313766922758e-07	1.1208337381673669e-11	1e-05	1e-05
33	4.1224139341394453e-11	5e-06	9.710938222687755e-10	4.8041018490950843e-08	1.1862391563820337e-22	8.846684890866173e-07	1.1223311991247327e-11	1e-05	1e-05
34	4.122430544017688e-11	5e-06	9.71294385027564e-10	4.8095165765399536e-08	-2.215316481119827e-23	8.857126868578383e-07	1.1235947869845354e-11	1e-05	1e-05
35	4.1224139340334266e-11	5e-06	9.710940581303122e-10	4.8140843506593194e-08	1.184367983472866e-22	8.865934103364148e-07	1.1246604506532489e-11	1e-05	1e-05
36	4.122430539909762e-11	5e-06	9.712941484568726e-10	4.817936491202173e-08	-2.198148896344933e-23	8.873362799397123e-07	1.1255594349919429e-11	1e-05	1e-05
37	4.122413934110341e-11	5e-06	9.710942934792806e-10	4.8211850583926475e-08	1.1825012278759868e-22	8.879627163022602e-07	1.1263172832430619e-11	1e-05	1e-05
38	4.122430536842448e-11	5e-06	9.712939126862162e-10	4.8239239644984626e-08	-2.1810217570934333e-23	8.884909317999257e-07	1.1269565130269038e-11	1e-05	1e-05
39	4.1224139343162364e-11	5e-06	9.710945283045233e-10	4.826233199755588e-08	1.1806388768964333e-22	8.889362613906952e-07	1.1274951834096835e-11	1e-05	1e-05
40	4.122430534515731e-11	5e-06	9.712936776433983e-10	4.8281797895244746e-08	-2.163934952516474e-23	8.893116902012798e-07	1.1279495395700158e-11	1e-05	1e-05
41	4.1224139346133675e-11	5e-06	9.710947625986242e-10	4.829820734831499e-08	1.178780918527928e-22	8.896281562556874e-07	1.1283322752501353e-11	1e-05	1e-05
42	4.122430532715713e-11	5e-06	9.712934432765764e-10	4.831203809522738e-08	-2.1468883765746096e-23	8.898949109289245e-07	1.12865514477684e-11	1e-05	1e-05
