time	L	REL	ReNR
24.0.599999999999998.0	0.004999999999999	0.018407960199004002	3.681592039800989
24.0.9.0	0.004999999999999	0.018407960199004002	3.681592039800989
25.0.2.0	0.004999999999999	0.018407960199004002	3.681592039800989
25.0.5.0	0.004999999999999	0.018407960199004002	3.681592039800989
25.0.8.0	0.004999999999999	0.018407960199004002	3.681592039800989
26.0.099999999999998.0	0.004999999999999	0.018407960199004002	3.681592039800989
26.0.4.0	0.004999999999999	0.018407960199004002	3.681592039800989
26.0.7.0	0.004999999999999	0.018407960199004002	3.681592039800989
27.0.	0.004999999999999	0.018407960199004002	3.681592039800989
27.0.3.0	0.004999999999999	0.018407960199004002	3.681592039800989
27.0.599999999999998.0	0.004999999999999	0.018407960199004002	3.681592039800989
27.0.9.0	0.004999999999999	0.018407960199004002	3.681592039800989
