time	species_10	species_11	species_13	species_14	species_15	species_17	species_18	species_2	species_20	species_21	species_22	species_23	species_24	species_25	species_27	species_28	species_29	species_30	species_31	species_33	species_34	species_4	species_5	species_6	species_7	species_8
70.0.	3.666666666666665	64359.393479905535	9465.752246794522	100	100	22.4492139984641	102.1225585129106	2971.733236649936	70.61767670301658	25.36703584101425	100	127.58200646294476	100	96.58328966745407	69.08825917143487	10476.124700373053	2148.0269297880554	58.019664781835274	100	100	100	389.01667790680835	453.5806291823807	27422.37310996912	56775.572213341235	51332.8203540126
77.0.	3.666666666666667	64779.93495761842	9460.82308437396	100	100	22.4470292510652	102.36512563598703	2969.6690980312064	77.77482229575698	25.364535722689947	100	127.35451937867465	100	96.07524670100862	75.83133731746219	10544.66571515488	2374.03158572258	58.39962722063668	100	100	100	388.90437409299193	453.44715095230015	30139.78273762924	56746.01233380621	56317.65344407766
84.0.	3.666666666666666	65164.804026471655	9459.153736369639	100	100	22.45136806570897	102.59372171720376	2968.8398011750196	84.94846774231179	25.369414240249142	100	127.18048136904999	100	95.56426914054293	82.53872578194114	10607.39328940542	2601.4448644208355	58.74736468614568	100	100	100	388.8613954197911	453.3950419070764	32856.6460399974	56736.003698116074	61299.09771853898
91.0.	3.666666666666667	65516.80194380245	9460.030480996307	100	100	22.46069719727088	102.80711048807403	2968.9796106891627	92.13758805662599	25.379937554229734	100	127.05193146854897	100	95.05413107186126	89.21035506003031	10664.76386656772	2830.146871696005	59.065407034935994	100	100	100	388.87267665331615	453.406641462401	35573.39595825759	56741.26560382241	66279.78952295962
98.0.	3.666666666666666	65838.53815480472	9462.868192109781	100	100	22.47376620997646	103.00462728181122	2969.8683050902564	99.34109251923886	25.394691612106765	100	126.96200184956625	100	94.54799480947723	95.84639791994017	10717.202648240582	3060.0271798474473	59.35611101656551	100	100	100	388.9258388662458	453.4674364350394	38290.36931595662	56758.28863183959	71261.78169262972
105.0.	3.666666666666667	66132.43849214374	9467.188898139828	100	100	22.489559826260802	103.18605390161785	2971.324697249848	106.55786017354067	25.41252826925876	100	126.904769356084	100	94.04849117304249	102.44722945273715	10765.104926890424	3290.9841703876964	59.62166764616099	100	100	100	389.0107534609817	453.5655505161946	41007.82410915744	56784.20604812114	76246.64718929987
112.0.	3.666666666666666	66400.75413757474	9472.603718845477	100	100	22.507257825303867	103.35151524295716	2973.200734365644	113.78676734277788	25.43251994574305	100	126.87512624370628	100	93.55778952538266	109.01339237454434	10808.837543445075	3522.924406913013	59.86411027217459	100	100	100	389.1191702071605	453.6913086225918	43725.95396617283	56816.685464783804	81235.56643144842
119.0.	3.666666666666667	66645.57100852189	9478.797693808036	100	100	22.52620140017271	103.50139458838014	2975.37625979936	121.02670858145136	25.453921585497394	100	126.86866820723176	100	93.07765893857763	115.54556691352545	10848.740414711301	3755.762040169194	60.08532303356584	100	100	100	389.2444018007008	453.83686739102706	46444.900199412856	56853.837845218084	86229.40047851918
126.0.	3.666666666666667	66868.81931154142	9485.517070924216	100	100	22.54586500529863	103.63626475179609	2977.75444486636	128.27661226769115	25.47613882331862	100	126.88159772233023	100	92.60952165764773	122.04454470260261	10885.128088448711	3989.4182463276766	60.28704947221152	100	100	100	389.3810576389671	453.99590328662305	49164.76181990476	56894.141263702164	91228.75207625752
133.0.	3.666666666666666	67072.28306832476	9492.558677650646	100	100	22.565832848841577	103.756832552892	2980.257856941788	135.53545185606282	25.49870140377525	100	126.91064080143573	100	92.15449986530395	128.51120617475064	10918.291294338544	4223.820698699349	60.47090112410727	100	100	100	389.52482000788183	454.16335037222893	51885.603835534144	56936.37715685745	96234.01637042753
140.0.	3.666666666666666	67257.60947079398	9499.761049156281	100	100	22.58577930019024	103.86389441624495	2982.8251089390155	142.80225364490988	25.521241026985326	100	126.95297540543146	100	91.71345661070129	134.94650102289853	10948.498467396475	4458.903072525743	60.638365959061936	100	100	100	389.6722565292439	454.3351805440329	54607.46410861927	56979.57711260655	101245.42288267898
147.0.	3.666666666666665	67426.31796208704	9506.997034246591	100	100	22.605452587850138	103.95830119219497	2985.4080264300746	150.07610176865245	25.54347291488945	100	127.00616992402996	100	91.2870316459466	141.35143134258976	10975.997226951496	4694.604582058442	60.790816575078026	100	100	100	389.8206634181717	454.5082198560154	57330.35900775869	57022.97852243881	106263.07013363251
154.0.	3.666666666666665	67579.80897175129	9514.16764143224	100	100	22.62466125620772	104.04093057593622	2987.969267376228	157.35614100219192	25.56518049705516	100	127.06813031743677	100	90.8756728127666	147.72703712397262	11001.015799461115	4930.869548833809	60.929518082197916	100	100	100	389.96793479332587	454.67999536452874	60054.288053118784	57065.98767174994	111286.95410408844
161.0.	3.666666666666666	67719.37225791525	9521.19692379067	100	100	22.643262931075533	104.11266575199124	2990.480332369834	164.6415778598737	25.586202707095755	100	127.13705468644103	100	90.47966353535993	154.074383801558	11023.764377427558	5167.646999843879	61.05563563277669	100	100	100	390.1124539319513	454.84860768312706	62779.23772326458	57108.14906059754	116316.99155010663
168.0.	3.666666666666665	67846.19482798503	9528.027732642593	100	100	22.661155014291154	104.17437911162592	2992.9199084384563	171.93168038325103	25.606423460345216	100	127.21139420095845	100	90.09914690165951	160.39455160645298	11044.436409747292	5404.890294173264	61.170241572179684	100	100	100	390.2530029522097	455.0126251282444	65505.18456492179	57149.11993538565	121353.03903294138
175.0.	3.666666666666666	67961.36842367398	9534.618196956224	100	100	22.67826698791982	104.22692008158954	2995.2724955597732	179.22577693806892	25.62576295158325	100	127.28981946461796	100	89.73414675203858	166.68862649726594	11063.209821156692	5642.556776598498	61.274322196846406	100	100	100	390.3886879300823	455.1709959503789	68232.09772425305	57188.64917327737	126394.90839006507
182.0.	3.666666666666666	68065.89656686637	9540.93880830902	100	100	22.694554059948214	104.27110626590215	2997.5272713246823	186.52325427944484	25.6441704696501	100	127.37119152425265	100	89.38458614026442	172.95769247326487	11080.248160184048	5880.607456616182	61.368784116371174	100	100	100	390.51887691741786	455.3229756830242	70959.94099887565	57226.55979858407	131442.37925745072
189.0.	3.666666666666667	68160.70117070692	9546.970010657873	100	100	22.709991926841347	104.30771724096601	2999.6771552289233	193.82355509332666	25.66161847495777	100	127.45453684817953	100	89.05030348486206	179.20282509723498	11095.701676308367	6119.006711368577	61.45446022341723	100	100	100	390.6431487249553	455.4680671067244	73688.67449349344	57262.73452686456	136495.20915413144
196.0.	3.666666666666665	68246.62872601696	9552.700210592937	100	100	22.72457246508722	104.33749046098717	3001.718039640979	201.12617518033287	25.678097727460663	100	127.5390256972254	100	88.73106668885062	185.42508607630964	11109.708327958613	6357.722010961229	61.53211528046984	100	100	100	390.7612506749335	455.60597072466965	76418.25594824606	57297.10383097465	141553.14155588078
203.0.	3.666666666666666	68324.45607715329	9558.124137553319	100	100	22.73830019472636	104.36111882843488	3003.6481594767265	208.43066041359253	25.693613287556722	100	127.62395339831338	100	88.42658547109313	191.62551876726263	11122.394723644255	6596.723664709987	61.6024511360852	100	100	100	390.87306381781883	455.7365439858675	79148.64179732058	57329.6361060964	146615.9123137597
210.0.	3.666666666666666	68394.89580413888	9563.241495108969	100	100	22.751189383851063	104.37924956574761	3005.4675769905953	215.73660357397225	25.708181241774025	100	127.70872410427513	100	88.13652212244827	197.80514448869982	11133.876998951879	6835.984586909323	61.66611158576319	100	100	100	390.9785743535828	455.8597677799392	81879.78800568628	57360.32958050529	151683.25471345257
217.0.	3.666666666666666	68458.60122961584	9568.05585413765	100	100	22.763261684787654	104.39248409214945	3007.1777618822057	223.04364114305403	25.72182602966846	100	127.79283668623751	100	87.86050087385037	203.96495953657617	11144.261632424905	7075.480080775936	61.72368689414105	100	100	100	391.07785020518594	455.97571897039796	84611.6507237195	57389.20567716027	156754.90342114706
224.0.	3.666666666666666	68516.17107013287	9572.573746884405	100	100	22.774544210890724	104.40137866544357	3008.7812501597346	230.35145011552123	25.734578268952923	100	127.87587245829866	100	87.59811604079526	210.10593281175397	11153.64620350129	7315.187639288512	61.77571799608753	100	100	100	391.17102186609196	456.0845479372789	87344.18679272388	57416.303580133615	161830.59751973412
231.0.	3.666666666666666	68568.15375168274	9576.803927708295	100	100	22.78506797809529	104.40644559484699	3010.281367965321	237.65974487746834	25.74647299308702	100	127.95748447946382	100	87.34893908899045	216.22900397912372	11162.120095750966	7555.086761713612	61.82270039465	100	100	100	391.25826679016836	456.1864602717518	90077.35412871557	57441.67580078617	166910.08280407506
238.0.	3.666666666666666	68615.05140938412	9580.756772010962	100	100	22.79486664806148	104.40815486897499	3011.682008884515	244.96827418495184	25.757548229902312	100	128.03738821586606	100	87.11252474872636	222.33508208732798	11169.765148651975	7795.158784677408	61.86508777379595	100	100	100	391.33979671414954	456.2817019080218	92811.1120071456	57465.384572720504	171993.113474874
245.0.	3.666666666666667	68657.32359087873	9584.44378961151	100	100	22.803975520380302	104.40693607430167	3012.987455225353	252.2768182673131	25.767843861863042	100	128.11535337879363	100	86.88841629049422	228.42504458651865	11176.656261092223	8035.386726712175	61.90329534360408	100	100	100	391.4158474055995	456.3705470982848	95545.42126732046	57487.49893315173	177079.45334639907
252.0.	3.666666666666666	68695.39068247232	9587.87723278505	100	100	22.812430730114258	104.4031805050036	3014.202235380263	259.58518607200523	25.777400718518717	100	128.1911967810703	100	86.67615006121409	234.4997366889842	11182.8619496959	8275.755145274037	61.93770293507515	100	100	100	391.4866704142514	456.4532887360376	98280.24445202918	57508.092372045656	182168.87666309348
259.0.	3.666666666666666	68729.63707635434	9591.069782506416	100	100	22.820268614346013	104.39724338599562	3015.3310107496227	266.89321266147255	25.78625986007166	100	128.26477607747287	100	86.47525936889699	240.5599710240271	11188.444864960906	8516.2500052938	61.968657861109705	100	100	100	391.55252647593335	456.53023061660946	101015.54589517823	57527.24095030983	187261.16860334252
266.0.	3.666666666666666	68760.41409644036	9594.03429920308	100	100	22.82752521755478	104.3894461479993	3016.3784868414996	274.2007567677773	25.794462017932798	100	128.33598427431608	100	86.28527779342667	246.60652754425556	11193.46226806512	8756.858558385758	61.996477559488504	100	100	100	391.6136802777013	456.6016812934355	103751.29176798766	57545.02180489306	192356.12553474723
273.0.	3.666666666666666	68788.04269952736	9596.783626605833	100	100	22.834235910716526	104.38007870733801	3017.349344096394	281.507698506888	25.80204716387926	100	128.40474490947807	100	86.1057419922275	252.64015364557403	11197.96647106034	8997.569231898871	62.02145203292264	100	100	100	391.6703963417647	456.6679492459576	106487.45009243258	57561.51197235046	197453.55507371537
280.0.	3.666666666666665	68812.81596756837	9599.330439238252	100	100	22.84043510336159	104.36940171437067	3018.24818477656	288.8139372516368	25.80905418433135	100	128.4710078184227	100	85.93619406172681	258.661564467689	11202.005243029049	9238.371527052062	62.043846100443865	100	100	100	391.7229358275813	456.7293391240176	109223.9907290625	57576.7874741416	202553.27599262205
287.0.	3.666666666666666	68835.00140598048	9601.687125649252	100	100	22.8461560312909	104.35764874354508	3019.079492893748	296.1193896601584	25.815520640188765	100	128.53474541303504	100	85.77618350858667	264.67144334596316	11205.622184633772	9479.255925448797	62.06390147360103	100	100	100	391.7715540849743	456.786148872845	111960.88534504444	57590.92261630563	207655.11800988085
294.0.	3.666666666666665	68854.84306201337	9603.865700862767	100	100	22.851430605688957	104.34502840534446	3019.8476046936576	303.4239878549972	25.82148259609836	100	128.59594941047607	100	85.62526887855253	270.670442389009	11208.857073344376	9720.21380331683	62.0818386701285	100	100	100	391.8164988202843	456.83866757689935	114698.10736720616	57603.98946437172	212758.92149171696
301.0.	3.666666666666666	68872.5634763382	9605.877742604256	100	100	22.856289311774766	104.33172636623875	3020.556687650293	310.7276777468955	25.826974505744058	100	128.65462795738662	100	85.48301908534785	276.65918315957197	11211.746181487591	9961.237352866734	62.09785877697042	100	100	100	391.8580087608043	456.88717388807964	117435.63192397074	57616.05746087671	217864.537089026
308.0.	3.666666666666666	68888.36548017563	9607.734346803814	100	100	22.860761147211335	104.31790726740607	3021.2107262913546	318.0304174964775	25.832029142100865	100	128.71080310211994	100	85.34901447724343	282.63825743904687	11214.322569125767	10202.319510207184	62.112145073784966	100	100	100	391.89631272268963	456.9319349271744	120173.43577934202	57627.19315849699	222971.82532823365
315.0.	3.666666666666666	68902.43384947315	9609.446098652565	100	100	22.864873592210287	104.30371653666963	3021.813513477184	325.332176106531	25.83667756353415	100	128.76450857386726	100	85.22284767467498	288.6082280584583	11216.616353640473	10443.453889296756	62.12486452732334	100	100	100	391.9316290039589	456.9732055666588	122911.49726149134	57637.460046464854	228080.65617138112
322.0.	3.666666666666666	68914.93682686919	9611.023056115908	100	100	22.868652604650446	104.28928209098002	3022.368646002103	332.63293213730026	25.840949108190234	100	128.81578783259118	100	85.10412420850537	294.5696297809338	11218.654957770492	10684.634721450971	62.13616916638131	100	100	100	391.964165037662	457.0112280187583	125649.79618799561	57646.91845169682	233190.9085576287
329.0.	3.666666666666665	68926.02752144751	9612.47474336416	100	100	22.872122634754938	104.27471592901884	3022.879523595025	339.9326725371059	25.844871410507967	100	128.86469235840102	100	84.99246298517357	300.52297022265464	11220.46333773417	10925.856799959562	62.14619734635721	100	100	100	391.99411725186275	457.0462316662172	128388.31378936286	57655.62549940317	238302.46993586503
336.0.	3.666666666666667	68935.84519558956	9613.810152014685	100	100	22.875306654826087	104.26011561521557	3023.349350564482	347.23139158063265	25.848470434762902	100	128.91128015275302	100	84.88749660198953	306.46873080099135	11222.064192952937	11167.11542940265	62.1550749118234	100	100	100	392.0216710924318	457.0784330841997	131127.03263213945	57663.63512054795	243415.23579605744
343.0.	3.666666666666667	68944.5164475767	9615.037748456196	100	100	22.878226200361205	104.2455656577658	3023.7811394714095	354.5290899073717	25.851770521485467	100	128.95561442720393	100	84.78887153318195	312.40736770007493	11223.47815878567	11408.40637928602	62.16291626492531	100	100	100	392.04700117241526	457.108036210831	133865.936542613	57670.99809578803	248529.1092052945
350.0.	3.666666666666665	68952.1562979768	9616.165485837462	100	100	22.880901419555837	104.23113878419323	3024.1777163305705	361.8257736529154	25.85479444336826	100	128.9977624583795	100	84.6962482049436	318.33931284540654	11224.723983583282	11649.725841644922	62.16982534686499	100	100	100	392.070271518417	457.1352326317256	136605.01053189466	57677.76212738681	253644.0003530924
357.0.	3.666666666666665	68958.86918727082	9617.200819555284	100	100	22.883351128751922	104.21689711867528	3024.5417269339428	369.1214536660759	25.85756346790007	100	129.03779459025537	100	84.6093009756163	324.2649748803108	11225.818691278359	11891.070392292742	62.1758965392033	100	100	100	392.0916358896973	457.1602019500115	139344.24072297456	57683.97193211565	258759.8261094134
364.0.	3.666666666666665	68964.74989163167	9618.150725298427	100	100	22.885592871871836	104.2028932658125	3024.875643969678	376.41614480511436	25.86009742451164	100	129.07578336710748	100	84.52771803528341	330.18474013810385	11226.777730636328	12132.436955416246	62.18121549122434	100	100	100	392.1112381503259	457.1831122187927	142083.61428019282	57689.66934948421	263876.50959792844
371.0.	3.666666666666666	68969.88436326095	9619.021718873057	100	100	22.88764298224476	104.18917130580881	3025.181774671265	383.70986530670353	25.862414774430288	100	129.11180278227718	100	84.45120123736861	336.0989736047842	11227.61511221188	12373.822771242198	62.18585987914774	100	100	100	392.12921267826323	457.20412041712893	144823.11934143963	57694.89346065578	268993.97978631384
378.0.	3.666666666666667	68974.35050121401	9619.81987719378	100	100	22.889516645576467	104.17576770617451	3025.4622687893916	391.0026362216024	25.86453268183174	100	129.14592762971822	100	84.37946587335003	342.0080198678831	11228.34353397721	12615.225366521863	62.18990010254586	100	100	100	392.14568479862317	457.22337295459675	147562.74495330075	57699.68071435247	274112.17109477817
385.0.	3.666666666666665	68978.2188582041	9620.550859933799	100	100	22.891227963047577	104.16271215510844	3025.7191267157996	398.29448091137675	25.866467085140425	100	129.1782329465439	100	84.31224040037364	347.9122040478435	11228.974496516697	12856.642527599815	62.19339992292574	100	100	100	392.16077123054964	457.24100619201647	150302.48100927944	57704.06505671375	279231.0230235296
392.0.	3.666666666666665	68981.55328846222	9621.21993144344	100	100	22.89279001377524	104.150028321671	3025.9542076305434	405.5854246008667	25.86823276761383	100	129.20879353630883	100	84.24926613036489	353.8118327089372	11229.518408615466	13098.072275851957	62.196417049061	100	100	100	392.1745805396368	457.25714696888525	153042.3181911634	57708.07806276381	284350.4797995173
399.0.	3.666666666666666	68984.41154134843	9621.831982617725	100	100	22.894214916024435	104.1377345477549	3026.1692375685066	412.8754939814489	25.86984342651592	100	129.23768356369376	100	84.19029688818509	359.70719474729515	11229.984684006884	13339.512845294847	62.19900367331582	100	100	100	392.1872135892777	457.27191312974884	155782.24791355227	57711.749067572935	289470.49004247936
406.0.	3.666666666666659	68986.84580505759	9622.39155246925	100	100	22.895513886715847	104.12584447671773	3026.3658173263275	420.16471686048953	25.871311740367336	100	129.26497621237215	100	84.13509864543323	365.59856225412966	11230.381829986916	13580.962662183882	62.20120696288389	100	100	100	392.19876398587627	457.28541404355894	158522.26227151992	57715.105295651345	294591.0064500859
413.0.	3.666666666666659	68988.90320440571	9622.902849215721	100	100	22.89669729889087	104.11436762331881	3026.5454301507634	427.45312185273167	25.872649433889165	100	129.2907433986962	100	84.08344913568249	371.4861913526115	11230.717528544803	13822.420326433665	62.20306950954314	100	100	100	392.2093185140314	457.2977511114551	161262.35399135816	57718.17198743107	299711.98550180753
420.0.	3.666666666666666	68990.62625643273	9623.369770745725	100	100	22.897774736901333	104.10330988946534	3026.709449165161	434.7407381096446	25.87386734037376	100	129.31505553466232	100	84.03513745614629	377.37032300733915	11230.998710618931	14063.884594705065	62.204629741300856	100	100	100	392.2189575587995	457.30901825955755	164002.51638431734	57720.972522018004	304833.3871809624
427.0.	3.666666666666666	68992.05328721998	9623.79592434991	100	100	22.898755049154616	104.0926740299825	3026.8591445020065	442.0275950831017	25.874975461299623	100	129.3379813342018	100	83.9899636601454	383.2511838055837	11231.231624031676	14305.354365018047	62.2059222989991	100	100	100	392.22775551280665	457.31930241415495	166742.74330324886	57723.528535541096	309955.1747143312
434.0.	3.666666666666667	68993.21881306279	9624.184645654173	100	100	22.899646398326382	104.08246007240118	3026.995690122804	449.3137223200371	25.87598302307799	100	129.35958765768999	100	83.94773834415737	389.1289867097777	11231.421895615036	14546.82866276048	62.20697838071734	100	100	100	392.23578116683103	457.3286839576647	169483.0291020384	57725.86003470912	315077.3143286498
441.0.	3.666666666666666	68994.15388892053	9624.539016698325	100	100	22.900456308984438	104.07266569454951	3027.1201703103325	456.5991492849865	25.87689853087898	100	129.37993938986185	100	83.90828223268315	395.0039317810105	11231.57458800325	14788.306627972821	62.20782605661204	100	100	100	392.2430980827125	457.3372371640045	172223.36859770963	57727.985505247045	320199.775023227
448.0.	3.666666666666666	68994.8864268192	9624.861883137735	100	100	22.90119171262637	104.06328656347617	3027.23358582969	463.88390520768553	25.87772981953365	100	129.39909934704013	100	83.8714257637145	400.87620687347027	11231.69425152835	15029.78750379903	62.208490556609846	100	100	100	392.2497649481559	457.3450306128706	174963.75703507438	57729.922015069984	325322.52835792024
455.0.	3.666666666666667	68995.4414866766	9625.155870552868	100	100	22.901858990149414	104.05431663900781	3027.3368597560075	471.1680189531373	25.87848410153463	100	129.41712820989036	100	83.83700867716998	406.7459882999608	11231.784971621264	15271.27062600295	62.20899453318564	100	100	100	392.25583591310533	457.3521275825317	177704.19005379995	57731.68531210637	330445.5482556818
462.0.	3.666666666666666	68995.84154182592	9625.42339987283	100	100	22.90246401181421	104.04574844501599	3027.4308429737853	478.45151891178057	25.879168012204563	100	129.43408447843964	100	83.80487960830257	412.6134414687705	11231.850412089272	15512.755413457671	62.20935830128181	100	100	100	392.2613609078133	457.3585864212763	180444.66365776694	57733.28991680726	335568.8108188908
469.0.	3.666666666666667	68996.10672133391	9625.666701915621	100	100	22.90301217475198	104.03757331125311	3027.5163193517046	485.7344329076013	25.879787652088407	100	129.45002444628173	100	83.77489568775758	418.47872149230506	11231.893854611477	15754.241359522994	62.2096000572618	100	100	100	392.2663859426731	457.36446089758317	183185.1741865878	57734.74920935739	340692.294158692
476.0.	3.666666666666666	68996.25503104339	9625.887831072918	100	100	22.903508438118248	104.02978158840799	3027.594010604582	493.0167881222196	25.880348626686075	100	129.4650021914407	100	83.74692214967523	424.3419737679983	11231.918234766752	15995.728024233284	62.20973607864151	100	100	100	392.2709533903911	457.3698005296869	185925.7182891627	57736.0755117554	345815.978236575
483.0.	3.666666666666666	68996.30255511646	9626.088678156735	100	100	22.903957355968316	104.02236283882993	3027.6645808513435	500.29861103316625	25.880856083610343	100	129.47906958144233	100	83.72083194897995	430.2033345321051	11231.926174883698	16237.21502722432	62.209780906203505	100	100	100	392.27510225088776	457.37465089499426	188666.2928991487	57737.28016486675	350939.8447174558
490.0.	3.666666666666666	68996.26363971295	9626.27098244262	100	100	22.904363107966503	104.01530600518514	3027.7286408814966	507.5799273647242	25.881314747296273	100	129.49227629056327	100	83.69650538877673	436.062931387054	11231.920013978981	16478.702041333836	62.20974750997026	100	100	100	392.27886839958137	457.37905392009645	191406.89521222474	57738.37360065805	356063.87683354015
497.0.	3.666666666666667	68996.15106030718	9626.43634293766	100	100	22.904729528023573	104.00859955912887	3027.7867521425096	514.8607620498648	25.881728951369425	100	129.50466982736552	100	83.67382975858203	441.9208838030926	11231.901835028968	16720.18878681587	62.209647440394896	100	100	100	392.2822848197047	457.38304815214605	194147.52266503836	57739.36540978105	361188.05925828003
504.0.	3.666666666666667	68995.97617402572	9626.586228906957	100	100	22.905060130966415	104.00223163191079	3027.839430460988	522.141139201949	25.882102668790075	100	129.5162955708483	100	83.65269898394533	447.77730359500595	11231.873489800088	16961.675026114164	62.2094909660178	100	100	100	392.2853818193277	457.38666901238065	196888.17291572358	57740.26440470967	366312.3779897621
511.0.	3.666666666666666	68995.74905827685	9626.721989697528	100	100	22.905358137353392	103.99619012867278	3027.887149511777	529.4210820949887	25.882439539901377	100	129.52719681380793	100	83.63301328786997	453.63229537471864	11231.836621444905	17203.160559144326	62.20928719873796	100	100	100	392.28818723387735	457.389949032709	199628.84382588873	57741.0786786627	371436.8202429008
518.0.	3.666666666666666	68995.47863683902	9626.84486389221	100	100	22.905626496532733	103.99046282805267	3027.9303440477474	536.7006131513878	25.88274289849199	100	129.53741481207499	100	83.61467886431218	459.48595698061735	11231.792685054266	17444.64521903901	62.20904420775281	100	100	100	392.2907266148427	457.3929180761672	202369.53344397046	57741.81566050803	376561.37434983655
525.0.	3.666666666666666	68995.1727944818	9626.955987830648	100	100	22.905867908048798	103.98503746856888	3027.9694129043887	543.9797539361815	25.883015795991557	100	129.5469888385096	100	83.59760756392635	465.33837988444776	11231.742966340342	17686.12886831397	62.20876912313709	100	100	100	392.29302340545075	457.3956035421638	205110.23998986543	57742.482165870555	381686.029667976
532.0.	3.666666666666665	68994.83848110346	9627.05640353193	100	100	22.906084841494316	103.97990182313741	3028.004721790755	551.2585251569049	25.88326102390936	100	129.55595624073493	100	83.58171659212682	471.1896495766433	11231.688598611061	17927.61139541671	62.20846822994924	100	100	100	392.2950991039709	457.39803055726827	207850.96184074617	57743.08444465142	386810.77649513906
539.0.	3.666666666666666	68994.48180628984	9627.147066056064	100	100	22.906279554910245	103.97504376295083	3028.0366058816467	558.5369466682909	25.8834811346318	100	129.56435250176867	100	83.56692821945502	477.0398459309494	11231.63057818333	18169.09271162255	62.208147053683106	100	100	100	392.29697341547603	457.4002221525244	210591.69751797992	57743.62822518132	391935.60599130776
546.0.	3.666666666666666	68994.1081251249	9627.228850331097	100	100	22.90645411181048	103.97045131184231	3028.065372220514	565.8150374811082	25.883678460665383	100	129.57221130269508	100	83.55316950416908	482.8890435492024	11231.569778370382	18410.572748246188	62.20781043781499	100	100	100	392.29866439259536	457.40219942790776	213332.4456750716	57744.118755168834	397060.5101065064
553.0.	3.666666666666666	68993.72211601317	9627.302557493167	100	100	22.906610396952832	103.96611269215586	3028.091301948602	573.0928157744975	25.88385513246271	100	129.57956458688415	100	83.54037202691363	488.73731208711325	11231.506962167114	18652.05145413928	62.207462614132766	100	100	100	392.3001885661718	457.4039817049788	216073.20508655588	57744.56083972743	402185.4815143657
