[AcanmRNA]	[ADAMTS5]	[AGEprod]	[Alk1]	[Alk1_Alk5]	[Alk5]	[Alk5_dimer]	[Bax]	[Bax_Bcl2]	[Bax_Bcl2_Beclin]	[Bax_Bcl2_Beclin_I]	[Bcl2]	[Bcl2_Beclin]	[Bcl2_Beclin_I]	[Beclin]	[Beclin_I]	[Caspase_A]	[Caspase_I]	[Col2mRNA]	[DamP]	[IkB]	[IkB_NFkB]	[IL1]	[Lys_A]	[Lys_I]	[MMP13]	[MMP2]	[NFkB]	[NFkB_P]	[p38]	[p38_P]	[proMMP13]	[proMMP2]	[RAGE]	[ROS]	[Runx2_A]	[Runx2_I]	[Smad1]	[Smad1_P]	[Smad1_P_Smad4]	[Smad2]	[Smad2_P]	[Smad2_P_Smad4]	[Smad4]	[Smad7]	[SOD]	[Sox9]	[Sox9_A]	[Sox9mRNA]	[Tgfb_A]	[Tgfb_Alk1_Alk5]	[Tgfb_Alk1_Alk5_Smad7]	[Tgfb_Alk5_dimer]	[Tgfb_Alk5_dimer_Smad7]	[AggFrag]	[Aggrecan]	[Aggrecan_Collagen2]	[ColFrag]	[Collagen2]	[Integrin]	[Tgfb_I]	[IntegrinCount]
3.3403874489717267e-10	1.9499295584397196e-05	0.0002	395.79135643605275	104.20864971784012	48.431111390444	173.6773538855613	0.014887631958040822	94.20206982830257	5.783042136693911	4.0304539267349793e-07	6.298826039955529	39.112251243703305	5.654510918828227e-07	65.10469927898974	6.37211655388231e-06	0.00739756229268258	99.99260243770738	4.346200966018961e-09	0.3344680680532063	0.0001723714839312903	99.96107499877596	0.0007919437966523352	39.98692991771278	360.0130700822873	4.821574049039693e-09	7.539132795022708e-13	0.03586839097396771	0.0030566102501262886	98.35024532218603	1.6497546778139818	1.249598251442033e-06	1.953686361288657e-07	3.757839073012914e-05	1.9057149999384775	7.736586577511179e-05	99.99992263413425	599.9999621036011	2.0111554123567704e-05	1.778484458425324e-05	599.9998484128054	5.4620773884075416e-05	9.69664206462131e-05	599.9998852487349	3.614078599589293e-08	1.637837977900744	99.99058722859354	2.028509564870708e-06	9.80396686322744	0.00024350840148758756	5.01628905662244e-05	2.367688483549991e-11	0.0001150536148510727	2.1751772312092497e-15	7.528687041348295e-10	1.0014768159876923e-14	999.9999999992475	6.43091817550952e-25	7.528840983786058e-10	7.613009243782109e-05	199.99959127506952	7.999999999999995e-05
5.678049162764413e-10	2.8589265658359054e-05	0.00022000000000000003	397.3728995675802	102.6271008092656	47.896240195743914	174.73538922298042	0.01667623869703576	94.26601951030648	5.717303795222843	4.557735521578254e-07	5.568650324787402	39.486289780472156	6.331350152697332e-07	64.79639833452984	7.000866600079466e-06	0.00794450938985133	99.9920554906102	6.6950309005550825e-09	0.3616902161954248	0.00022443039639336653	99.95728492391183	0.0010354726767245854	39.9853690663665	360.01463093363367	7.881670361120344e-09	1.2323138881715487e-12	0.03907555544907981	0.0036395206391360386	98.31021545237216	1.6897845476278432	1.8327494838164856e-06	2.865066328286209e-07	4.7621609001676376e-05	1.8990106559302815	0.00011957816923435304	99.99988042183078	599.9999490392793	2.633414603702981e-05	2.462657453778455e-05	599.9997943994193	7.155929315598982e-05	0.00013404128729404725	599.9998413321383	5.460873605746898e-08	1.6055389918608922	99.9886211146332	3.1017172352517575e-06	9.784578323608246	0.0002688712731547603	6.075724522373995e-05	4.8110362604099544e-11	0.00014183390245509688	4.503746338010834e-15	1.230417676645686e-09	1.889698384353862e-14	999.9999999987699	1.900915513089087e-24	1.230444007092059e-09	8.333272899353617e-05	199.99952853753118	8.799999999999997e-05
9.164678265740732e-10	4.026411437425311e-05	0.00024000000000000003	398.7835733819518	101.21641998202408	47.42228728773996	175.67753015320798	0.02848910822523936	94.3054606763744	5.66604970637617	5.090241091073396e-07	4.967947882912551	39.78693269312214	7.002098232653133e-07	64.54700875813994	7.633127814841274e-06	0.00842314579126667	99.99157685420879	9.889060206538813e-09	0.38794587361420324	0.0002825872140259715	99.95351330052718	0.0013121924839573404	39.983790196383616	360.01620980361656	1.2265572902592402e-08	1.9175781881769817e-12	0.04224705294014749	0.004239646532712373	98.2787772859208	1.7212227140792107	2.582149766539494e-06	4.0359639095604113e-07	5.903368605335038e-05	1.8926242898521703	0.00017691562616863052	99.99982308437386	599.999933398501	3.362068084216401e-05	3.298081807658221e-05	599.9997290878166	9.147276549511063e-05	0.0001794394176284196	599.9997875797644	7.913262385537884e-08	1.5739032664003727	99.98647064880902	4.547766158138926e-06	9.765228523999843	0.00029398251635791495	7.222769463421077e-05	9.109292342282048e-11	0.00017142032224852697	8.682280054238362e-15	1.914330540611586e-09	3.3531571929722545e-14	999.999999998086	5.072209046884455e-24	1.9143733031378266e-09	9.046368350141931e-05	199.99946236937578	9.599999999999998e-05
1.4183741757526796e-09	5.485092772592405e-05	0.00026000000000000003	400.0426351339614	99.95735004197321	47.00037374884576	176.51784452800788	0.030815845948678533	94.34269105017462	5.6264925411638345	5.627127801476598e-07	4.456432796414381	40.02678852523921	7.668273450117675e-07	64.34670933549391	8.268562920697094e-06	0.008839658092840253	99.99116034190723	1.4113975762483235e-08	0.4132712780788948	0.00034593072032597735	99.94976063699026	0.0016202515674015167	39.98219720284204	360.01780279715814	1.833298107391006e-08	2.8658368541128705e-12	0.045388693744471846	0.004850669265302706	98.25424967538146	1.7457503246185382	3.5190610111223937e-06	5.499366764103615e-07	7.181561178548339e-05	1.8865313303460136	0.0002525943388731201	99.99974740566115	599.9999149803612	4.20383028691842e-05	4.298133581496916e-05	599.9996514832901	0.00011456170122537391	0.00023395500834468114	599.999723063656	1.1080692440060842e-07	1.5429179685007735	99.98413631438252	6.442884563323832e-06	9.745917385459444	0.0003188442451892765	8.455317638946102e-05	1.629783347316784e-10	0.00020379636817983066	1.5804249788913987e-14	2.8605315398794852e-09	5.6629101636051093e-14	999.9999999971398	1.241631077912675e-23	2.86059813346066e-09	9.752368388846949e-05	199.99939280604735	0.00010399999999999998
2.117921716001717e-09	7.26534988226528e-05	0.00028000000000000003	401.16738884788816	98.83258701793483	46.623773963580966	177.26834696925397	0.00378056595654154	94.40298227830007	5.593236538959503	6.167838086672017e-07	3.9976855820605746	40.21767441091589	8.327605625880275e-07	64.18907869340451	8.907175723146888e-06	0.00919684072291877	99.99080315927715	1.9568556225983065e-08	0.43770077194959284	0.0004134491332156645	99.94602748824012	0.001957481002559482	39.98059339313487	360.0194066068653	2.6476367213530186e-08	4.138292661882564e-12	0.048505004773044466	0.005467506986865107	98.2352667596081	1.7647332403919025	4.663321636532449e-06	7.285958354000207e-07	8.595788773184588e-05	1.8807107802459324	0.0003500260741457934	99.99964997392588	599.9998935917333	5.165203073416708e-05	5.475623585006275e-05	599.9995606344482	0.00014101714774883233	0.0002983484036724309	599.9996468953607	1.507487343667877e-07	1.512570468891522	99.98161858171028	8.867221650716708e-06	9.726644830306128	0.0003434587646792554	9.771556806357873e-05	2.7748467201971183e-10	0.00023894351717963433	2.7347916822291585e-14	4.129973385078581e-09	9.161763990890686e-14	999.9999999958702	2.799071991393277e-23	4.130073437340841e-09	0.00010451344122316451	199.99931988187268	0.00011199999999999998
3.0679771976959363e-09	9.39438315188177e-05	0.00030000000000000003	402.17254093856786	97.82742453947522	46.28749044602415	177.9388892676814	0.02677487809032636	94.40485097867125	5.568373472050413	6.711879267997944e-07	3.6576039480269684	40.366255309867874	8.985810992799685e-07	64.06536010014335	9.548169322895158e-06	0.009504667988803076	99.99049533201124	2.6468905430882345e-08	0.46126650906350614	0.0004840493075901938	99.94231443609975	0.0023214402226115526	39.97898136867839	360.02101863132174	3.712948460792813e-08	5.80251585770646e-12	0.051599157728721826	0.006086406171564319	98.22080191611924	1.7791980838807657	6.0328328801473625e-06	9.423274676253668e-07	0.00010143997528860949	1.8751455194397073	0.0004728815681120014	99.99952711843194	599.9998690479819	6.252455255982586e-05	6.842746544587471e-05	599.9994556417656	0.000171018883683386	0.0003733393503223087	599.9995582331844	2.000995878864842e-07	1.4828483903579797	99.97891790701117	1.1905914593763158e-05	9.707410782143837	0.0003678284835878848	0.00011170012372695078	4.53530831670774e-10	0.0002768408391389888	4.5397260290413225e-14	5.789913622173258e-09	1.4301181372586925e-13	999.9999999942103	5.939095217624723e-23	5.790059452218401e-09	0.00011143364805414503	199.9992436301001	0.00011999999999999999
4.329078835087395e-09	0.00011897390367325713	0.00032000000000000024	403.0713998740427	96.92855417905898	45.986835569501245	178.53846932676686	0.029982859431590785	94.421146050388	5.548870364307855	7.258724531959296e-07	3.3551210423730047	40.480064973109776	9.64337570116036e-07	63.971052781067286	1.0191305055770405e-05	0.009767490433773372	99.99023250956628	3.504696804959347e-08	0.48399987666480554	0.0005566355538750184	99.93862203885247	0.002709630801685029	39.9773633390566	360.0226366609436	5.075940634138659e-08	7.931188017886396e-12	0.05467370129272902	0.0067042598548226785	98.2099700246145	1.7900299753854874	7.64430575103592e-06	1.1936874345321184e-06	0.00011823643131250101	1.8698200112818557	0.0006250756816322862	99.99937492431843	599.9998411658948	7.471833885967766e-05	8.411576585456328e-05	599.999335624547	0.00020474243993167223	0.00045963301274227374	599.9994562512218	2.600274341087289e-07	1.453739345624904	99.97603474620774	1.564869136315491e-05	9.688215163967847	0.0003919557926194326	0.0001264935262598718	7.154279756643509e-10	0.0003174659269472537	7.268018602722647e-14	7.912663438395687e-09	2.1640948391829746e-13	999.9999999920875	1.193604901786937e-22	7.912870484680719e-09	0.0001182849977288228	199.99916408403877	0.000128
5.9702369874358115e-09	0.0001479694865275789	0.00034000000000000035	403.8756718008489	96.12426982578633	45.71784545539064	179.0749220363979	0.03188462930720438	94.43441821861904	5.533696371277481	7.807961691600542e-07	3.0993683327894157	40.56485794123729	1.0302340587027741e-06	63.901433040263704	1.08361913036091e-05	0.009990841038048719	99.99000915896201	4.555026283222334e-08	0.5059309516509657	0.0006301383147117463	99.93495080788672	0.003119529417530744	39.97574118317894	360.02425881682126	6.786504925985985e-08	1.0601841624992051e-11	0.05773045403113603	0.007318738082172525	98.20206017975829	1.7979398202417236	9.512878995766786e-06	1.484971919329581e-06	0.00013631672851673838	1.8647207447208816	0.0008107602338427896	99.99918923976621	599.9998097663109	8.829478486963657e-05	0.00010193890393394386	599.9991997360152	0.00024235603260098373	0.0005579079520343921	599.9993401531443	3.3171336947824427e-07	1.4252311070128791	99.97296954895252	2.018938870055634e-05	9.669057899075737	0.00041584308893091525	0.00014208417772203162	1.0941551615302647e-09	0.00036079507980368787	1.1273453783360453e-13	1.0575319613916822e-08	3.1870946786689973e-13	999.9999999894249	2.2865366750699114e-22	1.0575606915924921e-08	0.00012506817532676153	199.9990812765594	0.000136
8.069266101693791e-09	0.00018113111422667118	0.0003600000000000003	404.5956897485947	95.4042384817028	45.47704309095133	179.55515231219428	0.03584695186423375	94.44201847362112	5.522133738593724	8.359208210431911e-07	2.885909327925014	40.62539321432551	1.0964916606180698e-06	63.85245963223037	1.1482437922040722e-05	0.010179934244185274	99.9898200657559	5.8241510792246905e-08	0.5270886601461302	0.00070355057080095	99.93130118216447	0.0035486616680685313	39.97411647300273	360.0258835269975	8.897405858421215e-08	1.3896344067566702e-11	0.060770699921601265	0.00792811791395882	98.19649467077436	1.8035053292256615	1.1652189226278567e-05	1.8182268628859463e-06	0.00015564695845431223	1.8598357864570156	0.0010343202366042375	99.99896567976344	599.9997746732805	0.00010331442309810846	0.00012201229620521767	599.999047160746	0.0002840211766281635	0.000668818077159225	599.9992091696269	4.16345545025381e-07	1.3973116084388335	99.96972275999417	2.562562085972673e-05	9.649938910922458	0.0004394927538449325	0.00015846181774787008	1.62841555257612e-09	0.0004068036005624817	1.7005358286860751e-13	1.3859244871306836e-08	4.582797904439212e-13	999.9999999861411	4.1978204602913605e-22	1.3859635580329252e-08	0.00013178385915895287	199.99899524019938	0.00014399999999999995
1.0716390395456183e-08	0.00021864721974939596	0.00038000000000000035	405.2406190120701	94.75929487890433	45.26135516958893	179.98527935908248	0.03773819161067835	94.44865759222854	5.513603324952681	8.912080082730403e-07	2.704026944225618	40.665631140281036	1.1633426743673132e-06	63.82075135054709	1.2129668527940885e-05	0.01033958144178116	99.9896604185583	7.34098294613319e-08	0.547499918651137	0.0007759337275601062	99.92767356030727	0.003994632783228984	39.972490530085146	360.0275094699152	1.1466216957877558e-07	1.790386346040048e-11	0.06379529920266219	0.008531140490093186	98.19279939019731	1.8072006098026956	1.407525377064009e-05	2.19538079069739e-06	0.00017619261888890734	1.8551547184584345	0.0013005652772153733	99.99869943472282	599.9997357020108	0.00011984138529422612	0.00014445660396075055	599.998877061477	0.000329904796179698	0.0007930337265181462	599.9990625096699	5.151685178497108e-07	1.3699698793268917	99.96629445887118	3.206281161586045e-05	9.630858199532042	0.0004629067205331098	0.0001756186648206542	2.367379340558729e-09	0.00045547089328458327	2.5043420688859144e-13	1.7853009138792937e-08	6.454982706352968e-13	999.9999999821472	7.436430237208554e-22	1.7853531232585766e-08	0.00013843259919108425	199.99890600135382	0.00015199999999999995
