	A	E	G	R
54	12.490756968758575	49965.98963704453	19976468.90790021	49943.22553120561
55	12.490682393696613	49964.95687035374	19976040.943046793	49940.58254714316
56	12.490637926606553	49964.18863892874	19975721.667631257	49938.501328746344
57	12.490615121746682	49963.63117620275	19975489.187277123	49936.89205736227
58	12.490607401575536	49963.23869522815	19975324.805054706	49935.67180486363
59	12.490609670196728	49962.972556187575	19975212.704064053	49934.7658228516
60	12.49061834635119	49962.80229046627	19975140.375280615	49934.11059446965
61	12.49063053983065	49962.70207627464	19975097.205203965	49933.65076920843
62	12.490644409305588	49962.65250040007	19975075.18641741	49933.341268903954
63	12.490658578620172	49962.63791723718	19975067.85641575	49933.14462990667
64	12.490672162142124	49962.646420632394	19975070.283640437	49933.03065217375
65	12.49068464978338	49962.669340666704	19975078.865587372	49932.975935470175
66	12.490695756866616	49962.700218061334	19975090.910250325	49932.962046983805
67	12.490705376903165	49962.73448193532	19975104.50461721	49932.974947830546
68	12.490713529369575	49962.769098836914	19975118.37150093	49933.00437813295
69	12.490720300983726	49962.8020520218	19975131.65554632	49933.0427451154
70	12.490725824332756	49962.83218377804	19975143.858736154	49933.08482342964
71	12.490730249657574	49962.858858429005	19975154.70107214	49933.12693343328
72	12.490733733352304	49962.88190976529	19975164.099442765	49933.166887346095
73	12.490736426854815	49962.90136309194	19975172.051685683	49933.203184122
74	12.490738467167139	49962.91748888316	19975178.65995053	49933.23528652095
75	12.490739978906877	49962.93060860738	19975184.048876587	49933.26295595897
76	12.49074107120935	49962.941086923725	19975188.362573374	49933.28625906337
77	12.49074183652944	49962.94930564251	19975191.753772512	49933.30549389203
78	12.490742351621444	49962.95563522629	19975194.371761367	49933.321085205826
79	12.49074267903801	49962.96041611216	19975196.354402483	49933.33350686538
80	12.490742868869841	49962.96394965804	19975197.82417952	49933.343233611246
81	12.490742960542185	49962.96649555917	19975198.886958994	49933.35071369783
82	12.490742984542695	49962.96827290872	19975199.63229023	49933.35635432597
83	12.490742964475727	49962.96946554565	19975200.13548037	49933.36051787056
84	12.490742917615275	49962.97022216497	19975200.457594015	49933.36351645932
85	12.490742855887754	49962.97065842063	19975200.64625437	49933.365608657776
86	12.490742787648232	49962.97086478678	19975200.738798697	49933.36700693927
87	12.49074271872575	49962.970911801254	19975200.764394738	49933.36788412655
88	12.490742653053621	49962.970853903586	19975200.74560133	49933.36837951795
89	12.490742593044716	49962.97073200739	19975200.699418306	49933.36860348694
90	12.490742539935205	49962.97057584709	19975200.638244227	49933.36864166387
91	12.490742494117098	49962.970406227156	19975200.57079406	49933.36855891163
92	12.49074245541705	49962.970237010246	19975200.50291159	49933.36840299839
93	12.490742423332064	49962.97007694611	19975200.43831852	49933.36820819341
94	12.49074239722557	49962.96993140002	19975200.37932473	49933.36799894451
95	12.490742376387072	49962.9698031957	19975200.327177648	49933.36779204829
96	12.490742360058219	49962.969693120955	19975200.282272637	49933.36759805302
97	12.490742347488526	49962.96960055679	19975200.244412865	49933.36742276127
98	12.490742337994492	49962.96952413486	19975200.213080745	49933.367268790586
99	12.490742330983428	49962.96946216861	19975200.187617194	49933.36713675306
100	12.490742325946167	49962.969412835955	19975200.1672991	49933.36702593763
