	E	E_M	E_P2	E_P_1	E_P_2	M	P	P2	T
19	0.00010272185951670425	1.4764033996086124e-05	3.1674105508581484e-07	2.873941808874181e-05	3.4579473433244867e-06	0.19930621652433916	0.3529080836597187	0.027951704593394282	0.41978671708206683
20	0.00010445226518194683	1.4498586445094056e-05	3.3196164573321665e-07	2.7418204511030205e-05	3.2989822161393517e-06	0.19248000272588275	0.3311060897977727	0.028809360790623167	0.44755899895090573
21	0.00010619749811310969	1.418577978756768e-05	3.4695500413559697e-07	2.6126231897237897e-05	3.1435351979107215e-06	0.1852319603942847	0.31031873535336163	0.029615524270977963	0.4747899774794908
22	0.00010795171831647414	1.3831278836322343e-05	3.616890987377956e-07	2.4863685238613236e-05	2.9916285098132586e-06	0.17766790714819364	0.29052325815882246	0.03037131341842405	0.5013954729928786
23	0.00010970898825807755	1.3440567469961656e-05	3.7613039680778655e-07	2.3630999429044026e-05	2.843314446070661e-06	0.16988336370217297	0.271696652073013	0.031077870172049465	0.5273018230410249
24	0.00011146332414979265	1.3018948843390864e-05	3.902444629284856e-07	2.2428812764538817e-05	2.6986697792784573e-06	0.16196406228595248	0.2538154910188358	0.03173636841634095	0.5524455416030231
25	0.00011320875444052925	1.257153830368057e-05	4.0399658328012434e-07	2.1257920499874315e-05	2.557790172565483e-06	0.15398642733351697	0.23685578911991706	0.03234802051082149	0.576772971790187
26	0.00011493938365714602	1.2103250563139916e-05	4.1735240292497914e-07	2.0119228743186713e-05	2.420784632359638e-06	0.14601804088920903	0.22079289679816147	0.03291408195774772	0.6002399197385406
27	0.00011664945947769244	1.1618782705091874e-05	4.302785609238235e-07	1.901370919261263e-05	2.2877700624047525e-06	0.138118102518407	0.2056014323859877	0.03343585422578624	0.6228112603292986
28	0.0001183334407175667	1.112259459620144e-05	4.4274330653880373e-07	1.7942355379495012e-05	2.1588659989254367e-06	0.1303378909668628	0.19125524835047833	0.033914685774301526	0.644460508349077
29	0.00011998606385324624	1.0618888247767028e-05	4.5471707928396126e-07	1.6906141197685763e-05	2.034189620744524e-06	0.12272123240103494	0.177727430659752	0.03435197135494272	0.6651693516481257
30	0.00012160240571421974	1.0111587582798711e-05	4.6617303597974697e-07	1.590598253339774e-05	1.9138511323320456e-06	0.1153049778195357	0.16499032920013973	0.03474914970179754	0.6849271456842435
31	0.00012317794014974557	9.604319933918228e-06	4.770875095546813e-07	1.4942702790122132e-05	1.7979496153887166e-06	0.10811949018687456	0.15301561652353615	0.035107699755895894	0.7037303714738457
32	0.00012470858674650686	9.10040041396187e-06	4.874403867895386e-07	1.401700301723825e-05	1.6865694342339092e-06	0.10118914006656773	0.14177437161614945	0.03542913560175515	0.7215820613022768
33	0.0001261907500505313	8.60282007624784e-06	4.972153954472671e-07	1.3129437212840058e-05	1.579777263664129e-06	0.09453280705753056	0.13123718488229424	0.03571500032037258	0.7384911984898557
34	0.00012762134819766966	8.114238526883184e-06	5.064002950063313e-07	1.2280393192709802e-05	1.477619786462121e-06	0.08816438320071338	0.12137428015842795	0.035966858983097476	0.7544720990059612
35	0.00012899783035091037	7.636981382151514e-06	5.149869692378032e-07	1.1470079213250558e-05	1.3801220831806244e-06	0.08209327374210677	0.11215564934900578	0.03618629102233471	0.769543783716906
36	0.00013031818284091123	7.1730426979190815e-06	5.229714228250071e-07	1.0698516325597234e-05	1.287286711478064e-06	0.07632489021004074	0.10355119521100437	0.03637488221787671	0.7837293505439217
37	0.0001315809243983345	6.724092243091394e-06	5.303536879882896e-07	9.965536222884465e-06	1.1990934464324586e-06	0.07086113067152879	0.0955308779147379	0.03653421653156678	0.7970553558065675
38	0.00013278509125639167	6.2914872815615665e-06	5.371376500153902e-07	9.270784177484167e-06	1.115499633278564e-06	0.06570084223850231	0.08806486126377275	0.036665868008623474	0.8095512135803604
39	0.000133930213286403	5.8762883371925275e-06	5.433308032676142e-07	8.613726488910143e-06	1.0364410829583052e-06	0.060840261346776614	0.0811236548358827	0.03677139294297167	0.8212486210876581
40	0.00013501628254948287	5.479278298452886e-06	5.489439506723714e-07	7.993661770510023e-06	9.618334296149579e-07	0.056273427977693455	0.07467824879897483	0.036852322477015836	0.8321810170288677
41	0.00013604371581866899	5.100984135064031e-06	5.539908606291164e-07	7.409735324595832e-06	8.915738597753101e-07	0.05199257076356264	0.06870023870956041	0.03691015577618426	0.842383078466514
42	0.0001370133126812849	4.741700469637407e-06	5.58487895280671e-07	6.860955832391196e-06	8.255431201392641e-07	0.04798846076241888	0.06316193819674062	0.0369463538863807	0.8518902604671438
43	0.00013792621080678503	4.401514258374226e-06	5.624536234898846e-07	6.346213597682645e-06	7.636077124014246e-07	0.044250732539305344	0.05803647803200444	0.036962334350337404	0.8607383812891622
44	0.0001387838398684888	4.0803298816721156e-06	5.659084307078593e-07	5.864299628833581e-06	7.056221890295938e-07	0.04076817201286062	0.05329789066060197	0.03695946662802992	0.8689632545383784
45	0.0001395878754558922	3.7778940189030726e-06	5.688741363762442e-07	5.413924915066092e-06	6.514314724966518e-07	0.037528971276749826	0.04892117979977671	0.036939068338069245	0.8766003684608625
46	0.00014034019412667546	3.4938197721795033e-06	5.713736277302616e-07	4.993739341085923e-06	6.00873131062186e-07	0.03452095125558706	0.04488237517550782	0.036902402312241143	0.883684611450793
47	0.00014104283053809985	3.2276096047447037e-06	5.734305169845898e-07	4.6023497828134925e-06	5.537795560911242e-07	0.031731753598367024	0.04115857286314664	0.03685067443457479	0.890250041934452
48	0.00014169793738571303	2.9786767613206543e-06	5.750688270363387e-07	4.238337026787316e-06	5.099799978762367e-07	0.029149003632925975	0.037727962013492156	0.03678503221976215	0.8963297000712077
49	0.00014230774867040659	2.746364936334853e-06	5.763127090692259e-07	3.9002712541339446e-06	4.6930242878823914e-07	0.02676044650977329	0.034569838984768925	0.03670656407335298	0.9019554581807774
50	0.0001428745466256008	2.5299660461493376e-06	5.771861938839285e-07	3.5867259197374904e-06	4.31575213361223e-07	0.024554058863412248	0.031664610066659174	0.03661629916768903	0.9071579064488671
51	0.0001434006324693265	2.32873604028388e-06	5.777129774383857e-07	3.296289937143789e-06	3.9662857454033956e-07	0.02251813841776918	0.02899378408251424	0.036515207862595475	0.9119662702695921
52	0.00014388830100501177	2.141908752943606e-06	5.779162399826843e-07	3.027578147341074e-06	3.642958534537361e-07	0.020641373979993258	0.02653995619781163	0.03640420259799073	0.9164083555252108
53	0.0001443398189807597	1.968707849384621e-06	5.778184973138205e-07	2.7792401045820868e-06	3.3441456669260167e-07	0.01891289821683631	0.024286784257711018	0.036284139186213676	0.920510518158221
54	0.00014475740702921813	1.8083569622472615e-06	5.774414820436292e-07	2.5499672550132193e-06	3.068272702101896e-07	0.017322325505815053	0.022218958933491992	0.03615581843449768	0.9242976545332257
55	0.0001451432249466815	1.660088142028765e-06	5.768060523451514e-07	2.3384986149823104e-06	2.813822426946312e-07	0.015859777013754288	0.020322168886344135	0.036019988032123085	0.9277932092927264
56	0.00014549936002846	1.5231487644246908e-06	5.759321253929642e-07	2.1436250766824523e-06	2.5793400377256334e-07	0.014515894987259012	0.018583062064533203	0.035877344641972654	0.9310191976662646
57	0.0001458278181538564	1.3968070475509383e-06	5.748386326078157e-07	1.9641924808642307e-06	2.3634368385393018e-07	0.013281848060848854	0.016989204146387396	0.03572853614196463	0.9339962394689538
58	0.00014613051730561277	1.2803563350226494e-06	5.735434938272512e-07	1.7991036012507845e-06	2.1647926302008902e-07	0.01214932919988546	0.01552903503012585	0.03557416396796903	0.9367436023193263
59	0.00014640928321172617	1.1731182985964843e-06	5.720636076241009e-07	1.647319184444582e-06	1.9821569625444773e-07	0.011110547710880242	0.014191824159755081	0.03541478551593117	0.9392792518966463
60	0.000146665846810342	1.0744452074585716e-06	5.704148551604086e-07	1.5078581839568383e-06	1.8143494169859538e-07	0.01015821657028916	0.012967625365703424	0.03525091656694475	0.9416199073438741
61	0.0001469018432548124	9.837214021146852e-07	5.68612115163603e-07	1.379797318896809e-06	1.6602590763378e-07	0.009285536154738197	0.011847231795023212	0.03508303370465473	0.9437811001888398
62	0.00014711881220090748	9.003640996944765e-07	5.666692878492441e-07	1.2622700775098985e-06	1.5188433266084277e-07	0.00848617529833617	0.010822131407596688	0.03491157669968709	0.9457772354065819
63	0.00014731819914076168	8.238236452880605e-07	5.645993258495705e-07	1.1544652745415081e-06	1.3891261218054077e-07	0.007754250458235898	0.009884463426911677	0.03473695084054186	0.9476216534734522
64	0.00014750135757428894	7.5358331168633e-07	5.624142704464486e-07	1.055625259354866e-06	1.2701958284477092e-07	0.00708430364287637	0.009026976052903991	0.034559529194746405	0.9493266924670484
65	0.00014766955183424913	6.891587375295896e-07	5.601252916428686e-07	9.650438599759554e-07	1.1612027522428083e-07	0.006471279642063899	0.008242985673989497	0.03437965478783904	0.9509037494479424
66	0.0001478239604052068	6.300970821408879e-07	5.577427308179524e-07	8.820641368790364e-07	1.0613564357724409e-07	0.0059105029980757355	0.007526337754765297	0.03419764269099698	0.9523633405165678
67	0.00014796567959967388	5.759759643895153e-07	5.552761449167298e-07	8.060760093610636e-07	9.699228028073371e-08	0.005397655070832608	0.0068713695207663445	0.0340137820110654	0.9537151590769359
68	0.00014809572747401063	5.2640224281208e-07	5.527343512974048e-07	7.36513807698405e-07	8.862212132595364e-08	0.004928751475356289	0.0062728745191642015	0.033828337779008066	0.9549681319539381
69	0.00014821504789628814	4.810106850911144e-07	5.501254725602325e-07	6.728537950871497e-07	8.096214817215112e-08	0.004500120105892633	0.005726069094500321	0.03364155273488277	0.9561304731126135
70	0.00014832451466398634	4.3946256689365976e-07	5.47456980707394e-07	6.146116953075653e-07	7.395409028947625e-08	0.004108379908956753	0.005226560788378589	0.03345364900913257	0.9572097348081889
71	0.0001484249356368388	4.0144423288594577e-07	5.447357403015267e-07	5.613402552706623e-07	6.754413188427146e-08	0.003750420520998362	0.0047703186475511	0.03326482970112989	0.9582128560659502
72	0.00014851705680965879	3.6666564656978336e-07	5.419680501945431e-07	5.126268651841227e-07	6.16826255693895e-08	0.003423382851782206	0.004353645403895383	0.0330752803571478	0.9591462084439769
73	0.00014860156629462653	3.348589501131081e-07	5.391596836175723e-07	4.680912537701465e-07	5.632381504901042e-08	0.003124640662404388	0.003973151473721361	0.03288517035069613	0.9600156390794654
74	0.00014867909817975467	3.057770508584269e-07	5.363159264433922e-07	4.273832716967622e-07	5.1425568423368224e-08	0.0028517831640843786	0.00362573071379074	0.03269465416870395	0.9608265110515934
75	0.0001487502362408273	2.791922472606034e-07	5.334416135125822e-07	3.9018077237282246e-07	4.694912320342777e-08	0.002602598643416549	0.0033085378611248818	0.03250387260756041	0.9615837411241317
76	0.00014881551749063452	2.548949037022105e-07	5.305411629586336e-07	3.5618759611830205e-07	4.285884376307961e-08	0.0023750591044584372	0.003018967577985192	0.03231295388331476	0.962291834951725
77	0.0001488754355544779	2.3269218111811345e-07	5.276186085081017e-07	3.2513166139956894e-07	3.912199167307894e-08	0.0021673059077601704	0.0027546350219979057	0.03212201466039687	0.9629549198453922
78	0.00014893044386635315	2.124068278205342e-07	5.246776297694316e-07	2.967631641902733e-07	3.570850904330579e-08	0.0019776363746674282	0.0025133578551884824	0.03193116100353832	0.9635767752104647
79	0.00014898095868293615	1.9387603344013144e-07	5.217215805430822e-07	2.708528853907425e-07	3.25908148666298e-08	0.0018044913218603963	0.00229313961006652	0.031740489257327684	0.9641608607694209
80	0.00014902736191607985	1.769503472118417e-07	5.187535152092928e-07	2.471906045259472e-07	2.9743614149746655e-08	0.001646443484434014	0.0020921543284782686	0.03155008685795338	0.9647103426910429
81	0.00014907000378670216	1.6149266071522402e-07	5.157762132635706e-07	2.255836169927623e-07	2.7143719502957508e-08	0.001502186783258665	0.0019087323913039825	0.03136003308155032	0.9652281177476664
82	0.00014910920530439797	1.4737725438600282e-07	5.127922020776894e-07	2.058553515267165e-07	2.476988478830709e-08	0.0013705263917635033	0.0017413474609412776	0.031170399733353282	0.965716835619239
