time	Active_R2	Active_Rec	Active_Rec_endo	Inactive_Rec	S2_c	S2_n	S4_c	S4_n	S7	Smad7mRNA	Smad7mRNA1	TGFb	TGFb_In	TGFb_R1_endo	TGFb_R1_surface	TGFb_R2_endo	TGFb_R2_surface	pS2_c	pS2_n	pS2_pS2_S4_c	pS2_pS2_S4_n	pS2_pS2_pS2_c	pS2_pS2_pS2_n
42.0.	2.95136091904725	10.912330408431378	1.510037494154304	10.70975704710267	249.83499746991063	118.1633749351797	274.74255999589707	226.70134285014743	2.186742258869748	0.259258611513131	2.309256504453235	99.56459906846429	0.142137433275169	14.613261594324454	7.470868623170535	8.871386708823785	0.30300882996432804	0.34194864351825405	0.475174244704172	88.26174468668583	137.6586035450837	5.367517494386854	80.8451181472647
45.0.	2.8956869763222692	10.880994394836554	1.506364198968972	10.847034647080546	247.2552365143727	117.02624811975825	276.77604684484504	225.80861702371914	2.221539076712412	0.286587659797846	2.438172846611547	99.53142619303198	0.142074470871071	14.813206307602329	7.615524665990425	8.84974661460936	0.2987844921317	0.338434291996185	0.474897437247469	87.07956709895379	136.84871084908025	5.206271005466188	85.63831498463914
48.0.	2.8444719873050532	10.839865655841251	1.501249901165105	10.99661169743932	245.12871897635983	116.0641881352053	278.70259749642463	224.91392799119694	2.2610573789083173	0.311557206915412	2.546813025467338	99.49783753972511	0.141899428997723	14.990158869039698	7.749759264869332	8.821803746483061	0.294995078199056	0.33518512909374704	0.47463401320004406	85.99559025167457	136.0582522730019	5.051085153379778	89.91716711891429
51.0.	2.797033296850101	10.79027612600229	1.494887685618355	11.157254377982778	243.40592826427186	115.25976514890401	280.5148420293146	224.0528598104966	2.304916338803944	0.33402207820690005	2.63752686654971	99.46380079867748	0.14162787531926502	15.146586124655565	7.8748784001747225	8.788000721747157	0.291576639169977	0.332178005832993	0.47436079949743604	84.99597174845121	135.29406839436913	4.904958919605312	93.72803017222076
54.0.	2.7528071246544963	10.733423699029531	1.487451070321277	11.32766616368759	242.04372858152624	114.59696642926565	282.2142071856556	223.24096294979014	2.352747677546255	0.35396288621570904	2.712450295697978	99.4292872002163	0.14127343776040402	15.284847032309013	7.992054464251977	8.74886930231641	0.28847530783062303	0.32939147015450804	0.474065605863402	84.07084397965734	134.5574904799813	4.769067220507926	97.114590929668
57.0.	2.711328596255459	10.670382828070313	1.4790958723579	11.506550589733683	241.00342305610923	114.06108216525516	283.8059813968643	222.4832443452955	2.404201123685523	0.371444948848809	2.773496212410288	99.39427159433961	0.140848136472279	15.407142438070089	8.10232838006413	8.704976593759405	0.28564580082628405	0.326806181383471	0.47374366945163504	83.21271007420634	133.84792847296066	4.6435728823810525	100.117319127939
60.0.	2.672214441406326	10.602113207668715	1.469961524386164	11.692652940537169	240.2501075806899	113.63871453756536	285.29693567152196	221.77952795369296	2.458947671157512	0.38658795089194203	2.8223678937230052	99.358732388182	0.140362589466472	15.515489986338666	8.206616319118917	8.656891935281589	0.283050074245891	0.324404667340272	0.47339456945013203	82.41544748754285	133.16426148857462	4.528103924905422	102.77333969263734
63.0.	2.635148500288035	10.529468149552107	1.4601722532115051	11.884786639442108	239.75240256943218	113.31776675638972	286.69423065832	221.12730346392107	2.516681164685695	0.39954409342568903	2.860578660642963	99.32265139050635	0.139826164617778	15.611715071192501	8.305718804279234	8.605166512951373	0.280656165735163	0.32217100656202	0.47302008335173906	81.67375234617623	132.50528628748373	4.422027207231947	105.11650745881539
66.0.	2.5998697507597903	10.45320302665691	1.449838245055137	12.081848701890943	239.48223418741458	113.08738636388301	288.00493840326345	220.52315426874583	2.577118711430346	0.41048264815766405	2.889471637566918	99.28601359893689	0.139247107233565	15.697452014214688	8.400330886400097	8.5503211384706	0.27843721429662305	0.320090589719413	0.47262288530851004	80.98285520060281	131.86981428391877	4.324602094391658	107.17757648288307
69.0.	2.5661624692648752	10.373983735504131	1.439056815759321	12.282827481643332	239.41458245175787	112.93787473641135	289.2358433377575	219.96343107857183	2.640000310415135	0.419579227674011	2.910237759389012	99.24880695545758	0.138632654341926	15.774151626619894	8.491052600088207	8.492839412283326	0.27637063616801	0.318149966365596	0.47220583928726606	80.33838575666057	131.2566664929891	4.235064850597987	108.98441065164515
