	Cvar	Mvar	X
69	0.43315972232915323	0.0533706807714142	0.0005919449741856248
70	0.45356077846115656	0.06982765513885876	0.0008034201655101584
71	0.47369517597602634	0.09327219036008352	0.0011333791238359544
72	0.49352784377029063	0.12635453367146735	0.0016672044486888892
73	0.5129952540212498	0.17185054782282982	0.0025699638720854162
74	0.5319744215199007	0.23206231850731598	0.004210244082707609
75	0.5501922846633023	0.3082991714213598	0.00760774611491016
76	0.5668909925259003	0.400373156968866	0.01645605400391039
77	0.5793205213152939	0.5052622860136512	0.046149667564985015
78	0.5783697750984325	0.6122846152527577	0.13326756780221674
79	0.5470585061301817	0.6934471442737907	0.29815689059735373
80	0.4705589245447337	0.6970593139966326	0.5030695311407339
81	0.35241404898269246	0.5464155976962468	0.6382528497308813
82	0.23277841050259174	0.15653127809701606	0.5104237272834693
83	0.19013626108890413	0.006060115628841289	0.051265995457285954
84	0.2123920940964234	0.007266739434128055	7.317745457469364e-05
85	0.23513581511794135	0.008715199393007071	8.807203680722955e-05
86	0.2576493861135135	0.010406577445556174	0.0001055427451898046
87	0.27993438194190684	0.012406400378531331	0.00012633184651030256
88	0.301992160599584	0.014805544950983011	0.00015149631573897925
89	0.3238237907440571	0.017727756502719415	0.00018247510065694012
90	0.34542987344840176	0.02135724796866313	0.0002214625212523593
91	0.3668103646327087	0.02596584027988465	0.0002718031556818854
92	0.3879642066756415	0.03196540385018419	0.00033878196556551244
93	0.408888726939214	0.03999331882257829	0.00043106586711974396
94	0.42957854893728337	0.05102349704915604	0.000563103424479933
95	0.45002377142861155	0.06652438497754734	0.0007596659649333848
96	0.47020663359661197	0.08856632175571336	0.001064190645297353
97	0.49009546782461183	0.11976766561928337	0.0015540510596946508
98	0.5096331903764113	0.16291328097613045	0.002377786538204924
99	0.5287102843326308	0.220429908645185	0.0038441510795119375
100	0.5470935775058972	0.2938368445075362	0.00679196198231263
