	A	E	G	R
37	7.88218057470705	31169.08216920567	12455313.022142597	21510.93375892915
38	7.902208128440344	31302.11501078037	12509584.978684964	21704.043634844045
39	7.9189996055308125	31415.36769693234	12555809.181446232	21870.747398797816
40	7.933041839278501	31511.443544368653	12595039.7032263	22014.015511978603
41	7.944757596633376	31592.683915678357	12628225.81275378	22136.63470675902
42	7.9545115787220775	31661.174279724397	12656214.023537124	22241.180082095612
43	7.962616565793698	31718.756325247774	12679752.675066028	22330.00043128021
44	7.969339432760976	31767.044117360703	12699498.22428726	22405.214076799108
45	7.974906853318634	31807.44265654716	12716022.573052837	22468.712689736345
46	7.979510580927627	31841.167553230905	12729820.899892764	22522.17088189069
47	7.983312247553957	31869.264844908183	12741319.592012392	22567.05970300845
48	7.986447659786248	31892.630255403572	12750883.984739209	22604.662524558484
49	7.989030598542843	31912.02741917469	12758825.707315503	22636.092116598036
50	7.991156146072929	31928.104772209525	12765409.507559903	22662.308014119903
51	7.992903574864043	31941.41095011278	12770859.485469222	22684.13351727006
52	7.994338837894969	31952.4086339876	12775364.707478222	22702.271872943897
53	7.995516702268583	31961.486860068042	12779084.204559764	22717.321348124122
54	7.9964825679076625	31968.97185952185	12782151.378598565	22729.789031478784
55	7.997274010327899	31975.13652411037	12784677.854003387	22740.103293798198
56	7.997922084324742	31980.208614065075	12786756.820399648	22748.624907036366
57	7.998452421643892	31984.37783081234	12788465.915198773	22755.65686826235
58	7.99888615226752	31987.801878179744	12789869.695551215	22761.45300572637
59	7.999240675653707	31990.6116327133	12791021.74820393	22766.225464051415
60	7.999530304413416	31992.91553308095	12791966.48162649	22770.151170032976
61	7.999766800896146	31994.803296188533	12792740.64395153	22773.377392035953
62	7.9999598228610544	31996.349047489348	12793374.6021636	22776.026488730105
63	8.000117293597013	31997.61395434837	12793893.41861978	22778.199954566815
64	8.00024570840975	31998.648432286514	12794317.753268138	22779.981847606272
65	8.000350388211546	31999.493990440365	12794664.618563244	22781.44168687869
66	8.000435688951676	32000.184770713367	12794948.00925616	22782.636891519684
67	8.000505174379564	32000.748829110536	12795179.426825603	22783.614828904894
68	8.000561758424853	32001.209200630354	12795368.315423988	22784.41453023182
69	8.000607822390915	32001.584782599908	12795522.423575059	22785.06812389229
70	8.000645311340081	32001.89106640821	12795648.103854135	22785.60203074059
71	8.000675813194913	32002.140742044885	12795750.560521087	22786.037957658384
72	8.000700623770049	32002.344198154267	12795834.05438766	22786.393723982557
73	8.000720800022677	32002.509933871785	12795902.07156908	22786.683945713306
74	8.000737203820341	32002.644899128347	12795957.462944949	22786.920603601884
75	8.000750537565413	32002.754773018718	12796002.558252923	22787.11350991753
76	8.000761373545078	32002.844194197543	12796039.260531979	22787.27069636952
77	8.000770177933445	32002.91695011969	12796069.123703737	22787.39873396324
78	8.000777330264372	32002.976131192958	12796093.4157762	22787.502994489518
79	8.000783139511485	32003.024258551122	12796113.171236657	22787.587867981172
80	8.000787857065239	32003.06338754117	12796129.233490173	22787.65693939141
81	8.000791687473532	32003.09519365217	12796142.290100837	22787.713135709135
82	8.000794797087135	32003.121041912786	12796152.901255256	22787.758845113858
83	8.00079732117653	32003.142044173645	12796161.523258908	22787.79601556168
84	8.000799369709673	32003.159105744882	12796168.527667517	22787.826235247565
85	8.000801032073747	32003.17296361023	12796174.216963926	22787.850798684594
86	8.000802380883629	32003.184217323582	12796178.837233985	22787.870760238846
87	8.000803475155926	32003.193354816416	12796182.58875504	22787.886978932125
88	8.000804362829074	32003.20077293678	12796185.634423342	22787.90015417
89	8.000805082822547	32003.20679426376	12796188.106653605	22787.910855037553
90	8.000805666752944	32003.211681147455	12796190.113140367	22787.9195448019
91	8.000806140287661	32003.215646805562	12796191.74141173	22787.926600309205
92	8.00080652426504	32003.21886452063	12796193.06260383	22787.9323280838
93	8.000806835589232	32003.221474999755	12796194.134481318	22787.936977228877
94	8.000807087990648	32003.223592638333	12796195.004008155	22787.940750419584
95	8.000807292600856	32003.2253102628	12796195.70929426	22787.94381223845
96	8.000807458460905	32003.226703330733	12796196.281319166	22787.946296563463
97	8.000807592894091	32003.227833011453	12796196.745197326	22787.94831199566
98	8.000807701851704	32003.228749053647	12796197.121353904	22787.949946912293
99	8.000807790153777	32003.22949177773	12796197.426343827	22787.951272985854
100	8.000807861714167	32003.23009394737	12796197.67361973	22787.952348487786
