	APC	HC	HC3	HC36	HC5	HC53	HC536	HC56	LC	LC_APC	Va	Va3	Va36	Va36_APC	Va3_APC	Va5	Va53	Va536	Va536_APC	Va53_APC	Va56	Va56_APC	Va5_APC	VaA3	VaA36	VaA53	VaA536	VaLCA1	VaLCA1_APC	Va_APC
11	3.546913398976056e-10	8.869834653164563e-10	-1.3471064021536925e-13	1.1933139476574769e-15	4.0942149442540577e-10	-6.851421517355616e-10	-1.306423598707089e-11	-1.0424854478987118e-12	5.632787764504496e-10	3.374379279452804e-11	1.585670726957633e-07	1.3887173802474677e-09	9.026480923647927e-13	6.296975359519e-14	1.9388000800606593e-10	3.6092094684686367e-07	1.5603467014136193e-08	6.7982353906551e-10	3.206112027035291e-11	3.2215935407470048e-09	-3.1725001669580735e-10	-1.072302638134177e-12	2.210612014765065e-08	-3.7576091135770125e-10	1.9434749336666173e-12	-3.7560775060504977e-07	1.1008968485010282e-08	-3.470522675440294e-07	-1.7920332012434557e-08	1.9792513959584234e-09
12	3.5469134057807033e-10	9.119748609255547e-10	2.6181764853297645e-13	1.3161696280442619e-15	4.880052388006008e-10	-6.797072205016552e-10	-1.2973152584410015e-11	-1.0835119891976632e-12	6.753168243672664e-10	3.116252410170158e-11	1.213418183548567e-07	1.918747766794996e-09	5.967402874698127e-13	5.2863276946038965e-14	8.998263332672721e-11	3.8069380345615385e-07	2.621217643101835e-08	4.4091102179812426e-10	1.724607752820605e-11	3.532541088858268e-09	-1.9940431195233502e-10	5.176670192264284e-12	2.0517521432729312e-08	3.0284941263317935e-10	2.1864986681366717e-12	-3.6971763749741476e-07	1.128925806004264e-08	-3.407292749427502e-07	-1.7394068583321037e-08	2.845693952735035e-09
13	3.546913403672407e-10	9.330926599692458e-10	5.08742940299596e-13	1.4473969458694065e-15	5.669987952804099e-10	-6.725669086156602e-10	-1.291897882614279e-11	-1.1000698450516617e-12	7.747742494187806e-10	3.924143888118059e-11	1.0251058511995237e-07	1.1996711101587513e-09	6.357832803984836e-13	3.929381229101319e-14	1.2025974221615912e-10	3.8277985351057493e-07	3.4478264607567314e-08	2.617756231424199e-10	1.262060836084225e-11	3.816713520426422e-09	-8.088831535348419e-11	9.958087363619225e-12	2.0982158174617218e-08	7.555287235687708e-10	2.439788956481875e-12	-3.6074144032508544e-07	1.1504900383317654e-08	-3.3156998034837806e-07	-1.6908591080864854e-08	1.5729088748253695e-09
14	3.546913403722212e-10	9.496763084789442e-10	7.739179994189334e-13	1.5362594926982632e-15	6.471711350087446e-10	-6.643846940894807e-10	-1.2890687836789691e-11	-1.0941958470246434e-12	8.75521921785774e-10	4.3731398187445886e-11	8.057308467859574e-08	1.2844677429458889e-09	4.3166489652835175e-13	3.689966542818839e-14	6.753297440317778e-11	3.8849270098552686e-07	3.9530784155592404e-08	1.3590424969826773e-10	7.581932233624467e-12	3.996395030150425e-09	2.782383106706749e-11	1.5089066158736635e-11	2.0102147760193264e-08	1.22289794699202e-09	2.6248223998055712e-12	-3.497579159296823e-07	1.1672750845682857e-08	-3.2056602788974014e-07	-1.6293614424867868e-08	1.7064080235090296e-09
15	3.5469134037106605e-10	9.634090045683539e-10	9.599787733610252e-13	1.6231829383969997e-15	7.269518789020369e-10	-6.554528643567785e-10	-1.2880706805529335e-11	-1.0666417868571448e-12	9.72993128422482e-10	4.892914405495786e-11	6.674013286257725e-08	9.033286905109476e-10	4.2142541252806884e-13	2.5689020004954875e-14	7.456566754859004e-11	3.866516258917419e-07	4.3160651144924905e-08	4.684928741972903e-11	4.611511561939287e-12	4.056790181041168e-09	1.3286585476432347e-10	1.9516373595214626e-11	1.9949592967151665e-08	1.567608062980092e-09	2.803207131227132e-12	-3.372663488610124e-07	1.1805377461492701e-08	-3.082541769454068e-07	-1.5636383184001974e-08	1.12766030966285e-09
16	3.546913403710998e-10	9.743458889593956e-10	1.1349895978114988e-12	1.6842184388891816e-15	8.063931149318509e-10	-6.461242381931413e-10	-1.2883186889596142e-11	-1.018917899549842e-12	1.0681225590005055e-09	5.372677572461887e-11	5.320911827467125e-08	8.483488047302951e-10	2.965557375951561e-13	2.424953302578816e-14	4.8202094189903194e-11	3.8502907940606717e-07	4.508275638297119e-08	-1.384194709215933e-11	2.5618408592763128e-12	4.08587957401992e-09	2.3061303289345084e-10	2.387555014277277e-11	1.930937517205808e-08	1.887123725610843e-09	2.9392419290742573e-12	-3.2384434274432353e-07	1.1912244152239162e-08	-2.95099801728612e-07	-1.494223389593286e-08	1.0638972990396437e-09
17	3.5469134037109325e-10	9.833035054088362e-10	1.2654919834351624e-12	1.739478536227186e-15	8.847823933496555e-10	-6.365769828809933e-10	-1.2893884900517475e-11	-9.520644900927468e-13	1.1604822791450844e-09	5.844791880369015e-11	4.3617216568276994e-08	6.334780046852663e-10	2.6816869511725615e-13	1.6982767689248666e-14	4.6795301040556e-11	3.7997333758465074e-07	4.613848890428083e-08	-5.3932796655670516e-11	1.3794355217128633e-12	4.049189513271561e-09	3.2331469692430756e-10	2.7805380070095415e-11	1.8918730650876566e-08	2.135332222371519e-09	3.063049943013444e-12	-3.0980707065039987e-07	1.2000353372820076e-08	-2.814379620696353e-07	-1.4230359935630363e-08	7.733034129128756e-10
18	3.5469134037109335e-10	9.904881796850585e-10	1.3795495740631021e-12	1.7792215186512796e-15	9.620141055852998e-10	-6.269934078164927e-10	-1.2909620722204655e-11	-8.673648285250167e-13	1.2501072030654967e-09	6.300601763313625e-11	3.5037745342828526e-08	5.532297054738292e-10	1.9323342372720722e-13	1.5461536566383947e-14	3.312010273757474e-11	3.743942143845833e-07	4.6311550654413235e-08	-7.859002789666441e-11	7.72217070675113e-13	3.993999611100665e-09	4.0981008121814644e-10	3.1538612836388e-11	1.8354963362186748e-08	2.352804995652471e-09	3.160597704829792e-12	-2.9546539553598885e-07	1.2074963309004206e-08	-2.675235692367422e-07	-1.3510897396885524e-08	6.787906714181527e-10
19	3.546913403710934e-10	9.96335594543298e-10	1.4671333402182132e-12	1.812976779718698e-15	1.0377499034999896e-09	-6.17474819236062e-10	-1.2928084167805982e-11	-7.659131034070907e-13	1.336959516534893e-09	6.742611131803258e-11	2.8563620014454447e-08	4.252210021898938e-10	1.6404539486466375e-13	1.1103528606609236e-14	2.968691704497557e-11	3.671822818652872e-07	4.599253510023015e-08	-9.203087252906307e-11	6.044326742406185e-13	3.907583643969196e-09	4.910061423319608e-10	3.495581170932146e-11	1.787832934368986e-08	2.526405416116311e-09	3.2461140054723794e-12	-2.810070659846996e-07	1.2139953029153046e-08	-2.535450654735269e-07	-1.2792395951898195e-08	5.191072475983438e-10
20	3.5469134037109325e-10	1.0010403903812204e-09	1.5404061856503974e-12	1.837383281283729e-15	1.111889356771306e-09	-6.081121938767155e-10	-1.2947574456230657e-11	-6.488617493804221e-13	1.4210603816645977e-09	7.170297897444899e-11	2.3037266330060452e-08	3.5565399965021896e-10	1.1885330162459997e-13	9.675064577987655e-15	2.2179690566243306e-11	3.5947975495644085e-07	4.5232988703368974e-08	-9.721363452908805e-11	7.403947533357932e-13	3.810979150939222e-09	5.666263926119026e-10	3.814634808142499e-11	1.734362713663565e-08	2.6740742577701626e-09	3.315010650437006e-12	-2.6659799630233857e-07	1.2198212325365731e-08	-2.3964156464220207e-07	-1.2080830066350486e-08	4.387533509699607e-10
