	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_7	species_8	species_9
71	1.0013571056101096e-06	1.2680883206087577e-06	9.072029879181888e-06	2.5178878615504808e-06	1.4145973490283612e-06	1.198511441440696e-06	4.826484395610625e-05	1.2483320964876429e-08	6.8401636469629845e-09	2.2984225055460805e-06
72	9.438044094630772e-07	1.269194129791655e-06	9.079940947981184e-06	2.520083531578789e-06	1.4158309182626452e-06	1.1995565776005468e-06	4.830805973635959e-05	1.1765847125999235e-08	6.4470283603888456e-09	2.3004267955245505e-06
73	8.895595314656967e-07	1.2702363830348637e-06	9.087397331271208e-06	2.5221530063520262e-06	1.4169935885994806e-06	1.2005416449783968e-06	4.834879170723259e-05	1.1089609668952365e-08	6.0764882333096e-09	2.3023158897396282e-06
74	8.384323567224828e-07	1.2712187331784992e-06	9.0944251618332e-06	2.5241035388679826e-06	1.4180894349111453e-06	1.2014700959920318e-06	4.8387182624167344e-05	1.0452238572617724e-08	5.72724464249212e-09	2.304096408999812e-06
75	7.902436970093131e-07	1.2721446231191928e-06	9.101049070491846e-06	2.5259419652653533e-06	1.4191222978705396e-06	1.2023451846348352e-06	4.8423367037879447e-05	9.85150002882667e-09	5.398073597894577e-09	2.3057745935889798e-06
76	7.448246627812845e-07	1.2730172978762428e-06	9.10729227243772e-06	2.5276747287820166e-06	1.420095797411403e-06	1.2031699778798978e-06	4.845747176590973e-05	9.285288613945049e-09	5.087821454217508e-09	2.307356325136403e-06
77	7.020160712724949e-07	1.2738398159642986e-06	9.113176648588609e-06	2.529307902336385e-06	1.4210133454149467e-06	1.2039473664287125e-06	4.848961633707534e-05	8.751619910349164e-09	4.795400868644922e-09	2.3088471472298503e-06
78	6.616678886135707e-07	1.274615060112435e-06	9.118722822274821e-06	2.530847209810957e-06	1.421878157667359e-06	1.204680074842118e-06	4.851991341037747e-05	8.248623551941332e-09	4.519786990710648e-09	2.3102522848440144e-06
79	6.236387040119634e-07	1.275345747367175e-06	9.123950231517228e-06	2.5322980461126556e-06	1.422693265130085e-06	1.2053706710889947e-06	4.854846916983369e-05	7.774536669338218e-09	4.260013871007408e-09	2.311576662652339e-06
80	5.87795234152363e-07	1.276034438614869e-06	9.128877197151303e-06	2.533665496080251e-06	1.423461524562377e-06	1.206021575546174e-06	4.8575383696618384e-05	7.327697711764683e-09	4.015171076201414e-09	2.312824922286425e-06
81	5.5401185608048e-07	1.2766835475567985e-06	9.133520987035906e-06	2.534954352305126e-06	1.4241856285333394e-06	1.2066350694811e-06	4.860075131981545e-05	6.906540624005581e-09	3.7844004985236005e-09	2.3140014386034946e-06
82	5.221701669332446e-07	1.2772953491684558e-06	9.13789787657182e-06	2.536169131927834e-06	1.4248681148585554e-06	1.2072133030469696e-06	4.8624660947012365e-05	6.5095893580116875e-09	3.5668933485798923e-09	2.315110335018917e-06
83	4.921585689725378e-07	1.2778719876726467e-06	9.142023205742107e-06	2.5373140924693106e-06	1.4255113754943638e-06	1.2077583028183705e-06	4.864719637589409e-05	6.135452699928281e-09	3.3618873209583135e-09	2.3161554979575366e-06
84	4.6387187846824476e-07	1.2784154840543543e-06	9.145911432874197e-06	2.538393246752224e-06	1.4261176649209557e-06	1.2082719788938234e-06	4.866843658792886e-05	5.782819394420027e-09	3.168663922711469e-09	2.317140590474436e-06
85	4.372109570599752e-07	1.2789277431437016e-06	9.149576185312112e-06	2.5394103769647457e-06	1.4266891080436702e-06	1.20875613159012e-06	4.868845602517496e-05	5.450453549207133e-09	2.9865459553602802e-09	2.3180690650928774e-06
86	4.1208236430557706e-07	1.279410560291835e-06	9.153030307176389e-06	2.5403690479160326e-06	1.4272277076401772e-06	1.209212457751916e-06	4.870732485117856e-05	5.137190303709713e-09	2.8148951416005723e-09	2.3189441759044023e-06
87	3.8839803019880447e-07	1.2798656276631215e-06	9.15628590437909e-06	2.541272619529877e-06	1.4277353513796464e-06	1.2096425566986923e-06	4.872510919687699e-05	4.8419317466224505e-09	2.6531098883995406e-09	2.3197689899735063e-06
88	3.6607494650847694e-07	1.2802945401657137e-06	9.159354387051656e-06	2.542124258620304e-06	1.428213818438503e-06	1.2100479358299241e-06	4.874187139236905e-05	4.563643068113823e-09	2.5006231786459303e-09	2.3205463980868425e-06
89	3.450348758574267e-07	1.280698801041265e-06	9.162246509534281e-06	2.5429269499903828e-06	1.4286647857359512e-06	1.2104300159081024e-06	4.875767018536483e-05	4.301348933166291e-09	2.356900583967493e-09	2.3212791248846363e-06
90	3.252040775216869e-07	1.2810798271333845e-06	9.164972408066962e-06	2.5436835068931556e-06	1.4290898338111233e-06	1.2107901360381208e-06	4.8772560947080385e-05	4.0541300633485415e-09	2.22143839175326e-09	2.3219697384098103e-06
91	3.065130489889752e-07	1.2814389538532947e-06	9.167541636314307e-06	2.544396580891334e-06	1.4294904523624449e-06	1.2111295583604813e-06	4.878659586629894e-05	3.821120015041287e-09	2.0937618398180463e-09	2.32262065910829e-06
92	2.8889628237074697e-07	1.281777439860095e-06	9.169963198848612e-06	2.5450686711503292e-06	1.4298680454686357e-06	1.2114494724747622e-06	4.8799824132278735e-05	3.6015021428264324e-09	1.9734234525234727e-09	2.323234168312025e-06
93	2.722920348141459e-07	1.2820964714720334e-06	9.17224558270853e-06	2.5457021331971724e-06	1.430223936509638e-06	1.211750999608855e-06	4.8812292107148426e-05	3.394506737398184e-09	1.860001472525139e-09	2.3238124162344628e-06
94	2.566421121092433e-07	1.282397166824246e-06	9.174396787143954e-06	2.546299187176029e-06	1.4305593728047227e-06	1.2120351965485775e-06	4.8824043488394335e-05	3.199408327966292e-09	1.7530983826505416e-09	2.3243574295064933e-06
95	2.4189166473319215e-07	1.2826805797875346e-06	9.176424351651344e-06	2.546861925629237e-06	1.4308755299840238e-06	1.2123030593414394e-06	4.883511946200892e-05	3.015523139697854e-09	1.6523395127280284e-09	2.32487111827927e-06
96	2.27988995616515e-07	1.2829477036619179e-06	9.178335382397754e-06	2.54739232083114e-06	1.4311735161088258e-06	1.2125555267875372e-06	4.884555884683721e-05	2.8422066972875065e-09	1.55737172648474e-09	2.3253552829188097e-06
97	2.1488537895781578e-07	1.2831994746578992e-06	9.180136577126179e-06	2.5478922317004146e-06	1.4314543755550405e-06	1.2127934837298123e-06	4.885539823062712e-05	2.6788515662578e-09	1.4678621839119738e-09	2.3258116203158214e-06
98	2.0253488945193223e-07	1.2834367751776524e-06	9.181834248629463e-06	2.548363410315118e-06	1.4317190926734858e-06	1.2130177641552069e-06	4.8864672098260365e-05	2.524885224074235e-09	1.3834971747608606e-09	2.326241729832891e-06
99	1.9089424133303127e-07	1.2836604369076237e-06	9.183434346875107e-06	2.5488075080532925e-06	1.4319685952397932e-06	1.213229154117583e-06	4.8873412952613475e-05	2.3797680536142447e-09	1.3039810190804265e-09	2.326647118909851e-06
100	1.7992263666855317e-07	1.2838712437333909e-06	9.184942479858445e-06	2.5492260813806428e-06	1.4322037577060356e-06	1.2134283944926496e-06	4.888165142847239e-05	2.242991451958272e-09	1.2290350309450697e-09	2.3270292083469917e-06
