	Ib	It	Iv	Sb	St	Sv
31	123731.104881107	69738.83763317586	600370.0682828873	2526221.769453163	2507088.8563937442	15732529.768220415
32	127659.84244971191	71484.92539779261	618312.4733584101	2522501.3946189634	2508750.6541667623	15733971.435366767
33	131686.37899073667	73286.45084798588	636756.6327748289	2518649.7862369735	2510334.819581292	15734717.919632774
34	135812.9833256978	75144.77175371912	655715.01315837	2514663.9287546445	2511839.5784169594	15734752.968057064
35	140041.9496061158	77061.27386671926	675200.2907015757	2510540.763982032	2513263.1179960202	15734060.022034166
36	144375.59599333032	79037.37088901231	695225.3481350715	2506277.1922707655	2514603.58701981	15732622.21896139
37	148816.26323339713	81074.5044212193	715803.2713469366	2501870.0737981373	2515859.0954200537	15730422.394208241
38	153366.31313191116	83174.1438928088	736947.3456674543	2497316.229949985	2517027.714221577	15727443.083380431
39	158028.12690364252	85337.78645575054	758671.0516612206	2492612.444837749	2518107.4754402954	15723666.525088748
40	162804.10338007443	87566.95682927674	780988.0603203564	2487755.466973231	2519096.3720321665	15719074.664362598
41	167696.6570647248	89863.20709003034	803912.2276041367	2482742.0111138765	2519992.3579001077	15713649.156776045
42	172708.21616021785	92228.11642396176	827457.5886876221	2477568.760158425	2520793.3479541517	15707371.372996235
43	177841.2200519133	94663.29077238096	851638.3504069254	2472232.367590606	2521497.218243638	15700222.404960027
44	183098.11694651443	97170.36245552088	876468.8838984722	2466729.459801225	2522101.8061470008	15692183.072123671
45	188481.36147623413	99750.98975789727	901963.7169355156	2461056.6384659614	2522604.910613455	15683233.928138115
46	193993.41184908798	102406.85640694582	928137.5246343651	2455210.483391119	2523004.292491706	15673355.269078437
47	199636.72667748635	105139.6709562373	955005.1189049397	2449187.5557063473	2523297.67495044	15662527.142966129
48	205413.7619109801	107951.16614144576	982581.4379509066	2442984.4009824204	2523482.743953254	15650729.359456975
49	211326.96760913127	110843.0981651892	1010881.5349945169	2436597.5525358054	2523557.1488135187	15637941.500413666
50	217378.784452468	113817.2458921362	1039920.56588684	2430023.535020898	2523518.5028401064	15624142.931658098
51	223571.63995755016	116875.40994476683	1069713.7754786487	2423258.8683467368	2523364.3840831583	15609312.816032328
52	229907.94447697714	120019.41170868164	1100276.482977966	2416300.071840973	2523092.336178343	15593430.127590813
53	236390.08702234755	123251.09225038353	1131624.0663925926	2409143.6686254744	2522699.86929065	15576473.66685303
54	243020.43089908795	126572.31114321196	1163771.9460039996	2401786.190215494	2522184.4611618496	15558422.077171246
55	249801.30911844756	129984.94519307883	1196735.5667460856	2394224.1813780013	2521543.5582682784	15539253.862333065
56	256735.01957043394	133490.8870580069	1230530.3794171237	2386454.205267073	2520774.5770948636	15518947.405474124
57	263823.8199617031	137092.04375838742	1265171.8207145527	2378472.848834554	2519874.9055299866	15497480.989324939
58	271069.9225275425	140790.33507577967	1300675.2920977455	2370276.7285089437	2518841.9043851043	15474832.817801472
59	278475.488519899	144587.69183712796	1337056.137462155	2361862.4961423096	2517672.909043338	15450981.038966376
60	286042.62246751314	148486.05408037791	1374329.6195902592	2353226.8452307847	2516365.231241656	15425903.769402884
61	293773.3662048523	152487.36909746515	1412510.8953464418	2344366.517413664	2514916.1609913534	15399579.120042318
62	301669.6926824116	156593.58935704047	1451614.9896559527	2335278.3092381475	2513322.9686346976	15371985.223405736
63	309733.49951803865	160806.67028204413	1491656.7680288507	2325959.079240271	2511582.907066626	15343100.26254519
64	317966.6023457512	165128.5679045466	1532650.907885025	2316405.755277812	2509693.2140970277	15312902.501399372
65	326370.72796171653	169561.23639307142	1574611.8686488844	2306615.3421178698	2507651.1149596265	15281370.316607786
66	334947.50725170824	174106.6254397446	1617553.860501527	2296584.9293002104	2505453.8249823856	15248482.23092133
67	343698.4679028824	178766.67750290225	1661490.811768684	2286311.699275969	2503098.5524251866	15214216.948244745
68	352625.0269178218	183543.324907677	1706436.3349971971	2275792.935803676	2500582.5014828746	15178553.390261939
69	361728.48294691864	188438.48680595844	1752403.6917618627	2265026.032586902	2497902.875453048	15141470.734607974
70	371010.0084483556	193454.06599356857	1799405.7562081642	2254008.5021459693	2495056.880071989	15102948.454593621
71	380470.6416846744	198591.94558198395	1847454.9773329156	2242737.9849167103	2492041.727022767	15062966.36049317
72	390111.2785699678	203853.98552398308	1896563.3400283784	2231212.25856351	2488854.637617327	15021504.642380174
73	399932.66438583203	209242.01899423762	1946742.3249344176	2219429.247489224	2485492.846652593	14978543.914474702
74	409935.3853853479	214757.84862610794	1998002.8671473195	2207387.032523383	2481953.606440411	14934065.260961745
