[Wnt{default}]	[Complex_br_(Wnt/Frizzled)]	[Frizzled]	[Complex_br_(Frizzled/Wnt/_br_LRP5/6)]	[LRP5/6]	[Casein Kinase 1]	[Casein Kinase 2]	[ATP]	[ADP]	[Glycogen Synthase Kinase-3_Beta_]	[Diversin]	[Complex_br_(Ebi/Siah-1)]	[Complex_br_(Siah-1/Ebi)]	[FRAT]	[Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo)]	[Complex_br_(Axin/PP2A/_br_Adenomatous Polyposis Coli)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_Diversin/Casein Kinase 1/_br_Glycogen Synthase Kinase-3_Beta_/PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A)]	[Pygo]	[CBP]	[SWI/SNF]	[Bcl9]	[Wnt Target Genes]	[Complex_br_(TCF/Smad4)]	"[Wnt{""Cell Membrane""}]"	"[_Beta_-Catenin{""Plasma Membrane""}]"	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br__Beta_-Catenin/PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_Diversin/_Beta_-Catenin/_br_PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/_Beta_-Catenin/_br_Siah-1/Ebi)]	[_Beta_-Catenin{Nucleus}]	[Complex_br_(TCF/Smad4/_br__Beta_-Catenin)]	[Complex_br_(TCF/_Beta_-Catenin/_br_Smad4/Bcl9)]	[Complex_br_(Bcl9/_Beta_-Catenin/_br_TCF/Smad4/_br_Pygo)]	[Complex_br_(_Beta_-Catenin/TCF/_br_Smad4/Bcl9/_br_Pygo/SWI/_br_SNF)]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Axin/PP2A/_br_Diversin/Casein Kinase 1)]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Glycogen Synthase Kinase-3_Beta_/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1)]	[Ubiquitin]	[_Beta_-Catenin_2]	[_Beta_-Catenin_3]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Siah-1/Ebi/_br_Axin/PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Axin/PP2A)]	[Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo)_2]	[Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo/Casein Kinase 2)]	[Complex_br_(Dishevelled/Casein Kinase 2/_br_Beta-Arrestin/Frodo/_br_FRAT)]	[_beta_TrCP]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1/_Beta_-Catenin/_br__beta_TrCP/Glycogen Synthase Kinase-3_Beta_)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1/_Beta_-Catenin/_br__beta_TrCP/Glycogen Synthase Kinase-3_Beta_)_2]	[Complex_br_(_beta_TrCP/_Beta_-Catenin)]	[6 bromoindirubin 3'oxime]	[Complex_br_(Bcl9/Pygo/../Smad4)]
1.2413775662398998	0.8093573174105576	0.6819212035468312	1.5087214790425927	1.4912785209574113	0.06073068409939674	2.3110150692582208	0.7054924130388315	0.2945075869611666	0.0858604645149445	0.7310105027222126	1.7779616263751272	0.9254626024357352	2.624360210278124	1.8777684417989278	2.1545078933499027	0.07453739756425656	0.9254626024357347	0.004608738935966923	0.012824228192408168	0.010127933933917348	0.0013514171231966624	1.9871647391885354	0.655234679167591	1.4405436373069607	0.1017270148486198	0.3544642357474296	0.16194944340752748	0.29657577118913303	0.7080155576688874	1.3461167379556214	0.003257321812771411	0.005519194997957142	0.0026962942584883103	0.4186280622403137	3.79312890531318	2.0971019047373676e-24	1.0773673326958556e-25	2.2352232939265266e-24	3.702558318102873e-24	6.5282197560128074e-24	1.3725159433598921	0.31334514101990746	0.28977932520693456	1.1792543112474863	0.8207456887525015	4.0330926064882224e-25	4.892880755498822e-25	0.5	1.1032619057001223e-05
1.2413775662398998	0.8093573174105576	0.6819212035468311	1.5087214790425927	1.4912785209574113	0.060734165032045005	2.3109859957122025	0.7055025066134963	0.29449749338650283	0.08586392956393006	0.7310594186413152	1.7779553797420815	0.9254626024357352	2.6243451873932924	1.8776585361072626	2.1545419502441745	0.07453739756425656	0.9254626024357347	0.004426281855428185	0.012017895396373043	0.00960452272270908	0.0012978714987108538	1.9879728520684754	0.65521113392262	1.4405436373069604	0.10172807354502979	0.35447284813921437	0.16196355700383566	0.29658201782217936	0.7080250106217784	1.346086737576107	0.003128410356718482	0.005178240867287616	0.002413372673661447	0.4185840226418754	3.7931120840873325	1.1191879645478812e-26	5.749715930002259e-28	1.1929396353895054e-26	1.9760552722012886e-26	3.484109299171003e-26	1.3725932945728903	0.3133591916810951	0.28979088304278083	1.1792564799386118	0.8207435200613759	2.1523878552732154e-27	2.6112439945754866e-27	0.5	9.252535152203598e-06
1.2413775662398996	0.8093573174105574	0.6819212035468311	1.5087214790425927	1.4912785209574113	0.060735803601833845	2.3109723116911707	0.7055073265319907	0.29449267346800856	0.08586556013850744	0.7310831648151912	1.7779531014657963	0.9254626024357352	2.624338117300725	1.8776067957844131	2.1545602875437013	0.07453739756425656	0.9254626024357347	0.004269504921612859	0.011335965276767822	0.009154634614821714	0.0012518716324930706	1.9886561474274753	0.655194822312252	1.4405436373069604	0.101728201465256	0.3544759787372781	0.16196993791417177	0.296584296098465	0.7080269083907107	1.3460570493202588	0.0030176332891209408	0.0048851296932155685	0.002181330661943607	0.4185627066100404	3.793104279216372	5.982394851781308e-29	3.0733901074837323e-30	6.376686879210992e-29	1.0562710520067818e-28	1.8623808597092598e-28	1.3726297123049165	0.3133658056095592	0.28979632256077276	1.1792574861200298	0.8207425138799588	1.1505138513675685e-29	1.395786329549377e-29	0.5	7.887295757524089e-06
1.2413775662398991	0.8093573174105578	0.681921203546831	1.5087214790425925	1.4912785209574115	0.06073658231585479	2.3109658095477204	0.7055096663945196	0.2944903336054798	0.08586633470470248	0.731095006793106	1.7779526128971017	0.9254626024357352	2.6243347583497267	1.8775822031514338	2.154570981033781	0.07453739756425656	0.9254626024357347	0.0041326699802933355	0.01075056814879624	0.00876271076819649	0.0012117287488996908	1.9892426160893635	0.6551824916420486	1.4405436373069602	0.10172793326606107	0.3544766386564189	0.16197271622790144	0.2965847846671602	0.7080255394097813	1.3460292371068683	0.0029209412313947955	0.004630040787909874	0.0019878573805972486	0.4185521903863502	3.7931006437983648	3.212848330236263e-31	1.6505720382232733e-32	3.424623489478259e-31	5.672755094718892e-31	1.0001991055394207e-30	1.372647024080424	0.31336894880201066	0.28979890694557536	1.1792579547699797	0.8207420452300093	6.178863393200505e-32	7.496108272327984e-32	0.5	6.815761841185479e-06
1.2413775662398991	0.8093573174105569	0.6819212035468308	1.5087214790425922	1.4912785209574118	0.060736958191540756	2.310962671861085	0.705510836177083	0.2944891638229163	0.0858667082995585	0.7311011929527185	1.7779529048582534	0.9254626024357352	2.624333137850504	1.87757032962777	2.1545778699610914	0.07453739756425656	0.9254626024357347	0.004011707481307895	0.010241688280069767	0.008417417297492149	0.0011762460999853444	1.9897523535108719	0.6551725117286209	1.44054363730696	0.10172751036101445	0.3544762278498715	0.16197382668538998	0.29658449270600823	0.7080228713287126	1.346003734371381	0.0028354613813237027	0.004405709816190972	0.0018242709825751166	0.4185468093322914	3.7930989469729117	1.7169356546165548e-33	8.820360225329734e-35	1.83010168885726e-33	3.0314762905826425e-33	5.345039421299363e-33	1.372655384041767	0.3133704659894243	0.289800153849941	1.1792581735075676	0.8207418264924203	3.301936723275096e-34	4.005798812256439e-34	0.5	5.9582090593409205e-06
1.2413775662398985	0.8093573174105575	0.6819212035468307	1.5087214790425916	1.4912785209574124	0.060737144543007035	2.310961116947555	0.7055114505806257	0.29448854941937397	0.08586689328408056	0.7311046640683463	1.7779535093026464	0.9254626024357352	2.624332335137442	1.8775644404396012	2.15458279743647	0.07453739756425656	0.9254626024357347	0.0039036404968811407	0.009794564541351606	0.008110281645328692	0.0011445487531052568	1.9902001750682006	0.6551640373933275	1.4405436373069596	0.10172704968965096	0.3544753759345143	0.16197417486825766	0.29658388826161547	0.7080197851401615	1.3459805113597951	0.0027590917437770378	0.004206641148454268	0.0016842828960204174	0.41854388479820054	3.7930981543812265	9.22635670252048e-36	4.739966252011975e-37	9.834554488832861e-36	1.6290548854134728e-35	2.8722867299935607e-35	1.3726595319649384	0.3133712181898921	0.2898007715784812	1.1792582756802887	0.8207417243196992	1.7743859164727233e-36	2.1526649841816193e-36	0.5	5.2603904482844884e-06
1.241377566239899	0.8093573174105567	0.6819212035468306	1.5087214790425918	1.4912785209574122	0.060737241190492154	2.310960311104128	0.7055117985131083	0.29448820148689103	0.08586698902229539	0.7311068106190105	1.777954221071799	0.9254626024357352	2.6243319194173025	1.8775613839681815	2.154586646962123	0.07453739756425656	0.9254626024357347	0.0038062330819335134	0.009398062051435481	0.007834829487817335	0.00111597982854633	1.9905972536186707	0.6551566116462797	1.4405436373069596	0.10172658910966535	0.3544743847286751	0.1619741797260424	0.29658317649246396	0.7080166694987541	1.3459593681822846	0.002690253253388339	0.004028596405890534	0.0015632325636156458	0.41854215105490306	3.7930977844099996	4.940345254602397e-38	2.5380439774331004e-39	5.265940726267998e-38	8.722810070293546e-38	1.537974847935386e-37	1.3726616859454464	0.31337160831317856	0.28980109156040756	1.1792583233742135	0.8207416766257741	9.501095781728282e-39	1.1526581787179282e-38	0.5	4.684329893618879e-06
1.2413775662398991	0.8093573174105567	0.6819212035468308	1.5087214790425922	1.4912785209574118	0.060737294961137146	2.3109598632441366	0.7055120161921208	0.2944879838078781	0.08586704212234891	0.731108289862037	1.7779549451441043	0.9254626024357352	2.6243316886137453	1.8775596816956355	2.1545898619420845	0.07453739756425656	0.9254626024357347	0.003717767255578089	0.009043615394458355	0.0075860187844287025	0.0010900347711378937	1.990952181825211	0.655149969303185	1.44054363730696	0.10172615284793378	0.3544733730640453	0.16197403739087485	0.2965824524201591	0.708013678397352	1.3459400654679703	0.00262773248444135	0.0038682515288573282	0.0014575966100271447	0.418541008494944	3.7930976122563793	2.6377189606204273e-40	1.3550966700328875e-41	2.8115475970876833e-40	4.6572116107288695e-40	8.211427125241599e-40	1.3726628865873558	0.3133718253696127	0.2898012692639125	1.179258345568495	0.8207416544314934	5.072766679779945e-41	6.15420091482187e-41	0.5	4.202780330654023e-06
1.2413775662399005	0.8093573174105548	0.6819212035468312	1.5087214790425936	1.4912785209574104	0.06073732789249761	2.310959589325867	0.7055121681786776	0.29448783182132154	0.08586707451554265	0.7311094157176135	1.7779556409420216	0.9254626024357352	2.6243315476361166	1.8775586377764317	2.1545926697684536	0.07453739756425656	0.9254626024357347	0.0036368969133441786	0.008724522458761909	0.00735985783344986	0.001066318334098249	1.991271681771995	0.6551439456569376	1.44054363730696	0.10172575145504531	0.35447238689116906	0.16197383840892923	0.2965817566222422	0.708010863970363	1.345922372677178	0.002570578579247084	0.0037229609201123955	0.0013646646253095372	0.4185401712986902	3.793097532821583	1.4101057147364345e-42	7.244572641951277e-44	1.503107333164404e-42	2.489948096816053e-42	4.38989791456445e-42	1.372663623656931	0.31337195831025344	0.2898013778483473	1.1792583558110754	0.8207416441889135	2.7120430393097703e-43	3.2901346045667465e-43	0.5	3.79576924257635e-06
1.2413775662398991	0.8093573174105565	0.6819212035468307	1.5087214790425918	1.4912785209574122	0.06073735040646352	2.310959402320204	0.7055122853178432	0.2944877146821565	0.0858670965711529	0.7311103457265071	1.777956306316553	0.9254626024357352	2.6243314515215634	1.8775579231086437	2.154595174626538	0.07453739756425656	0.9254626024357347	0.0035625492736957825	0.008435459980908479	0.007153140659283046	0.00104451558056442	1.9915610916413458	0.6551384338767062	1.4405436373069598	0.10172536239179356	0.3544714774165091	0.16197361857434822	0.2965810912477103	0.7080082461114682	1.3459060817038753	0.002518033693132519	0.0035905913855939753	0.0012823193216229222	0.41853950166859133	3.793097496909899	7.539827076003289e-45	3.873491967131901e-46	8.036665843154945e-45	1.3312406787980844e-44	2.3471935320274805e-44	1.3726641288050894	0.31337204920136325	0.28980145190729045	1.1792583604436073	0.8207416395563817	1.450032312822366e-45	1.7591548978848434e-45	0.5	3.4483777458025336e-06
