	CDK2cycA	CDK2cycA_star_	Cdk2	CyclinA
84	1.6352134570894025e-08	2.3846916675295424e-08	5.980094875381058e-08	3.598009487538106e-07
85	1.6351848832714128e-08	2.384819002607234e-08	5.979996114121357e-08	3.5979996114121357e-07
86	1.6351586383347978e-08	2.3849359598095092e-08	5.979905401855697e-08	3.5979905401855695e-07
87	1.635134532457129e-08	2.3850433849462212e-08	5.979822082596654e-08	3.597982208259665e-07
88	1.6351123912894618e-08	2.385142054891475e-08	5.979745553819068e-08	3.597974555381906e-07
89	1.6350920546947785e-08	2.3852326832022586e-08	5.979675262102967e-08	3.5979675262102963e-07
90	1.6350733755893264e-08	2.3853159252790984e-08	5.979610699131579e-08	3.597961069913158e-07
91	1.6350562188784425e-08	2.3853923831060697e-08	5.979551398015492e-08	3.597955139801549e-07
92	1.6350404604791663e-08	2.3854626096044554e-08	5.979496929916383e-08	3.5979496929916377e-07
93	1.6350259864225493e-08	2.3855271126315467e-08	5.979446900945909e-08	3.59794469009459e-07
94	1.635012692029165e-08	2.3855863586535113e-08	5.979400949317329e-08	3.597940094931732e-07
95	1.6350004811518466e-08	2.3856407761188983e-08	5.97935874272926e-08	3.597935874272925e-07
96	1.6349892654801668e-08	2.3856907585571813e-08	5.979319975962656e-08	3.597931997596265e-07
97	1.634978963901625e-08	2.385736667424753e-08	5.979284368673626e-08	3.597928436867362e-07
98	1.634969501914916e-08	2.3857788347189573e-08	5.97925166336613e-08	3.5979251663366126e-07
99	1.634960811091035e-08	2.3858175653790623e-08	5.979221623529907e-08	3.5979221623529904e-07
100	1.6349528285783122e-08	2.3858531394915475e-08	5.979194031930145e-08	3.597919403193014e-07
