time	AcCoA	AcP	Acs	HOAc	LacI	OAc	Pta
270.0.	0.057708881333162	0.9261445162548491	0.9962430564246241	0.00015875051939600001	0.049812152821231005	0.336137941522886	0.013757727187837
275.0.	0.047504248122070006	0.8319856722219211	0.800337825478398	0.00013114253817000002	0.040016891273919004	0.32513892313547105	0.014607188304662
280.0.	0.039116265891341005	0.9993626859642201	0.662597796322139	0.00011456233149500001	0.033129889816106005	0.5029625348816961	0.01750314524085
285.0.	0.032577727778761	1.376677335904305	0.6109806089702711	0.00011406202076900001	0.030549030448513002	0.855609740069999	0.021764587367686
290.0.	0.031809904949045	1.869614743431553	0.678293465788501	0.00013121743503600002	0.033914673289425004	1.284492667294963	0.024703220338022
295.0.	0.039080717071835004	2.303478526476548	0.872207729278459	0.000160728514187	0.043610386463922006	1.605978995562452	0.024204890966221002
300.0.	0.053571766328885	2.458830000383038	1.123125668265123	0.000190509440729	0.05615628341325601	1.641142397325341	0.021409402167646002
305.0.	0.06811281644997	2.192538040889838	1.285984603775217	0.000206012774228	0.06429923018876	1.32663577414308	0.018184022772997
310.0.	0.071974786082298	1.627089447715827	1.257913964935985	0.000198720458043	0.06289569824679901	0.82717348593963	0.015555931644401002
315.0.	0.06332368650933501	1.100119729202918	1.084522114057794	0.00017335263821900002	0.05422610570288901	0.442739722564416	0.014045007501109001
320.0.	0.051853413773937006	0.861627247656482	0.8807427040011331	0.00014395491907400002	0.044037135200056005	0.323818711688315	0.014069610764477
325.0.	0.042954293928049	0.9147717419973561	0.717150444508686	0.00012204388798100001	0.035857522225434	0.41548122940562504	0.016015494936950002
330.0.	0.035260056131794004	1.199777568048828	0.625520264100758	0.00011396877483700001	0.031276013205037	0.690818550770052	0.019783281017811002
335.0.	0.031606232169784004	1.6502702380457421	0.63716405055539	0.000123249736972	0.031858202527769004	1.097641243899504	0.0235918957604
340.0.	0.035211051598593	2.125490194896142	0.776058846410268	0.000147868801034	0.038802942320513005	1.4821100938903211	0.024604921187765003
