[II_f]	[II_l]	[mIIa_f]	[mIIa_l]	[V_f]	[V_l]	[Va_f]	[Va_l]	[VII_f]	[VII_l]	[VIIa_f]	[VIIa_l]	[X_f]	[X_l]	[Xa_f]	[Xa_l]	[APC_f]	[APC_l]	[PS_f]	[PS_l]	[Vai_f]	[Vai_l]	[PC_f]	[PC_l]	[TF_l]	[TF_VIIa_l]	[TF_VII_l]	[TF_VIIa_X_l]	[TF_VIIa_Xa_l]	[TF_VII_Xa_l]	[Xa_Va_l]	[V_Xa_l]	[IIa_f]	[V_IIa_l]	[Xa_Va_II_l]	[Xa_Va_mIIa_l]	[APC_PS_l]	[TFPI_f]	[AT_f]	[IIa_AT_f]	[TFPI_Xa_l]	[TFPI_Xa_TF_VIIa_l]	[APC_PS_Va_l]	[Xa_AT_f]	[VII_Xa_l]	[V_mIIa_l]	[TM_l]	[IIa_TM_l]	[IIa_TM_PC_l]	[mIIa_AT_l]	[LIPID]	[alpha2M_l]	[alpha2M_IIa_l]	[alpha2M_Xa_l]
406.3366589228378	768.163341077162	5.513035876170902e-21	7.265054916519372e-19	0.007660714195033306	1.742339255953993	3.117906623529765e-13	9.462892967337365e-11	0.14915625721358916	7.450585109228425	0.000681484458344954	0.09897537838269381	31.657532819830763	111.19237065920387	2.320609773174583e-07	1.991728328092482e-06	1.917267797778261e-24	3.814943616094757e-23	0.6992701096553816	115.30072989034463	2.3226743771743264e-41	1.316426206865721e-38	17.131230749186265	48.86876925081372	0.017598240145286083	0.0002488991441525258	0.0002586080658229751	7.580614166010488e-05	1.8446502714797347e-05	3.6305578212530593e-13	4.667420078875971e-18	2.9756032141206734e-08	1.6112489085531964e-19	7.391424221128736e-22	2.6015580963786807e-18	3.174584513301412e-19	1.1329421675054038e-23	12.299999996300553	4720.999999999799	1.6582794687986036e-22	3.699468071460479e-09	5.246447302301157e-16	1.8945757605362412e-36	2.0411996689089883e-10	1.0862223955799637e-08	3.261523105492335e-21	1.0	4.5599518740294395e-21	5.158271639239978e-22	5.358452039400365e-24	64718.21912933532	363.99999999999085	4.679984470517073e-24	9.5797256594129e-12
393.295569923285	781.204430076715	1.7244334008463895e-20	2.1309305188024986e-18	0.00783462719301763	1.7421653281919387	5.434242057404044e-13	1.5761218763749883e-10	0.15248287064007446	7.4472323663408195	0.0006966739569716992	0.09892548201852548	31.948220960776084	110.90167023450745	3.299057727867565e-07	2.6889196665985043e-06	7.835204377591968e-24	1.4544830713862018e-22	0.7151155291891628	115.28488447081085	2.2088489425846713e-40	1.1611526904692084e-37	17.40905528519108	48.590944714808906	0.01753740781436503	0.000272146095109961	0.0002847257513875755	8.331530295075605e-05	2.240503563697789e-05	5.487434318852517e-13	1.1503393476783536e-17	4.4456887257414854e-08	4.71105207147888e-19	2.367194222709988e-21	6.6475819026226666e-18	8.327070110449555e-19	4.824902470349081e-23	12.299999994103493	4720.999999999679	5.421906975640166e-22	5.896527253182595e-09	1.019659348797239e-15	1.4960208464908687e-35	3.2534461930953553e-10	1.4857964877453576e-08	1.045634322783859e-20	1.0	1.4763412830325578e-20	1.808958378516302e-21	1.876971540574518e-23	63472.89762063763	363.99999999998516	1.530166713392871e-23	1.5269021670071898e-11
382.7624909779589	791.7375090220412	4.7915296231401003e-20	5.6010818997527415e-18	0.007979917799500849	1.7420200181797811	8.944595271920494e-13	2.4962188689586305e-10	0.15525911356627778	7.4444300968768635	0.0007093132404329217	0.09887828029492146	32.277932260861526	110.57194638044528	4.5130779643237065e-07	3.5202582665562266e-06	2.76550348483711e-23	4.832773733882417e-22	0.7283513581500987	115.2716486418499	1.671442384598713e-39	8.227235131021236e-37	17.637884993165965	48.362115006834024	0.017476823640104933	0.0002951451038074393	0.00031073703315945755	9.064952860010467e-05	2.664469353133733e-05	7.949331877485318e-13	2.5952307759839666e-17	6.377020081100163e-08	1.2342959291974472e-18	6.7260184849011364e-21	1.5444998221517327e-17	1.977459031661635e-18	1.7730180562596167e-22	12.299999991044842	4720.999999999511	1.5725211477593409e-21	8.955177209189505e-09	1.855492307908713e-15	9.589769604428843e-35	4.941088512502932e-10	1.966160050666904e-08	2.974456675377225e-20	1.0	4.2416961783790993e-20	5.5804585699443544e-21	5.781982077394239e-23	62477.06083955253	363.99999999997726	4.437957949515755e-23	2.3189437628096e-11
374.2205379291298	800.2794620708704	1.2077013112339347e-19	1.3451437041354022e-17	0.008100951277962273	1.741898959891502	1.4042181113350938e-12	3.791971612882201e-10	0.15756990385963926	7.4420933801801175	0.0007197932994358566	0.09883338120289208	32.61388852757094	110.23597727352433	5.981874704305981e-07	4.493641420143112e-06	8.649287173928224e-23	1.4335829935447229e-21	0.7393763461894047	115.26062365381058	1.0475041784086309e-38	4.8666747417470634e-36	17.82626543663606	48.17373456336392	0.01741648386582485	0.00031789251269474144	0.00033664414269329136	9.783452922416013e-05	3.1144948447668844e-05	1.1121503051074778e-12	5.441817052857528e-17	8.844993343612692e-08	2.9545574362844947e-18	1.7316033573719093e-20	3.3180474966300655e-17	4.327434126216863e-18	5.768253916116386e-22	12.299999986931473	4720.999999999283	4.131693761589151e-21	1.306854497630346e-08	3.1969176594507074e-15	5.174791507807494e-34	7.210690156284072e-10	2.5323731085350705e-08	7.667412218461336e-20	1.0	1.1044477268600704e-19	1.5488345933970483e-20	1.6020640417047908e-22	61676.645949997706	363.9999999999665	1.1660436618188894e-22	3.3841095785182554e-11
367.2704904486226	807.2295095513774	2.805847749685164e-19	2.995613170876483e-17	0.008201550201296204	1.7417983299694124	2.118706475444034e-12	5.561859923727989e-10	0.15948919089645863	7.440148264360182	0.0007284557917822961	0.09879044223976881	32.937023698958996	109.91282896276869	7.722637565175111e-07	5.616359416207989e-06	2.445034881727062e-22	3.8675126072758135e-21	0.748539263737211	115.25146073626277	5.615865769849289e-38	2.477485699475776e-35	17.981301384853364	48.018698615146604	0.01735638517924635	0.0003403868320916922	0.0003624490109985383	0.00010489152176262111	3.588745438422441e-05	1.5113741120449452e-12	1.0729813672287282e-16	1.1927098564478285e-07	6.5579235187587014e-18	4.1049124511322663e-20	6.675717341398136e-17	8.845421709306065e-18	1.694716915179323e-21	12.299999981555946	4720.999999998986	9.99407040289853e-21	1.8444066236269287e-08	5.260274257315299e-15	2.4205029849154493e-33	1.0176710834984836e-09	3.189104612089264e-08	1.8201186979381262e-19	1.0	2.648428119603225e-19	3.934810227320241e-20	4.0623780138212957e-22	61030.577478483865	363.99999999995265	2.820519409596701e-22	4.776117662533266e-11
361.60044511999416	812.899554880006	6.083724399481648e-19	6.257506541491069e-17	0.008285015362143712	1.7417148268185438	3.0907605090673292e-12	7.917769130082155e-10	0.16108061979071325	7.438531102024094	0.0007355953857331691	0.09874916804455115	33.236918427855336	109.61292078523294	9.750757015720573e-07	6.895160350106032e-06	6.3426145149799e-22	9.625702396877073e-21	0.7561411225150674	115.24385887748493	2.6338690298894923e-37	1.1093445833046989e-34	18.108879283783008	47.891120716216946	0.017296524651856188	0.00036262855707989484	0.000388153310128829	0.0001118377662413555	4.085571268148756e-05	2.003986336273437e-12	2.007569478297101e-16	1.5702444348638012e-07	1.3652816161513947e-17	9.072897713340241e-20	1.2704025724690073e-16	1.706500159015812e-17	4.5655401505945164e-21	12.299999974698023	4720.999999998608	2.2534787354327336e-20	2.5301982857084384e-08	8.321956156156651e-15	1.0012222766568829e-32	1.3960677573101512e-09	3.940675696235273e-08	4.02883088130005e-19	1.0	5.922075160210836e-19	9.27302990612847e-20	9.554084799861688e-22	60507.248618653	363.99999999993486	6.359751588860338e-22	6.552002883741422e-11
356.9644534910633	817.535546508937	1.2432625321176087e-18	1.2372618557974072e-16	0.00835416829009589	1.7416456280935901	4.380145597800515e-12	1.0985230696324866e-09	0.16239845650118245	7.437187625132847	0.000741463725757864	0.09870930641260164	33.50861180614633	109.34121364139878	1.2080043820307155e-06	8.336301368212049e-06	1.5283372959261596e-21	2.235419351260713e-20	0.7624391389471362	115.23756086105286	1.1001841671928028e-36	4.4447903472889385e-34	18.213862485221537	47.78613751477841	0.017236899683329157	0.000384619931433449	0.00041375849121103367	0.00011868710850368982	4.603478290828112e-05	2.601724121792078e-12	3.590223147179608e-16	2.0251340958807153e-07	2.6903516257091763e-17	1.8883366903734728e-19	2.30478639177516e-16	3.1331677387448724e-17	1.1415587335602036e-20	12.299999966125988	4720.999999998134	4.783664341407447e-20	3.387401323200927e-08	1.2727107344199047e-14	3.725974124654359e-32	1.8690451171342978e-09	4.791093313243299e-08	8.398248006891404e-19	1.0	1.2470795771691816e-18	2.0487909648382695e-19	2.1063437813865486e-21	60082.086225373634	363.9999999999127	1.3500423331041251e-21	8.771772668757657e-11
353.16705951664204	821.3329404833582	2.4137368582758923e-18	2.3326006452563314e-16	0.008411401339923677	1.741588340614346	6.0536275994499085e-12	1.4903595696611121e-09	0.16348862524766664	7.436071907552851	0.000746274020354221	0.09867064369030504	33.75053853852164	109.09927282103293	1.4722939274349768e-06	9.945589537386133e-06	3.45452771324524e-21	4.8886719054880705e-20	0.7676513583182162	115.23234864168178	4.154842555469773e-36	1.6167455687618235e-33	18.30026097231319	47.69973902768675	0.017177507951954236	0.00040636462497403844	0.0004392658183227529	0.0001254505628012346	5.141103861226351e-05	3.316636882314404e-12	6.172809690831988e-16	2.5654931544721784e-07	5.0547869582441734e-17	3.730529999003393e-19	4.0115758354755634e-16	5.511030600789301e-17	2.675296727976434e-20	12.299999955597801	4720.999999997553	9.636662371135583e-20	4.440219351734789e-08	1.8898452379260892e-14	1.264612094144863e-31	2.4499586952068338e-09	5.744076935799673e-08	1.6618523141986456e-18	1.0	2.492895465276467e-18	4.280148479828579e-19	4.390655537348712e-21	59735.81582056715	363.9999999998854	2.7196519701959862e-21	1.1498106987995633e-10
350.051856951077	824.448143048923	4.4812776906601754e-18	4.218462013364058e-16	0.008458730730869902	1.7415409473297168	8.185019411743346e-12	1.982614948935432e-09	0.1643897673175481	7.435145306220973	0.0007502058327195201	0.09863299996880706	33.96318509466505	108.88661185064319	1.76907043796832e-06	1.1728415777048826e-05	7.38516365958156e-21	1.0145181235670454e-19	0.7719615086800574	115.22803849131996	1.438945507226907e-35	5.4111425237689646e-33	18.371377293538387	47.62862270646155	0.01711834737085896	0.00042786744315838945	0.0004646763983680261	0.00013213682030519403	5.6971963121095796e-05	4.161046136224339e-12	1.02528382673353e-15	3.199486107434159e-07	9.110059846103764e-17	7.041893796568684e-19	6.733682352156478e-16	9.337198295041686e-17	5.925389916456392e-20	12.299999942862115	4720.999999996849	1.854499408846717e-19	5.7137868440516864e-08	2.7345295748756608e-14	3.964350618042894e-31	3.1526778021866185e-09	6.803080457716458e-08	3.1423795980491134e-18	1.0	4.761779904833676e-18	8.51515423968349e-19	8.715582490103893e-21	59453.198138136024	363.9999999998525	5.233754983576484e-21	1.4796097068551348e-10
347.4931168745201	827.0068831254799	7.99860166629987e-18	7.354176041413246e-16	0.008497846591474288	1.741501757275798	1.0855206766682765e-11	2.5920170621577726e-09	0.16513423355906187	7.434375468627353	0.0007534095961258777	0.09859622455530123	34.14823580476395	108.70154639763781	2.099358012848022e-06	1.3689782937236062e-05	1.5030918858068367e-20	2.0101830618676288e-19	0.775523583610129	115.2244764163899	4.6154435277702313e-35	1.682130112550068e-32	18.429927249917238	47.570072750082694	0.017059416050950515	0.00044913404807368155	0.000489991206340112	0.00013875270400991941	6.270598543964821e-05	5.147508440520287e-12	1.6516791174312336e-15	3.9352985151723044e-07	1.5826951089898248e-16	1.2769272223244596e-18	1.0946947796296282e-15	1.530617948316799e-16	1.2484933198510626e-19	12.299999927659133	4720.999999996009	3.42758163577351e-19	7.23408375926408e-08	3.8672454551053655e-14	1.1579247850098592e-30	3.991538431362795e-09	7.97131017432317e-08	5.708406185022034e-18	1.0	8.73797682346522e-18	1.6225132668339935e-18	1.6570562350660674e-20	59222.11911784482	363.9999999998131	9.673296406711609e-21	1.8733024364981787e-10
