	C3	C3_star	C8	C8_star	FL	FS	IKK	L	L_RF	L_RF_C8	L_RF_C8_FS	L_RF_FL	L_RF_FL_FL	L_RF_FL_FS	L_RF_FS	L_RF_FS_FS	NF_kB_IkB	NF_kB_IkB_P	NF_kB_star	RF	p43_FLIP	p43_FLIP_IKK_star	p43_p41
21	1.0805451351406352	0.07589724613958639	17.106768010434077	5.015464366830733	4.746909587004267e-09	1.851971243577474e-42	5.49497761926072	21.95408000000004	58.208890633315406	11.762405169642646	0.293708384018726	0.2896948867847152	0.4654838597860301	4.78885465352529	0.00012984324923542533	0.0006150596033761943	0.5894976541665147	0.008622064083489126	3.355210619915583	7.59912102907342e-95	1.1111973546317475	0.14831023003483793	16.451200949941846
22	1.036491024322758	0.07821447438976357	15.697846932963364	5.256396259388361	-7.217464902670548e-11	-1.5535987813095037e-50	5.479204101224099	21.95408000000004	57.771770973174256	11.786299091141242	0.2937128617707401	0.27970455242432657	0.4654838634756982	4.788854653526945	0.00012536549556777307	0.0006150596033761943	0.4855306447520113	0.0072839726529079175	3.382639693159529	-1.76840540299176e-101	1.105414168393608	0.15202589292948201	16.274425122513573
23	0.9924649804238987	0.07952413222456398	14.396055820615823	5.454838921004536	3.189820040129435e-10	-1.3176881397263699e-51	5.463565058640316	21.95408000000004	57.37367541376145	11.804652701536163	0.29371683342668087	0.27084334064086524	0.46548386354651466	4.788854653526977	0.00012139383959518234	0.0006150596033761943	0.39809215526930286	0.006105303644308218	3.392949759031344	2.0050003960242203e-101	1.0986363370604655	0.1553256378619932	16.036416395306397
24	0.9489477114903286	0.0798778158665675	13.199579517003345	5.610332826723206	-1.0829349318978135e-08	-1.3986964425888716e-50	5.448072497697729	21.95408000000004	57.01105488730819	11.818594931516207	0.29372036452119304	0.26296509100932447	0.4654838650199724	4.788854653527638	0.00011786274442276015	0.0006150596033761943	0.3250967021064161	0.005081610957832252	3.3885973746907414	-7.613136965081027e-103	1.0910220339501766	0.15822999743198757	15.747539984076225
25	0.9063524979664727	0.07935865682730593	12.104824975905562	5.723584696390295	-4.964852548593049e-10	-2.6179709723527468e-55	5.432736231574224	21.95408000000004	56.680565372841215	11.829035925459518	0.29372351201254154	0.25594267798215026	0.4654838653427347	4.788854653527782	0.0001147152529297058	0.0006150596033761943	0.2645558210027575	0.0042032974152895275	3.371892645888579	-6.891754666669999e-110	1.082708169875314	0.1607600827396254	15.417832897601157
26	0.8650187565824186	0.07807159306272177	11.106821292447652	5.796279187424093	-8.701597900404524e-11	6.787065446701862e-55	5.417564162622882	21.95408000000004	56.37910013185305	11.836704089168842	0.2937263251595881	0.24966622918163725	0.4654838653523836	4.7888546535277845	0.00011190210587891614	0.0006150596033761943	0.21463653745513614	0.0034577188263169726	3.3449416817121524	1.8390002442340132e-109	1.0738125492957127	0.1629371658942169	15.056687172124015
27	0.8252129743854048	0.07613431942292664	10.19961458832932	5.830874859769153	-2.952135568868438e-08	6.874981633120374e-54	5.402562581548024	21.95408000000004	56.1037936136598	11.842182064853029	0.29372884661212323	0.24404061613685102	0.4654838666717852	4.788854653528377	0.00010938065275242392	0.0006150596033761943	0.17368510450449012	0.0028306734779744067	3.309627086643633	1.2353775454107738e-107	1.0644366080605865	0.16478245124291652	14.672663677603184
28	0.7871319153297394	0.07366886789707608	9.376651200237482	5.830396074461605	3.751529789413867e-09	1.667294779745305e-58	5.387736393445152	21.95408000000004	55.85202912687855	11.845933849493829	0.29373111319291134	0.2389836074623119	0.46548386819430637	4.7888546535290635	0.00010711407128185999	0.0006150596033761943	0.1402408169104363	0.0023075837906494363	3.2675978805318153	-6.186942876270371e-110	1.0546673923136447	0.1663168277669382	14.273345897321384
29	0.7509092153795439	0.07079480851993036	8.631104644665752	5.798237391872728	1.8112218847388581e-10	2.6135130865195032e-61	5.373089327967321	21.95408000000004	55.621433355691494	11.848328449243185	0.29373315668272504	0.23442435584865562	0.4654838685263046	4.7888546535292145	0.00010507058131930654	0.0006150596033761943	0.11303354570115794	0.0018742992480656397	3.220276641732814	3.1844249580201615e-115	1.0445795813557337	0.16756070494451594	13.86528554563703
30	0.7166232835324047	0.06762402410119411	7.956145394325306	5.7379879452954485	-6.787743041580826e-09	3.1509903672929455e-60	5.358624116005625	21.95408000000004	55.409868547000336	11.849658845959645	0.29373500447700307	0.23030172287140838	0.46548386854931073	4.788854653529224	0.00010322278703085544	0.0006150596033761943	0.09097460597553346	0.0015176182822947133	3.1688731215807637	-3.01577241346037e-114	1.034237009294127	0.16853386621244973	13.454001255777566
31	0.684306046099612	0.06425734397790815	7.345135466169744	5.653288658876499	-2.752276027519418e-09	-8.81703829934365e-61	5.344342645634751	21.95408000000004	55.21541681102503	11.850157693084597	0.2937366802113411	0.22656296850403973	0.46548386871725156	4.788854653529301	0.00010154705261756483	0.0006150596033761943	0.07314063053151669	0.0012255665247210134	3.114404902838937	-2.6637672482326225e-115	1.023694288919198	0.16925538874348237	13.044033734123888
32	0.6539514475782425	0.06078247436084695	6.791773911492716	5.547713572794009	1.5695029564095907e-08	4.30675244196814e-60	5.3302460902375	21.95408000000004	55.036365591250366	11.850009530411077	0.2937382042668891	0.2231626152977471	0.4654838687505192	4.788854653529317	0.00010002299705459812	0.0006150596033761943	0.05875690565181792	0.0009875394513264885	3.0577180340569923	9.592984093378966e-115	1.012998068214384	0.16974356053133613	12.63902192047894
33	0.6255235558106146	0.057273299155697836	6.290185334457634	5.424682361510425	-7.06551605962818e-09	-3.755053759626141e-60	5.316335021387387	21.95408000000004	54.87118971663773	11.849360816004518	0.29373959423601553	0.2200614607972271	0.465483869660442	4.788854653529724	9.863302752018894e-05	0.0006150596033761943	0.04717871486120869	0.0007943118063774455	2.999509413847865	-6.452962619052534e-115	1.002188174805084	0.17001583731657016	12.241803397162208
34	0.5989637735447164	0.05379005985258493	5.834969302361777	5.287397739458887	-4.038089486150641e-09	2.173785824532874e-63	5.302609503258811	21.95408000000004	54.71853407225374	11.848327817787888	0.29374086531745375	0.2172255369879528	0.465483870248573	4.788854653529987	9.736194581833434e-05	0.0006150596033761943	0.03787364097989597	0.0006379840692716939	2.9403477144456796	-1.2963732103632893e-116	0.9912985762818308	0.17008881384794275	11.854519236679504
