time	ST	STU	STUS	STUST	STUSU	SU	SUST	SUSTU
265.0.	0.419736463686873	0.012034125516721	0.036455287814008	0.061287937815504005	0.045846989191506	0.009406755552421	0.003911842845828	0.0037092879594450004
270.0.	0.37932588736100004	0.010834148090412	0.032794530908908	0.055098273637997006	0.041380133693632005	0.008399204789141001	0.003159640257697	0.0029974981648360002
275.0.	0.34230308500647405	0.009742792887409	0.029469907454106003	0.049483459431735	0.037298971457244	0.0074934763319020005	0.002545934205069	0.0024163077494190003
280.0.	0.30848058118208205	0.008752408865788	0.026456844712819002	0.044400262415576	0.03357950177089	0.006681215392994	0.002047162419033	0.0019436401357990003
285.0.	0.277662063341577	0.007855443618966	0.02373128512424	0.039806613649450005	0.030197462991627004	0.005954162821034	0.0016431542911320002	0.0015605519337860002
290.0.	0.24964709735146	0.007044544620961	0.021269970730622003	0.035662055816599	0.027128722817006002	0.005304351527999	0.0013168432211740002	0.0012509821857960002
295.0.	0.22423515582465803	0.006312638028129001	0.019050658928945002	0.031928074449178	0.024349609395448002	0.004724242660451	0.0010539325971040002	0.0010014532484690002
300.0.	0.20122892685069801	0.005652986600199	0.017052275381733	0.028568323976337004	0.021837180731697003	0.004206809266260001	0.0008425471379450001	0.000800753620983
305.0.	0.18043692287481403	0.005059229097021001	0.015255012014194002	0.025548763051867002	0.019569433753554	0.0037455777192030005	0.0006728926156610001	0.0006396251265900001
310.0.	0.16167544502247902	0.00452540389008	0.013640378906343	0.022837714705613	0.017525457282289002	0.0033346375216000003	0.000536938888942	0.000510469322624
315.0.	0.14476997869034802	0.004045959595349	0.01219121886367	0.02040586649292	0.015685534996729002	0.0029686290643140003	0.00042813453596200003	0.0004070816939
320.0.	0.129556104781996	0.0036157553879400004	0.010891692829345	0.018226224519252	0.014031205426736	0.002642717198717	0.000341156421321	0.000324417390451
325.0.	0.11588001098280801	0.0032300533879700004	0.009727243350986	0.016274033436322	0.012545286245364001	0.0023525566016140004	0.000271694168986	0.000258388955716
330.0.	0.10359868204577101	0.002884505179219	0.008684542235235	0.014526672567617001	0.011211869853738001	0.002094253213137	0.00021626745074100002	0.00020569441528300002
335.0.	0.092579839657767	0.0025751341841520003	0.007751427446896	0.012963536437017	0.010016296653983	0.0018643246423820001	0.000172072903016	0.000163672955454
340.0.	0.08270169283001601	0.0022983152991230002	0.006916833314304	0.011565906263861002	0.008945111633784001	0.0016596613897040002	0.000136857047983	0.00013018492907
345.0.	0.073852550049904	0.002050752907196	0.006170717226939001	0.010316817504615002	0.00798600905287	0.0014774899887390002	0.00010881157417600001	0.000103512850097
350.0.	0.065930335317487	0.0018294581386620002	0.005503985266918	0.009200927276553	0.007127769202370001	0.0013153386628520002	8.648755078861087e-05	8.228020663770261e-05
355.0.	0.058842042014012004	0.001631726041605	0.004908418599166	0.008204384479592	0.006360190448806	0.001171005757438	6.872548903463058e-05	6.538521683760569e-05
360.0.	0.052503151444621005	0.0014551131538890001	0.004376601944206001	0.007314704614208	0.005674019099594	0.001042530998941	5.4598547726964907e-05	5.1946998071463706e-05
365.0.	0.04683703686755	0.001297415829681	0.0039018550576260004	0.00652065064744	0.005060879045586	0.0009281695040570001	4.336656362280629e-05	4.126197137465747e-05
370.0.	0.041774368800819	0.0011566495635990002	0.0034781678259340003	0.0058121207771290005	0.00451320264756	0.0008263683899590001	3.443894539515477e-05	3.2768655018953535e-05
375.0.	0.037252533282400004	0.001031029469134	0.003100139345118	0.005180043560684001	0.004024163931425	0.0007357457990830001	2.7344791581940703e-05	2.6019300839921933e-05
380.0.	0.033215071436136	0.0009189520012980001	0.002762921162761	0.004616280586145	0.0035876148319310005	0.0006550721371110001	2.1708873552818643e-05	2.065708975705645e-05
385.0.	0.029611146048054003	0.000818977962652	0.0024621647258150003	0.004113536650788	0.0031980249665370004	0.0005832533215640001	1.723236492752544e-05	1.63978287400606e-05
390.0.	0.026395038778033002	0.00072981679405	0.0021939729746060003	0.003665277260009	0.0028504252195000004	0.000519315845451	1.367740186126667e-05	1.301528259407591e-05
395.0.	0.023525680022559003	0.000650312123875	0.001954855951508	0.0032656531534880004	0.002540355261684	0.00046239347193600006	1.0854728167532671e-05	1.0329433872957202e-05
