time	species_1	species_2	species_3	species_4
282.0.	1.140712411455056	1.8679907813774181	0.019165825236689003	0.73047404810142
288.0.	0.531321811647617	0.529590525597435	0.6754273496126071	0.08584737711517701
294.0.	0.62039825992313	0.09012695612554	0.9991820837605041	0.039164702064677
300.0.	0.64985861758467	0.133125573112735	0.9999963983918131	0.05535459825697701
306.0.	0.6646481628980051	0.15775140916385202	0.9999946564110821	0.064420128909965
312.0.	0.675124609165756	0.175217119416846	0.9999890087260701	0.071146990698274
318.0.	0.684408005561662	0.19069682188926101	0.9999807131548941	0.077314646740628
324.0.	0.694371301630552	0.207314259365625	0.9999669467409331	0.084146711730535
330.0.	0.7074692463659911	0.22916815424230802	0.9999381124803691	0.093457434348562
336.0.	0.729991127488941	0.266776267366146	0.9998449602055771	0.11031909301620701
342.0.	0.79292083089625	0.37222488026243405	0.998939570077723	0.16278274491952202
348.0.	1.196243040555492	1.305923367763277	0.470993439892372	0.6511343114593601
354.0.	1.116330145279375	1.834685689510419	0.018602801162284	0.7092106359936521
360.0.	0.5333739584810231	0.35582630664135	0.8273768740341021	0.052632673489303006
366.0.	0.625158599685095	0.095408683680946	0.9995709704356701	0.041537835770633004
372.0.	0.651838226702088	0.136413103393195	0.9999970544362701	0.056538161738351
378.0.	0.665903679539742	0.15984435227246102	0.9999941434128611	0.065213095932086
384.0.	0.6761445936892361	0.176917754776203	0.9999882701068491	0.071815200154447
390.0.	0.6854144544550871	0.192375236530083	0.9999795771251591	0.07799484946615101
396.0.	0.6955698767909351	0.20931365510100203	0.9999648705151231	0.084983277013634
402.0.	0.7092500326038931	0.232140262261041	0.9999330054867601	0.09475178925878701
408.0.	0.7336604264702551	0.272908062475336	0.9998226324455691	0.11316588320161301
414.0.	0.807792113575944	0.397269772440758	0.9984687426366361	0.176240697786709
420.0.	1.216108927661368	1.500128092432577	0.293207951137873	0.7097597004567631
426.0.	1.085897821684663	1.787665064988139	0.019616825541196002	0.681092362479224
432.0.	0.5477751206475331	0.23715625166396803	0.909295280391851	0.036217549551632006
438.0.	0.6293503848027691	0.100879086676516	0.9997748700551181	0.043727179891066004
444.0.	0.653694601885212	0.139500699806019	0.9999972262465311	0.057656574784699
450.0.	0.667118752548	0.161869929065855	0.9999936084239791	0.065983956350866
456.0.	0.677154077872688	0.17860091647651102	0.9999875006731871	0.072478835094927
462.0.	0.686430555098769	0.194069790992095	0.999978377004002	0.07868385187784101
468.0.	0.696806101522618	0.21137593839145502	0.9999626222385011	0.085849399559785
474.0.	0.7111391361250561	0.23529340496165402	0.9999272284139361	0.096132254224271
480.0.	0.737744469140826	0.27973474068678	0.9997948391613861	0.116366650888352
486.0.	0.826510679250359	0.428895128654238	0.9976451200403841	0.19370184635075802
492.0.	1.2198899083544101	1.655740379220739	0.17640421543733	0.744963845548664
498.0.	1.046677952713054	1.723368619540869	0.022349012536814	0.642924057004009
504.0.	0.5635506556697181	0.16221988757504402	0.9524190685814641	0.029325073829317
510.0.	0.633079292293076	0.10623340223731201	0.9998817432387661	0.045739833292013005
516.0.	0.6554427709554941	0.14241097286769	0.9999971330965671	0.058717260742242004
522.0.	0.668297841314716	0.163835562827744	0.9999930516293751	0.066735212776001
528.0.	0.67815535363254	0.180270426020312	0.9999866983198701	0.07313933463011
534.0.	0.687458616831298	0.195784339188789	0.9999771065257411	0.079383288931508
540.0.	0.69808444480953	0.21350857509657	0.9999601790601481	0.08674852597943501
546.0.	0.713150812010766	0.238651434853818	0.999920649260665	0.097610615017235
552.0.	0.7423254667064021	0.287394516495594	0.9997596336829111	0.11999692454843701
558.0.	0.850631311396386	0.46985713112995103	0.9960746518940321	0.21700025668063302
564.0.	1.215535458027487	1.767221073211692	0.10617036172850801	0.762914898791727
570.0.	0.9943150730292931	1.634812642249769	0.027771163000910003	0.5893849928157311
576.0.	0.577457076887196	0.118438430248646	0.9750461293180951	0.027585398777211
582.0.	0.636426347481818	0.11132619692063501	0.9999377178506581	0.047590764894229004
588.0.	0.657095564712286	0.14516395902763202	0.9999968904420011	0.059726684261659
594.0.	0.6694449845904951	0.16574798011594602	0.9999924727931441	0.067469157308312
600.0.	0.679150636681458	0.18192997814057102	0.999985860676812	0.073798108751515
