time	cdhap	ce4p	cf6p	cfdp	cg1p	cg6p	cgap	cglcex	cpep	cpg	cpg2	cpg3	cpgp	cpyr	crib5p	cribu5p	csed7p	cxyl5p
5.0.6000000000000005.0	0.21638719627420602	0.117011550469515	0.884815190231633	0.449695879778212	0.731168864644401	5.15114595636864	0.23421579660278502	1.915219347443122	2.620957324332814	0.94353545234566	0.397924647449971	2.150318912554086	0.002080986652549	4.266366616891918	0.49750613048889003	0.136997785417401	0.43223569739029305	0.17877006724229302
6.0.	0.21648143135977602	0.117702643317415	0.892635893133193	0.45045229115364904	0.7378564424563161	5.196769782351271	0.23499362094963602	1.910959755358474	2.674946577115074	0.9533599620012321	0.40601717036435003	2.193591216573782	0.002113414648511	4.250228961117297	0.500535058823754	0.137597912675921	0.43747837160749603	0.179882830393254
6.0.4.0	0.21760163119553702	0.118721165927076	0.899822378569293	0.45507263833890305	0.7445109893499701	5.238733789580793	0.236860404012901	1.9067497080770621	2.727129272352697	0.9629968230591831	0.41385406582559403	2.235561476827209	0.002149932257336	4.235145904427372	0.504028497787056	0.138322644903663	0.44151382045846105	0.18118119833432902
6.0.800000000000001.0	0.21959632235881502	0.12002151860783601	0.9064417789886541	0.46304630084034604	0.751107750021028	5.27742006906863	0.23966926970124103	1.902580990753391	2.777916945823087	0.9724302355192501	0.42149536257124004	2.276542884804059	0.002190266412717	4.221308969172727	0.507938207716936	0.139158626815461	0.44447240383040604	0.182638382328648
7.0.2.0	0.22232678426669603	0.121559517496045	0.9125574754735161	0.473936068643509	0.757625957028742	5.31319089393944	0.24328301036884803	1.898446532664666	2.827609373790466	0.9816502386758571	0.428984093632342	2.316756827834347	0.0022341528551750004	4.208804972209076	0.512203455940903	0.14009035483047602	0.44649620405932305	0.184227736361658
7.0.6000000000000005.0	0.22567171199657202	0.12329503308740501	0.918227041387991	0.487378942206853	0.7640482757020881	5.346376344691983	0.247579415375858	1.894340339777172	2.876405270337985	0.9906516629193651	0.43634817326079406	2.356344089725075	0.0022813333204830004	4.1976443370368575	0.5167609729194771	0.14110212261939	0.447725920457937	0.18592456543663802
8.0.	0.22952833901229103	0.125193137979386	0.9235012711317571	0.503080190701873	0.770360259069767	5.377268349210148	0.252453095707988	1.890257401425239	2.924417556032326	0.999433115592776	0.44360284693017904	2.395378615437849	0.002331555309739	4.187783768092297	0.521551125390275	0.142179199027988	0.448292345380909	0.187706992245763
8.0.4.0	0.233811525672372	0.12722429121987702	0.9284238956545801	0.520804662262578	0.7765498421443771	5.4061187837582825	0.257815163238209	1.886193583507804	2.971689008599059	1.007996061104392	0.45075312042444005	2.433880821574416	0.002384572189652	4.179144150922891	0.52652108237035	0.143308417829823	0.448311719058315	0.189556185886006
8.0.8.0	0.23845184546583803	0.12936397375917602	0.9330317084640841	0.540367545163973	0.782606888552546	5.4331400070695235	0.26359175651349803	1.8821455179324382	3.018206053257556	1.016344023883707	0.45779586034240005	2.471828936069961	0.002440142642659	4.171624413038056	0.531625889105886	0.14447837291632	0.447883955827348	0.191456214435502
9.0.200000000000001.0	0.24339332077449202	0.131592063798204	0.937354912145769	0.561625701580594	0.788522792804715	5.458506711950741	0.26972207385650404	1.8781104953204562	3.063909718116452	1.024481922090518	0.46472144120386605	2.5091677938817742	0.002498029133082	4.165111997185861	0.5368282667009291	0.14567938154646	0.447092754357704	0.19339371043724501
