	A	I1	I2	S
74	1542.3216260012077	4495.680577349852	11236.389679624419	5585.736785023645
75	1542.358672029349	4495.699924287773	11236.710454424145	5585.811959450703
76	1542.3921294513925	4495.717401615792	11237.000152849752	5585.879848028713
77	1542.4223459732711	4495.73318907462	11237.261786682195	5585.941156368442
78	1542.4496355566596	4495.7474491421	11237.498075422292	5585.996522127493
79	1542.4742817109734	4495.760328784058	11237.711474718946	5586.046521426508
80	1542.4965404617772	4495.771960980708	11237.904202044287	5586.091674680857
81	1542.516643026742	4495.782466068765	11238.07825986959	5586.132451904374
82	1542.5347982278827	4495.791952932427	11238.235456577386	5586.169277532248
83	1542.5511946663535	4495.800520069559	11238.377425327002	5586.20253480365
84	1542.5660026836606	4495.808256553422	11238.505641072756	5586.232569740101
85	1542.5793761308266	4495.815242905322	11238.62143591649	5586.259694752448
86	1542.5914539648545	4495.821551889581	11238.726012959358	5586.284191907033
87	1542.6023616898299	4495.827249239386	11238.820458801885	5586.306315879768
88	1542.6122126581588	4495.832394319955	11238.905754826628	5586.32629662522
89	1542.6211092458022	4495.83704073415	11238.982787384088	5586.344341786252
90	1542.6291439138995	4495.8412368748	11239.052356990294	5586.360638868139
91	1542.6364001678794	4495.8450264275	11239.115186633291	5586.375357199452
92	1542.6429534240087	4495.848448827386	11239.171929275793	5586.3886497003095
93	1542.6488717923235	4495.851539673276	11239.223174632392	5586.400654476911
94	1542.6542167839953	4495.854331102433	11239.269455291746	5586.411496259581
95	1542.6590439503896	4495.856852129166	11239.311252247173	5586.421287699962
96	1542.663403460374	4495.859128950389	11239.348999892749	5586.4301305414265
97	1542.6673406218065	4495.861185221096	11239.383090536463	5586.438116675425
98	1542.6708963525616	4495.863042302596	11239.413878476911	5586.445329095098
99	1542.6741076059536	4495.864719486149	11239.441683685602	5586.451842756368
100	1542.6770077549459	4495.866234194442	11239.46679513285	5586.457725355627
