	I	Ip	S	Sp
35	40047.34071648904	5761.347830175393	841523.7895055591	240345.17887409293
36	39137.12365627824	5618.436451514133	848836.4743889883	241903.32736426656
37	38264.83464417704	5481.448616185185	856025.2638981406	243422.06408944534
38	37428.16517814745	5350.0705103064265	863087.325177255	244901.87209535195
39	36624.98523524385	5224.00545815435	870020.4607732199	246343.28653624473
40	35853.32699960921	5102.973332753402	876823.0420012086	247746.88760974258
41	35111.37024856631	4986.709891208584	883493.9486125633	249113.29409736962
42	34397.42922313979	4874.966064029279	890032.514152394	250443.15747475898
43	33709.94082659041	4767.507221732452	896438.4764558187	251737.15655015284
44	33047.45399422583	4664.112432015956	902711.932806928	252995.99259723118
45	32408.62011066405	4564.573720461407	908853.2993195279	254220.38494657475
46	31792.184364289886	4468.695344838558	914863.2741407115	255411.06700079035
47	31196.97793395945	4376.293088889004	920742.8041255623	256568.7826417957
48	30621.910920489674	4287.19358077289	926493.0546610265	257694.28299944836
49	30065.965945674994	4201.23363972684	932115.3823470189	258788.3235523497
50	29528.192347278127	4118.259652721374	937611.3102741225	259851.66153403267
51	29007.700909235245	4038.1269833913116	942982.5056596887	260885.0536180426
52	28503.659071209146	3960.6994108195145	948230.7596282585	261889.25386106063
53	28015.286565209793	3885.848594713278	953357.9689456626	262865.0118864303
54	27541.85145040624	3813.453590356166	958366.1195156449	263813.0712630285
55	27082.66648628929	3743.4003701524457	963257.2714982352	264734.1681003347
56	26637.085825425198	3675.5813895457236	968033.5458920373	265629.0298095433
57	26204.501989143257	3609.8951740764223	972697.1124516707	266498.3740305026
58	25784.343099426576	3546.245935170027	977250.1788208887	267342.9077047751
59	25376.070343098523	3484.5432102734085	981694.9807711974	268163.3262822179
60	24979.175645903553	3424.7015268275077	986033.7734470668	268960.31304848084
61	24593.17953704851	3366.6400884299032	990268.8235271133	269734.53856192203
62	24217.629186525814	3310.2824819164375	994402.4022188598	270486.6601893968
63	23852.096599424185	3255.556404023787	998436.779011977	271217.32173125184
64	23496.17695301084	3202.393406378928	1002374.2161215469	271927.1531266676
65	23149.487063799075	3150.7286576077513	1006216.9635589214	272616.7702312441
66	22811.66397308286	3100.5007214187162	1009967.2547732316	273286.7746594153
67	22482.36364055278	3051.651349578679	1013627.3028115871	273937.7536849167
68	22161.259736618107	3004.1252887609485	1017199.2969505405	274570.2801931181
69	21848.04252496343	2957.8701003074643	1020685.3997555234	275184.91267957323
70	21542.417827676552	2912.835992007472	1024087.7445287217	275782.1952896373
71	21244.10606600846	2868.9756610535037	1027408.4331092878	276362.6578944582
72	20952.84137047544	2826.244147391467	1030649.5339929168	276926.81619906833
73	20668.370754596075	2784.598696735018	1033813.0807406652	277475.1718786888
74	20390.453347079467	2743.998632564906	1036901.0706494969	278008.21273971157
75	20118.859677751996	2704.4052364816694	1039915.4636594214	278526.4129021488
76	19853.371012933927	2665.7816363248635	1042858.1814742608	279030.23300063633
77	19593.778736359247	2628.092701513989	1045731.1068750693	279520.1204013503
78	19339.883772076893	2591.3049451055263	1048536.0832070466	279996.5094324459
79	19091.496046082866	2555.386432097095	1051274.9140224445	280459.8216258543
80	18848.433983714054	2520.3066935438387	1053949.3628634885	280910.4659684845
81	18610.52404008921	2486.03664608381	1056561.1531707258	281348.83916106686
82	18377.600261113203	2452.548516498579	1059111.968303483	281775.3258830499
83	18149.50387276944	2419.815770962554	1061603.4516602815	282190.2990621227
84	17926.082896615255	2387.8130486598293	1064037.2068881318	282594.1201470797
85	17707.191789567103	2356.516099470797	1066414.7981705929	282987.13938288
86	17492.691106219005	2325.9017254524438	1068737.7505853933	283369.6960868729
87	17282.447182080075	2295.9477258563475	1071007.5505232168	283742.1189252735
88	17076.331836246696	2266.6328454469467	1073225.6461600175	284104.7261890739
89	16874.222092142954	2237.9367258998222	1075393.4479759093	284457.8260686664
90	16675.99991507091	2209.839860075628	1077512.3293143136	284801.7169265405
91	16481.55196541053	2182.3235489799763	1079583.6269756192	285136.68756749015
92	16290.769366399054	2155.3698612331596	1081608.6418401457	285463.01750584017
93	16103.547485501851	2128.961594886157	1083588.6395156803	285780.97722926
94	15919.785728461859	2103.0822414309578	1085524.8510053072	286090.8284587948
95	15739.387345183788	2077.7159518639864	1087418.473391655	286392.82440479106
96	15562.259246672256	2052.8475046713293	1089270.6705340585	286687.2100184456
97	15388.311832301015	2028.4622756136594	1091082.5737754768	286974.22223874676
98	15217.458826743556	2004.5462091972374	1092855.282656319	287254.09023461567
99	15049.617125944222	1981.0857917252515	1094589.8656326183	287527.0356420912
100	14884.706651553819	1958.0680258310224	1096287.3607962544	287793.27279643255
