time	C1	C2	C2a	C2b	C3	C3a	C3b	C4	C4BP	C4BP_C4b	C4BP_GlcNac_LF_CRP	C4BP_PC_CRP	C4BP_PC_CRP_LF	C4a	C4b	C4b_C2a	C4b_C2a_C4BP	CRP	GlcNac	GlcNac_HF	GlcNac_HF_MASP	GlcNac_LF	GlcNac_LF_C1_MASP	GlcNac_LF_CRP	GlcNac_LF_CRP_C1	GlcNac_LF_CRP_MASP	GlcNac_LF_MASP	HF	LF	MASP	PC	PC_CRP	PC_CRP_C1	PC_CRP_LF	PC_CRP_LF_C1	PC_CRP_LF_C1_MASP	PC_CRP_LF_MASP	X	dC3b	dC4b_C2a	dC4b_C2a_C4BP	iC4b_C2a
2000.0.	2469.9858305544867	289.9294497842262	5.003479676706934	20.070550215773412	4645.809943200072	4.190056799927611	0.011339275124822001	748.3015755484707	126.13255632430273	6.548092302234292	-1.7038093626904121e-25	0.018597574327753	0	21.69842445153032	0.08326161022957901	0.0020388991435000003	0.1603196896799	1.967222494179007	-8.452546437274822e-26	-1.2160070876609299e-26	-8.065571163181917e-26	-3.0247923157619635e-24	0	-9.845449149041661e-29	-4.151355363868789e-26	-2.415460586324528e-28	-7.506057506425784e-24	-2.930788458604831e-24	19.999973902831563	6.799981384076993	2.094179004272977e-06	1.046220417303285e-05	0.01414337212061	1.165429281907036e-08	7.469591156793919e-06	1.8603798177549284e-05	1.212483174146717e-08	0.0005	0.00470803330887	0.007869969921829001	0.618583350697774	14.20644583934256
2200.0.	2469.9851299308007	286.77295773661183	4.805622098470449	23.227042263387688	4644.616369030577	5.383630969423944	0.012841944564937001	744.7813253212461	117.5520773061074	6.705764426735179	-2.167194283077929e-25	0.017896539832915	0	25.218674678754944	0.091490087102559	0.0023093204251690004	0.169239863574931	1.9672225623268211	-7.966713947825922e-26	1.76324564192442e-25	3.55128846647689e-25	-2.960776221424114e-24	0	-1.3340766677509542e-28	-7.142817100932935e-26	-3.2885114913398873e-28	-7.386433000876128e-24	-3.2973205794180546e-24	19.999970896420578	6.799979237019349	2.162326818354182e-06	1.080279473967769e-05	0.014840991466083002	1.240406015342465e-08	8.328194730133976e-06	2.07495342397197e-05	1.3446412890500371e-08	0.0005	0.005332232550295001	0.009501038169360002	0.696098874922338	17.451989925944833
2400.0.	2469.9844533737687	283.49987747111476	4.570728882056428	26.50012252888473	4643.271476414535	6.728523585465184	0.014411154740828	741.0989810286635	109.54411769828405	6.871026736486133	-2.6311536373875473e-25	0.017219559482287	0	28.901018971337606	0.10059858802320301	0.0025919731391460003	0.17702099918782402	1.9672226326054592	-8.414386913197863e-26	2.978728608714324e-26	9.832217922265967e-26	-3.0140306135064068e-24	0	-1.729724953799589e-28	-1.077981450503446e-25	-4.2779157872321455e-28	-7.550955434708057e-24	-2.9752893044911627e-24	19.999967792168142	6.7999770200856124	2.232605456509575e-06	1.115369900564275e-05	0.015514446381369002	1.3177706245954902e-08	9.214739784895976e-06	2.2965103450758432e-05	1.4810938650058909e-08	0.0005	0.005984029166688	0.011160613915755001	0.7620751084341021	20.86119422711337
2600.0.	2469.983793237499	280.11874678693835	4.308041410272945	29.881253213061086	4641.767663376671	8.232336623328191	0.016066426307325	737.2602318975246	102.05775256670137	7.055675067371544	-3.026834830151473e-25	0.016558990900824	0	32.73976810247663	0.110881232316983	0.0028903901633070004	0.183916517381483	1.967222704417685	-7.963688166795649e-26	-2.801113819112602e-26	-6.434113656978364e-26	-2.85158482679153e-24	0	-2.127556833756259e-28	-1.50094038957806e-25	-5.274397050494902e-28	-7.126722744369432e-24	-3.06796646799835e-24	19.99996458758484	6.799974731488722	2.304417682753796e-06	1.151199558876314e-05	0.016171380270722003	1.3973654567378571e-08	1.012993024734233e-05	2.525229205473103e-05	1.621922443065118e-08	0.0005	0.0066715468261640005	0.012857071385218001	0.8179856160883551	24.414407947642616
2800.0.	2469.983144244098	276.63670581776273	4.024390845258199	33.363294182236665	4640.095665399728	9.904334600272705	0.017822653941281002	733.2692582373326	95.04765786003233	7.269174347062519	-3.344424835165106e-25	0.015909559003040002	0	36.7307417626688	0.122664078627829	0.0032072923501580003	0.19006793125135302	1.9672227772851891	-7.940153958791e-26	1.667461794081258e-26	4.7634429905151746e-26	-2.8441816709566117e-24	0	-2.521939425018734e-28	-1.9688047513580772e-25	-6.2573896642358285e-28	-7.124653477387612e-24	-3.021572889622253e-24	19.99996128092362	6.799972369973736	2.377285185641162e-06	1.187535652080898e-05	0.016817069278853	1.4790607978637552e-08	1.1074259525648162e-05	2.7612354447287563e-05	1.7671818247751402e-08	0.0005	0.0074009802972010005	0.014605079807648	0.865426590794083	28.09574298992669
3000.0.	2469.9825028231157	273.0599711679292	3.7256138307793982	36.94002883207032	4638.244868929972	11.75513107002908	0.019692699036708002	729.1292269364396	88.4726488050352	7.520027271772648	-3.626322609706746e-25	0.015267695453217002	0	40.87077306356157	0.136330790498035	0.0035450514147040003	0.19555527311307802	1.967222850845949	-7.949001032499691e-26	1.5759809029470691e-27	4.4541271430537074e-27	-2.8469847815597707e-24	0	-2.926714690905695e-28	-2.4764251840341534e-25	-7.285535541265689e-28	-7.126537586533112e-24	-2.964375349779983e-24	19.999957871013454	6.799969934698932	2.450845946150557e-06	1.224203017515646e-05	0.01745508268409	1.5627565656180132e-08	1.2048057936069481e-05	3.004613199786364e-05	1.916907073243274e-08	0.0005	0.008177675431781	0.01642226719345	0.9058318895939801	31.891426806251282
3200.0.	2469.9818665922317	269.3941670055874	3.41723032164177	40.605832994412154	4636.2034244608585	13.79657553914155	0.021689016575157	724.8426427981117	82.29487831169084	7.81640924312895	-3.869327615637884e-25	0.014631019405461002	0	45.157357201889596	0.152345285990307	0.003905981985362	0.20042369985379402	1.967222924845736	-7.924947618187457e-26	-2.3765470865384073e-27	-6.0447541144926334e-27	-2.838356446163499e-24	0	-3.36201329728218e-28	-3.0219411662832914e-25	-8.353133196161195e-28	-7.105314963260615e-24	-2.989256584668871e-24	19.999954357102165	6.799967425123411	2.524845733145518e-06	1.2610797224163412e-05	0.018087802053723002	1.648381990767185e-08	1.305153744701066e-05	3.255416539155578e-05	2.0711198837880617e-08	0.0005	0.009006806379257	0.018327363446174	0.9403602506160251	35.78888304999861
3400.0.	2469.9812339571367	265.644546461641	3.104737386290741	44.35545353835847	4633.958218691078	16.04178130892073	0.023824989621394004	720.4115879474281	76.47937097758552	8.166421014352753	-4.0735310527761064e-25	0.013997937449713001	0	49.58841205257326	0.17127488615282802	0.0042925836488730005	0.20469934275637003	1.96722299912709	-7.879361720246649e-26	-4.895708436894602e-27	-1.692135195868032e-26	-2.82205017524199e-24	0	-3.8198911021768837e-28	-3.6029120733914083e-25	-9.488799323924916e-28	-7.064457645099976e-24	-2.9868162924234887e-24	19.999950738713622	6.799964840904858	2.599127087067811e-06	1.2980914935875302e-05	0.01871682122186	1.735894252562515e-08	1.4084832318793954e-05	3.5136796799707056e-05	2.2298342386589072e-08	0.0005	0.009893929984262001	0.020339500618042003	0.9698820837613911	39.77621358684823
3600.0.	2469.980603810146	261.81613108139356	2.793667750712965	48.18386891860598	4631.494710237119	18.505289762879503	0.02611641311078	715.83787620931	70.99376447032505	8.578106708601911	-4.242922538544543e-25	0.013367342305247	0	54.16212379069115	0.19381591419627803	0.004707811450105	0.20840080055718202	1.9672230736165521	-7.915210691683808e-26	-1.5928241838021652e-26	-4.646153651318305e-26	-2.834796147180386e-24	0	-4.2658021990726135e-28	-4.21717372955993e-25	-1.061273198078952e-27	-7.094946668279272e-24	-3.0792388368522288e-24	19.9999470155218	6.799962181809423	2.6736165486127703e-06	1.3352052667003261e-05	0.01934324754731	1.825276219212185e-08	1.5148034884757692e-05	3.7794259966109055e-05	2.393061256364614e-08	0.0005	0.010845601773724001	0.022478507166796002	0.9950221577990681	43.84194278192227
3800.0.	2469.979975311484	257.9137911440946	2.489474480762686	52.086208855904935	4628.796601835448	21.203398164549526	0.028583334784208003	711.1231447855708	65.80821099688683	9.05929778392829	-4.396125628027436e-25	0.012738394197768002	0	58.87685521443036	0.220823055359876	0.00515541300441	0.21154845051928603	1.96722314830948	-8.204772301315837e-26	1.2061580974773621e-26	2.685608717568673e-26	-2.939323014800244e-24	0	-4.764465697930764e-28	-4.867600348297917e-25	-1.185804323474315e-27	-7.381877450183674e-24	-2.934627788723235e-24	19.999943187244813	6.7999594476357474	2.748309477187938e-06	1.372421490493744e-05	0.019967920522630002	1.9165329945398862e-08	1.624122562999056e-05	4.052675612765548e-05	2.5608130783026223e-08	0.0005	0.011870139999125002	0.024766111038504002	1.016230408068221	47.974965020417294
4000.0.	2469.9793477417975	253.94228575245384	2.197284373679185	56.05771424754575	4625.8453107088735	24.154689291123642	0.031252288193736	706.2689021148273	60.89540839813958	9.617323939880308	-4.543894744987494e-25	0.012110373484010001	0	63.73109788517407	0.253344071427252	0.0056403381568450005	0.21417144876108202	1.9672232232515472	-8.525908210533292e-26	-1.579618634917253e-26	-4.617719061911784e-26	-3.0531366104565497e-24	0	-5.319712066877496e-28	-5.563673493195101e-25	-1.3243968543033881e-27	-7.642861650636324e-24	-2.627044511851436e-24	19.99993925356295	6.799956638156155	2.823251542952525e-06	1.409764742090137e-05	0.020591559179941002	2.009686891963732e-08	1.7364496364048823e-05	4.3334512795514956e-05	2.733105573864882e-08	0.0005	0.012978552236175	0.027227960449252003	1.033860522850095	52.16465386632074
4200.0.	2469.9787204175955	249.90627850557317	1.9215782213743382	60.09372149442644	4622.619204325489	27.38079567450991	0.034158783363758	701.2765482775549	56.230716996826736	10.258645731485503	-4.646260807109445e-25	0.011482596218227	0	68.72345172244619	0.292662717908656	0.006169198593184	0.216311284920348	1.9672232985167541	-8.477485719016388e-26	-6.3301361019277406e-27	-1.606167719343092e-26	-3.0360232978236367e-24	0	-5.877563109653239e-28	-6.306705788671448e-25	-1.4653262074126562e-27	-7.597627641935057e-24	-2.7391594928171187e-24	19.99993521406579	6.799953753078545	2.898516750391545e-06	1.4472726383414562e-05	0.021214846604396	2.1047707449374272e-08	1.8517965074764622e-05	4.621782186325433e-05	2.909959650358638e-08	0.0005	0.014185570662509	0.029896301889015	1.048239081827729	56.40107683563865
4400.0.	2469.978092661796	245.8103418974404	1.6658792634093391	64.18965810255929	4619.092584733049	30.907415266947886	0.037349888031089004	696.1473822427391	51.79229879177738	10.988484023293543	-4.7009008352724225e-25	0.010854384856656001	0	73.85261775726188	0.34035489481846803	0.006750747793807001	0.21802088013956902	1.96722337418325	-8.383225379195834e-26	-1.240295607256564e-27	-7.03240720634006e-27	-3.002413611423733e-24	0	-6.4617844169342295e-28	-7.0903465126260915e-25	-1.6097807597147931e-27	-7.514329799165506e-24	-2.727441770614999e-24	19.999931068232343	6.799950792031842	2.9741832462022645e-06	1.4849837344814852e-05	0.021838459355060003	2.2018199492237762e-08	1.970178133085387e-05	4.917705415093276e-05	3.0914010539327e-08	0.0005	0.015510723603673001	0.032813074542795	1.05971073906849	60.67523678432931
4600.0.	2469.977463819759	241.65896080247273	1.43253729739319	68.34103919752705	4615.234417877579	34.76558212241685	0.040886828569264004	690.8826079806711	47.56121088066099	11.810524085701342	-4.710918508967925e-25	0.010225084422593001	0	79.11739201932971	0.39836603349460803	0.007396371267497001	0.21935935127719103	1.9672234503094381	-8.352986131444887e-26	8.215771150523794e-27	2.455000912194227e-26	-2.9916825130940638e-24	0	-7.047238832050575e-28	-7.909261416745446e-25	-1.756018972038319e-27	-7.489466727704698e-24	-2.6593219762888888e-24	19.999926815445306	6.799947754575864	3.0503094334732827e-06	1.522925706321674e-05	0.02246305145618	2.300864113891323e-08	2.091612194526426e-05	5.221264955530112e-05	3.277458727207303e-08	0.0005	0.016979416413696	0.036033178918903	1.0686505401978321	64.97925100722279
4800.0.	2469.976833308547	237.45654232712457	1.2226699118049411	72.54345767287528	4611.00679727727	38.99320272272863	0.044847841381668	685.4833487186769	43.521407574764446	12.726742316596551	-4.682136206294935e-25	0.009594111897079	0	84.51665128132409	0.46912120365728405	0.008120631449622	0.22038407944305902	1.967223526913056	-8.361305227277427e-26	1.034250570089287e-25	2.453888127166379e-25	-2.997804347707406e-24	0	-7.650565884819761e-28	-8.761384662447914e-25	-1.906753315090591e-27	-7.591148509791161e-24	-2.7628692435829137e-24	19.999922455036845	6.7999446402337025	3.1269130507399788e-06	1.5611051080565982e-05	0.0230892051756	2.401919249443178e-08	2.2161177693647882e-05	5.5325084683895424e-05	3.468161951148003e-08	0.0005	0.018624115027563	0.039627852498884	1.075444056112873	69.30639675397772
5000.0.	2469.9762006866886	233.20743600576643	1.036270048982303	76.7925639942334	4606.363090319418	43.63690968057961	0.049331857745811	679.9506752162137	39.65965252746788	13.737347324713985	-4.625861183071154e-25	0.008961026074004001	0	90.04932478378697	0.555683513821982	0.008941976795256	0.221142607997344	1.9672236039542272	-8.37509526724476e-26	7.454354899871554e-27	1.7771277470896793e-26	-2.993025835261087e-24	0	-8.290358149962645e-28	-9.649928743277892e-25	-2.066326915586384e-27	-7.489991587624911e-24	-2.449134154226478e-24	19.999917986360373	6.799941448542801	3.203954221763086e-06	1.599499090405979e-05	0.02371736134121	2.5049808535176742e-08	2.34371326462285e-05	5.851482183833699e-05	3.66353653860781e-08	0.0005	0.02048587435229	0.043688451731025	1.080446600802676	73.65099478833132
5200.0.	2469.9755657354362	228.9159657816038	0.8724365740684231	81.08403421839593	4601.245642894252	48.7543571057453	0.054463894805570005	674.2856514697995	35.96539224883491	14.840768997183488	-4.527143025937776e-25	0.008325608916655	0	95.714348530201	0.661981888690062	0.009883779090028001	0.22166650421823803	1.9672236813204762	-8.216487034107754e-26	2.878723650783713e-28	4.3102710950828806e-26	-2.942508056318017e-24	0	-8.938699927830263e-28	-1.0574732675730468e-24	-2.22884415405303e-27	-7.365146379318128e-24	-2.4389576262765817e-24	19.999913408884222	6.7999381791216535	3.28132047107091e-06	1.6380479282660772e-05	0.02434773816779	2.610017179371573e-08	2.4744137275849724e-05	6.178224235187145e-05	3.8636001589938635e-08	0.0005	0.022616573473320002	0.048331387740764	1.083938651881045	78.0081504298924
5400.0.	2469.974928551018	224.58647376914976	0.729657923724207	85.41352623084988	4595.582823143496	54.41717685650309	0.060403172724839006	668.4893996179854	32.43067699136459	16.03359427298435	-4.379487770309408e-25	0.007687957917208001	0	101.51060038201526	0.793137801905286	0.010975893319816	0.22196799399476203	1.967223758808308	-8.072635798689253e-26	-1.795066516348284e-26	-5.168061906599781e-26	-2.8912807933848527e-24	0	-9.582710266310961e-28	-1.1528621102035278e-24	-2.389851844449535e-27	-7.238226661014758e-24	-2.582313269972209e-24	19.999908722308454	6.799934831752967	3.358808303636243e-06	1.6766455175011894e-05	0.024980239127745003	2.7169607207957413e-08	2.6082274923531455e-05	6.512756347199728e-05	4.068356493877437e-08	0.0005	0.025082281282613	0.053705324998657	1.086092066824679	82.37340131174815
5600.0.	2469.9742896591656	220.2233764321253	0.606084659620236	89.77662356787434	4589.2850806749975	60.714919325005205	0.06735504483747501	662.5631870271907	29.05022593284145	17.310340788980753	-4.200004220472363e-25	0.007048600816982001	0	107.43681297281017	0.9559332755753731	0.012256952818483002	0.222038813277173	1.9672238360931922	-8.157860139005294e-26	6.187595375202517e-26	2.0090447801104618e-25	-2.9236707342033547e-24	0	-1.0254320978583791e-27	-1.250908768865999e-24	-2.5572533086649514e-27	-7.353936020718576e-24	-2.4413103725994506e-24	19.99990392671616	6.799931406491362	3.4360931874713907e-06	1.715123670947845e-05	0.025614338569255	2.825694860273173e-08	2.745151827572082e-05	6.855073076754261e-05	4.277787371079395e-08	0.0005	0.027968203996374	0.060001937427553005	1.086952922472877	86.74232270265396
5800.0.	2469.9736501764246	215.83123633802137	0.499751841216706	94.16876366197832	4582.239589177301	67.76041082270308	0.07558784208088501	656.5085423797067	25.821730266879	18.66296643897542	-3.9995448681856572e-25	0.006408657233861001	0	113.49145762029434	1.159479360557397	0.013777624722068001	0.22184996184298503	1.9672239126777922	-8.178073320344197e-26	-3.8556406975284645e-27	-8.381193261475216e-28	-2.9295333709681298e-24	0	-1.097442044875781e-27	-1.3526956901521469e-24	-2.7373318359925413e-27	-7.344107848992391e-24	-2.168416411428941e-24	19.99989902278391	6.799927903812932	3.5126777871423475e-06	1.7532250796564113e-05	0.026248920621442	2.9360317392814892e-08	2.885166872491528e-05	7.20512686561897e-05	4.4918413742996676e-08	0.0005	0.031385672182391	0.06747152152834801	1.0864375290290331	91.11012157533186
6000.0.	2469.973012055759	211.41485688654578	0.40873874872000204	98.58514311345395	4574.302941317287	75.69705868271453	0.085455462082469	650.3274143937504	22.74647855069142	20.080020997343485	-3.750726507437271e-25	0.005770084795607	0	119.67258560625079	1.4161602441734311	0.015605015400194001	0.22135098949235202	1.9672239878072282	-8.003401865687028e-26	-1.371737646981623e-26	-3.824356659642466e-26	-2.866471497079622e-24	0	-1.167843207375477e-27	-1.457603293285951e-24	-2.912076738949994e-27	-7.176074762137731e-24	-2.4552872474633428e-24	19.999894012091374	6.799924324835191	3.587807223313356e-06	1.790559337846601e-05	0.026882033895142002	3.047676822458899e-08	3.028226707070418e-05	7.562806064218485e-05	4.710416721027079e-08	0.0005	0.035481513565403	0.07644447110421401	1.084333091282851	95.47122319181568
6200.0.	2469.9723784637895	206.97941261158152	0.33127116359329	103.02058738841818	4565.291336205205	84.70866379479686	0.097425184186867	644.0223957816085	19.83036562279814	21.545363278467086	-3.470836654903961e-25	0.005136057154257001	0	125.97760421839244	1.742924715100518	0.017828187913767002	0.22046789226738803	1.9672240603420241	-7.940667497116726e-26	-3.060240965310845e-27	-7.963827362232736e-27	-2.844004314067789e-24	0	-1.237782511261885e-27	-1.564744449651259e-24	-3.08858536547675e-27	-7.119765847958859e-24	-2.496230683721404e-24	19.99988889758478	6.7999206716463565	3.6603420197678154e-06	1.826537620778137e-05	0.027510514712277	3.16017618789031e-08	3.1742459833558026e-05	7.927902028527221e-05	4.933335670259642e-08	0.0005	0.040449601155279	0.08735840680554201	1.080294854321989	99.81883074843557
6400.0.	2469.9717543322445	202.53063233888477	0.26577818572989204	107.46936766111497	4554.967935446201	95.03206455380014	0.11210583228510801	637.597044747585	17.085260746168824	23.036444679833625	-3.1644680637696873e-25	0.0045115164482350005	0	132.40295525241578	2.162921097197136	0.020563976162994	0.21909965519930502	1.967224128592645	-7.878390247664366e-26	-2.297306937193441e-27	-5.771322173028077e-27	-2.821698397815086e-24	0	-1.3083226853381592e-27	-1.673908421676589e-24	-3.265211483269789e-27	-7.06392025694185e-24	-2.4991861252799656e-24	19.999883684253575	6.79991694778638	3.7285926404480107e-06	1.860289102691671e-05	0.028129436321654003	3.272847612411008e-08	3.323080434815588e-05	8.300061053684197e-05	5.1603081766278194e-08	0.0005	0.046542564104959	0.10078691809706	1.073836834428781	104.14442893768853
6600.0.	2469.971147071725	198.07505192484734	0.21091352725964602	111.92494807515229	4543.028029176034	106.9719708239678	0.130260395592277	631.0563397504814	14.530442993490261	24.522424234875636	-1.227291251511957e-25	0.003903887945797	0	138.94366024951952	2.707201466751295	0.023960263965595002	0.21711539770030402	1.9672241901660341	-7.816598106998782e-26	-2.24229217664753e-27	-5.6128228673080844e-27	-2.7995663702293727e-24	0	-4.293879356474605e-28	1.4659666942334218e-24	-1.4004686692075953e-27	-7.00851099425162e-24	-2.4993996393462315e-24	19.99987838004093	6.79991315889537	3.790166029774348e-06	1.8905876421480463e-05	0.028731396052661003	3.384714599574041e-08	3.47450073149236e-05	8.678719576508777e-05	5.390886364731515e-08	0.0005	0.054077093005253006	0.117456014064214	1.064324040033219	108.43721988464713
6800.0.	2469.970567251546	193.62033545088036	0.165543053707692	116.37966454911918	4529.085222827917	120.91477717208318	0.15276563577541802	624.4072814865533	12.193170946138222	25.963038558813846	6.648015855327217e-26	0.0033237595976830002	0	145.59271851344724	3.415558459221847	0.028189873642675	0.214357704864019	1.967224241990326	-7.755271598175173e-26	-2.2383271553269283e-27	-5.601396503790934e-27	-2.77760111550432e-24	0	4.1013647001646255e-28	1.276686804582753e-24	9.820697263967203e-28	-6.953519259289073e-24	-2.49941503073107e-24	19.99987299685138	6.799909313434229	3.841990321868919e-06	1.9158788261360294e-05	0.029305836475088002	3.49450731908586e-08	3.628163780225502e-05	9.063032153478196e-05	5.6244235040920786e-08	0.0005	0.06341732639649701	0.138214669198335	1.050992773664397	112.68355128882655
