time	species_0	species_1	species_10	species_11	species_12	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
500.0.	1.419686849660982	998.5802168393412	499.999951844	7.741895862356477	92.25809450654334	3820.209436663613	167.7375307033854	12.052647393011645	674.2459907892185	226.03799168989514	99.7159212098834	99.9999903689	499.999951844
550.0.	13.475027242727421	986.524876446275	499.999951844	16.076652462860686	83.92333790603904	3293.7603292583563	628.4951484109669	77.74413709068449	918.2824440161955	71.75375170069415	9.963707972106992	99.9999903689	499.999951844
600.0.	0.9194351256375961	999.0804685633651	499.999951844	16.53146590472973	83.46852446417006	2799.250440025226	950.793833538494	249.95534119629696	503.0229507702229	325.28247049197256	171.69448242680093	99.9999903689	499.999951844
650.0.	0.48101552705548006	999.5188881619466	499.999951844	4.498577429164026	95.50141293973584	3078.929563983764	738.5615485536634	182.50850222258737	218.84412525929727	314.83544310213085	466.32033532756816	99.9999903689	499.999951844
700.0.	0.43054039292961804	999.569363296073	499.999951844	3.26862608723821	96.73136428166168	3406.281612203609	489.54651600333375	104.17148655306839	138.64800437862678	278.1808500107866	583.1710492995819	99.9999903689	499.999951844
750.0.	0.472538733348056	999.5273649556543	499.999951844	3.438314141858211	96.56167622704173	3734.305229116021	229.5646451884399	36.12974045554878	197.28658569900364	320.5912313564275	482.1220866335641	99.9999903689	499.999951844
800.0.	0.671058599441481	999.3288450895607	499.999951844	4.50149019052559	95.4985001783743	3981.37142793169	18.21710521692706	0.41108161139327104	400.9569665498166	333.34632153725977	265.6966156019185	99.9999903689	499.999951844
850.0.	1.564019321675806	998.435884367327	499.999951844	7.770840098061646	92.22915027083822	3955.7065557243664	43.88950431735325	0.403554718291517	701.7806635113054	209.15104323127954	89.06819694640951	99.9999903689	499.999951844
900.0.	28.591964784541595	971.4079389044609	499.999951844	17.4966699063219	82.50332046257795	3065.4858250871926	804.5171223510034	129.99666732181817	930.2213539302012	64.44535334365617	5.333196415136226	99.9999903689	499.999951844
950.0.	0.687649901822562	999.3122537871802	499.999951844	12.83271390212966	87.16727646677005	2767.2893070113464	965.9840706755252	266.7262370731484	398.5008308577161	344.4121747079877	257.0868981232885	99.9999903689	499.999951844
1000.0.	0.42321845589378504	999.5766852331085	499.999951844	3.550035952721046	96.44995441617866	3074.368217573093	738.057213095353	187.57418409157285	130.2324749468879	264.2627267307843	605.5047020113209	99.9999903689	499.999951844
1050.0.	0.389801270170952	999.610102418832	499.999951844	2.935124998799667	97.06486537010008	3414.1856980119574	481.22118949131396	104.59272725674587	62.165166127701156	205.95324087863094	731.8814966826595	99.9999903689	499.999951844
1100.0.	0.42224053074198303	999.5776631582613	499.999951844	3.087830391787423	96.91215997711228	3754.6659226476304	211.52070944216376	33.812982670223384	110.82395667731929	281.0493635507338	608.1265834609388	99.9999903689	499.999951844
1150.0.	0.5588332338197021	999.441070455185	499.999951844	3.875274368423109	96.12471600047661	3992.1798685505173	7.758534929659152	0.061211279841043006	291.4221328105922	352.751787977799	355.8259829006008	99.9999903689	499.999951844
1200.0.	1.009224059312024	998.9906796296921	499.999951844	6.021695958835284	93.97829441006448	3980.5242978123224	19.38985960990383	0.08545733779204301	569.5078167871585	279.2943467668965	151.19774013493733	99.9999903689	499.999951844
1250.0.	5.807680964989381	994.1922227240148	499.999951844	12.466750121414686	87.5332402474851	3733.787345741087	254.8827418624835	11.329527156449691	891.874326363963	86.09914223351254	22.026435091517016	99.9999903689	499.999951844
1300.0.	1.375450224523013	998.6244534644819	499.999951844	19.910366334380686	80.08962403451919	2685.880804137782	1032.2650522639815	281.8537583582646	604.3292101475306	290.674013349104	104.99668019235786	99.9999903689	499.999951844
1350.0.	0.47424737649750204	999.5256563125072	499.999951844	5.070625515923564	94.92936485297616	2941.9921556207696	836.1908152724587	221.81664386679984	209.35082952821182	311.3252352545178	479.3238389062632	99.9999903689	499.999951844
1400.0.	0.394768381858598	999.605135307146	499.999951844	3.027170677090617	96.97281969180918	3274.092866682191	588.3169009057065	137.58984717213463	74.88428892522919	215.2235092565709	709.8921055071933	99.9999903689	499.999951844
1450.0.	0.401661221509218	999.5982424674957	499.999951844	2.973910484045467	97.02607988485431	3617.23517687708	322.36407530352267	60.400362579428226	78.57363783587786	240.2825491242572	681.1437167288585	99.9999903689	499.999951844
1500.0.	0.48482106772095906	999.5150826212844	499.999951844	3.452476251358089	96.5475141175417	3934.835984516585	59.62809366238094	5.535536581063844	202.88776038880133	338.2739475138599	458.838195786333	99.9999903689	499.999951844
1550.0.	0.753686684457551	999.2462170045468	499.999951844	4.9046999864736325	95.09529038242617	3988.87514348878	11.095484346761573	0.028986924492587003	450.3071131296129	325.63278356754745	224.06000699183394	99.9999903689	499.999951844
1600.0.	2.110631584804852	997.889272104199	499.999951844	8.976350653432464	91.02363971546735	3925.3447404466574	73.58888729193276	1.065987021441579	763.5420569483822	172.80438687461466	63.653459865997455	99.9999903689	499.999951844
1650.0.	16.536295812372444	983.4636078766312	499.999951844	19.755128268049244	80.24486210085048	2783.9123536141237	990.1121365528885	225.97512459302214	850.7146230068203	133.7837707948401	15.50150988733496	99.9999903689	499.999951844
1700.0.	0.5846311771776871	999.4152725118265	499.999951844	9.458038057527743	90.54195231137203	2820.479032528934	926.19185943941	253.32872279169024	326.4334841603179	342.67910166895064	330.8873178597264	99.9999903689	499.999951844
1750.0.	0.41066677210358504	999.5892369169005	499.999951844	3.28934724384487	96.71064312505493	3138.4666433740895	690.3553890333354	171.17758235260845	107.0930374097631	245.40792179821614	647.4989444810153	99.9999903689	499.999951844
1800.0.	0.391826385644132	999.6080773033596	499.999951844	2.9333596191719673	97.06663074972779	3480.105347284152	430.2091828631638	89.6850846127169	64.30230327179918	213.02877907909593	722.6688213380995	99.9999903689	499.999951844
1850.0.	0.438244201360228	999.5616594876425	499.999951844	3.18182487449278	96.81816549440687	3816.698825502902	160.33727886311107	22.96351039402167	135.93940462256285	302.6867880908492	561.3737109755825	99.9999903689	499.999951844
1900.0.	0.609106552383742	999.3907971366195	499.999951844	4.156033490384676	95.84395687851504	3992.5433572254237	7.441189731420232	0.015067803192941001	341.4143260516118	349.7423805694448	308.84319706793855	99.9999903689	499.999951844
1950.0.	1.22209143208839	998.7778122569135	499.999951844	6.787332736590182	93.2126576323096	3971.9559714164548	27.8725914037655	0.171051939817878	632.4118836520662	248.43157842728021	119.1564416096481	99.9999903689	499.999951844
2000.0.	13.331163351822818	986.6687403371791	499.999951844	14.805039616959965	85.19495075193997	3479.9559850466076	479.3946447046151	40.6489850088149	936.7741222242644	54.01386622483526	9.211915239894575	99.9999903689	499.999951844
2050.0.	0.9069625023434781	999.0929411866595	499.999951844	16.954644016452345	83.04534635244762	2718.3829681536026	1004.1162852391569	277.50036136727255	496.2347916245077	328.8466296736312	174.91848239085598	99.9999903689	499.999951844
2100.0.	0.445076036815427	999.5548276521873	499.999951844	4.105702062655914	95.89428830624404	3006.0497530529005	788.8150180902646	205.13484361686702	166.7628808181336	289.1365664277073	544.100456443154	99.9999903689	499.999951844
2150.0.	0.39136085714572305	999.6085428318573	499.999951844	2.970294285924429	97.02969608297548	3342.4570436611716	536.305865942936	121.2367051559265	66.88564750349012	208.26579550560206	724.8484606799028	99.9999903689	499.999951844
2200.0.	0.41046678307503603	999.5894369059286	499.999951844	3.021661402910109	96.97832896598976	3684.873592851254	268.2174796292646	46.9085422795159	92.41785217227991	259.7320376243193	647.8500138923962	99.9999903689	499.999951844
2250.0.	0.517729556477461	999.4821741325267	499.999951844	3.641477703235256	96.3585126656645	3976.747847932694	22.123608572656007	1.128158254684849	244.83901546672269	348.69028135295133	406.4706068693208	99.9999903689	499.999951844
2300.0.	0.860889986265261	999.1390137027383	499.999951844	5.40303895449189	94.59695141440788	3985.6334473160423	14.318574863909289	0.047592580080729	508.5550182590094	305.1415557448355	186.30332968515017	99.9999903689	499.999951844
2350.0.	3.195883098265441	996.8040205907379	499.999951844	10.520344811717614	89.47964555718212	3862.736103126898	133.9711744019281	3.292337231206354	829.5530286941487	129.60929353641163	40.83758145843425	99.9999903689	499.999951844
2400.0.	2.825655286593456	997.1742484024102	499.999951844	20.897526113514843	79.10246425538483	2687.338220169216	1040.6663576036544	271.99503698716666	727.4115763229738	223.54551291627436	49.0428144497462	99.9999903689	499.999951844
2450.0.	0.5176300996407951	999.4822735893626	499.999951844	6.774095295363865	93.22589507353592	2879.6039655084237	882.3092279937412	238.0864212578703	262.2771601154787	330.3667648205881	407.3559787529273	99.9999903689	499.999951844
2500.0.	0.40101102233045605	999.5988926666716	499.999951844	3.124779592171456	96.87521077672847	3205.7852524695586	639.8837529117259	154.33060937875226	88.05809692652402	227.93038399877815	684.011422763692	99.9999903689	499.999951844
2550.0.	0.395505541661815	999.6043981473399	499.999951844	2.944480636025636	97.05550973287426	3548.6330881735507	376.6122775130684	74.75424907341954	69.25642387201486	224.19978267527756	706.5436971417014	99.9999903689	499.999951844
2600.0.	0.458595961028441	999.5413077279733	499.999951844	3.30047602528675	96.6995143436131	3878.5577774251565	108.25960373515139	13.182233599732122	166.2850506380012	322.30449587180175	511.4103571791913	99.9999903689	499.999951844
2650.0.	0.672153533316702	999.3277501556843	499.999951844	4.493640155142417	95.50635021375759	3991.0869249843954	8.893802546472587	0.018887229173022	394.27669975708324	340.67762775299207	265.0455761789201	99.9999903689	499.999951844
2700.0.	1.550197593176392	998.449706095824	499.999951844	7.7497032520466504	92.25028711685349	3956.2959584800533	43.309779055610086	0.39387722438028905	697.0914690243975	212.92161299470706	89.98682166989056	99.9999903689	499.999951844
2750.0.	27.74226753840309	972.257636150598	499.999951844	17.38604926805858	82.61394110084149	3088.235882880908	788.0882597452196	123.67547213391339	932.2732350430625	62.43809943965346	5.288569206279653	99.9999903689	499.999951844
2800.0.	0.6974104566918781	999.302493232309	499.999951844	13.090903023126835	86.90908734577339	2765.4619715234026	967.5416082782394	266.99603495839654	404.20457103677614	344.0118553090932	251.78347734312624	99.9999903689	499.999951844
2850.0.	0.424863986321781	999.5750397026791	499.999951844	3.579955501896641	96.42003486700348	3071.502470665611	740.2634754663521	188.2336686280732	133.112086441736	266.48977039971027	600.398046847549	99.9999903689	499.999951844
2900.0.	0.390435149163229	999.6094685398376	499.999951844	2.941097881005484	97.05889248789457	3411.013961264078	483.7076783385846	105.277975157374	63.47850827668641	207.53285415316262	728.9885412591461	99.9999903689	499.999951844
2950.0.	0.422415239055944	999.5774884499447	499.999951844	3.089812546846683	96.91017782205336	3751.426512928504	214.1949025076696	34.37819932386133	111.33130836491286	281.09246196869856	607.5761333553831	99.9999903689	499.999951844
3000.0.	0.558492694306529	999.4414109946944	499.999951844	3.8736136439855042	96.12637672491466	3991.919854428385	8.008072603650495	0.071687728002676	291.24855136753143	352.55803110827054	356.1933212131926	99.9999903689	499.999951844
3050.0.	1.00809484038342	998.9918088486182	499.999951844	6.01709585265851	93.9828945162417	3980.566522297226	19.34799066336702	0.08510179944042201	569.1888527771628	279.3966912904203	151.41435962141114	99.9999903689	499.999951844
3100.0.	5.783861302463638	994.2160423865374	499.999951844	12.453729783704986	87.54626058519527	3734.8412249538014	253.9132599987265	11.245129807506771	891.5586239064098	86.32175701481475	22.11952276776985	99.9999903689	499.999951844
3150.0.	1.379550222061307	998.6203534669388	499.999951844	19.921655127571842	80.07833524132846	2685.73848745555	1032.4012020860146	281.85992521846885	604.978734683607	290.38387181256587	104.63729719282091	99.9999903689	499.999951844
3200.0.	0.474430607746313	999.5254730812526	499.999951844	5.077557719386735	94.92243264951355	2941.614603203206	836.4679437110274	221.91706784579588	209.59846484494028	311.43541603015365	478.9660228138994	99.9999903689	499.999951844
3250.0.	0.39478325797886304	999.6051204310203	499.999951844	3.027491265952057	96.97249910294808	3273.6899620282347	588.6211913080406	137.68846142375276	74.92059172935124	215.25105487004356	709.8282570895979	99.9999903689	499.999951844
3300.0.	0.40160437125331605	999.598299317746	499.999951844	2.97358752466823	97.02640284423188	3616.836846426315	322.68035538079374	60.48241295291888	78.48040563692471	240.14971087991003	681.369787172158	99.9999903689	499.999951844
3350.0.	0.48462577438034704	999.5152779146193	499.999951844	3.451336145914585	96.54865422298549	3934.5410917877975	59.88691346796049	5.5716095042675	202.62154157685296	338.1888541170477	459.1895079950921	99.9999903689	499.999951844
3400.0.	0.753073584460066	999.2468301045399	499.999951844	4.901716625165483	95.09827374373462	3988.8926075952304	11.07810864197249	0.028898522819671	449.9264200174388	325.7530021760044	224.3204814955498	99.9999903689	499.999951844
3450.0.	2.105693812989551	997.8942098760114	499.999951844	8.967246705840344	91.03274366305982	3925.6294039859936	73.31174158134282	1.058469192685955	763.0996823214822	173.08317112845535	63.8170502390554	99.9999903689	499.999951844
3500.0.	16.76449778519435	983.235405903805	499.999951844	19.742126392808043	80.25786397609198	2785.147090361703	989.3840900418269	225.46843435649623	851.4602544568628	133.17671853312623	15.362930699002572	99.9999903689	499.999951844
3550.0.	0.585194774357914	999.4147089146426	499.999951844	9.479398848351046	90.52059152054889	2820.09807950586	926.47589202624	253.42564322792856	326.90327438825557	342.7298750698948	330.3667542308422	99.9999903689	499.999951844
3600.0.	0.410744809815663	999.5891588791845	499.999951844	3.290774162922895	96.70921620597706	3138.020804192567	690.6886206403683	171.29018992709425	107.24202774729457	245.53811086791808	647.2197650737803	99.9999903689	499.999951844
3650.0.	0.39180986189375405	999.6080938271065	499.999951844	2.93334848640664	97.06664188249334	3479.6484116983056	430.56472782713223	89.78647523459297	64.28362707161486	212.97327687353916	722.742999743838	99.9999903689	499.999951844
3700.0.	0.43812553287256406	999.5617781561281	499.999951844	3.181133047793575	96.81885732110638	3816.2748958370203	160.69034993293627	23.034368990074974	135.75792662089228	302.54815489453915	561.6938221735606	99.9999903689	499.999951844
3750.0.	0.608734678899965	999.391169010101	499.999951844	4.153992531095449	95.84599783780446	3992.549971222716	7.434558480609938	0.015085056704325	341.07291479916	349.78212937040183	309.14485951943044	99.9999903689	499.999951844
3800.0.	1.220373567182718	998.779530121818	499.999951844	6.781653268925913	93.218337099974	3972.030646842436	27.79877684792223	0.17019106967063302	631.9879601030455	248.6520102715032	119.35993331444423	99.9999903689	499.999951844
3850.0.	13.251861002201917	986.7480426867988	499.999951844	14.788390230529911	85.21160013837003	3482.1897628285797	477.49896798759664	40.31088394385321	936.5926120457423	54.13622157259853	9.271070070651817	99.9999903689	499.999951844
3900.0.	0.9089214569260831	999.090982232075	499.999951844	16.978676197852273	83.02131417104763	2718.1073680407358	1004.337653346855	277.55459337243286	496.8989298657663	328.67662726276683	174.4243465604579	99.9999903689	499.999951844
3950.0.	0.445236103124434	999.5546675858772	499.999951844	4.110378948930176	95.88961141996975	3005.619155552757	789.133832949345	205.24662625792462	167.0148648880745	289.2880898800608	543.696948920856	99.9999903689	499.999951844
4000.0.	0.39137497265332905	999.608528716349	499.999951844	2.97057087139975	97.02941949750017	3342.002136389691	536.6533578554714	121.34412051486338	66.92300231690614	208.2915945229336	724.7853068491505	99.9999903689	499.999951844
4050.0.	0.41039845145192905	999.5895052375506	499.999951844	3.021279047557868	96.97871132134213	3684.4273558355285	268.5770621764347	46.99519674806465	92.30958822020776	259.59454362591515	648.0957718428679	99.9999903689	499.999951844
4100.0.	0.5174860496839331	999.4824176393184	499.999951844	3.640084479198891	96.35990588970114	3976.5501761869177	22.304700349468394	1.14473822364048	244.5439782715074	348.6420015305502	406.8139238869338	99.9999903689	499.999951844
4150.0.	0.860065391461982	999.1398382975405	499.999951844	5.399378744524513	94.60061162437549	3985.659816408876	14.29237445291686	0.047423898233925	508.15985730541786	305.2953552883969	186.54469109517706	99.9999903689	499.999951844
4200.0.	3.185522528081314	996.8143811609218	499.999951844	10.508859328871482	89.49113104002849	3863.3173977492943	133.41568661518284	3.266530395552196	829.1204129050064	129.90259819744986	40.97689258653623	99.9999903689	499.999951844
4250.0.	2.843860223585216	997.1560434654184	499.999951844	20.896401808132936	79.10358856076712	2687.55733588758	1040.597256036589	271.8450228358664	728.2557696240349	223.0047555282884	48.73937853667016	99.9999903689	499.999951844
4300.0.	0.517981877166733	999.4819218118367	499.999951844	6.788485450952919	93.21150491794725	2879.200300265913	882.6079547101915	238.19135978393228	262.6639642989795	330.47464919031887	406.86129019969525	99.9999903689	499.999951844
4350.0.	0.40106302029967106	999.5988406687039	499.999951844	3.125609544575226	96.87438082432493	3205.3357746822903	640.2218487694912	154.44199130825737	88.16420142345461	228.0319503321531	683.8037519333853	99.9999903689	499.999951844
4400.0.	0.395473331022477	999.6044303579812	499.999951844	2.944347372367944	97.05564299653227	3548.178517070441	376.9696847063481	74.85141298324838	69.20969578491051	224.10855198684504	706.6816559172373	99.9999903689	499.999951844
4450.0.	0.458443264010623	999.5414604249927	499.999951844	3.299587399361683	96.7004029695385	3878.1612920427797	108.59737109692684	13.240951620330476	166.0635439498378	322.184411460059	511.75194827909644	99.9999903689	499.999951844
4500.0.	0.6716826043788791	999.3282210846234	499.999951844	4.491182091429612	95.50880827747046	3991.098987713649	8.881787982459286	0.018839063928857	393.9159976331854	340.75759532945347	265.32631072635434	99.9999903689	499.999951844
4550.0.	1.547448621756859	998.4524550672459	499.999951844	7.742537905878834	92.25745246302128	3956.43723044526	43.170883230948625	0.39150108382682103	696.6564571596454	213.17246819793357	90.17097833141484	99.9999903689	499.999951844
4600.0.	27.666350551071872	972.3335531379323	499.999951844	17.368884069076298	82.63110629982373	3090.8944403100286	786.1620275219797	122.94314692802708	932.5527399186569	62.16879355419576	5.2783702161405675	99.9999903689	499.999951844
4650.0.	0.698392988613392	999.30151070039	499.999951844	13.11684421915915	86.88314614974098	2765.1194266580305	967.8020958876549	267.0780922143453	404.7656898067414	343.9721073925834	251.26210648966938	99.9999903689	499.999951844
4700.0.	0.424975860934302	999.574927828068	499.999951844	3.582501097191471	96.41748927170863	3071.0636802144436	740.5896449117575	188.34628963383489	133.30886808797914	266.6368290111948	600.0542065898205	99.9999903689	499.999951844
4750.0.	0.390433614863674	999.6094700741392	499.999951844	2.941216705663848	97.05877366323627	3410.557958685532	484.0590833893093	105.38257268519445	63.48700274419968	207.51707358089615	728.9958273638983	99.9999903689	499.999951844
4800.0.	0.42232423553311504	999.5775794534692	499.999951844	3.089286975155106	96.91070339374494	3750.9889405603244	214.55281341562008	34.457860784092254	111.18791934809218	280.94812611615606	607.8638582247457	99.9999903689	499.999951844
4850.0.	0.558193192229968	999.4417104967713	499.999951844	3.871918742259862	96.12807162664005	3991.89266346845	8.033881737971443	0.073069553614703	290.9282134719508	352.5546216001397	356.5170686169031	99.9999903689	499.999951844
4900.0.	1.006938880807352	998.9929648081941	499.999951844	6.012562872559806	93.98742749634005	3980.6090905401475	19.305778997367348	0.08474522252081401	568.7785308371961	279.58453880233805	151.63683404945948	99.9999903689	499.999951844
4950.0.	5.756562943919141	994.2433407450818	499.999951844	12.439512122368319	87.56047824653155	3736.023751167255	252.82488764972805	11.150975943052646	891.179471267647	86.59309755456813	22.227334866777873	99.9999903689	499.999951844
5000.0.	1.384438379413538	998.6154653095867	499.999951844	19.935449034125128	80.06454133477453	2685.6029661528314	1032.5417734666883	281.85487514051647	605.7499459243038	290.0378448839686	104.21211288072053	99.9999903689	499.999951844
