	APC	HC	HC3	HC36	HC5	HC53	HC536	HC56	LC	LC_APC	Va	Va3	Va36	Va36_APC	Va3_APC	Va5	Va53	Va536	Va536_APC	Va53_APC	Va56	Va56_APC	Va5_APC	VaA3	VaA36	VaA53	VaA536	VaLCA1	VaLCA1_APC	Va_APC
10	3.966093983393725e-05	1.4621236916852685e-08	-6.8137445955136e-11	-2.4793568027450248e-14	-3.4049944916590036e-09	-7.038910609390538e-10	-3.4366861822706144e-12	-3.92523393661872e-12	-5.654251241147904e-09	1.6091078445752432e-08	5.726786019115557e-05	-2.6631482678372644e-07	-9.692839835829353e-11	-6.368963359082059e-11	-1.4998256670450283e-07	-1.3308871954032861e-05	-2.7256875259639696e-06	-1.2791699952424145e-08	-1.2482470295040462e-07	-1.2251375058298016e-05	-1.526475648185144e-08	-6.930790872605408e-08	-1.747400470657017e-05	-2.0021694891500707e-07	-7.813746711073782e-11	-7.514027006477755e-06	-4.2508848090674697e-08	-1.0822384146767135e-06	-6.67459252627857e-06	-2.922879753005045e-06
11	0.00032465892432932686	1.1145406627029246e-07	-5.126750421710896e-10	-1.8576219550298746e-13	-2.5166343802696535e-08	-5.351028961437217e-09	-3.519758150303801e-11	-2.8323430918566552e-11	-3.87603643118285e-08	1.1912067600079321e-07	0.000469135856314865	-2.1536949067297246e-06	-7.798602296278018e-10	-6.51861881170196e-10	-1.5415658913604945e-06	-0.00010542918920173086	-2.2514467772886033e-05	-1.5387841544114052e-07	-6.957785033187153e-07	-9.141416606727876e-05	-1.182039380718876e-07	-5.517648674266393e-07	-0.0001617269161332365	-1.5554669437259807e-06	-6.039010076823408e-10	-5.069244650304222e-05	-3.324387283556268e-07	-1.387795752753497e-05	-3.870299854856322e-05	-3.013420313086098e-05
12	0.0003047792259285497	2.0261171501340738e-07	-9.308071715842757e-10	-3.371183508273196e-13	-4.560720280738221e-08	-9.728601541828294e-09	-6.571724896558431e-11	-5.120699867737797e-11	-3.5936863989436734e-08	1.8216470615451846e-07	0.0004405731029160083	-2.0208642462011133e-06	-7.315150514767934e-10	-1.1071467286663954e-10	-1.2607225469986805e-07	-9.87918127700069e-05	-2.1157191801979102e-05	-1.4751230898993422e-07	-6.880165221774281e-07	-0.00018652122069676554	-1.1059693771991267e-07	-6.541349638951034e-07	-9.569897947799921e-05	-1.6824621256696627e-06	-6.513568324148392e-10	-3.078408115052332e-05	-2.014132941789802e-06	-1.3339230381659043e-05	-2.114209719223057e-05	-1.207588067549372e-07
13	0.00021829594135584866	2.679749366569096e-07	-1.2304208710695056e-09	-4.455438885775068e-13	-6.023837196288851e-08	-1.2869517485663614e-08	-8.795400113378532e-11	-6.756786847686603e-11	-2.5487796030461106e-08	2.1896845499401155e-07	0.0003157211585172718	-1.4472052226411986e-06	-5.237203009745445e-10	2.4509669161836414e-10	5.245188912262693e-07	-7.06715884889089e-05	-1.517144008473876e-05	-1.0741802318037764e-07	-7.626134500333974e-07	-0.0002337715960450368	-7.90257906466616e-08	-4.1796587699901713e-07	-8.537487250550454e-06	-2.249863016522349e-06	-8.830169400079606e-10	1.1679854643459604e-05	-3.756399455559436e-06	-9.732527898406682e-06	1.5405237056344856e-05	9.054751767850748e-06
14	0.00011754426379960609	3.031880614668758e-07	-1.3916206133764287e-09	-5.038489058086631e-13	-6.809410732828055e-08	-1.4564367297005102e-08	-1.0030047765257374e-10	-7.63332481323887e-11	-1.3466509741247232e-08	2.324273384343404e-07	0.00017022109374154385	-7.792392805722439e-07	-2.818458051139688e-10	6.374977700482907e-10	1.0185841215497432e-06	-3.797430490323748e-05	-8.19295947544664e-06	-5.968959377524287e-08	-1.6437337655497945e-06	-0.00027450608543148723	-4.237106875376185e-08	-7.123722037428351e-08	5.2670581392671035e-05	-7.021759697211348e-06	-2.811242531384895e-09	9.982449221150979e-05	-4.6829734080721104e-06	-5.424517108530175e-06	9.354146497560334e-05	1.1223097285764118e-05
15	1.655870979514479e-05	3.0816652663134256e-07	-1.4140093484023416e-09	-5.118859801068447e-13	-6.915676030702216e-08	-1.4810250993211314e-08	-1.0271339923265527e-10	-7.748411598262133e-11	-1.4304242822586265e-09	2.2403522090334313e-07	2.4378405810207306e-05	-1.0965694818170606e-07	-3.9368259316207346e-11	3.737004695046482e-09	4.504645388419918e-06	-5.2064833359803604e-06	-1.2036490866970187e-06	-1.1774928493294043e-08	-2.742280785783349e-06	-0.0005275730116647879	-5.640898932333895e-09	2.5083973086665633e-07	8.837353902245199e-05	-5.6500143650604695e-05	-2.2888288081924023e-08	0.0004711210321628247	-6.686905263341165e-06	-1.0910208682636093e-06	0.00040900211583244303	1.1407670449733782e-05
16	-4.2263020724435174e-05	2.955995439755753e-07	-1.3560883074986777e-09	-4.908799072612294e-13	-6.630682346820819e-08	-1.4204670672130202e-08	-9.890402626164652e-11	-7.427523515859368e-11	5.279486740083055e-09	2.0827880468640896e-07	-6.0662204300349536e-05	2.79595873308485e-07	1.0140098895767962e-10	4.3297773301519525e-10	5.097255122561925e-07	1.375749243765017e-05	2.923239614134821e-06	1.8381489600032348e-08	-3.971411039254896e-06	-0.0004070543590278502	1.549049364120982e-08	4.3523554821015345e-07	8.650501920225197e-05	-5.3633688426015765e-05	-2.1740096973944263e-08	0.0004215674653393005	-7.688497803848788e-06	1.5896029370329275e-06	0.0003586339360788236	7.0061626630835044e-06
17	-4.061745149593683e-05	2.835372975877401e-07	-1.3003599882183772e-09	-4.706379435245049e-13	-6.355694743587084e-08	-1.3630236096065224e-08	-9.545203833110452e-11	-7.116803767700004e-11	5.213826447125583e-09	1.9966883694633133e-07	-5.8245852971783505e-05	2.6910626411553186e-07	9.774754546838952e-11	-8.994867833743054e-10	-1.0276485206296652e-06	1.3279296959026518e-05	2.7737306836781132e-06	1.665874893907718e-08	-4.19761432497715e-06	-0.0002495879000152825	1.5005271548930552e-08	4.2745152241681734e-07	5.1284716110065505e-05	-3.949098622390061e-05	-1.602268462426864e-08	0.00029286224904340213	-8.70051479773476e-06	1.459292128950041e-06	0.00024319543321165273	3.342441588786082e-07
18	-3.001203060696506e-05	2.7464007318679043e-07	-1.2591831224876957e-09	-4.556573577468878e-13	-6.152381435275357e-08	-1.3208507338610119e-08	-9.292575493466457e-11	-6.887093069074442e-11	3.881192462866293e-09	1.9460512360697779e-07	-4.294853743269445e-05	1.987752305457494e-07	7.231800196794756e-11	-1.2487156058885067e-09	-1.3989593982405493e-06	9.815025451295751e-06	2.0356512523413247e-06	1.2186188403185765e-08	-3.693923246438045e-06	-0.00010565790580708463	1.1089737643648729e-08	3.2696249309130777e-07	2.3510405219591016e-05	-2.3087309804247215e-05	-9.392960613197515e-09	0.0001515976962998228	-9.622918566834087e-06	1.0498256092778028e-06	0.00011782824936235457	-1.0861544273334733e-06
19	-1.7196178519887664e-05	2.6956896887988646e-07	-1.2356270636107004e-09	-4.4705258991998285e-13	-6.036113722984499e-08	-1.2970404311500392e-08	-9.145147388647833e-11	-6.756124607665008e-11	2.224461744129581e-09	1.9261787879813288e-07	-2.4475059527909395e-05	1.1369615226312075e-07	4.153346433863019e-11	-1.272210100734038e-09	-1.418052243092824e-06	5.612010769145059e-06	1.1490653769976912e-06	7.111110249039331e-09	-2.6858622870270234e-06	2.0822742815196283e-05	6.3217234848555305e-09	2.0885251610722843e-07	6.013149184626151e-06	-7.048469068639981e-06	-2.9208149735811932e-09	1.3474933191364762e-05	-1.0350839796043632e-05	5.784100349143355e-07	-4.5057065197053975e-06	-1.4202906179427222e-06
