	Ln_	NRLn	NRn	RE	REL
25	0.0018913124956745637	0.6918916417785569	367.7962523340018	2.1881439757806525	1.511856024219352
26	0.0019706047861381597	0.7210196955280039	367.73004125313713	2.1510609486654024	1.5489390513346015
27	0.0020493386266090823	0.7499347487722166	367.6655364650896	2.115471213862104	1.5845287861379
28	0.0021274221877891062	0.7786034179630968	367.6027248161381	2.0813282341015067	1.6186717658984964
29	0.0022047680613120945	0.8069939581487402	367.54159122055177	2.048585178700845	1.6514148212991577
30	0.002281293599126856	0.8350763848105079	367.4821187601611	2.01719514497193	1.682804855028073
31	0.002356921187777127	0.8628225718047371	367.4242887906538	1.987111362458837	1.7128886375411665
32	0.0024315784594018328	0.8902063261183965	367.36808105276225	1.9582873788808928	1.7417126211191107
33	0.0025051984411242965	0.9172034400870615	367.31347378755146	1.930677227638793	1.7693227723612106
34	0.0025777196466119988	0.943791722494467	367.2604438541003	1.9042355765950383	1.7957644234049652
35	0.002649086113522851	0.969951009943781	367.2089668485554	1.8789178584994992	1.8210821415005043
36	0.002719247391482812	0.9956631602266958	367.159017223312	1.8546803835390036	1.845319616461
37	0.002788158485015796	1.0209120293293823	367.1105684056252	1.8314804349548948	1.8685195650451087
38	0.002855779757041522	1.0456834341478807	367.0635929142592	1.8092763484073786	1.890723651592625
39	0.002922076797559832	1.0699651026153343	367.01806247375737	1.7880275763731208	1.9119724236268827
40	0.002987020262675602	1.0937466131360567	366.9739481255032	1.7676947386396622	1.9323052613603413
41	0.0030505856888467854	1.1170193251178342	366.9312203349927	1.7482396601109587	1.951760339889045
42	0.003112753286913371	1.1397763022723528	366.88984909485276	1.7296253971256275	1.9703746028743763
43	0.0031735077202775953	1.1620122302813134	366.849804023219	1.7118162535008292	1.9881837464991745
44	0.00323283787123934	1.1837233302899786	366.81105445716486	1.6947777874553598	2.0052222125446444
45	0.003290736599079655	1.204907269537033	366.7735695409951	1.6784768105326326	2.0215231894673718
46	0.0033472004932312825	1.2255630703353073	366.73731830923737	1.6628813795732171	2.037118620426786
47	0.003402229624392443	1.24569101843958	366.70226976428	1.6479607827201346	2.0520392172798685
48	0.0034558272962202626	1.2652925717575019	366.6683929486097	1.6336855203677993	2.0663144796322035
49	0.0035079997995614387	1.2843702701085822	366.63565701178464	1.6200272818938282	2.0799727181061742
50	0.003558756171419146	1.3029276468266733	366.60403127208	1.6069589189072153	2.093041081092787
51	0.003608107959985859	1.320969142681322	366.57348527301406	1.594454415695849	2.1055455843041537
52	0.0036560689970937376	1.338500022602293	366.54398883488443	1.5824888574872877	2.1175111425127144
53	0.003702655179039811	1.3555262955474359	366.5155121015121	1.5710383970601338	2.128961602939868
