	II	IIa	IIa_ATIII	IIa_alpha2M	PL	PT	RVV	V	Va	X	Xa	Xa_ATIII
24	1.1000840072896105	0.02768456853192035	0.22237467650125867	0.04985674767721311	0.049999984626062456	5.373937561964374e-09	0.03	0.029558568307789287	0.0004414163182731467	0.03264216051710721	0.00158730568772308	0.16577042842123202
25	1.0955961099428302	0.025748930529914418	0.2276217988696313	0.051033160657626975	0.04999998490067972	5.099320296730722e-09	0.03	0.029548231381849026	0.0004517535188306744	0.030261638438248317	0.0014717099637338205	0.16826654649869743
26	1.0914359485865894	0.023936244532118796	0.23250077271386513	0.05212703416742975	0.04999998517150167	4.828498352229703e-09	0.03	0.02953862295792265	0.0004613622135789955	0.02805451698429941	0.0013645115121300902	0.170580866675072
27	1.0875795935008192	0.022241462357492553	0.23703526889196083	0.05314367524973091	0.04999998543660353	4.563396514595367e-09	0.03	0.029529695733074533	0.00047028970352895974	0.026008194287814392	0.0012651032728943237	0.17272659787589464
28	1.084004861016608	0.020659065468700034	0.2412479161991469	0.05408815731554867	0.04999998569448769	4.305512340721018e-09	0.03	0.02952140456070622	0.00047858113378144735	0.024110980266179957	0.0011729216583440403	0.17471599376996355
29	1.0806911864075122	0.019183278321730043	0.245160230921205	0.05496530434955634	0.0499999859440186	4.055981433009734e-09	0.03	0.02951370657603618	0.0004862793679823938	0.02235203122098368	0.0010874434981720626	0.17656042122486273
30	1.0776195059668938	0.017808227972126358	0.24879258278487337	0.05577968327610979	0.04999998618436519	3.815634845945525e-09	0.03	0.02950656125111458	0.0004934249332505812	0.02072128904711176	0.0010081831909117297	0.17827042394634157
31	1.0747721476236187	0.01652806197802336	0.25216418799924334	0.0565356023991178	0.04999998641495086	3.5850491774556125e-09	0.03	0.02949993039772886	0.0005000560172219702	0.019209424739378558	0.0009346900491034721	0.1798557816264687
32	1.0721327294950382	0.015337034035941667	0.2552931221712974	0.05723711429772567	0.04999998663541005	3.364589985897519e-09	0.03	0.029493778132382475	0.0005062085030275497	0.017807785905812726	0.0008665458261543945	0.18132556490344282
33	1.0696860657874998	0.014229564824572084	0.25819634747113074	0.05788802191680015	0.049999986845550834	3.154449195077493e-09	0.03	0.029488070814351598	0.0005119160311992184	0.01650834800046721	0.0008033624127935887	0.18268818643228993
34	1.0674180795559611	0.013200283708793737	0.26088974982874025	0.05849188690650724	0.049999987045322866	2.954677159572005e-09	0.03	0.029482776965045747	0.0005172100802770984	0.015303669037991451	0.0007447796931024785	0.18395144831422885
35	1.0653157217742446	0.012244055979645995	0.263388182790998	0.05905203945511368	0.04999998723479003	2.7652099995391547e-09	0.03	0.029477867175205504	0.0005221200595844971	0.014186847520206575	0.0006904635484249932	0.1851225861661584
36	1.0633668963653702	0.011355998896846322	0.26570551565681944	0.05957158908096649	0.04999998741410721	2.5858928219229747e-09	0.03	0.029473314004546093	0.0005266734095610883	0.013151483403778563	0.0006401040019325286	0.18620831000839608
