time	species_1	species_10	species_11	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
720.0.	5.7581794787358955	200	20	294.2418205212646	291.10833747169846	13.937516927407737	894.9540878108967	1.087708591693107	0.6408603875806731	1198.2713732307254	100
760.0.	5.240199627605709	200	20	294.759800372395	195.86700533226596	10.283766843902228	993.8491700338344	0.005714550865819	0.558894425810747	1199.4353332333235	100
800.0.	4.840044113939716	200	20	295.159955886061	109.32451972616805	6.726325954930982	1083.9490965289026	0.004078503968672	0.512672424239316	1199.483191281792	100
840.0.	4.558851970168844	200	20	295.4411480298317	41.60260912679389	3.80208511195006	1154.5952479712575	0.003458403389189	0.48149716313017804	1199.5149866434806	100
880.0.	4.419394837700259	200	20	295.58060516230046	8.062375750493404	2.312196818281139	1189.6253696412273	0.0031806280914750003	0.467410732225747	1199.5293508496827	100
920.0.	4.386749291645267	200	20	295.61325070835585	1.003308733508755	1.9952839953555572	1197.001349481136	0.0031200798832080002	0.46454848257854003	1199.5322736475391	100
960.0.	4.382740421763771	200	20	295.6172595782372	0.19139631522135703	1.958759812223545	1197.8497860825544	0.003112876696704	0.46422144668164905	1199.5326078866221	100
1000.0.	4.382333680461028	200	20	295.61766631954004	0.10998259482780301	1.955096538708825	1197.9348630764632	0.003112150236752	0.464188677879847	1199.5326413818839	100
1040.0.	4.382293487087274	200	20	295.61770651291374	0.10194796286393801	1.9547350058063722	1197.94325924133	0.0031120784991440003	0.464185444202928	1199.5326446872987	100
1080.0.	4.382289526265204	200	20	295.6177104737358	0.10115630063450401	1.9546993834111461	1197.9440865259546	0.003112071430318	0.46418512558440206	1199.5326450129867	100
1120.0.	4.382289136055584	200	20	295.61771086394543	0.10107830919557101	1.954695874230319	1197.9441680265743	0.003112070733922	0.46418509415906506	1199.5326450451082	100
1160.0.	4.38228909761346	200	20	295.6177109023875	0.101070625752692	1.954695528405888	1197.9441760558414	0.003112070665318	0.46418509101959404	1199.5326450483167	100
1200.0.	4.382289093826143	200	20	295.61771090617475	0.10106986877967701	1.954695494264315	1197.9441768469555	0.003112070658554	0.46418509080498604	1199.5326450485375	100
1240.0.	4.382289093452943	200	20	295.6177109065478	0.10106979418846501	1.954695490921131	1197.94417692489	0.0031120706578890004	0.46418509077141706	1199.532645048571	100
1280.0.	4.382289093416245	200	20	295.6177109065845	0.101069786853726	1.954695490591103	1197.9441769325542	0.0031120706578230003	0.46418509076846404	1199.532645048574	100
1320.0.	4.382289093412636	200	20	295.617710906588	0.101069786132655	1.9546954905586582	1197.9441769333084	0.0031120706578170003	0.46418509076817405	1199.532645048574	100
1360.0.	4.382289093412283	200	20	295.6177109065883	0.101069786062561	1.9546954905555052	1197.9441769333819	0.0031120706578160002	0.464185090768146	1199.532645048574	100
1400.0.	4.382289093412245	200	20	295.6177109065883	0.10106978605505601	1.9546954905551681	1197.9441769333898	0.0031120706578160002	0.464185090768142	1199.532645048574	100
1440.0.	4.382289093412242	200	20	295.6177109065883	0.101069786054123	1.954695490555126	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
1480.0.	4.382289093412242	200	20	295.6177109065883	0.101069786054007	1.954695490555121	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
1520.0.	4.382289093412242	200	20	295.6177109065883	0.10106978605399201	1.954695490555119	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
1560.0.	4.382289093412242	200	20	295.6177109065883	0.10106978605399	1.954695490555119	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
1600.0.	4.382289093412242	200	20	295.6177109065883	0.10106978605399	1.954695490555119	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
1640.0.	4.382289093412242	200	20	295.6177109065883	0.10106978605399	1.954695490555119	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
1680.0.	4.382289093412242	200	20	295.6177109065883	0.10106978605399	1.954695490555119	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
1720.0.	4.382289093412242	200	20	295.6177109065883	0.10106978605399	1.954695490555119	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
1760.0.	4.382289093412242	200	20	295.6177109065883	0.10106978605399	1.954695490555119	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
1800.0.	4.382289093412242	200	20	295.6177109065883	0.10106978605399	1.954695490555119	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
1840.0.	4.382289093412242	200	20	295.6177109065883	0.10106978605399	1.954695490555119	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
1880.0.	4.382289093412242	200	20	295.6177109065883	0.10106978605399	1.954695490555119	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
1920.0.	4.382289093412242	200	20	295.6177109065883	0.10106978605399	1.954695490555119	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
1960.0.	4.382289093412242	200	20	295.6177109065883	0.10106978605399	1.954695490555119	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
2000.0.	4.382289093412242	200	20	295.6177109065883	0.10106978605399	1.954695490555119	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
2040.0.	4.382289093412242	200	20	295.6177109065883	0.10106978605399	1.954695490555119	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
2080.0.	4.382289093412242	200	20	295.6177109065883	0.10106978605399	1.954695490555119	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
2120.0.	4.382289093412242	200	20	295.6177109065883	0.10106978605399	1.954695490555119	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
2160.0.	4.382289093412242	200	20	295.6177109065883	0.10106978605399	1.954695490555119	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
2200.0.	4.382289093412242	200	20	295.6177109065883	0.10106978605399	1.954695490555119	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
2240.0.	4.382289093412242	200	20	295.6177109065883	0.10106978605399	1.954695490555119	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
2280.0.	4.382289093412242	200	20	295.6177109065883	0.10106978605399	1.954695490555119	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
2320.0.	4.382289093412242	200	20	295.6177109065883	0.10106978605399	1.954695490555119	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
2360.0.	4.382289093412242	200	20	295.6177109065883	0.10106978605399	1.954695490555119	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
2400.0.	4.382289093412242	200	20	295.6177109065883	0.10106978605399	1.954695490555119	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
2440.0.	4.382289093412242	200	20	295.6177109065883	0.10106978605399	1.954695490555119	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
2480.0.	4.382289093412242	200	20	295.6177109065883	0.10106978605399	1.954695490555119	1197.9441769333905	0.0031120706578160002	0.464185090768142	1199.532645048574	100
