	IKK	IkBaIKK	IkBaIKKNFkB	IkBaNFkB_cytoplasm	IkBaNFkB_nucleus	IkBa_cytoplasm	IkBa_mRNA	IkBa_nucleus	IkBbIKK	IkBbIKKNFkB	IkBbNFkB_cytoplasm	IkBbNFkB_nucleus	IkBb_cytoplasm	IkBb_mRNA	IkBb_nucleus	IkBeIKK	IkBeIKKNFkB	IkBeNFkB_cytoplasm	IkBeNFkB_nucleus	IkBe_cytoplasm	IkBe_mRNA	IkBe_nucleus	NFkB_cytoplasm	NFkB_nucleus
10	0.00031534614146985166	6.050243768780112e-05	0.00044638893300192494	0.05545559932824338	0.00017055872815545273	0.020972519122522775	0.011824702055854213	0.0017900633388956357	2.801013654943446e-06	0.00012070008115565418	0.029916948121649495	3.981195499441421e-05	0.0031450981803437653	0.0025397890876030873	0.00020896026636124069	2.707631993263082e-06	5.155376103656103e-05	0.011106354285725381	2.836248122198211e-05	0.002240607716603234	0.001812096708570744	0.0001488657496232229	3.3701401880855276e-05	0.0026300209229350156
11	0.00031556336162343604	6.051376625227137e-05	0.000445163660159386	0.05526560571514678	0.00017031635599205924	0.020962646180211656	0.01181945122646555	0.0017900983494470268	2.805192054536097e-06	0.00012103499011117873	0.02997890025470591	3.9800565099456715e-05	0.0031471707233544604	0.0025412903289895638	0.00020919193904876915	2.711850692985026e-06	5.22071791062065e-05	0.011238732778908092	2.835473620404125e-05	0.0022421130097521513	0.0018131678189981717	0.0001490327258312334	3.365381978272113e-05	0.0026262299447842724
12	0.00031576797232589086	6.0531876880878456e-05	0.0004439876266424702	0.055084194055689754	0.00017007544421573332	0.020955529172473224	0.011815492047961465	0.0017905905083755197	2.8082532769758025e-06	0.00012135583398354738	0.030038494485797092	3.976807139807924e-05	0.0031482518584520724	0.0025420569924566364	0.00020937047122584354	2.714981420755587e-06	5.28334554694817e-05	0.011365554774498453	2.8331926941076833e-05	0.0022429098520723645	0.0018137148204606345	0.0001491616977003001	3.360737423120091e-05	0.0026217969511332594
13	0.00031596262390581474	6.05519469638945e-05	0.0004428612413662583	0.05491090166017206	0.0001698428113794542	0.02094959802084823	0.011812108688862276	0.0017912264221795738	2.810708702598115e-06	0.00012166288750473346	0.030095558150451715	3.9727468773430014e-05	0.0031488253399296028	0.002542448516727398	0.00020951577193293014	2.717518958483916e-06	5.34330725982171e-05	0.011486861020833685	2.830331859143322e-05	0.002243343406698984	0.0018139941664290999	0.00014926688597093779	3.3562659851836265e-05	0.0026172857084773046
14	0.0003161484229647616	6.057222236667728e-05	0.00044178353475311517	0.05474537995117051	0.00016962050654908235	0.020944273680601654	0.011809036608738001	0.0017918922368035592	2.812817360030193e-06	0.00012195648271471423	0.030150079597797187	3.968441753865869e-05	0.0031491384662870247	0.002542648463625221	0.0002096402324923104	2.7197141139121133e-06	5.400680572678945e-05	0.011602802422570838	2.827294781191823e-05	0.0022435901463255907	0.0018141368251708041	0.00014935713878304062	3.3519822837295576e-05	0.002612893510530013
15	0.00031632593099021456	6.059206823113896e-05	0.0004407530088919041	0.05458731674927086	0.00016940860737718011	0.02093933524787936	0.011806173055485224	0.0017925494011970986	2.8147115755012996e-06	0.00012223702425845926	0.030202115881010325	3.964133350050027e-05	0.0031493176629171305	0.002542750573157106	0.00020975127994896117	2.721695173717709e-06	5.455556087906431e-05	0.011713573202112987	2.824253811492862e-05	0.0022437403102240562	0.0018142096786008572	0.00014943775904450402	3.347885613476461e-05	0.0026086772384491318
16	0.00031649553617965495	6.061125337708e-05	0.0004397679590226146	0.05443640843327421	0.0001692066041618397	0.02093468964735817	0.011803473189106628	0.0017931857152395923	2.816459955462893e-06	0.00012250496919364518	0.03025175201878577	3.9599239581958816e-05	0.003149427572632942	0.0025428027185439225	0.00020985319880217248	2.7235287876829396e-06	5.5080293483859984e-05	0.011819381558587886	2.8212819803427844e-05	0.0022438400597197513	0.0018142468834554963	0.00014951180643237602	3.3439700873810685e-05	0.002604646403231063
17	0.0003166575747179017	6.062969688042698e-05	0.0004388266110311917	0.05429235482584183	0.00016901391051512532	0.020930291079131975	0.011800913956954229	0.0017937977138948171	2.818098910634454e-06	0.0001227608014925168	0.03029908325504526	3.955856040419859e-05	0.0031495012599973664	0.002542829348980241	0.00020994840478068562	2.7252504499351965e-06	5.5581966517393316e-05	0.011920437007022855	2.818409646598638e-05	0.0022439130261707103	0.001814265883822981	0.00014958100696835748	3.3402288960083966e-05	0.002600796676703642
18	0.00031681236461374645	6.0647378039136105e-05	0.00043792718729451227	0.054154860971447616	0.00016882999947462327	0.02092611287096507	0.0117984813864445	0.0017943847606203096	2.8196484846585696e-06	0.00012300501264070994	0.030344207283579765	3.9519457668323804e-05	0.003149555648896983	0.002542842948846695	0.0002100382583961409	2.7268798085062908e-06	5.6061529118730266e-05	0.01201694495965344	2.815648412634085e-05	0.00224397132428618	0.001814275587098485	0.00014964633368837383	3.3366543343164134e-05	0.0025971205716528614
19	0.00031696021294467483	6.066430258075784e-05	0.00043706794044486713	0.05402363973399241	0.00016865441524363742	0.02092213710806429	0.011796165797537315	0.0017949471588899447	2.8211203471373093e-06	0.0001232380894565814	0.030387220771982106	3.9481973740369705e-05	0.00314959941872731	0.0025428498941636357	0.00021012354608467246	2.728428398330811e-06	5.651990582765086e-05	0.012109104416349905	2.8130013648002965e-05	0.002244021185375919	0.0018142805424650659	0.00014970834996988467	3.333239805860712e-05	0.0025936103412559633
