time	species_0000001	species_0000002	species_0000006	species_0000007	species_0000008	species_0000009	species_0000011	species_0000016	species_0000017
150.0.	4.122422414056453e-11	4.9999999999999996e-06	9.71194205029074e-10	4.1409840757229145e-08	4.507335121106048e-23	7.572569187514734e-07	9.67603710279247e-12	1e-05	1e-05
160.0.	4.122422387654493e-11	4.9999999999999996e-06	9.711941988088131e-10	4.243519684674835e-08	4.507335088151386e-23	7.769026918677576e-07	9.915286974615866e-12	1e-05	1e-05
170.0.	4.1224223649140864e-11	4.9999999999999996e-06	9.711941934512032e-10	4.3318351535652016e-08	4.507335059767015e-23	7.938401148684098e-07	1.0121356505626049e-11	1e-05	1e-05
180.0.	4.122422345388402e-11	4.9999999999999996e-06	9.711941888509734e-10	4.4076657980064803e-08	4.507335035395209e-23	8.083951717219399e-07	1.029829476664642e-11	1e-05	1e-05
190.0.	4.122422328667838e-11	4.9999999999999996e-06	9.711941849116242e-10	4.472602402058037e-08	4.5073350145247245e-23	8.208680523492031e-07	1.0449813588317689e-11	1e-05	1e-05
200.0.	4.1224223143821967e-11	4.9999999999999996e-06	9.711941815459388e-10	4.528082634743513e-08	4.507334996693481e-23	8.315310506576972e-07	1.057926753289491e-11	1e-05	1e-05
210.0.	4.122422302200796e-11	4.9999999999999996e-06	9.711941786760088e-10	4.575390763058332e-08	4.507334981488731e-23	8.406281376697602e-07	1.068965322454404e-11	1e-05	1e-05
220.0.	4.122422291831034e-11	4.9999999999999996e-06	9.711941762328988e-10	4.615663145811724e-08	4.5073349685452494e-23	8.483757210260307e-07	1.078362216827067e-11	1e-05	1e-05
230.0.	4.1224222830160326e-11	4.9999999999999996e-06	9.711941741560892e-10	4.6498973972347647e-08	4.507334957542414e-23	8.549641754735004e-07	1.0863502131650351e-11	1e-05	1e-05
240.0.	4.12242227553167e-11	4.9999999999999996e-06	9.711941723928104e-10	4.6789636410413013e-08	4.507334948200688e-23	8.605598297610457e-07	1.093132340429277e-11	1e-05	1e-05
250.0.	4.1224222691838137e-11	4.9999999999999996e-06	9.711941708972221e-10	4.703616700648823e-08	4.5073349402770924e-23	8.653071774311987e-07	1.0988847241686689e-11	1e-05	1e-05
260.0.	4.1224222638043906e-11	4.9999999999999996e-06	9.711941696298325e-10	4.724508425352889e-08	4.507334933562527e-23	8.693311481958348e-07	1.1037594626274989e-11	1e-05	1e-05
270.0.	4.122422259249075e-11	4.9999999999999996e-06	9.711941685566008e-10	4.7421996149415445e-08	4.507334927876598e-23	8.727393285981488e-07	1.107887409155946e-11	1e-05	1e-05
280.0.	4.12242225539403e-11	4.9999999999999996e-06	9.711941676483526e-10	4.7571712131742394e-08	4.5073349230647435e-23	8.756240621220641e-07	1.1113807840224948e-11	1e-05	1e-05
290.0.	4.1224222521333284e-11	4.9999999999999996e-06	9.711941668801326e-10	4.769834587077222e-08	4.5073349189947507e-23	8.780643884418556e-07	1.1143355729169419e-11	1e-05	1e-05
300.0.	4.122422249376578e-11	4.9999999999999996e-06	9.711941662306416e-10	4.780540809426227e-08	4.5073349155537813e-23	8.801278019905763e-07	1.116833692863809e-11	1e-05	1e-05
310.0.	4.122422247046768e-11	4.9999999999999996e-06	9.711941656817396e-10	4.7895889365488644e-08	4.5073349126457223e-23	8.818718253381271e-07	1.118944923710341e-11	1e-05	1e-05
320.0.	4.1224222450782875e-11	4.9999999999999996e-06	9.711941652180095e-10	4.7972333153522695e-08	4.507334910189022e-23	8.833454016607445e-07	1.120728613100391e-11	1e-05	1e-05
330.0.	4.122422243415884e-11	4.9999999999999996e-06	9.711941648263031e-10	4.803689981260088e-08	4.507334908113665e-23	8.845901165111331e-07	1.1222351693268719e-11	1e-05	1e-05
340.0.	4.122422242011979e-11	4.9999999999999996e-06	9.711941644955427e-10	4.809142225299077e-08	4.507334906361313e-23	8.856412627220691e-07	1.123507360319631e-11	1e-05	1e-05
350.0.	4.1224222408267026e-11	4.9999999999999996e-06	9.711941642162915e-10	4.813745411416903e-08	4.507334904881855e-23	8.865287631594831e-07	1.1245814376864308e-11	1e-05	1e-05
360.0.	4.122422239826167e-11	4.9999999999999996e-06	9.711941639805657e-10	4.8176311277064924e-08	4.507334903632989e-23	8.872779667858225e-07	1.1254881053326439e-11	1e-05	1e-05
370.0.	4.122422238981691e-11	4.9999999999999996e-06	9.711941637816073e-10	4.82091075111222e-08	4.507334902578916e-23	8.879103328871282e-07	1.1262533512264189e-11	1e-05	1e-05
380.0.	4.122422238269025e-11	4.9999999999999996e-06	9.711941636137033e-10	4.823678498818068e-08	4.5073349016893703e-23	8.884440172239829e-07	1.126899159389626e-11	1e-05	1e-05
390.0.	4.122422237667645e-11	4.9999999999999996e-06	9.711941634720182e-10	4.8260140345434384e-08	4.507334900938729e-23	8.88894373004797e-07	1.1274441180338578e-11	1e-05	1e-05
400.0.	4.122422237160111e-11	4.9999999999999996e-06	9.711941633524695e-10	4.8279846898660284e-08	4.5073349003053315e-23	8.892743780891627e-07	1.127903937869388e-11	1e-05	1e-05
410.0.	4.122422236732092e-11	4.9999999999999996e-06	9.711941632516025e-10	4.829647354101071e-08	4.5073348997709823e-23	8.895949986104419e-07	1.1282918930772321e-11	1e-05	1e-05
420.0.	4.1224222363709094e-11	4.9999999999999996e-06	9.711941631665075e-10	4.831050080303574e-08	4.507334899320151e-23	8.898654980942398e-07	1.128619196043201e-11	1e-05	1e-05
430.0.	4.122422236066206e-11	4.9999999999999996e-06	9.711941630947188e-10	4.83223344804078e-08	4.507334898939817e-23	8.900936998426831e-07	1.128895315338318e-11	1e-05	1e-05
440.0.	4.122422235809161e-11	4.9999999999999996e-06	9.71194163034159e-10	4.8332317188201044e-08	4.507334898618973e-23	8.902862094554526e-07	1.1291282453188228e-11	1e-05	1e-05
450.0.	4.1224222355923276e-11	4.9999999999999996e-06	9.711941629830734e-10	4.834073814953075e-08	4.507334898348324e-23	8.904486033882168e-07	1.1293247345278829e-11	1e-05	1e-05
460.0.	4.1224222354094244e-11	4.9999999999999996e-06	9.711941629399812e-10	4.834784148046011e-08	4.5073348981200234e-23	8.905855885741218e-07	1.129490479010192e-11	1e-05	1e-05
470.0.	4.122422235255142e-11	4.9999999999999996e-06	9.711941629036322e-10	4.835383320051619e-08	4.50733489792745e-23	8.90701137513131e-07	1.129630285890764e-11	1e-05	1e-05
480.0.	4.1224222351250087e-11	4.9999999999999996e-06	9.71194162872973e-10	4.8358887160263005e-08	4.507334897765017e-23	8.90798602508463e-07	1.1297482116850559e-11	1e-05	1e-05
490.0.	4.122422235015244e-11	4.9999999999999996e-06	9.711941628471118e-10	4.83631500517863e-08	4.507334897628007e-23	8.908808122394633e-07	1.1298476792103388e-11	1e-05	1e-05
500.0.	4.122422234922661e-11	4.9999999999999996e-06	9.711941628252994e-10	4.836674564239529e-08	4.5073348975124457e-23	8.909501533701531e-07	1.129931576372128e-11	1e-05	1e-05
510.0.	4.122422234844571e-11	4.9999999999999996e-06	9.711941628069015e-10	4.836977835091717e-08	4.5073348974149754e-23	8.910086394910127e-07	1.130002339611106e-11	1e-05	1e-05
520.0.	4.122422234778707e-11	4.9999999999999996e-06	9.711941627913842e-10	4.837233626791724e-08	4.507334897332764e-23	8.910579693448838e-07	1.1300620243749599e-11	1e-05	1e-05
530.0.	4.122422234723154e-11	4.9999999999999996e-06	9.71194162778296e-10	4.837449370578174e-08	4.507334897263424e-23	8.910995759919487e-07	1.1301123646203519e-11	1e-05	1e-05
540.0.	4.1224222346763e-11	4.9999999999999996e-06	9.71194162767257e-10	4.8376313351465694e-08	4.50733489720494e-23	8.911346683161109e-07	1.130154823043729e-11	1e-05	1e-05
550.0.	4.122422234636782e-11	4.9999999999999996e-06	9.711941627579465e-10	4.8377848083549414e-08	4.507334897155615e-23	8.911642660604142e-07	1.13019063347933e-11	1e-05	1e-05
560.0.	4.122422234603451e-11	4.9999999999999996e-06	9.711941627500938e-10	4.837914250575837e-08	4.5073348971140095e-23	8.91189229396425e-07	1.1302208366813379e-11	1e-05	1e-05
570.0.	4.122422234575341e-11	4.9999999999999996e-06	9.71194162743471e-10	4.8380234241054223e-08	4.507334897078924e-23	8.912102838776553e-07	1.13024631051936e-11	1e-05	1e-05
580.0.	4.1224222345516303e-11	4.9999999999999996e-06	9.711941627378857e-10	4.8381155023582993e-08	4.507334897049331e-23	8.912280414956314e-07	1.1302677954572191e-11	1e-05	1e-05
590.0.	4.122422234531662e-11	4.9999999999999996e-06	9.711941627331807e-10	4.83819305631517e-08	4.507334897024405e-23	8.912429980645189e-07	1.1302858913907549e-11	1e-05	1e-05
600.0.	4.122422234514923e-11	4.9999999999999996e-06	9.711941627292365e-10	4.8382580651809405e-08	4.507334897003509e-23	8.912555352750477e-07	1.1303010601347069e-11	1e-05	1e-05
610.0.	4.122422234500785e-11	4.9999999999999996e-06	9.711941627259058e-10	4.8383129726507175e-08	4.5073348969858636e-23	8.912661243987814e-07	1.1303138718849239e-11	1e-05	1e-05
620.0.	4.122422234488844e-11	4.9999999999999996e-06	9.711941627230924e-10	4.8383593482413564e-08	4.507334896970958e-23	8.912750681203233e-07	1.1303246928622119e-11	1e-05	1e-05
630.0.	4.122422234478758e-11	4.9999999999999996e-06	9.71194162720716e-10	4.8383985176288133e-08	4.507334896958369e-23	8.912826220995238e-07	1.1303338323911369e-11	1e-05	1e-05
640.0.	4.122422234470239e-11	4.9999999999999996e-06	9.711941627187094e-10	4.838431600524945e-08	4.507334896947736e-23	8.91289002275914e-07	1.1303415517379468e-11	1e-05	1e-05
650.0.	4.1224222344630445e-11	4.9999999999999996e-06	9.71194162717014e-10	4.838459542671487e-08	4.507334896938756e-23	8.912943910386884e-07	1.13034807157584e-11	1e-05	1e-05
660.0.	4.122422234456968e-11	4.9999999999999996e-06	9.711941627155824e-10	4.8384831428665695e-08	4.5073348969311713e-23	8.912989424387006e-07	1.13035357829115e-11	1e-05	1e-05
670.0.	4.122422234451835e-11	4.9999999999999996e-06	9.71194162714373e-10	4.8385030757931e-08	4.507334896924765e-23	8.91302786590913e-07	1.130358229309979e-11	1e-05	1e-05
680.0.	4.1224222344475e-11	4.9999999999999996e-06	9.711941627133517e-10	4.83851991130171e-08	4.507334896919353e-23	8.913060333931167e-07	1.13036215759755e-11	1e-05	1e-05
690.0.	4.1224222344438384e-11	4.9999999999999996e-06	9.711941627124892e-10	4.8385341306981746e-08	4.5073348969147826e-23	8.913087756669709e-07	1.1303654754586069e-11	1e-05	1e-05
700.0.	4.122422234440747e-11	4.9999999999999996e-06	9.711941627117604e-10	4.8385461405009026e-08	4.507334896910922e-23	8.913110918111534e-07	1.130368277747501e-11	1e-05	1e-05
710.0.	4.122422234438135e-11	4.9999999999999996e-06	9.711941627111452e-10	4.8385562840609374e-08	4.507334896907662e-23	8.913130480423047e-07	1.130370644579518e-11	1e-05	1e-05
720.0.	4.1224222344359285e-11	4.9999999999999996e-06	9.711941627106255e-10	4.8385648513768695e-08	4.5073348969049085e-23	8.913147002878522e-07	1.130372643621036e-11	1e-05	1e-05
730.0.	4.1224222344340654e-11	4.9999999999999996e-06	9.711941627101865e-10	4.8385720873847566e-08	4.507334896902582e-23	8.913160957847473e-07	1.130374332023835e-11	1e-05	1e-05
740.0.	4.122422234432492e-11	4.9999999999999996e-06	9.711941627098157e-10	4.838578198960132e-08	4.5073348969006185e-23	8.913172744298204e-07	1.130375758058898e-11	1e-05	1e-05
750.0.	4.1224222344311625e-11	4.9999999999999996e-06	9.711941627095026e-10	4.8385833608320504e-08	4.507334896898959e-23	8.913182699203222e-07	1.130376962496362e-11	1e-05	1e-05
760.0.	4.12242223443004e-11	4.9999999999999996e-06	9.711941627092381e-10	4.838587720578138e-08	4.507334896897558e-23	8.913191107172485e-07	1.1303779797710269e-11	1e-05	1e-05
770.0.	4.122422234429092e-11	4.9999999999999996e-06	9.711941627090148e-10	4.8385914028436795e-08	4.507334896896377e-23	8.913198208589882e-07	1.130378838966807e-11	1e-05	1e-05
780.0.	4.122422234428292e-11	4.9999999999999996e-06	9.71194162708826e-10	4.83859451290503e-08	4.507334896895376e-23	8.913204206485556e-07	1.130379564648201e-11	1e-05	1e-05
790.0.	4.122422234427615e-11	4.9999999999999996e-06	9.711941627086668e-10	4.838597139679344e-08	4.507334896894532e-23	8.913209272340207e-07	1.130380177562555e-11	1e-05	1e-05
800.0.	4.122422234427044e-11	4.9999999999999996e-06	9.711941627085321e-10	4.8385993582666746e-08	4.507334896893819e-23	8.913213550987655e-07	1.130380695233226e-11	1e-05	1e-05
810.0.	4.12242223442656e-11	4.9999999999999996e-06	9.711941627084184e-10	4.838601232096986e-08	4.507334896893216e-23	8.913217164755456e-07	1.130381132460547e-11	1e-05	1e-05
820.0.	4.122422234426153e-11	4.9999999999999996e-06	9.711941627083227e-10	4.8386028147436576e-08	4.5073348968927074e-23	8.913220216962278e-07	1.130381501744979e-11	1e-05	1e-05
830.0.	4.1224222344258084e-11	4.9999999999999996e-06	9.711941627082416e-10	4.8386041514550496e-08	4.507334896892279e-23	8.913222794871656e-07	1.130381813644481e-11	1e-05	1e-05
840.0.	4.122422234425518e-11	4.9999999999999996e-06	9.711941627081727e-10	4.8386052804481933e-08	4.5073348968919134e-23	8.913224972186885e-07	1.1303820770763638e-11	1e-05	1e-05
850.0.	4.122422234425274e-11	4.9999999999999996e-06	9.71194162708115e-10	4.8386062340014524e-08	4.507334896891609e-23	8.913226811158223e-07	1.130382299572251e-11	1e-05	1e-05
860.0.	4.122422234425066e-11	4.9999999999999996e-06	9.71194162708066e-10	4.838607039377248e-08	4.50733489689135e-23	8.913228364362541e-07	1.130382487493377e-11	1e-05	1e-05
870.0.	4.122422234424891e-11	4.9999999999999996e-06	9.711941627080249e-10	4.8386077196016436e-08	4.507334896891131e-23	8.9132296762066e-07	1.130382646212493e-11	1e-05	1e-05
880.0.	4.122422234424743e-11	4.9999999999999996e-06	9.711941627079901e-10	4.838608294122539e-08	4.507334896890947e-23	8.913230784196607e-07	1.130382780267444e-11	1e-05	1e-05
890.0.	4.122422234424617e-11	4.9999999999999996e-06	9.711941627079606e-10	4.8386087793656735e-08	4.50733489689079e-23	8.913231720010367e-07	1.1303828934909058e-11	1e-05	1e-05
900.0.	4.122422234424511e-11	4.9999999999999996e-06	9.711941627079357e-10	4.8386091892043874e-08	4.5073348968906585e-23	8.913232510403221e-07	1.1303829891199939e-11	1e-05	1e-05
910.0.	4.122422234424423e-11	4.9999999999999996e-06	9.711941627079147e-10	4.838609535356176e-08	4.507334896890547e-23	8.913233177972902e-07	1.13038306988879e-11	1e-05	1e-05
920.0.	4.122422234424347e-11	4.9999999999999996e-06	9.71194162707897e-10	4.838609827717667e-08	4.5073348968904534e-23	8.913233741805505e-07	1.1303831381065098e-11	1e-05	1e-05
930.0.	4.122422234424283e-11	4.9999999999999996e-06	9.711941627078822e-10	4.838610074647605e-08	4.5073348968903735e-23	8.913234218021276e-07	1.1303831957235279e-11	1e-05	1e-05
940.0.	4.122422234424231e-11	4.9999999999999996e-06	9.711941627078694e-10	4.8386102832058424e-08	4.507334896890307e-23	8.913234620235449e-07	1.1303832443871451e-11	1e-05	1e-05
950.0.	4.122422234424186e-11	4.9999999999999996e-06	9.711941627078588e-10	4.838610459355153e-08	4.507334896890252e-23	8.913234959947509e-07	1.1303832854886739e-11	1e-05	1e-05
960.0.	4.1224222344241457e-11	4.9999999999999996e-06	9.711941627078497e-10	4.838610608131687e-08	4.507334896890203e-23	8.913235246869942e-07	1.130383320203218e-11	1e-05	1e-05
970.0.	4.122422234424114e-11	4.9999999999999996e-06	9.711941627078419e-10	4.838610733789048e-08	4.507334896890163e-23	8.913235489205961e-07	1.130383349523286e-11	1e-05	1e-05
980.0.	4.122422234424086e-11	4.9999999999999996e-06	9.711941627078355e-10	4.838610839919864e-08	4.507334896890128e-23	8.913235693884134e-07	1.130383374287157e-11	1e-05	1e-05
990.0.	4.122422234424064e-11	4.9999999999999996e-06	9.7119416270783e-10	4.838610929558466e-08	4.507334896890099e-23	8.913235866756312e-07	1.130383395202843e-11	1e-05	1e-05
1000.0.	4.1224222344240435e-11	4.9999999999999996e-06	9.711941627078255e-10	4.8386110053088984e-08	4.507334896890075e-23	8.913236012844512e-07	1.1303834128779538e-11	1e-05	1e-05
